elapsed_s,TP_RESERVED_72,TP_RESERVED_73,TP_RESERVED_74,TP_RESERVED_75,TP_RESERVED_76,TP_RESERVED_77,TP_RESERVED_78,TP_RESERVED_79,TP_RESERVED_80,TP_RESERVED_81,TP_RESERVED_82,TP_RESERVED_83
0.001103,0,0,0,0,0,0,0,0,0,0,0,0
0.002826,0,0,0,0,0,0,0,0,0,0,0,0
0.004435,0,0,0,0,0,0,0,0,0,0,0,0
0.006014,0,0,0,0,0,0,0,0,0,0,0,0
0.007648,0,0,0,0,0,0,0,0,0,0,0,0
0.009235,0,0,0,0,0,0,0,0,0,0,0,0
0.010805,0,0,0,0,0,0,0,0,0,0,0,0
0.012376,0,0,0,0,0,0,0,0,0,0,0,0
0.013961,0,0,0,0,0,0,0,0,0,0,0,0
0.015553,0,0,0,0,0,0,0,0,0,0,0,0
0.017147,0,0,0,0,0,0,0,0,0,0,0,0
0.018734,0,0,0,0,0,0,0,0,0,0,0,0
0.020412,0,0,0,0,0,0,0,0,0,0,0,0
0.022127,0,0,0,0,0,0,0,0,0,0,0,0
0.023904,0,0,0,0,0,0,0,0,0,0,0,0
0.025752,0,0,0,0,0,0,0,0,0,0,0,0
0.027446,0,0,0,0,0,0,0,0,0,0,0,0
0.029142,0,0,0,0,0,0,0,0,0,0,0,0
0.030846,0,0,0,0,0,0,0,0,0,0,0,0
0.032585,0,0,0,0,0,0,0,0,0,0,0,0
0.034059,0,0,0,0,0,0,0,0,0,0,0,0
0.035529,0,0,0,0,0,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0,0,0,0,0,0
0.038468,0,0,0,0,0,0,0,0,0,0,0,0
0.039955,0,0,0,0,0,0,0,0,0,0,0,0
0.041612,0,0,0,0,0,0,0,0,0,0,0,0
0.043015,0,0,0,0,0,0,0,0,0,0,0,0
0.044414,0,0,0,0,0,0,0,0,0,0,0,0
0.045809,0,0,0,0,0,0,0,0,0,0,0,0
0.047205,0,0,0,0,0,0,0,0,0,0,0,0
0.048652,0,0,0,0,0,0,0,0,0,0,0,0
0.050039,0,0,0,0,0,0,0,0,0,0,0,0
0.051428,0,0,0,0,0,0,0,0,0,0,0,0
0.052961,0,0,0,0,0,0,0,0,0,0,0,0
0.054369,0,0,0,0,0,0,0,0,0,0,0,0
0.055813,0,0,0,0,0,0,0,0,0,0,0,0
0.057210,0,0,0,0,0,0,0,0,0,0,0,0
0.058600,0,0,0,0,0,0,0,0,0,0,0,0
0.059991,0,0,0,0,0,0,0,0,0,0,0,0
0.061511,0,0,0,0,0,0,0,0,0,0,0,0
0.062980,0,0,0,0,0,0,0,0,0,0,0,0
0.064434,0,0,0,0,0,0,0,0,0,0,0,0
0.065829,0,0,0,0,0,0,0,0,0,0,0,0
0.067221,0,0,0,0,0,0,0,0,0,0,0,0
0.068616,0,0,0,0,0,0,0,0,0,0,0,0
0.070005,0,0,0,0,0,0,0,0,0,0,0,0
0.071436,0,0,0,0,0,0,0,0,0,0,0,0
0.072836,0,0,0,0,0,0,0,0,0,0,0,0
0.074083,0,0,0,0,0,0,0,0,0,0,0,0
0.075459,0,0,0,0,0,0,0,0,0,0,0,0
0.076850,0,0,0,0,0,0,0,0,0,0,0,0
0.078234,0,0,0,0,0,0,0,0,0,0,0,0
0.079643,0,0,0,0,0,0,0,0,0,0,0,0
