elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.001120,0,0,0,0,0,0,0,0
0.002813,0,0,0,0,0,0,0,0
0.004364,0,0,0,0,0,0,0,0
0.005912,0,0,0,0,0,0,0,0
0.007460,0,0,0,0,0,0,0,0
0.009053,0,0,0,0,0,0,0,0
0.010612,0,0,0,0,0,0,0,0
0.012216,0,0,0,0,0,0,0,0
0.013764,0,0,0,0,0,0,0,0
0.015311,0,0,0,0,0,0,0,0
0.016855,0,0,0,0,0,0,0,0
0.018440,0,0,0,0,0,0,0,0
0.019991,0,0,0,0,0,0,0,0
0.021549,0,0,0,0,0,0,0,0
0.023107,0,0,0,0,0,0,0,0
0.024652,0,0,0,0,0,0,0,0
0.026376,0,0,0,0,0,0,0,0
0.027957,0,0,0,0,0,0,0,0
0.029490,0,0,0,0,0,0,0,0
0.031010,0,0,0,0,0,0,0,0
0.032552,0,0,0,0,0,0,0,0
0.034190,0,0,0,0,0,0,0,0
0.035713,0,0,0,0,0,0,0,0
0.037235,0,0,0,0,0,0,0,0
0.038756,0,0,0,0,0,0,0,0
0.040275,0,0,0,0,0,0,0,0
0.041796,0,0,0,0,0,0,0,0
0.043459,0,0,0,0,0,0,0,0
0.044967,0,0,0,0,0,0,0,0
0.046547,0,0,0,0,0,0,0,0
0.048130,0,0,0,0,0,0,0,0
0.049707,0,0,0,0,0,0,0,0
0.051204,0,0,0,0,0,0,0,0
0.052690,0,0,0,0,0,0,0,0
0.054215,0,0,0,0,0,0,0,0
0.055702,0,0,0,0,0,0,0,0
0.057190,0,0,0,0,0,0,0,0
0.058678,0,0,0,0,0,0,0,0
0.060186,0,0,0,0,0,0,0,0
0.061692,0,0,0,0,0,0,0,0
0.063157,0,0,0,0,0,0,0,0
0.064630,0,0,0,0,0,0,0,0
0.066289,0,0,0,0,0,0,0,0
0.067765,0,0,0,0,0,0,0,0
0.069153,0,0,0,0,0,0,0,0
0.070534,0,0,0,0,0,0,0,0
0.071908,0,0,0,0,0,0,0,0
0.073276,0,0,0,0,0,0,0,0
0.074662,0,0,0,0,0,0,0,0
0.076035,0,0,0,0,0,0,0,0
0.077402,0,132,0,0,132,0,0,0
0.078830,0,0,0,0,0,0,0,0
0.080227,0,0,0,0,0,0,0,0
0.081602,0,0,0,0,0,0,0,0
0.082972,0,0,0,0,0,0,0,0
0.084338,0,0,0,0,0,0,0,0
0.085721,0,0,0,0,0,0,0,0
0.087090,0,114,0,0,150,0,0,0
0.088724,0,222,0,0,186,0,0,0
0.090100,0,0,0,0,0,0,0,0
0.091468,0,0,0,0,0,0,0,0
0.092888,0,0,0,0,0,0,0,0
0.094258,0,0,0,0,0,0,0,0
0.095624,0,0,0,0,0,0,0,0
0.097005,0,0,0,0,0,0,0,0
