elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.008079,0,0,0,0,0,0,0,0
0.014224,0,0,0,0,0,0,0,0
0.015628,0,0,0,0,0,0,0,0
0.021930,0,0,0,0,0,0,0,0
0.023429,0,0,0,0,0,0,0,0
0.024883,0,0,0,0,0,0,0,0
0.026335,0,0,0,0,0,0,0,0
0.027784,0,0,0,0,0,0,0,0
0.029236,0,0,0,0,0,0,0,0
0.030687,0,0,0,0,0,0,0,0
0.032139,0,0,0,0,0,0,0,0
0.033621,0,0,0,0,0,0,0,0
0.035003,0,0,0,0,0,0,0,0
0.036451,0,0,0,0,0,0,0,0
0.038097,0,0,0,0,0,0,0,0
0.039548,0,0,0,0,0,0,0,0
0.041020,0,0,0,0,0,0,0,0
0.042472,0,0,0,0,0,0,0,0
0.043982,0,0,0,0,0,0,0,0
0.045481,0,0,0,0,0,0,0,0
0.046915,0,0,0,0,0,0,0,0
0.048412,0,0,0,0,0,0,0,0
0.049913,0,0,0,0,0,0,0,0
0.051410,0,0,0,0,0,0,0,0
0.052902,0,0,0,0,0,0,0,0
0.054407,0,0,0,0,0,0,0,0
0.055911,0,0,0,0,0,0,0,0
0.057414,0,0,0,0,0,0,0,0
0.058966,0,0,0,0,0,0,0,0
0.060464,0,0,0,0,0,0,0,0
0.061966,0,0,0,0,0,0,0,0
0.063519,0,0,0,0,0,0,0,0
0.065057,0,0,0,0,0,0,0,0
0.066559,0,0,0,0,0,0,0,0
0.068060,0,0,0,0,0,0,0,0
0.069558,0,0,0,0,0,0,0,0
0.071005,0,0,0,0,0,0,0,0
0.072505,0,0,0,0,0,0,0,0
0.074145,0,0,0,0,0,0,0,0
0.075652,0,0,0,0,0,0,0,0
0.077153,0,0,0,0,0,0,0,0
0.078651,0,0,0,0,0,0,0,0
0.080152,0,0,0,0,0,0,0,0
0.081650,0,0,0,0,0,0,0,0
0.084152,0,0,0,0,0,0,0,0
0.085663,0,0,0,0,0,0,0,0
0.087143,0,0,0,0,0,0,0,0
0.088641,0,0,0,0,0,0,0,0
0.090172,0,0,0,0,0,0,0,0
0.091622,0,0,0,0,0,0,0,0
0.093071,0,0,0,0,0,0,0,0
0.094522,0,0,0,0,0,0,0,0
0.095980,0,0,0,0,0,0,0,0
0.097455,0,0,0,0,0,0,0,0
0.105771,0,0,0,0,0,0,0,0
0.107231,0,0,0,0,0,0,0,0
0.108682,0,0,0,0,0,0,0,0
0.110132,0,0,0,0,0,0,0,0
0.111582,0,0,0,0,0,0,0,0
0.113053,0,0,0,0,0,0,0,0
0.114506,0,0,0,0,0,0,0,0
0.116004,0,0,0,0,0,0,0,0
0.117511,0,0,0,0,0,0,0,0
0.119012,0,0,0,0,0,0,0,0
0.120523,0,0,0,0,0,0,0,0
0.122062,0,0,0,0,0,0,0,0
0.123560,0,0,0,0,0,0,0,0
0.125058,0,0,0,0,0,0,0,0
0.126556,0,0,0,0,0,0,0,0
0.128083,0,0,0,0,0,0,0,0
0.129595,0,0,0,0,0,0,0,0
