elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.001312,0,0,0,0,0,0
0.002656,0,0,0,0,0,0
0.004015,0,0,0,0,0,0
0.005300,0,0,0,0,0,0
0.006695,0,0,0,0,0,0
0.007862,0,0,0,0,0,0
0.009008,0,0,0,0,0,0
0.010138,0,0,0,0,0,0
0.011513,0,0,0,0,0,0
0.012693,0,0,0,0,0,0
0.013885,0,0,0,0,0,0
0.015123,0,0,0,0,0,0
0.016311,0,0,0,0,0,0
0.017554,0,0,0,0,0,0
0.018791,0,0,0,0,0,0
0.019982,0,0,0,0,0,0
0.021176,0,0,0,0,0,0
0.022370,0,0,0,0,0,0
0.023565,0,0,0,0,0,0
0.024759,0,0,0,0,0,0
0.025951,0,0,0,0,0,0
0.027195,0,0,0,0,0,0
0.028442,0,0,0,0,0,0
0.029543,0,0,0,0,0,0
0.030663,0,0,0,0,0,0
0.031901,0,0,0,0,0,0
0.033089,0,0,0,0,0,0
0.034324,0,0,0,0,0,0
0.035585,0,0,0,0,0,0
0.036820,0,0,0,0,0,0
0.038056,0,0,0,0,0,0
0.039292,0,0,0,0,0,0
0.040528,0,0,0,0,0,0
0.041764,0,0,0,0,0,0
0.042986,0,0,0,0,0,0
0.044227,0,0,0,0,0,0
0.045518,0,0,0,0,0,0
0.046707,0,0,0,0,0,0
0.047967,0,0,0,0,0,0
0.049115,0,0,0,0,0,0
0.050304,0,0,0,0,0,0
0.051566,0,0,0,0,0,0
0.052845,0,0,0,0,0,0
0.054032,0,0,0,0,0,0
0.055283,0,0,0,0,0,0
0.056539,0,0,0,0,0,0
0.057819,0,0,0,0,0,0
0.059011,0,0,0,0,0,0
0.060198,0,0,0,0,0,0
0.061422,0,0,0,0,0,0
0.062599,0,0,0,0,0,0
0.063800,0,0,0,0,0,0
0.065187,0,0,0,0,0,0
0.066316,0,0,0,0,0,0
