elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.001325,0,0,0,0,0,0
0.002794,0,0,0,0,0,0
0.003934,0,0,0,0,0,0
0.005063,0,0,0,0,0,0
0.006198,0,0,0,0,0,0
0.007324,0,0,0,0,0,0
0.008547,0,0,0,0,0,0
0.009797,0,0,0,0,0,0
0.010889,0,0,0,0,0,0
0.012079,0,0,0,0,0,0
0.013276,0,0,0,0,0,0
0.014540,0,0,0,0,0,0
0.015791,0,0,0,0,0,0
0.016997,0,0,0,0,0,0
0.018251,0,0,0,0,0,0
0.019514,0,0,0,0,0,0
0.020764,0,0,0,0,0,0
0.022014,0,0,0,0,0,0
0.023263,0,0,0,0,0,0
0.024566,0,0,0,0,0,0
0.025818,0,0,0,0,0,0
0.027058,0,0,0,0,0,0
0.028298,0,0,0,0,0,0
0.029537,0,0,0,0,0,0
0.030873,0,0,0,0,0,0
0.032128,0,0,0,0,0,0
0.033320,0,0,0,0,0,0
0.034599,0,0,0,0,0,0
0.035788,0,0,0,0,0,0
0.036975,0,0,0,0,0,0
0.038161,0,0,0,0,0,0
0.039348,0,0,0,0,0,0
0.040564,0,0,0,0,0,0
0.041811,0,0,0,0,0,0
0.043011,0,0,0,0,0,0
0.044200,0,0,0,0,0,0
0.045448,0,0,0,0,0,0
0.046644,0,0,0,0,0,0
0.047832,0,0,0,0,0,0
0.049018,0,0,0,0,0,0
0.050141,0,0,0,0,0,0
0.051327,0,0,0,0,0,0
0.052512,0,0,0,0,0,0
0.053747,0,0,0,0,0,0
0.054930,0,0,0,0,0,0
0.056115,0,0,0,0,0,0
0.057412,0,0,0,0,0,0
0.058687,0,0,0,0,0,0
0.059940,0,0,0,0,0,0
0.061169,0,0,0,0,0,0
0.062380,0,0,0,0,0,0
0.063540,0,0,0,0,0,0
0.064716,0,0,0,0,0,0
0.065929,0,0,0,0,0,0
0.067232,0,0,0,0,0,0
0.068395,0,0,0,0,0,0
0.069604,0,0,0,0,0,0
0.070818,0,0,0,0,0,0
0.072025,0,0,0,0,0,0
0.073232,0,0,0,0,0,0
0.074460,0,0,0,0,0,0
0.075667,0,0,0,0,0,0
0.076826,0,0,0,0,0,0
0.077986,0,0,0,0,0,0
0.079154,0,0,0,0,0,0
0.080311,0,0,0,0,0,0
0.081516,0,0,0,0,0,0
0.082676,0,0,0,0,0,0
0.083883,0,0,0,0,0,0
0.085039,0,0,0,0,0,0
0.086246,0,0,0,0,0,0
0.087404,0,0,0,0,0,0
0.088561,0,0,0,0,0,0
0.089775,0,0,0,0,0,0
0.090939,0,0,0,0,0,0
0.091996,0,0,0,0,0,0
0.093202,0,0,0,0,0,0
0.094454,0,0,0,0,0,0
0.095673,0,0,0,0,0,0
0.096944,0,0,0,0,0,0
0.098271,0,0,0,0,0,0
0.099482,0,0,0,0,0,0
0.100689,0,0,0,0,0,0
0.101895,0,0,0,0,0,0
0.103111,0,0,0,0,0,0
0.104318,0,0,0,0,0,0
0.105525,0,0,0,0,0,0
0.106731,0,0,0,0,0,0
0.107938,0,0,0,0,0,0
0.109144,0,0,0,0,0,0
0.110349,0,0,0,0,0,0
0.111555,0,0,0,0,0,0
0.112762,0,0,0,0,0,0
0.113969,0,0,0,0,0,0
0.115176,0,0,0,0,0,0
0.116381,0,0,0,0,0,0
0.117588,0,0,0,0,0,0
0.118795,0,0,0,0,0,0
0.120001,0,0,0,0,0,0
0.121207,0,0,0,0,0,0
0.122455,0,0,0,0,0,0
0.123670,0,0,0,0,0,0
0.124878,0,0,0,0,0,0
0.126093,0,0,0,0,0,0
0.127300,0,0,0,0,0,0
0.128398,0,0,0,0,0,0
0.129626,0,0,0,0,0,0
0.130832,0,0,0,0,0,0
0.132110,0,0,0,0,0,0
0.133321,0,0,0,0,0,0
0.134534,0,0,0,0,0,0
0.135745,0,0,0,0,0,0
0.136949,0,0,0,0,0,0
0.138154,0,0,0,0,0,0
0.139360,0,0,0,0,0,0
0.140573,0,0,0,0,0,0
0.141780,0,0,0,0,0,0
0.142987,0,0,0,0,0,0
0.144194,0,0,0,0,0,0
0.145461,0,0,0,0,0,0
0.147116,0,0,0,0,0,0
0.148381,0,0,0,0,0,0
0.149771,0,0,0,0,0,0
0.151086,0,0,0,0,0,0
0.152421,0,0,0,0,0,0
0.153673,0,0,0,0,0,0
0.154874,0,0,0,0,0,0
