elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.001138,0,0,0,0,0,0
0.002683,0,0,0,0,0,0
0.003978,0,0,0,0,0,0
0.005655,0,0,0,0,0,0
0.006978,0,0,0,0,0,0
0.008281,0,0,0,0,0,0
0.009561,0,0,0,0,0,0
0.010810,0,0,0,0,0,0
0.012154,0,0,0,0,0,0
0.013501,0,0,0,0,0,0
0.014662,0,0,0,0,0,0
0.015882,0,0,0,0,0,0
0.017062,0,0,0,0,0,0
0.018227,0,0,0,0,0,0
0.019499,0,0,0,0,0,0
0.020734,0,0,0,0,0,0
0.021972,0,0,0,0,0,0
0.023243,0,0,0,0,0,0
0.024479,0,0,0,0,0,0
0.025693,0,0,0,0,0,0
0.026909,0,0,0,0,0,0
0.028125,0,0,0,0,0,0
0.029338,0,0,0,0,0,0
0.030502,0,0,0,0,0,0
0.031710,0,0,0,0,0,0
0.032944,0,0,0,0,0,0
0.034159,0,0,0,0,0,0
0.035379,0,0,0,0,0,0
0.036605,0,0,0,0,0,0
0.037812,0,0,0,0,0,0
0.039019,0,0,0,0,0,0
0.040227,0,0,0,0,0,0
0.041433,0,0,0,0,0,0
0.042639,0,0,0,0,0,0
0.043844,0,0,0,0,0,0
0.045070,0,0,0,0,0,0
0.046283,0,0,0,0,0,0
0.047504,0,0,0,0,0,0
0.048710,0,0,0,0,0,0
0.049812,0,0,0,0,0,0
0.051017,0,0,0,0,0,0
0.052223,0,0,0,0,0,0
0.053416,0,0,0,0,0,0
0.054644,0,0,0,0,0,0
0.055818,0,0,0,0,0,0
0.057034,0,0,0,0,0,0
0.058194,0,0,0,0,0,0
0.059404,0,0,0,0,0,0
0.060588,0,0,0,0,0,0
0.061798,0,0,0,0,0,0
0.063025,0,0,0,0,0,0
0.064298,0,0,0,0,0,0
0.065514,0,0,0,0,0,0
0.066676,0,0,0,0,0,0
0.067884,0,0,0,0,0,0
0.069042,0,0,0,0,0,0
0.070249,0,0,0,0,0,0
0.071407,0,0,0,0,0,0
0.072613,0,0,0,0,0,0
0.073821,0,0,0,0,0,0
0.075032,0,0,0,0,0,0
0.076259,0,0,0,0,0,0
0.077472,0,0,0,0,0,0
0.078628,0,0,0,0,0,0
0.079783,0,0,0,0,0,0
0.080938,0,0,0,0,0,0
0.082142,0,0,0,0,0,0
0.083298,0,0,0,0,0,0
0.084453,0,0,0,0,0,0
0.085719,0,0,0,0,0,0
0.087014,0,0,0,0,0,0
0.088428,0,0,0,0,0,0
0.089715,0,0,0,0,0,0
0.091000,0,0,0,0,0,0
0.092285,0,0,0,0,0,0
0.093784,0,0,0,0,0,0
0.095068,0,0,0,0,0,0
0.096352,0,0,0,0,0,0
0.098923,0,0,0,0,0,0
0.100232,0,0,0,0,0,0
0.101579,0,0,0,0,0,0
0.102898,0,0,0,0,0,0
0.104146,0,0,0,0,0,0
0.105518,0,0,0,0,0,0
0.106768,0,0,0,0,0,0
0.108056,0,0,0,0,0,0
0.109364,0,0,0,0,0,0
0.110911,0,0,0,0,0,0
0.112183,0,0,0,0,0,0
0.113480,0,0,0,0,0,0
0.114819,0,0,0,0,0,0
0.116085,0,0,0,0,0,0
0.117352,0,0,0,0,0,0
0.118673,0,0,0,0,0,0
0.119937,0,0,0,0,0,0
0.121175,0,0,0,0,0,0
0.122579,0,0,0,0,0,0
0.123820,0,0,0,0,0,0
0.125611,0,0,0,0,0,0
0.126901,0,0,0,0,0,0
0.128159,0,0,0,0,0,0
0.129416,0,0,0,0,0,0
0.130700,0,0,0,0,0,0
0.132119,0,0,0,0,0,0
0.133780,0,0,0,0,0,0
0.135146,0,0,0,0,0,0
0.136512,0,0,0,0,0,0
0.137839,0,0,0,0,0,0
0.139132,0,0,0,0,0,0
0.140418,0,0,0,0,0,0
0.141751,0,0,0,0,0,0
0.143098,0,0,0,0,0,0
0.144463,0,0,0,0,0,0
0.145721,0,0,0,0,0,0
0.146979,0,0,0,0,0,0
0.148236,0,0,0,0,0,0
0.149488,0,0,0,0,0,0
0.150781,0,0,0,0,0,0
0.152150,0,0,0,0,0,0
0.153462,0,0,0,0,0,0
0.154724,0,0,0,0,0,0
0.155980,0,0,0,0,0,0
0.157220,0,0,0,0,0,0
0.158576,0,0,0,0,0,0
0.159777,0,0,0,0,0,0
0.161036,0,0,0,0,0,0
0.162264,0,0,0,0,0,0
0.163491,0,0,0,0,0,0
0.164752,0,0,0,0,0,0
0.165972,0,0,0,0,0,0
0.167192,0,0,0,0,0,0
0.168430,0,0,0,0,0,0
0.169712,0,0,0,0,0,0
0.171030,0,0,0,0,0,0
0.172249,0,0,0,0,0,0
0.173466,0,0,0,0,0,0
0.174776,0,0,0,0,0,0
0.176076,0,0,0,0,0,0
0.177293,0,0,0,0,0,0
0.178512,0,0,0,0,0,0
0.179724,0,0,0,0,0,0
0.180969,0,0,0,0,0,0
0.182251,0,0,0,0,0,0
0.183531,0,0,0,0,0,0
0.184811,0,0,0,0,0,0
0.186091,0,0,0,0,0,0
0.187371,0,0,0,0,0,0
0.188697,0,0,0,0,0,0
0.189990,0,0,0,0,0,0
0.191272,0,0,0,0,0,0
0.192551,0,0,0,0,0,0
0.193836,0,0,0,0,0,0
0.195231,0,0,0,0,0,0
0.196566,0,0,0,0,0,0
