elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.001115,0,0,0,0,0,0
0.002642,0,0,0,0,0,0
0.004083,0,0,0,0,0,0
0.005518,0,0,0,0,0,0
0.006949,0,0,0,0,0,0
0.008575,0,0,0,0,0,0
0.010024,0,0,0,0,0,0
0.011422,0,0,0,0,0,0
0.012746,0,0,0,0,0,0
0.014116,0,0,0,0,0,0
0.015487,0,0,0,0,0,0
0.016812,0,0,0,0,0,0
0.018130,0,0,0,0,0,0
0.019500,0,0,0,0,0,0
0.020833,0,0,0,0,0,0
0.022209,0,0,0,0,0,0
0.023629,0,0,0,0,0,0
0.024957,0,0,0,0,0,0
0.026285,0,0,0,0,0,0
0.027689,0,0,0,0,0,0
0.029008,0,0,0,0,0,0
0.030327,0,0,0,0,0,0
0.031701,0,0,0,0,0,0
0.033019,0,0,0,0,0,0
0.034337,0,0,0,0,0,0
0.035729,0,0,0,0,0,0
0.037048,0,0,0,0,0,0
0.038368,0,0,0,0,0,0
0.039736,0,0,0,0,0,0
0.041055,0,0,0,0,0,0
0.042379,0,0,0,0,0,0
0.043752,0,0,0,0,0,0
0.045071,0,0,0,0,0,0
0.046390,0,0,0,0,0,0
0.047758,0,0,0,0,0,0
0.049181,0,0,0,0,0,0
0.050525,0,0,0,0,0,0
0.051891,0,0,0,0,0,0
0.053215,0,0,0,0,0,0
0.054549,0,0,0,0,0,0
0.055916,0,0,0,0,0,0
0.057231,0,0,0,0,0,0
0.058624,0,0,0,0,0,0
0.060001,0,0,0,0,0,0
0.061399,0,0,0,0,0,0
0.062828,0,0,0,0,0,0
0.064162,0,0,0,0,0,0
0.065496,0,0,0,0,0,0
0.066847,0,0,0,0,0,0
0.068226,0,0,0,0,0,0
0.069568,0,0,0,0,0,0
0.070890,0,0,0,0,0,0
0.072274,0,0,0,0,0,0
0.073597,0,0,0,0,0,0
0.074951,0,0,0,0,0,0
0.076320,0,0,0,0,0,0
0.077646,0,0,0,0,0,0
0.078965,0,0,0,0,0,0
0.080334,0,0,0,0,0,0
0.081654,0,0,0,0,0,0
0.082997,0,0,0,0,0,0
0.084348,0,0,0,0,0,0
0.085720,0,0,0,0,0,0
0.087119,0,0,0,0,0,0
0.088565,0,0,0,0,0,0
0.089696,0,0,0,0,0,0
0.091112,0,0,0,0,0,0
0.092583,0,0,0,0,0,0
0.094027,0,0,0,0,0,0
0.095526,0,0,0,0,0,0
0.096939,0,0,0,0,0,0
0.098334,0,0,0,0,0,0
0.099774,0,0,0,0,0,0
0.101170,0,0,0,0,0,0
0.102567,0,0,0,0,0,0
0.103965,0,0,0,0,0,0
0.105364,0,0,0,0,0,0
0.106797,0,0,0,0,0,0
0.109522,0,0,0,0,0,0
0.111003,0,0,0,0,0,0
0.112518,0,0,0,0,0,0
0.113804,0,0,0,0,0,0
0.114999,0,0,0,0,0,0
0.116132,0,0,0,0,0,0
0.117612,0,0,0,0,0,0
0.118997,0,0,0,0,0,0
0.120422,0,0,0,0,0,0
0.121795,0,0,0,0,0,0
0.123196,0,0,0,0,0,0
0.124579,0,0,0,0,0,0
0.125943,0,0,0,0,0,0
0.127422,0,0,0,0,0,0
0.128794,0,0,0,0,0,0
0.130147,0,0,0,0,0,0
0.131471,0,0,0,0,0,0
0.132793,0,0,0,0,0,0
0.134116,0,0,0,0,0,0
0.135484,0,0,0,0,0,0
0.136806,0,0,0,0,0,0
0.138126,0,0,0,0,0,0
0.139446,0,0,0,0,0,0
0.140799,0,0,0,0,0,0
0.142226,0,0,0,0,0,0
0.143623,0,0,0,0,0,0
