elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.001151,0,0,0,0,0,0
0.002968,0,0,0,0,0,0
0.004566,0,0,0,0,0,0
0.006216,0,0,0,0,0,0
0.007739,0,0,0,0,0,0
0.009496,0,0,0,0,0,0
0.011031,0,0,0,0,0,0
0.012553,0,0,0,0,0,0
0.014267,0,0,0,0,0,0
0.015832,0,0,0,0,0,0
0.017287,0,0,0,0,0,0
0.018753,0,0,0,0,0,0
0.020212,0,0,0,0,0,0
0.021670,0,0,0,0,0,0
0.023125,0,0,0,0,0,0
0.024586,0,0,0,0,0,0
0.026160,0,0,0,0,0,0
0.027653,0,0,0,0,0,0
0.029146,0,0,0,0,0,0
0.030642,0,0,0,0,0,0
0.032156,0,0,0,0,0,0
0.033644,0,0,0,0,0,0
0.035134,0,0,0,0,0,0
0.036624,0,0,0,0,0,0
0.038128,0,0,0,0,0,0
0.039617,0,0,0,0,0,0
0.041111,0,0,0,0,0,0
0.042599,0,0,0,0,0,0
0.044088,0,0,0,0,0,0
0.045577,0,0,0,0,0,0
0.047066,0,0,0,0,0,0
0.048578,0,0,0,0,0,0
0.050103,0,0,0,0,0,0
0.051596,0,0,0,0,0,0
0.053082,0,0,0,0,0,0
0.054483,0,0,0,0,0,0
0.055927,0,0,0,0,0,0
0.057415,0,0,0,0,0,0
0.058923,0,0,0,0,0,0
0.060422,0,0,0,0,0,0
0.061915,0,0,0,0,0,0
0.063445,0,0,0,0,0,0
0.064928,0,0,0,0,0,0
0.066383,0,0,0,0,0,0
0.067827,0,0,0,0,0,0
0.069272,0,0,0,0,0,0
0.070711,0,0,0,0,0,0
0.072218,0,0,0,0,0,0
0.074117,0,0,0,0,0,0
0.075743,0,0,0,0,0,0
0.077318,0,0,0,0,0,0
0.078921,0,0,0,0,0,0
0.080485,0,0,0,0,0,0
0.082076,0,0,0,0,0,0
0.083612,0,0,0,0,0,0
0.085328,0,0,0,0,0,0
0.086860,0,0,0,0,0,0
0.088444,0,0,0,0,0,0
0.090176,0,0,0,6,149,146
0.091806,0,0,0,0,0,0
0.093334,0,0,0,0,0,0
0.094867,0,0,0,0,0,0
0.096428,0,0,0,0,0,0
0.098129,0,0,0,0,0,0
0.099567,0,0,0,0,0,0
0.101000,0,0,0,0,0,0
0.102437,0,0,0,0,0,0
0.103874,0,0,0,0,0,0
0.105227,0,0,0,0,0,0
0.106664,0,0,0,0,0,0
