elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.001116,0,0,0,0,271284,0
0.002813,0,0,0,0,226725,0
0.004379,0,0,0,0,225168,0
0.005939,0,0,0,0,223617,0
0.007687,0,0,0,0,244038,0
0.009408,0,0,0,0,213930,0
0.010928,0,0,0,0,212625,0
0.012554,0,0,0,0,212472,0
0.014078,0,0,0,0,243795,0
0.015727,0,0,0,0,241149,0
0.017312,0,0,0,0,218397,0
0.018828,0,0,0,0,272610,0
0.020409,0,0,0,0,251379,0
0.021932,0,0,0,0,252159,0
0.023574,0,0,0,0,251295,0
0.025102,0,0,0,0,254013,0
0.026631,0,0,0,0,252627,0
0.028208,0,0,0,0,261921,0
0.029760,0,0,0,0,258147,0
0.031306,0,0,0,0,204114,0
0.032732,0,0,0,0,226272,0
0.034173,0,0,0,0,225297,0
0.035661,0,0,0,0,226353,0
0.037103,0,0,0,0,225696,0
0.038566,0,0,0,0,226101,0
0.040005,0,0,0,0,226350,0
0.041450,0,0,0,0,225699,0
0.042888,0,0,0,0,226320,0
0.044375,0,0,0,0,224736,0
0.045824,0,0,0,0,224481,0
0.047282,0,0,0,0,212112,0
0.048707,0,0,0,0,232485,0
0.050170,0,0,0,0,226596,0
0.051619,0,0,0,0,225660,0
0.053059,0,0,0,0,226623,0
0.054501,0,0,0,0,226161,0
0.055941,0,0,0,0,225585,0
0.057379,0,0,0,0,225969,0
0.058869,0,0,0,0,226161,0
0.060309,0,0,0,0,225843,0
0.061806,0,0,0,0,227157,0
0.063300,0,0,0,0,227163,0
0.064744,0,0,0,0,227724,0
0.066187,0,0,0,0,235536,0
0.067723,0,0,0,0,228429,0
0.069215,0,0,0,0,230976,0
0.070746,0,0,0,0,226347,0
0.072246,0,0,0,0,229344,0
0.073743,0,0,0,0,224028,0
0.075227,0,0,0,0,227355,0
0.076718,0,0,0,0,224643,0
0.078205,0,0,0,0,235833,0
0.079717,0,0,0,0,225702,0
0.081202,0,0,0,0,224667,0
0.082696,0,0,0,0,224289,0
0.084184,0,0,0,0,225351,0
0.085674,0,0,0,0,225060,0
0.087186,0,0,0,0,229161,0
0.088710,0,0,0,0,232338,0
0.090242,0,0,0,0,203334,0
0.091725,0,0,0,0,201615,0
0.093229,0,0,0,0,404169,0
0.094942,0,0,0,0,200526,0
0.096427,0,0,0,0,204285,0
0.097917,0,0,0,0,202953,0
0.099466,0,0,0,0,201456,0
0.100948,0,0,0,0,202650,0
0.102432,0,0,0,0,228948,0
0.103983,0,0,0,0,193689,0
0.105428,0,0,0,0,189744,0
0.106871,0,0,0,0,188715,0
0.108312,0,0,0,0,189549,0
0.109754,0,0,0,0,188736,0
0.111244,0,0,0,0,183552,0
0.112681,0,0,0,0,199740,0
0.114179,0,0,0,0,202110,0
0.115663,0,0,0,0,203961,0
0.117154,0,0,0,0,285657,0
0.119101,0,0,0,0,2461245,0
0.121292,0,0,0,0,4685115,0
0.122662,0,0,0,0,969918,0
0.124171,0,0,0,0,756054,0
0.125494,0,0,0,0,745803,0
0.126850,0,0,0,0,757512,0
0.128232,0,0,0,0,767730,0
0.129586,0,0,0,0,775038,0
0.130979,0,0,0,0,769176,0
0.132333,0,0,0,0,761670,0
0.133669,0,0,0,0,765843,0
0.135088,0,0,0,0,937596,0
0.137228,0,0,0,0,840927,0
0.138606,0,0,0,0,754719,0
0.139981,0,0,0,0,747609,0
0.141353,0,0,0,0,753843,0
0.142756,0,0,0,0,749847,0
0.144125,0,0,0,0,747768,0
0.145497,0,0,0,0,761073,0
0.146873,0,0,0,0,765528,0
0.148259,0,0,0,0,755778,0
0.149631,0,0,0,0,748716,0
0.151026,0,0,0,0,738312,0
0.152400,0,0,0,0,758172,0
0.153776,0,0,0,0,754353,0
0.155151,0,0,0,0,817617,0
0.156588,0,0,0,0,754770,0
0.157962,0,0,0,0,750231,0
0.159370,0,0,0,0,883377,0
0.160845,0,0,0,0,854244,0
0.162259,0,0,0,0,828243,0
0.163654,0,0,0,0,829632,0
0.165047,0,0,0,0,831375,0
0.166439,0,0,0,0,998379,0
0.167953,0,0,0,0,891576,0
0.169406,0,0,0,0,897900,0
0.170844,0,0,0,0,885273,0
0.172328,0,0,0,0,890301,0
0.173768,0,0,0,0,883722,0
0.175234,0,0,0,0,944133,0
0.176762,0,0,0,0,780660,0
0.178224,0,0,0,0,877905,0
0.179705,0,0,0,0,870318,0
0.181182,0,0,0,0,875658,0
0.182709,0,0,0,0,876480,0
0.184188,0,0,0,0,879804,0
0.185670,0,0,0,0,877440,0
0.187344,0,0,0,0,827703,0
0.188858,0,0,0,0,878886,0
0.190342,0,0,0,0,997083,0
0.191976,0,0,0,0,1590216,0
