elapsed_s,VPC_RESERVED_42,VPC_RESERVED_43,VPC_RESERVED_44,VPC_BE_BUSY_CYCLES,VPC_BE_WORKING_CYCLES,VPC_BE_STALL_CYCLES_TSE_BE
0.003243,0,0,0,0,0,0
0.004630,0,0,0,0,0,0
0.007455,0,0,0,0,0,0
0.008900,0,0,0,0,0,0
0.010369,0,0,0,0,0,0
0.016309,0,0,0,0,0,0
0.017746,0,0,0,0,0,0
0.019244,0,0,0,0,0,0
0.020631,0,0,0,0,0,0
0.028385,0,0,0,0,0,0
0.029822,0,0,0,0,0,0
0.031265,0,0,0,0,0,0
0.032702,0,0,0,0,0,0
0.034137,0,0,0,0,0,0
0.035597,0,0,0,0,0,0
0.037035,0,0,0,0,0,0
0.040306,0,0,0,0,0,0
0.041750,0,0,0,0,0,0
0.043227,0,0,0,0,0,0
0.044624,0,0,0,0,0,0
0.047201,0,0,0,0,0,0
0.048640,0,0,0,0,0,0
0.050077,0,0,0,0,0,0
0.051535,0,0,0,0,0,0
0.056357,0,0,0,0,0,0
0.057812,0,0,0,0,0,0
0.059252,0,0,0,0,0,0
0.060694,0,0,0,0,0,0
0.062132,0,0,0,0,0,0
0.068387,0,0,0,0,0,0
0.069826,0,0,0,0,0,0
0.071263,0,0,0,0,0,0
0.072712,0,0,0,0,0,0
0.074150,0,0,0,0,0,0
0.075608,0,0,0,0,0,0
0.077044,0,0,0,0,0,0
0.078489,0,0,0,0,0,0
0.079926,0,0,0,0,0,0
0.081358,0,0,0,0,0,0
0.082812,0,0,0,0,0,0
0.084314,0,0,0,0,0,0
0.085754,0,0,0,0,0,0
0.087200,0,0,0,0,0,0
0.092366,0,0,0,0,0,0
0.093813,0,0,0,0,0,0
0.095254,0,0,0,0,0,0
0.096701,0,0,0,0,0,0
0.098141,0,0,0,0,0,0
0.099603,0,0,0,0,0,0
0.101043,0,0,0,0,0,0
0.102488,0,0,0,0,0,0
0.103927,0,0,0,0,0,0
0.105367,0,0,0,0,0,0
0.106826,0,0,0,0,0,0
0.108328,0,0,0,2655,912,0
0.109546,0,0,0,0,0,0
0.110984,0,0,0,0,0,0
0.112410,0,0,0,0,0,0
0.113887,0,0,0,0,0,0
0.115327,0,0,0,0,0,0
0.116770,0,0,0,0,0,0
0.118211,0,0,0,0,0,0
0.119653,0,0,0,0,0,0
0.121093,0,0,0,0,0,0
0.122554,0,0,0,0,0,0
0.124002,0,0,0,0,0,0
0.125444,0,0,0,0,0,0
0.126884,0,0,0,0,0,0
0.128312,0,0,0,0,0,0
0.129753,0,0,0,0,0,0
0.131245,0,0,0,0,0,0
0.132687,0,0,0,0,0,0
0.134134,0,0,0,0,0,0
0.135574,0,0,0,0,0,0
0.137015,0,0,0,0,0,0
0.138481,0,0,0,0,0,0
0.139924,0,0,0,0,0,0
0.141366,0,0,0,0,0,0
0.142807,0,0,0,0,0,0
0.144288,0,0,0,0,0,0
0.145726,0,0,0,0,0,0
0.147252,0,0,0,0,0,0
0.148699,0,0,0,0,210,0
0.150180,0,0,0,9465,4938,0
0.151384,0,0,0,7215,4173,0
0.152588,0,0,0,4155,2280,0
0.153914,0,0,0,0,0,0
0.155249,0,0,0,0,0,0
0.156585,0,0,0,0,0,0
0.157913,0,0,0,0,0,0
0.159239,0,0,0,0,0,0
0.160565,0,0,0,0,0,0
0.161891,0,0,0,0,0,0
0.163237,0,0,0,0,0,0
0.164565,0,0,0,0,0,0
0.165898,0,0,0,0,0,0
0.167195,0,0,0,0,0,0
0.168522,0,0,0,0,0,0
0.169852,0,0,0,0,0,0
0.171244,0,0,0,0,0,0
0.172572,0,0,0,0,0,0
0.173898,0,0,0,0,0,0
0.175203,0,0,0,0,0,0
0.176532,0,0,0,0,0,0
0.177858,0,0,0,0,0,0
0.179257,0,0,0,0,0,0
0.180585,0,0,0,0,0,0
0.181910,0,0,0,0,0,0
0.183235,0,0,0,0,0,0
0.184562,0,0,0,0,0,0
0.185887,0,0,0,0,0,0
0.187228,0,0,0,0,0,0
0.188554,0,0,0,0,0,0
0.189877,0,0,0,0,0,0
0.191207,0,0,0,0,0,0
0.192532,0,0,0,0,0,0
0.193858,0,0,0,0,0,0
0.195242,0,0,0,0,0,0
0.196571,0,0,0,0,0,0
0.197902,0,0,0,0,0,0
0.199202,0,0,0,0,0,0
0.200527,0,0,0,0,0,0
0.201852,0,0,0,0,0,0
0.203218,0,0,0,0,0,0
0.204544,0,0,0,0,0,0
0.205869,0,0,0,0,0,0
0.207194,0,0,0,0,0,0
0.208525,0,0,0,0,0,0
0.209850,0,0,0,0,0,0
0.211253,0,0,0,0,0,0
0.212579,0,0,0,0,0,0
0.213903,0,0,0,0,0,0
0.215198,0,0,0,0,0,0
0.216523,0,0,0,0,0,0
0.217847,0,0,0,0,0,0
0.219254,0,0,0,0,0,0
0.220580,0,0,0,0,0,0
0.221904,0,0,0,0,0,0
0.223215,0,0,0,0,0,0
0.224544,0,0,0,0,0,0
0.225868,0,0,0,0,0,0
0.227208,0,0,0,0,0,0
0.228534,0,0,0,0,0,0
0.229865,0,0,0,0,0,0
0.231200,0,0,0,0,0,0
0.232525,0,0,0,0,0,0
0.233850,0,0,0,0,0,0
0.235250,0,0,0,0,0,0
0.236575,0,0,0,0,0,0
0.237897,0,0,0,0,0,0
0.239194,0,0,0,0,0,0
0.240525,0,0,0,0,0,0
0.241848,0,0,0,0,0,0
0.243226,0,0,0,0,0,0
0.244553,0,0,0,0,0,0
0.245879,0,0,0,0,0,0
0.247200,0,0,0,0,0,0
0.248523,0,0,0,0,0,0
0.249847,0,0,0,0,0,0
0.251198,0,0,0,0,0,0
0.252533,0,0,0,0,0,0
0.253858,0,0,0,0,0,0
0.255200,0,0,0,0,0,0
0.256525,0,0,0,0,0,0
0.257850,0,0,0,0,0,0
0.259247,0,0,0,0,0,0
0.260573,0,0,0,0,0,0
0.261905,0,0,0,0,0,0
0.263195,0,0,0,0,0,0
0.264520,0,0,0,0,0,0
0.265844,0,0,0,0,0,0
0.267221,0,0,0,0,0,0
0.268548,0,0,0,0,0,0
0.269873,0,0,0,0,0,0
0.271230,0,0,0,0,0,0
0.272562,0,0,0,0,0,0
0.273886,0,0,0,0,0,0
0.275226,0,0,0,0,0,0
0.276553,0,0,0,0,0,0
0.277879,0,0,0,0,0,0
0.279203,0,0,0,0,0,0
0.280532,0,0,0,0,0,0
0.281859,0,0,0,0,0,0
0.283248,0,0,0,0,0,0
0.284572,0,0,0,0,0,0
0.285896,0,0,0,0,0,0
0.287196,0,0,0,0,0,0
0.288520,0,0,0,0,0,0
0.289842,0,0,0,0,0,0
0.291230,0,0,0,0,0,0
0.292556,0,0,0,0,0,0
0.293889,0,0,0,0,0,0
0.295198,0,0,0,0,0,0
0.296524,0,0,0,0,0,0
0.297883,0,0,0,0,0,0
0.299257,0,0,0,0,0,0
0.300629,0,0,0,0,0,0
0.302009,0,0,0,0,0,0
0.303383,0,0,0,0,0,0
0.304769,0,0,0,0,0,0
0.306094,0,0,0,0,0,0
0.307439,0,0,0,0,0,0
0.308763,0,0,0,0,0,0
0.310088,0,0,0,0,0,0
0.311414,0,0,0,0,0,0
0.312739,0,0,0,0,0,0
0.314064,0,0,0,0,0,0
0.315418,0,0,0,0,0,0
0.316744,0,0,0,0,0,0
0.318068,0,0,0,0,0,0
0.319394,0,0,0,0,0,0
0.320720,0,0,0,0,0,0
0.322044,0,0,0,0,0,0
0.323370,0,0,0,0,0,0
0.324696,0,0,0,0,0,0
0.326026,0,0,0,0,0,0
0.327352,0,0,0,0,0,0
0.328677,0,0,0,0,0,0
0.330002,0,0,0,0,0,0
0.331328,0,0,0,0,0,0
0.332653,0,0,0,0,0,0
0.333978,0,0,0,0,0,0
0.335304,0,0,0,0,0,0
0.336637,0,0,0,0,0,0
0.337962,0,0,0,0,0,0
0.339289,0,0,0,0,0,0
0.340615,0,0,0,0,0,0
0.341940,0,0,0,0,0,0
0.343265,0,0,0,0,0,0
0.344591,0,0,0,0,0,0
0.345916,0,0,0,0,0,0
0.347247,0,0,0,0,0,0
0.348573,0,0,0,0,0,0
0.349899,0,0,0,0,0,0
0.351197,0,0,0,0,0,0
0.352522,0,0,0,0,0,0
0.353845,0,0,0,0,0,0
0.355245,0,0,0,0,0,0
0.356571,0,0,0,0,0,0
0.357901,0,0,0,0,0,0
0.359201,0,0,0,0,0,0
0.360526,0,0,0,0,0,0
0.361850,0,0,0,0,0,0
0.363249,0,0,0,0,0,0
0.364575,0,0,0,0,0,0
0.365898,0,0,0,0,0,0
0.367203,0,0,0,0,0,0
0.368533,0,0,0,0,0,0
0.369856,0,0,0,0,0,0
0.371281,0,0,0,0,0,0
0.372606,0,0,0,0,0,0
0.373928,0,0,0,0,0,0
0.375252,0,0,0,0,0,0
0.376576,0,0,0,0,0,0
0.377899,0,0,0,0,0,0
0.379243,0,0,0,0,0,0
0.380570,0,0,0,0,0,0
0.381894,0,0,0,0,0,0
0.383195,0,0,0,0,0,0
0.384519,0,0,0,0,0,0
0.385842,0,0,0,0,0,0
0.387278,0,0,0,0,0,0
0.388605,0,0,0,0,0,0
0.389936,0,0,0,0,0,0
0.391261,0,0,0,0,0,0
0.392588,0,0,0,0,0,0
0.393918,0,0,0,0,0,0
0.395245,0,0,0,0,0,0
0.396571,0,0,0,0,0,0
0.397895,0,0,0,0,0,0
0.399196,0,0,0,0,0,0
0.400526,0,0,0,0,0,0
0.401852,0,0,0,0,0,0
0.403221,0,0,0,0,0,0
0.404547,0,0,0,0,0,0
0.405877,0,0,0,0,0,0
0.407200,0,0,0,0,0,0
0.411225,0,0,0,0,0,0
0.412602,0,0,0,0,0,0
0.413926,0,0,0,0,0,0
0.415254,0,0,0,0,0,0
0.416580,0,0,0,0,0,0
0.417904,0,0,0,0,0,0
0.419206,0,0,0,0,0,0
0.420533,0,0,0,0,0,0
0.421858,0,0,0,0,0,0
0.423196,0,0,0,0,0,0
0.424521,0,0,0,0,0,0
0.425845,0,0,0,0,0,0
0.427256,0,0,0,0,0,0
0.428583,0,0,0,0,0,0
0.429909,0,0,0,0,0,0
0.431236,0,0,0,0,0,0
0.432562,0,0,0,0,0,0
0.433893,0,0,0,0,0,0
0.435233,0,0,0,0,0,0
0.436566,0,0,0,0,0,0
0.437892,0,0,0,0,0,0
0.439197,0,0,0,0,0,0
0.440523,0,0,0,0,0,0
0.441848,0,0,0,0,0,0
0.443263,0,0,0,0,0,0
0.444599,0,0,0,0,0,0
0.445926,0,0,0,0,0,0
0.447252,0,0,0,0,0,0
0.448577,0,0,0,0,0,0
0.449904,0,0,0,0,0,0
0.451206,0,0,0,0,0,0
0.452532,0,0,0,0,0,0
0.453874,0,0,0,0,0,0
0.455200,0,0,0,0,0,0
0.456528,0,0,0,0,0,0
0.457856,0,0,0,0,0,0
0.459256,0,0,0,0,0,0
0.460637,0,0,0,0,0,0
0.461965,0,0,0,0,0,0
0.463294,0,0,0,0,0,0
0.464620,0,0,0,0,0,0
0.465952,0,0,0,0,0,0
0.467279,0,0,0,0,0,0
0.468607,0,0,0,0,0,0
0.469934,0,0,0,0,0,0
0.471259,0,0,0,0,0,0
0.472585,0,0,0,0,0,0
0.473910,0,0,0,0,0,0
0.475238,0,0,0,0,0,0
0.476570,0,0,0,0,0,0
0.477895,0,0,0,0,0,0
0.479195,0,0,0,0,0,0
0.480520,0,0,0,0,0,0
0.483200,0,0,0,0,0,0
0.484527,0,0,0,0,0,0
0.485852,0,0,0,0,0,0
0.487198,0,0,0,0,0,0
0.488523,0,0,0,0,0,0
0.489846,0,0,0,0,0,0
0.491245,0,0,0,0,0,0
0.492570,0,0,0,0,0,0
