elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.005786,0,0,0,0
0.012729,0,0,0,0
0.019626,0,0,0,0
0.021097,0,0,0,0
0.028709,0,0,0,0
0.030164,0,0,0,0
0.031610,0,0,0,0
0.033058,0,0,0,0
0.034511,0,0,0,0
0.039557,0,0,0,0
0.041031,0,0,0,0
0.042497,0,0,0,0
0.043885,0,0,0,0
0.045328,0,0,0,0
0.052733,0,0,0,0
0.054186,0,0,0,0
0.055625,0,0,0,0
0.057073,0,0,0,0
0.058513,0,0,0,0
0.067724,0,0,0,0
0.072674,0,0,0,0
0.074113,0,0,0,0
0.075594,0,0,0,0
0.077031,0,0,0,0
0.078469,0,0,0,0
0.079902,0,0,0,0
0.084711,0,0,0,0
0.091591,0,0,0,0
0.093278,0,0,0,0
0.094709,0,0,0,0
0.096138,0,0,0,0
0.103560,0,0,0,0
0.104997,0,0,0,0
0.106425,0,0,0,0
0.111595,0,0,0,0
0.113029,0,0,0,0
0.114458,0,0,0,0
0.115797,0,0,0,0
0.117235,0,0,0,0
0.123590,0,0,0,0
0.125026,0,0,0,0
0.126484,0,0,0,0
0.127931,0,0,0,0
0.135561,0,0,0,0
0.136995,0,0,0,0
0.138451,0,0,117,0
0.139908,0,0,0,0
0.141338,0,0,0,0
0.142766,0,0,0,0
0.144203,0,0,0,0
0.145671,0,0,0,0
0.147142,0,0,0,0
0.148643,0,0,0,0
0.155554,0,0,0,0
0.157010,0,0,0,0
0.158462,0,0,0,0
0.159896,0,0,0,0
0.161331,0,0,0,0
0.162782,0,0,0,0
0.164218,0,0,0,0
0.165662,0,0,0,0
0.167120,0,0,0,0
0.168559,0,0,0,0
0.169988,0,0,0,0
0.175568,0,0,0,0
0.177002,0,0,0,0
0.178434,0,0,765,0
0.179651,0,0,2763,0
0.180856,0,0,2652,0
0.182061,0,0,975,0
0.183385,0,0,0,0
0.184737,0,0,0,0
0.186061,0,0,0,0
0.187381,0,0,0,0
0.188779,0,0,0,0
0.190096,0,0,0,0
0.191413,0,0,0,0
0.199560,0,0,0,0
0.200880,0,0,0,0
0.202196,0,0,0,0
0.203595,0,0,0,0
0.204916,0,0,0,0
0.206243,0,0,0,0
0.211599,0,0,0,0
0.213047,0,0,0,0
