elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.001076,0,0,0,0
0.003621,0,0,0,0
0.010074,0,0,0,0
0.012776,0,0,0,0
0.014209,0,0,0,0
0.015639,0,0,0,0
0.017084,0,0,0,0
0.018526,0,0,0,0
0.019876,0,0,0,0
0.021340,0,0,0,0
0.022778,0,0,0,0
0.024209,0,0,0,0
0.025676,0,0,0,0
0.027174,0,0,0,0
0.028707,0,0,0,0
0.030136,0,0,0,0
0.031592,0,0,0,0
0.033052,0,0,0,0
0.034499,0,0,0,0
0.036015,0,0,0,0
0.037446,0,0,0,0
0.038875,0,0,0,0
0.040313,0,0,0,0
0.041780,0,0,0,0
0.043287,0,0,0,0
0.044762,0,0,0,0
0.046191,0,0,0,0
0.047590,0,0,0,0
0.048952,0,0,0,0
0.050415,0,0,0,0
0.051871,0,0,0,0
0.053309,0,0,0,0
0.054738,0,0,0,0
0.056169,0,0,0,0
0.057623,0,0,0,0
0.059097,0,0,0,0
0.060535,0,0,0,0
0.061965,0,0,0,0
0.063402,0,0,0,0
0.064824,0,0,0,0
0.066273,0,0,0,0
0.067687,0,0,0,0
0.069120,0,0,0,0
0.070546,0,0,0,0
0.071982,0,0,0,0
0.073427,0,0,0,0
0.074889,0,0,0,0
0.076325,0,0,0,0
0.077755,0,0,0,0
0.079182,0,0,0,0
0.080671,0,0,0,0
0.082119,0,0,0,0
0.083647,0,0,0,0
0.085080,0,0,0,0
0.086513,0,0,0,0
0.087947,0,0,0,0
0.089382,0,0,0,0
0.090846,0,0,0,0
0.095439,0,0,0,0
0.099637,0,0,0,0
0.101005,0,0,0,0
0.102459,0,0,0,0
0.103904,0,0,0,0
0.105353,0,0,0,0
0.106814,0,0,0,0
0.108260,0,0,0,0
0.109698,0,0,0,0
0.111156,0,0,0,0
0.112593,0,0,0,0
0.114054,0,0,0,0
0.115512,0,0,0,0
0.116916,0,0,0,0
0.119638,0,0,0,0
0.121001,0,0,0,0
0.122431,0,0,0,0
0.123883,0,0,0,0
0.125335,0,0,0,0
0.126789,0,0,0,0
0.128229,0,0,0,0
0.129668,0,0,0,0
0.131116,0,0,0,0
0.132685,0,0,0,0
0.134671,0,0,0,0
0.136285,0,0,0,0
0.137737,0,0,0,0
0.140877,0,0,0,0
0.142312,0,0,0,0
0.143748,0,0,0,0
0.145209,0,0,0,0
0.146655,0,0,0,0
0.148024,0,0,0,0
0.149454,0,0,0,0
0.150885,0,0,0,0
0.152325,0,0,0,0
0.153783,0,0,0,0
0.155277,0,0,0,0
0.156710,0,0,0,0
0.158139,0,0,0,0
0.159588,0,0,0,0
0.161040,0,0,0,0
0.162487,0,0,0,0
0.163835,0,0,0,0
0.165265,0,0,0,0
0.166693,0,0,0,0
0.168130,0,0,0,0
0.169575,0,0,0,0
0.171050,0,0,0,0
0.172499,0,0,0,0
0.173929,0,0,0,0
0.175358,0,0,0,0
0.176826,0,0,0,0
0.178292,0,0,0,0
0.179737,0,0,0,0
0.184926,0,0,0,0
0.186261,0,0,0,0
0.187627,0,0,0,0
0.188975,0,0,0,0
0.190292,0,0,0,0
0.191591,0,0,0,0
0.192916,0,0,0,0
0.194263,0,0,0,0
0.195640,0,0,0,0
0.196958,0,0,0,0
0.198274,0,0,0,0
0.199592,0,0,0,0
0.200909,0,0,0,0
0.202224,0,0,0,0
0.203559,0,0,0,0
0.204952,0,0,0,0
0.206278,0,0,0,0
0.207588,0,0,0,0
0.208908,0,0,0,0
0.210227,0,0,0,0
0.211629,0,0,0,0
0.212954,0,0,0,0
0.214276,0,0,0,0
0.215589,0,0,0,0
0.216915,0,0,0,0
0.218232,0,0,0,0
0.219627,0,0,0,0
0.221077,0,0,0,0
0.222395,0,0,0,0
0.223838,0,0,0,0
0.225153,0,0,0,0
0.226483,0,0,0,0
0.227833,0,0,0,0
0.229173,0,0,0,0
0.230505,0,0,0,0
0.231832,0,0,0,0
0.233152,0,0,0,0
0.234483,0,0,0,0
0.235835,0,0,0,0
0.237155,0,0,0,0
0.238489,0,0,0,0
0.239822,0,0,0,0
0.241149,0,0,0,0
0.242496,0,0,0,0
0.243871,0,0,0,0
0.245206,0,0,0,0
0.246538,0,0,0,0
0.247890,0,0,0,0
0.249249,0,0,0,0
0.250601,0,0,0,0
0.251986,0,0,0,0
0.253327,0,0,0,0
0.254656,0,0,0,0
0.255996,0,0,0,0
0.257472,0,0,0,0
0.258889,0,0,0,0
0.260218,0,0,0,0
0.261545,0,0,0,0
0.262876,0,0,0,0
0.264199,0,0,0,0
0.265523,0,0,0,0
0.266869,0,0,0,0
0.268197,0,0,0,0
0.269535,0,0,0,0
0.270884,0,0,0,0
0.272204,0,0,0,0
0.273523,0,0,0,0
0.274863,0,0,0,0
0.276183,0,0,0,0
0.277501,0,0,0,0
0.278826,0,0,0,0
0.280163,0,0,0,0
0.281512,0,0,0,0
0.282886,0,0,0,0
0.284207,0,0,0,0
0.285645,0,0,0,0
