elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.001136,0,0,0,0
0.002738,0,0,0,0
0.004374,0,0,0,0
0.005927,0,0,0,0
0.007526,0,0,0,0
0.008970,0,0,0,0
0.010462,0,0,0,0
0.011957,0,0,0,0
0.013503,0,0,0,0
0.015043,0,0,0,0
0.016465,0,0,0,0
0.017915,0,0,0,0
0.019442,0,0,0,0
0.020927,0,0,0,0
0.022401,0,0,0,0
0.023782,0,0,0,0
0.025217,0,0,0,0
0.026561,0,0,0,0
0.027985,0,0,0,0
0.029407,0,0,0,0
0.030878,0,0,0,0
0.032315,0,0,0,0
0.033760,0,0,0,0
0.035181,0,0,0,0
0.036601,0,0,0,0
0.038021,0,0,0,0
0.039505,0,0,0,0
0.040927,0,0,0,0
0.042401,0,0,0,0
0.043827,0,0,0,0
0.045251,0,0,0,0
0.046731,0,0,0,0
0.048171,0,0,0,0
0.049638,0,0,0,0
0.051062,0,0,0,0
0.052494,0,0,0,0
0.053913,0,0,0,0
0.055439,0,0,0,0
0.056861,0,0,0,0
0.058332,0,0,0,0
0.059858,0,0,0,0
0.061317,0,0,0,0
0.062766,0,0,0,0
0.064315,0,0,0,0
0.065841,0,0,0,0
0.067326,0,0,0,0
0.068797,0,0,0,0
0.070269,0,0,0,0
0.071701,0,0,0,0
0.073133,0,0,0,0
0.074649,0,0,0,0
0.076089,0,0,0,0
0.077514,0,0,0,0
0.078996,0,0,0,0
0.080500,0,0,0,0
0.082033,0,0,0,0
0.083759,0,0,0,0
0.085342,0,0,0,0
0.086840,0,0,0,0
0.088358,0,0,0,0
0.089807,0,0,0,0
0.091251,0,0,0,0
0.092840,0,0,0,0
0.093977,0,0,0,0
0.095572,0,0,0,0
0.097066,0,0,0,0
0.098600,0,0,0,0
0.100092,0,0,0,0
0.101592,0,0,0,0
0.103128,0,0,0,0
0.104560,0,0,0,0
0.106007,0,0,0,0
0.107515,0,0,0,0
0.108918,0,0,0,0
0.110307,0,0,0,0
0.111696,0,0,0,0
0.113084,0,0,0,0
0.114471,0,0,0,0
0.115965,0,0,0,0
0.117426,0,0,0,0
0.118910,0,0,0,0
0.120409,0,0,0,0
0.122036,0,0,0,0
0.123354,0,0,0,0
0.124526,0,0,0,0
0.125760,0,0,0,0
0.127252,0,0,0,0
0.128560,0,0,0,0
0.129901,0,0,0,0
0.131297,0,0,0,0
0.132670,0,0,0,0
0.134041,0,0,0,0
0.135639,0,0,0,0
0.137027,0,0,0,0
0.138397,0,0,0,0
0.139762,0,0,0,0
0.141120,0,0,0,0
0.142477,0,0,0,0
0.143833,0,0,0,0
0.145190,0,0,0,0
0.146545,0,0,0,0
0.147909,0,0,0,0
0.149263,0,0,0,0
0.150615,0,0,0,0
0.151967,0,0,0,0
0.153319,0,0,0,0
0.154698,0,0,0,0
0.156050,0,0,0,0
0.157404,0,0,0,0
0.158762,0,0,0,0
0.160115,0,0,0,0
0.161499,0,0,0,0
0.162892,0,0,0,0
0.164287,0,0,0,0
0.165680,0,0,0,0
0.167074,0,0,0,0
0.168469,0,0,0,0
0.169917,0,0,0,0
0.171334,0,0,0,0
0.172751,0,0,0,0
0.174168,0,0,0,0
0.175624,0,0,0,0
0.177048,0,0,0,0
0.178505,0,0,0,0
0.179932,0,0,0,0
0.181349,0,0,0,0
0.182768,0,0,0,0
0.184192,0,0,0,0
0.185656,0,0,0,0
0.187082,0,0,0,0
0.188507,0,0,0,0
0.189940,0,0,0,0
0.191364,0,0,0,0
0.192917,0,0,0,0
0.194549,0,0,0,0
0.196013,0,0,0,0
0.197404,0,0,0,0
0.198823,0,0,0,0
0.200251,0,0,0,0
0.201717,0,0,0,0
0.203138,0,0,0,0
0.204786,0,0,0,0
0.206384,0,0,0,0
0.207982,0,0,0,0
0.209626,0,0,0,0
0.211097,0,0,0,0
0.212665,0,0,0,0
