elapsed_s,TSE_FE_EMPTY_BBOX_KILLED_PRIM,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS
0.001176,0,0,0,0
0.002873,0,0,0,0
0.004388,0,0,0,0
0.005880,0,0,0,0
0.007370,0,0,0,0
0.008910,0,0,0,0
0.010439,0,0,0,0
0.011990,0,0,0,0
0.013490,0,0,0,0
0.015039,0,0,0,0
0.016778,0,0,0,0
0.018249,0,0,0,0
0.019713,0,0,0,0
0.021151,0,0,0,0
0.022587,0,0,0,0
0.024022,0,0,0,0
0.025512,0,0,0,0
0.026988,0,0,0,0
0.028458,0,0,0,0
0.029940,0,0,0,0
0.031413,0,0,0,0
0.032886,0,0,0,0
0.034390,0,0,0,0
0.035830,0,0,0,0
0.037307,0,0,0,0
0.038777,0,0,0,0
0.040277,0,0,0,0
0.041747,0,0,0,0
0.043217,0,0,0,0
0.044687,0,0,0,0
0.046138,0,0,0,0
0.047611,0,0,0,0
0.049087,0,0,0,0
0.050578,0,0,0,0
0.052059,0,0,0,0
0.053540,0,0,0,0
0.055011,0,0,0,0
0.056509,0,0,0,0
0.057982,0,0,0,0
0.059434,0,0,0,0
0.061003,0,0,0,0
0.062493,0,0,0,0
0.063950,0,0,0,0
0.065418,0,0,0,0
0.067054,0,0,0,0
0.068509,0,0,0,0
0.070108,0,0,0,0
0.071670,0,0,0,0
0.073330,0,0,0,0
0.074777,0,0,0,0
0.076203,0,0,0,0
0.077626,0,0,0,0
0.079051,0,0,0,0
0.080504,0,0,0,0
0.081992,0,0,0,0
0.083490,0,0,0,0
0.084988,0,0,0,0
0.086485,0,0,0,0
0.087983,0,0,0,0
0.089587,0,0,0,0
0.091169,0,0,0,0
0.092795,0,0,0,0
0.094538,0,0,0,0
0.096451,0,0,0,0
0.098020,0,0,0,0
0.099556,0,0,0,0
0.101089,0,0,0,0
0.102619,0,0,0,0
0.104248,0,0,0,0
0.105771,0,0,0,0
0.107234,0,0,0,0
0.108691,0,0,0,0
0.110287,0,0,0,0
0.111755,0,0,0,0
0.113219,0,0,0,0
0.114662,0,0,0,0
0.116091,0,0,0,0
0.117520,0,0,0,0
0.118952,0,0,0,0
0.120410,0,0,0,0
0.121847,0,0,0,0
0.123404,0,0,0,0
0.124698,0,0,0,0
0.126588,0,0,0,0
0.127880,0,0,0,0
0.129561,0,0,0,0
0.130961,0,0,0,0
0.132421,0,0,0,0
0.133882,0,0,0,0
0.135345,0,0,0,0
0.136885,0,0,0,0
0.138311,0,0,0,0
0.139770,0,0,0,0
0.141237,0,0,0,0
0.142707,0,0,0,0
0.144235,0,0,0,0
0.145696,0,0,0,0
0.147158,0,0,0,0
0.148635,0,0,0,0
0.151001,0,0,0,0
0.152527,0,0,0,0
0.153999,0,0,0,0
0.155531,0,0,0,0
0.156952,0,0,0,0
0.158335,0,0,0,0
0.159793,0,0,0,0
0.161413,0,0,0,0
0.162933,0,0,0,0
0.164394,0,0,0,0
0.165850,0,0,0,0
0.167303,0,0,0,0
0.168818,0,0,0,0
0.170287,0,0,0,0
0.171742,0,0,0,0
0.173367,0,0,0,0
0.174820,0,0,0,0
0.176325,0,0,0,0
0.177784,0,0,0,0
0.179430,0,0,0,0
0.180912,0,0,0,0
0.182376,0,0,0,0
0.183831,0,0,0,0
0.185340,0,0,0,0
0.186985,0,0,0,0
0.188771,0,0,0,0
0.190535,0,0,0,0
0.192311,0,0,0,0
0.193820,0,0,0,0
0.195452,0,0,0,0
0.197152,0,0,0,0
0.198848,0,0,0,0
0.200437,0,0,0,0
0.201922,0,0,0,0
0.203414,0,0,0,0
0.204872,0,0,0,0
0.206307,0,0,0,0
0.207776,0,0,0,0
0.209245,0,0,0,0
0.210701,0,0,0,0
0.212344,0,0,0,0
0.213878,0,0,0,0
0.215678,0,0,0,0
0.217396,0,0,0,0
0.219038,0,0,0,0
0.220511,0,0,0,0
0.221983,0,0,0,0
0.223452,0,0,0,0
0.224998,0,0,0,0
0.226462,0,0,0,0
0.228114,0,0,0,0
0.229671,0,0,0,0
0.231342,0,0,0,0
0.233057,0,0,0,0
0.234768,0,0,0,0
0.236495,0,0,0,0
0.238205,0,0,0,0
0.239917,0,0,0,0
0.241496,0,0,0,0
0.243017,0,0,0,0
0.244685,0,0,0,0
0.246402,0,0,0,0
0.248127,0,0,0,0
0.249648,0,0,0,0
