elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
0.001290,0,0,0,0
0.002872,0,0,0,0
0.004376,0,0,0,0
0.005867,0,0,0,0
0.007356,0,0,0,0
0.008813,0,0,0,0
0.010468,0,0,0,0
0.011967,0,0,0,0
0.013513,0,0,0,0
0.014986,0,0,0,0
0.016445,0,0,0,0
0.017890,0,0,0,0
0.019336,0,0,0,0
0.020793,0,0,0,0
0.022261,0,0,0,0
0.023777,0,0,0,0
0.025392,0,0,0,0
0.026912,0,0,0,0
0.028414,0,0,0,0
0.029929,0,0,0,0
0.031361,0,0,0,0
0.032805,0,0,0,0
0.034281,0,0,0,0
0.035703,0,0,0,0
0.037125,0,0,0,0
0.038582,0,0,0,0
0.040003,0,0,0,0
0.041455,0,0,0,0
0.042878,0,0,0,0
0.044301,0,0,0,0
0.045725,0,0,0,0
0.047148,0,0,0,0
0.048594,0,0,0,0
0.050064,0,0,0,0
0.051497,0,0,0,0
0.052915,0,0,0,0
0.054286,0,0,0,0
0.055723,0,0,0,0
0.057145,0,0,0,0
0.058616,0,0,0,0
0.060159,0,0,0,0
0.061678,0,0,0,0
0.063200,0,0,0,0
0.064949,0,0,0,0
0.066550,0,0,0,0
0.067985,0,0,0,0
0.069464,0,0,0,0
0.070961,0,0,0,0
0.072517,0,0,0,0
0.074010,0,0,0,0
0.075571,0,0,0,0
0.077057,0,0,0,0
0.078554,0,0,0,0
0.080078,0,0,0,0
0.081540,0,0,0,0
0.083045,0,0,0,0
0.084543,0,0,0,0
0.086086,0,0,0,0
0.087503,0,0,0,0
0.089121,0,0,0,0
0.090957,0,0,0,0
0.092439,0,0,0,0
0.094047,105,105,96,0
0.095610,0,0,0,0
0.097152,0,0,0,0
0.098661,0,0,0,0
0.100167,0,0,0,0
0.101666,0,0,0,0
0.103098,0,0,0,0
0.104569,0,0,0,0
0.106040,0,0,0,0
0.107460,0,0,0,0
0.108880,0,0,0,0
0.110339,0,0,0,0
0.111765,0,0,0,0
0.113236,0,0,0,0
0.114665,0,0,0,0
0.116086,0,0,0,0
0.117558,0,0,0,0
0.119050,0,0,0,0
0.120576,0,0,0,0
0.122118,0,0,0,0
0.123652,441,441,462,0
0.127699,756,756,1080,0
0.128851,756,756,1155,0
0.129998,546,546,645,0
0.131410,0,0,0,0
0.132811,0,0,0,0
0.134190,0,0,0,0
0.135568,0,0,0,0
0.136982,0,0,0,0
0.138443,0,0,0,0
0.139821,0,0,0,0
0.141227,0,0,0,0
0.142666,0,0,0,0
0.144052,0,0,0,0
0.145475,0,0,0,0
0.146939,0,0,0,0
0.148309,0,0,0,0
0.149975,0,0,0,0
0.151345,0,0,0,0
0.152747,0,0,0,0
0.154110,0,0,0,0
0.155471,0,0,0,0
0.156832,0,0,0,0
0.158290,0,0,0,0
0.159622,0,0,0,0
0.160994,0,0,0,0
0.162317,0,0,0,0
0.163690,0,0,0,0
0.165058,0,0,0,0
0.166458,0,0,0,0
0.167818,0,0,0,0
0.169255,0,0,0,0
0.170622,0,0,0,0
0.172045,0,0,0,0
0.173670,0,0,0,0
0.175889,0,0,0,0
0.177417,0,0,0,0
0.178853,0,0,0,0
0.180233,0,0,0,0
0.181612,0,0,0,0
0.183000,0,0,0,0
0.184393,0,0,0,0
0.185855,0,0,0,0
0.187326,0,0,0,0
0.188791,0,0,0,0
0.190380,0,0,0,0
0.191846,0,0,0,0
0.193332,0,0,0,0
0.194802,0,0,0,0
0.196269,0,0,0,0
0.197741,0,0,0,0
0.199208,0,0,0,0
0.200730,0,0,0,0
0.202392,0,0,0,0
0.204121,0,0,0,0
0.205694,0,0,0,0
0.207348,0,0,0,0
0.208892,0,0,0,0
0.210371,0,0,0,0
0.211842,0,0,0,0
0.213314,0,0,0,0
0.214798,0,0,0,0
0.216522,0,0,0,0
0.218233,0,0,0,0
0.219944,0,0,0,0
0.221656,0,0,0,0
0.223351,0,0,0,0
0.225125,0,0,0,0
0.226968,0,0,0,0
0.228505,0,0,0,0
0.229982,0,0,0,0
0.231452,0,0,0,0
0.232984,0,0,0,0
0.234459,0,0,0,0
0.235943,0,0,0,0
0.237606,0,0,0,0
0.239316,0,0,0,0
0.241083,0,0,0,0
0.242600,0,0,0,0
0.244264,0,0,0,0
0.245975,0,0,0,0
0.247703,0,0,0,0
0.249418,0,0,0,0
0.251131,0,0,0,0
0.252837,0,0,0,0
0.254365,0,0,0,0
0.256030,0,0,0,0
0.257642,0,0,0,0
0.259312,0,0,0,0
0.261018,0,0,0,0
0.262722,0,0,0,0
0.264478,0,0,0,0
0.265993,0,0,0,0
0.267486,0,0,0,0
0.269239,0,0,0,0
0.270961,0,0,0,0
0.272733,0,0,0,0
0.274571,0,0,0,0
0.276279,0,0,0,0
0.277992,0,0,0,0
0.279719,0,0,0,0
0.281433,0,0,0,0
0.283142,0,0,0,0
0.284845,0,0,0,0
0.286550,0,0,0,0
0.288237,0,0,0,0
0.289767,0,0,0,0
0.291430,0,0,0,0
0.293214,0,0,0,0
0.294913,0,0,0,0
0.296679,0,0,0,0
0.298386,0,0,0,0
0.299926,0,0,0,0
0.301595,0,0,0,0
0.303301,0,0,0,0
0.305071,0,0,0,0
0.306724,0,0,0,0
0.308484,0,0,0,0
0.310517,0,0,0,0
0.311984,0,0,0,0
0.313502,0,0,0,0
0.315148,0,0,0,0
0.316836,0,0,0,0
0.318488,0,0,0,0
0.319964,0,0,0,0
0.321520,0,0,0,0
0.322983,0,0,0,0
0.324441,0,0,0,0
0.326070,0,0,0,0
0.327573,0,0,0,0
0.329366,0,0,0,0
0.331103,0,0,0,0
0.332639,0,0,0,0
0.334304,0,0,0,0
0.336011,0,0,0,0
0.337785,0,0,0,0
0.339493,0,0,0,0
0.341200,0,0,0,0
0.342859,0,0,0,0
0.344603,0,0,0,0
0.346130,0,0,0,0
0.347799,0,0,0,0
0.349508,0,0,0,0
0.351217,0,0,0,0
0.353005,0,0,0,0
0.354719,0,0,0,0
0.356423,0,0,0,0
0.357954,0,0,0,0
0.359618,0,0,0,0
0.361329,0,0,0,0
0.362998,0,0,0,0
0.364478,0,0,0,0
0.366144,0,0,0,0
0.367853,0,0,0,0
0.369567,0,0,0,0
0.371277,0,0,0,0
0.372982,0,0,0,0
0.374540,0,0,0,0
0.376442,0,0,0,0
0.378233,0,0,0,0
0.380024,0,0,0,0
0.381819,0,0,0,0
0.383594,0,0,0,0
0.385319,0,0,0,0
0.386913,0,0,0,0
0.388482,0,0,0,0
0.390134,0,0,0,0
0.391929,0,0,0,0
0.393801,0,0,0,0
0.395611,0,0,0,0
0.397405,0,0,0,0
0.399194,0,0,0,0
0.401063,0,0,0,0
0.402863,0,0,0,0
0.404610,0,0,0,0
