elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.001378,6084,0,0,0
0.003034,6369,0,0,0
0.004557,5772,0,0,0
0.006085,6189,0,0,0
0.007725,5967,0,0,0
0.009619,6216,0,0,0
0.011132,5760,0,0,0
0.012836,6309,0,0,0
0.014444,5877,0,0,0
0.015937,5508,0,0,0
0.017453,5925,0,0,0
0.019012,6126,0,0,0
0.020602,5505,0,0,0
0.022149,5808,0,0,0
0.023624,5448,0,0,0
0.025175,5613,0,0,0
0.026728,5832,0,0,0
0.028298,5289,0,0,0
0.029850,5532,0,0,0
0.031455,5043,0,0,0
0.032925,5133,0,0,0
0.034394,5055,0,0,0
0.035864,5124,0,0,0
0.037336,5145,0,0,0
0.038828,5004,0,0,0
0.040340,4953,0,0,0
0.041819,5289,0,0,0
0.043292,4986,0,0,0
0.044765,5286,0,0,0
0.046261,4872,0,0,0
0.047733,5169,0,0,0
0.049209,4929,0,0,0
0.050679,5193,0,0,0
0.052186,4908,0,0,0
0.053657,4959,0,0,0
0.055132,5121,0,0,0
0.056505,5058,0,0,0
0.057975,5487,0,0,0
0.059446,4959,0,0,0
0.060918,4956,0,0,0
0.062418,4908,0,0,0
0.063891,4956,0,0,0
0.065365,4989,0,0,0
0.066836,4932,0,0,0
0.068248,5439,0,0,0
0.069746,4989,0,0,0
0.071221,5313,0,0,0
0.072645,5298,0,0,0
0.074147,5631,0,0,0
0.075646,5556,0,0,0
0.077243,5973,0,0,0
0.078869,5985,0,0,0
0.080477,6222,0,0,0
0.081995,5937,0,0,0
0.083502,5526,0,0,0
0.084997,6171,0,0,0
0.086532,5769,0,0,0
0.088076,5694,0,0,0
0.089569,5649,0,0,0
0.091132,6246,0,0,0
0.092615,6207,0,0,0
0.094136,6300,0,0,0
0.095849,8343,0,0,0
0.097232,6690,0,0,0
0.098749,5598,0,0,0
0.100269,5454,0,0,0
0.101795,5718,0,0,0
0.103374,4659,0,0,0
0.104772,4701,0,0,0
0.106160,4692,0,0,0
0.107547,4767,0,0,0
0.108937,4974,0,0,0
0.110342,4866,0,0,0
0.111776,4896,0,0,0
0.113206,5661,0,0,0
0.114629,5205,0,0,0
0.116058,5133,0,0,0
0.117482,5400,0,0,0
0.118929,5640,0,0,0
0.120413,6279,0,0,0
0.121867,6138,0,0,0
0.123433,23289,0,0,0
0.125970,3969,0,0,0
0.127095,3852,0,0,0
0.128301,17496,0,0,0
0.129643,14481,0,0,0
0.130956,12042,0,0,0
0.132276,12426,0,0,0
0.133585,12732,0,0,0
0.134906,12987,0,0,0
0.136307,12522,0,0,0
0.137675,13245,0,0,0
0.139041,13464,0,0,0
0.140437,13938,0,0,0
0.141799,12249,0,0,0
0.143244,13158,0,0,0
0.144570,12918,0,0,0
0.145879,12534,0,0,0
0.147186,12402,0,0,0
0.148492,13080,0,0,0
0.149800,12213,0,0,0
0.151131,12234,0,0,0
0.152435,11994,0,0,0
0.153740,14031,0,0,0
0.155155,14199,0,0,0
0.156581,14130,0,0,0
0.158006,13992,0,0,0
0.159571,14088,0,0,0
0.160970,14172,0,0,0
0.162372,14511,0,0,0
0.163944,12801,0,0,0
0.165409,12564,0,0,0
0.166852,12717,0,0,0
0.168462,13872,0,0,0
0.169921,14793,0,0,0
0.171431,12765,0,0,0
0.172846,14514,0,0,0
0.174357,14424,0,0,0
0.175814,14484,0,0,0
0.177272,14448,0,0,0
0.178730,14445,0,0,0
0.180375,14613,0,0,0
0.181914,14148,0,0,0
0.183445,14505,0,0,0
0.185099,14520,0,0,0
0.186806,14391,0,0,0
0.188520,14319,0,0,0
0.190224,14628,0,0,0
0.191737,14283,0,0,0
0.193228,14520,0,0,0
0.194909,14523,0,0,0
0.196626,14550,0,0,0
0.198399,14541,0,0,0
0.200110,13863,0,0,0
0.201819,14523,0,0,0
0.203530,14448,0,0,0
