elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_11_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_12_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_13_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_14_WORKING_CC_L2
0.001146,0,0,0,0
0.004281,0,0,0,0
0.005898,0,0,0,0
0.007426,0,0,0,0
0.009312,0,0,0,0
0.010971,0,0,0,0
0.012527,0,0,0,0
0.014066,0,0,0,0
0.015561,0,0,0,0
0.017130,0,0,0,0
0.018671,0,0,0,0
0.020219,0,0,0,0
0.021690,0,0,0,0
0.023244,0,0,0,0
0.024797,0,0,0,0
0.026407,0,0,0,0
0.027959,0,0,0,0
0.029551,0,0,0,0
0.031032,0,0,0,0
0.032503,0,0,0,0
0.033969,0,0,0,0
0.035453,0,0,0,0
0.036945,0,0,0,0
0.038519,0,0,0,0
0.039945,0,0,0,0
0.041388,0,0,0,0
0.042866,0,0,0,0
0.044285,0,0,0,0
0.045760,0,0,0,0
0.047197,0,0,0,0
0.048630,0,0,0,0
0.050060,0,0,0,0
0.051507,0,0,0,0
0.052990,0,0,0,0
0.054443,0,0,0,0
0.055937,0,0,0,0
0.058687,0,0,0,0
0.060154,0,0,0,0
0.061793,0,0,0,0
0.063255,0,0,0,0
0.064698,0,0,0,0
0.066141,0,0,0,0
0.067576,0,0,0,0
0.069058,0,0,0,0
0.073408,0,0,0,0
0.074897,0,0,0,0
0.076592,0,0,0,0
0.078076,0,0,0,0
0.079460,0,0,0,0
0.080835,0,0,0,0
0.082210,0,0,0,0
0.083588,0,0,0,0
0.085008,0,0,0,0
0.086522,0,0,0,0
0.087953,0,0,0,0
0.089380,0,0,0,0
0.090865,0,0,0,0
0.092428,0,0,0,0
0.093881,0,0,0,0
0.095155,0,0,0,0
0.096431,0,0,0,0
0.097882,0,0,0,0
0.099310,0,0,0,0
0.100801,0,0,0,0
0.102227,0,0,0,0
0.103654,0,0,0,0
0.105078,0,0,0,0
0.106563,0,0,0,0
0.108004,0,0,0,0
0.109439,0,0,0,0
0.110861,0,0,0,0
0.112286,0,0,0,0
0.113707,0,0,0,0
0.115125,0,0,0,0
0.116650,0,0,0,0
0.118082,0,0,0,0
0.119500,0,0,0,0
0.120915,0,0,0,0
0.122436,0,0,0,0
0.123854,0,0,0,0
0.125515,0,0,0,0
0.126938,0,0,0,0
0.128366,0,0,0,0
0.129786,0,0,0,0
0.131207,0,0,0,0
0.132686,0,0,0,0
0.134140,0,0,0,0
0.135559,0,0,0,0
0.136978,0,0,0,0
0.138476,0,0,0,0
0.139897,0,0,0,0
0.141453,0,0,0,0
0.142828,0,0,0,0
0.144426,0,0,0,0
0.145908,0,0,0,0
0.147665,0,0,0,0
0.149581,0,0,0,0
0.151102,0,0,0,0
0.152757,0,0,0,0
0.154229,0,0,0,0
0.155847,0,0,0,0
0.157510,0,0,0,0
0.159171,0,0,0,0
0.160670,0,0,0,0
0.162292,0,0,0,0
0.163951,0,0,0,0
0.165614,0,0,0,0
0.167276,0,0,0,0
0.168933,0,0,0,0
0.170618,0,0,0,0
0.172136,0,0,0,0
0.173637,0,0,0,0
0.175143,0,0,0,0
0.176564,0,0,0,0
0.177987,0,0,0,0
0.179412,0,0,0,0
0.181164,0,0,0,0
0.182576,0,0,0,0
0.184194,0,0,0,0
0.185858,0,0,0,0
0.187518,0,0,0,0
0.189368,0,0,0,0
0.190990,0,0,0,0
0.192428,0,0,0,0
0.194054,0,0,0,0
0.195702,0,0,0,0
0.197437,0,0,0,0
0.198995,0,0,0,0
0.200445,0,0,0,0
0.201879,0,0,0,0
0.203302,0,0,0,0
0.204797,0,0,0,0
0.206221,0,0,0,0
0.207805,0,0,0,0
0.209465,0,0,0,0
0.210966,0,0,0,0
0.212679,0,0,0,0
0.215249,0,0,0,0
0.216784,0,0,0,0
0.218447,0,0,0,0
0.220107,0,0,0,0
0.221829,0,0,0,0
0.223371,0,0,0,0
0.224809,0,0,0,0
0.226244,0,0,0,0
0.227693,0,0,0,0
0.229181,0,0,0,0
0.230608,0,0,0,0
0.232109,0,0,0,0
0.233722,0,0,0,0
0.235384,0,0,0,0
0.237101,0,0,0,0
0.238786,0,0,0,0
0.240445,0,0,0,0
0.242108,0,0,0,0
0.243769,0,0,0,0
0.245434,0,0,0,0
0.247096,0,0,0,0
0.248755,0,0,0,0
0.250250,0,0,0,0
0.251870,0,0,0,0
0.253533,0,0,0,0
0.255192,0,0,0,0
0.256848,0,0,0,0
0.258629,0,0,0,0
0.260288,0,0,0,0
0.262032,0,0,0,0
0.263692,0,0,0,0
0.265355,0,0,0,0
0.267028,0,0,0,0
0.269099,0,0,0,0
0.270616,0,0,0,0
0.272057,0,0,0,0
0.273664,0,0,0,0
0.275265,0,0,0,0
0.276972,0,0,0,0
0.278730,0,0,0,0
0.280390,0,0,0,0
0.282053,0,0,0,0
0.283733,0,0,0,0
0.285398,0,0,0,0
0.287058,0,0,0,0
0.288717,0,0,0,0
0.290377,0,0,0,0
0.292039,0,0,0,0
0.293780,0,0,0,0
0.295440,0,0,0,0
0.297097,0,0,0,0
0.298764,0,0,0,0
0.300480,0,0,0,0
0.301994,0,0,0,0
0.303648,0,0,0,0
0.305327,0,0,0,0
0.306987,0,0,0,0
0.308703,0,0,0,0
0.310365,0,0,0,0
0.312027,0,0,0,0
0.313689,0,0,0,0
0.315368,0,0,0,0
0.317085,0,0,0,0
0.318751,0,0,0,0
0.320409,0,0,0,0
0.322071,0,0,0,0
0.323729,0,0,0,0
0.325229,0,0,0,0
0.326844,0,0,0,0
0.328492,0,0,0,0
0.329973,0,0,0,0
0.331638,0,0,0,0
0.333348,0,0,0,0
0.335056,0,0,0,0
0.336732,0,0,0,0
0.338393,0,0,0,0
0.340055,0,0,0,0
0.341782,0,0,0,0
0.343446,0,0,0,0
0.345106,0,0,0,0
0.346617,0,0,0,0
0.348226,0,0,0,0
0.349961,0,0,0,0
0.351627,0,0,0,0
0.353294,0,0,0,0
0.354961,0,0,0,0
0.356680,0,0,0,0
0.358181,0,0,0,0
0.359806,0,0,0,0
0.361473,0,0,0,0
0.363136,0,0,0,0
0.364856,0,0,0,0
0.366646,0,0,0,0
0.368307,0,0,0,0
0.369990,0,0,0,0
0.371656,0,0,0,0
0.373325,0,0,0,0
0.374992,0,0,0,0
0.376655,0,0,0,0
0.378319,0,0,0,0
0.380002,0,0,0,0
0.381668,0,0,0,0
0.383334,0,0,0,0
0.384996,0,0,0,0
0.386724,0,0,0,0
0.388429,0,0,0,0
0.389945,0,0,0,0
0.391424,0,0,0,0
0.393039,0,0,0,0
0.394472,0,0,0,0
0.395913,0,0,0,0
0.397535,0,0,0,0
0.399200,0,0,0,0
0.400882,0,0,0,0
0.402677,0,0,0,0
0.404322,0,0,0,0
0.405798,0,0,0,0
0.407418,0,0,0,0
0.409078,0,0,0,0
0.410747,0,0,0,0
0.412485,0,0,0,0
0.414150,0,0,0,0
0.415812,0,0,0,0
0.418404,0,0,0,0
0.419898,0,0,0,0
0.421362,0,0,0,0
0.422816,0,0,0,0
0.424249,0,0,0,0
0.425682,0,0,0,0
0.427112,0,0,0,0
0.428596,0,0,0,0
0.430283,0,0,0,0
0.431962,0,0,0,0
0.433490,0,0,0,0
0.434942,0,0,0,0
0.436614,0,0,0,0
0.438086,0,0,0,0
0.439693,0,0,0,0
0.441520,0,0,0,0
0.443168,0,0,0,0
0.444889,0,0,0,0
0.446718,0,0,0,0
0.448365,0,0,0,0
0.449843,0,0,0,0
0.451488,0,0,0,0
0.453203,0,0,0,0
0.455039,0,0,0,0
0.456698,0,0,0,0
0.458358,0,0,0,0
0.460020,0,0,0,0
0.461743,0,0,0,0
0.463406,0,0,0,0
0.465082,0,0,0,0
0.466752,0,0,0,0
0.468468,0,0,0,0
0.470131,0,0,0,0
0.471793,0,0,0,0
0.473458,0,0,0,0
0.475140,0,0,0,0
0.476857,0,0,0,0
0.478462,0,0,0,0
0.480081,0,0,0,0
0.481745,0,0,0,0
0.483407,0,0,0,0
0.485124,0,0,0,0
0.486814,0,0,0,0
0.488475,0,0,0,0
0.490134,0,0,0,0
0.491797,0,0,0,0
0.493463,0,0,0,0
