elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.001695,0,1597,339254,154,0,0,0,0,0,0,77,0,0,0
0.003276,0,1605,340845,135,0,0,0,0,0,0,76,0,0,0
0.004729,0,1606,381245,135,0,0,0,0,0,0,79,0,0,0
0.006306,0,1643,366837,134,0,0,0,0,0,0,76,0,0,0
0.007765,0,1666,365595,135,0,0,0,0,0,0,76,0,0,0
0.009337,0,1636,393745,135,0,0,0,0,0,0,76,0,0,0
0.010795,0,1701,372659,135,0,0,0,0,0,0,77,0,0,0
0.012202,0,1714,371159,134,0,0,0,0,0,0,79,0,0,0
0.013605,0,1781,369492,136,0,0,0,0,0,0,79,0,0,0
0.015006,0,1599,370325,136,0,0,0,0,0,0,77,0,0,0
0.016403,0,1595,369301,136,0,0,0,0,0,0,75,0,0,0
0.017872,0,1602,367654,137,0,0,0,0,0,0,78,0,0,0
0.019266,0,1603,365448,134,0,0,0,0,0,0,76,0,0,0
0.020660,0,1593,369957,136,0,0,0,0,0,0,76,0,0,0
0.022119,0,1608,372464,135,0,0,0,0,0,0,79,0,0,0
0.023575,0,1603,368443,135,0,0,0,0,0,0,75,0,0,0
0.025021,0,1604,384065,135,0,0,0,0,0,0,78,0,0,0
0.026484,0,1605,365970,134,0,0,0,0,0,0,77,0,0,0
0.027939,0,1596,366366,135,0,0,0,0,0,0,78,0,0,0
0.029404,0,1602,393052,135,0,0,0,0,0,0,76,0,0,0
0.030901,0,1738,402872,135,0,0,0,0,0,0,76,0,0,0
0.032869,0,1604,630564,134,0,0,0,0,0,0,77,0,0,0
0.034468,0,1603,368654,135,0,0,0,0,0,0,76,0,0,0
0.035932,0,1653,367583,136,0,0,0,0,0,0,77,0,0,0
0.037369,0,1615,355671,134,0,0,0,0,0,0,77,0,0,0
0.038792,0,1606,351340,134,0,0,0,0,0,0,79,0,0,0
0.040201,0,1728,358363,135,0,0,0,0,0,0,79,0,0,0
0.041620,0,1603,354303,136,0,0,0,0,0,0,78,0,0,0
0.043033,0,1716,351521,134,0,0,0,0,0,0,76,0,0,0
0.044443,0,1598,350233,135,0,0,0,0,0,0,77,0,0,0
0.045852,0,1613,353025,135,0,0,0,0,0,0,78,0,0,0
0.047264,0,1602,352553,134,0,0,0,0,0,0,79,0,0,0
0.048673,0,1745,351964,136,0,0,0,0,0,0,76,0,0,0
0.050091,0,1600,352019,137,0,0,0,0,0,0,77,0,0,0
0.051509,0,1602,357793,135,0,0,0,0,0,0,79,0,0,0
0.052922,0,1609,369622,135,0,0,0,0,0,0,78,0,0,0
0.054334,0,1757,326919,134,0,0,0,0,0,0,76,0,0,0
0.055689,0,1616,323210,136,0,0,0,0,0,0,76,0,0,0
0.057043,0,1627,402124,136,0,0,0,0,0,0,79,0,0,0
0.058450,0,1604,328115,136,0,0,0,0,0,0,76,0,0,0
0.059766,0,1631,327200,139,0,0,0,0,0,0,79,0,0,0
0.061079,0,1599,324783,135,0,0,0,0,0,0,79,0,0,0
0.062386,0,1599,323437,136,0,0,0,0,0,0,77,0,0,0
0.063692,0,1599,324362,134,0,0,0,0,0,0,77,0,0,0
0.064998,0,1670,345914,137,0,0,0,0,0,0,77,0,0,0
0.066374,0,1573,360092,132,0,0,0,0,0,0,77,0,0,0
0.067680,0,1572,324635,131,0,0,0,0,0,0,78,0,0,0
0.068987,0,1589,347440,132,0,0,0,0,0,0,76,0,0,0
0.070328,0,1577,330050,133,0,0,0,0,0,0,79,0,0,0
0.071665,0,1561,326170,131,0,0,0,0,0,0,78,0,0,0
0.072973,0,1782,340881,131,0,0,0,0,0,0,76,0,0,0
0.074362,0,1560,332079,131,0,0,0,0,0,0,79,0,0,0
0.075724,0,1589,324423,132,0,0,0,0,0,0,76,0,0,0
0.077080,0,1578,323151,135,0,0,0,0,0,0,78,0,0,0
0.078433,0,1560,323304,131,0,0,0,0,0,0,78,0,0,0
0.079788,0,1613,324298,132,0,0,0,0,0,0,77,0,0,0
0.081135,0,1606,324196,131,0,0,0,0,0,0,76,0,0,0
0.082494,0,1599,326400,135,0,0,0,0,0,0,75,0,0,0
0.083862,0,1604,329611,136,0,0,0,0,0,0,76,0,0,0
0.085217,0,1593,323407,135,0,0,0,0,0,0,78,0,0,0
0.086573,0,1603,323604,135,0,0,0,0,0,0,79,0,0,0
0.087935,0,1676,327203,136,0,0,0,0,0,0,77,0,0,0
0.089294,0,1608,326202,136,0,0,0,0,0,0,76,0,0,0
0.090674,1,37408,658236,272,265,0,0,0,0,1675,7445,0,0,0
0.091920,0,1751,325119,1,0,0,0,0,0,0,79,0,0,0
0.093279,0,1615,322624,135,0,0,0,0,0,0,77,0,0,0
0.094639,0,1639,324104,135,0,0,0,0,0,0,79,0,0,0
0.095994,0,1611,323114,135,0,0,0,0,0,0,75,0,0,0
0.097357,0,1604,323715,135,0,0,0,0,0,0,79,0,0,0
0.098711,0,1599,323246,135,0,0,0,0,0,0,78,0,0,0
0.100065,0,1685,321488,135,0,0,0,0,0,0,76,0,0,0
0.101420,0,1622,324147,134,0,0,0,0,0,0,76,0,0,0
0.102774,0,1661,322591,135,0,0,0,0,0,0,78,0,0,0
0.104133,0,1645,322988,136,0,0,0,0,0,0,78,0,0,0
0.105486,0,1643,322168,136,0,0,0,0,0,0,76,0,0,0
0.106841,0,1724,323985,135,0,0,0,0,0,0,77,0,0,0
0.108195,0,18531,320716,136,8,185,53,0,0,0,110,0,0,0
0.109427,0,2720,490058,372,0,0,0,0,0,171,119,0,0,0
0.110888,0,1785,529536,138,0,0,0,0,0,0,90,0,0,0
0.112346,0,2003,525868,137,0,0,0,0,0,0,88,0,0,0
0.113805,0,1661,524258,139,0,0,0,0,0,0,86,0,0,0
0.115267,0,1780,496416,133,0,0,0,0,0,0,87,0,0,0
0.116726,0,1690,502297,134,0,0,0,0,0,0,87,0,0,0
0.118235,0,1680,546603,132,0,0,0,0,0,0,86,0,0,0
0.119694,0,1592,504704,132,0,0,0,0,0,0,86,0,0,0
0.121154,0,1668,503072,133,0,0,0,0,0,0,86,0,0,0
0.122625,0,1747,403853,133,0,0,0,0,0,0,83,0,0,0
0.123982,0,1584,502499,193,0,0,0,0,0,0,87,0,0,0
0.125446,0,1632,503703,133,0,0,0,0,0,0,86,0,0,0
