elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.001121,0,0,0,0,0,0,0,0,0,0,265159,264831,0,0
0.002792,0,0,0,0,0,0,0,0,0,0,267932,267645,0,0
0.004432,0,0,0,0,0,0,0,0,0,0,266134,265871,0,0
0.006070,0,0,0,0,0,0,0,0,0,0,266210,266012,0,0
0.007705,0,0,0,0,0,0,0,0,0,0,249493,249247,0,0
0.009325,0,0,0,0,0,0,0,0,0,0,265413,265071,0,0
0.010960,0,0,0,0,0,0,0,0,0,0,266173,265802,0,0
0.012597,0,0,0,0,0,0,0,0,0,0,266441,266011,0,0
0.014232,0,0,0,0,0,0,0,0,0,0,266425,266049,0,0
0.015959,0,0,0,0,0,0,0,0,0,0,304540,304325,0,0
0.017687,0,0,0,0,0,0,0,0,0,0,286671,282737,0,0
0.019384,0,0,0,0,0,0,0,0,0,0,301174,304378,0,0
0.021109,0,0,0,0,0,0,0,0,0,0,274616,274155,0,0
0.022707,0,0,0,0,0,0,0,0,0,0,267537,267148,0,0
0.024304,0,0,0,0,0,0,0,0,0,0,267833,267418,0,0
0.025899,0,0,0,0,0,0,0,0,0,0,267837,267421,0,0
0.027494,0,0,0,0,0,0,0,0,0,0,300803,301667,0,0
0.029189,0,0,0,0,0,0,0,0,0,0,267822,266279,0,0
0.030852,0,0,0,0,0,0,0,0,0,0,266453,266276,0,0
0.032490,0,0,0,0,0,0,0,0,0,0,261759,261296,0,0
0.034125,0,0,0,0,0,0,0,0,0,0,266557,266204,0,0
0.035760,0,0,0,0,0,0,0,0,0,0,265543,265165,0,0
0.037393,0,0,0,0,0,0,0,0,0,0,265159,264767,0,0
0.039026,0,0,0,0,0,0,0,0,0,0,266241,265850,0,0
0.040658,0,0,0,0,0,0,0,0,0,0,260556,260162,0,0
0.042304,0,0,0,0,0,0,0,0,0,0,264770,264555,0,0
0.044027,0,0,0,0,0,0,0,0,0,0,275711,275303,0,0
0.045672,0,0,0,0,0,0,0,0,0,0,257213,256810,0,0
0.047279,0,0,0,0,0,0,0,0,0,0,258236,257832,0,0
0.048887,0,0,0,0,0,0,0,0,0,0,257815,257557,0,0
0.050494,0,0,0,0,0,0,0,0,0,0,258403,258045,0,0
0.052426,0,0,0,0,0,0,0,0,0,0,258287,258025,0,0
0.054043,0,0,0,0,0,0,0,0,0,0,257683,257280,0,0
0.055649,0,0,0,0,0,0,0,0,0,0,305649,305265,0,0
0.057367,0,0,0,0,0,0,0,0,0,0,259167,258887,0,0
0.058977,0,0,0,0,0,0,0,0,0,0,258595,258348,0,0
0.060574,0,0,0,0,0,0,0,0,0,0,240273,239731,0,0
0.062126,0,0,0,0,0,0,0,0,0,0,242401,241997,0,0
0.063679,0,0,0,0,0,0,0,0,0,0,322539,319996,0,0
0.065353,0,0,0,0,0,0,0,0,0,0,197708,196989,0,0
0.066744,0,0,0,0,0,0,0,0,0,0,249378,249166,0,0
0.068234,0,0,0,0,0,0,0,0,0,0,245007,244838,0,0
0.069723,0,0,0,0,0,0,0,0,0,0,245336,245160,0,0
0.071211,0,0,0,0,0,0,0,0,0,0,245338,245137,0,0
0.072700,0,0,0,0,0,0,0,0,0,0,245233,245054,0,0
0.074196,0,0,0,0,0,0,0,0,0,0,245167,244953,0,0
0.075689,0,0,0,0,0,0,0,0,0,0,207865,207701,0,0
0.077090,0,0,0,0,0,0,0,0,0,0,246227,246089,0,0
0.078585,0,0,0,0,0,0,0,0,0,0,245270,245087,0,0
0.080120,0,0,0,0,0,0,0,0,0,0,229042,227370,0,0
0.081559,0,0,0,0,0,0,0,0,0,0,220246,220089,0,0
0.082976,0,0,0,0,0,0,0,0,0,0,174885,174750,0,0
0.084351,0,0,0,0,0,0,0,0,0,0,221345,221060,0,0
0.085781,0,0,0,0,0,0,0,0,0,0,221201,221028,0,0
0.087199,0,0,0,0,0,0,0,0,0,0,227353,227193,0,0
0.088684,0,0,0,0,0,0,0,0,0,0,220610,220470,0,0
0.090103,0,0,0,0,0,0,0,0,0,0,219897,219622,0,0
0.091521,0,0,0,0,0,0,0,0,0,0,222156,222268,0,0
0.092950,0,0,0,0,0,0,0,0,0,0,222616,221919,0,0
0.094371,0,0,0,0,0,0,0,0,0,0,221063,220761,0,0
0.095795,0,0,0,0,0,0,0,0,0,0,247348,251552,0,0
0.097352,0,0,0,0,0,0,0,0,0,0,243275,242906,0,0
0.098910,0,0,0,0,0,0,0,0,0,0,238868,238622,0,0
0.100417,0,0,0,0,0,0,0,0,0,0,302758,302330,0,0
0.102130,530,0,784,0,0,0,0,288,0,0,374101,408265,698,2696
0.103402,475,14,0,0,0,0,0,0,0,0,359693,355488,0,0
