elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.001222,0,278463,4891,3273
0.002818,0,236081,4167,7384
0.004300,0,235108,4150,3953
0.005782,0,232493,4101,7586
0.007253,0,233471,4121,7911
0.008742,0,296268,5268,7806
0.010342,0,236681,4177,7291
0.011819,0,236199,4170,7826
0.013297,0,235822,4165,7783
0.014779,0,235912,4164,7236
0.016260,0,234930,4146,3728
0.017764,0,239081,4220,7708
0.019239,0,230806,4112,3234
0.020679,0,276725,4906,8018
0.022229,0,230264,4025,7788
0.023642,0,230073,4058,7663
0.025108,0,230908,4074,7317
0.026524,0,229999,4057,7611
0.027935,0,229269,4043,7527
0.029446,0,231375,4081,3568
0.030871,0,230340,4063,7343
0.032283,0,228351,4027,3383
0.033728,0,216103,3796,7464
0.035089,0,215051,3782,3678
0.036451,0,215973,3799,3366
0.037862,0,220396,3916,3585
0.039252,0,216967,3784,3670
0.040620,0,217818,3833,7546
0.042035,0,220864,3977,7174
0.043429,0,221889,3822,3185
0.044790,0,226369,4026,8010
0.046210,0,201756,3558,2372
0.047475,0,240001,4314,2165
0.048849,0,198842,3488,2123
0.050137,0,240261,4319,2205
0.051568,0,243659,4307,2296
0.052944,0,240150,4317,2505
0.054319,0,238508,4287,2110
0.055692,0,239409,4303,2193
0.057074,0,239200,4300,2289
0.058447,0,238851,4293,2339
0.059820,0,242918,4367,2061
0.061263,0,184690,3304,2144
0.062549,0,238761,4291,2513
0.064022,0,184068,3291,2215
0.065348,0,239681,4308,2178
0.066724,0,238729,4290,2290
0.068098,0,242854,4292,2590
0.069520,0,186376,3268,2182
0.070788,0,246322,4345,2541
0.072163,0,241710,4269,2505
0.073593,0,243084,4296,2695
0.074968,0,239650,4307,2723
0.076343,0,242511,4286,2692
0.077775,0,198818,3580,3362
0.079138,0,212355,3734,8191
0.080529,0,252195,4638,81723
0.082325,0,341258,5920,65057
0.083841,0,237517,4051,7346
0.085290,0,227524,4040,3587
0.086665,0,228313,3934,7620
0.088056,0,216473,3787,8011
0.089418,0,212631,3739,7870
0.090779,0,219407,3885,7848
0.092164,0,218374,3823,3832
0.093520,0,197678,3446,6405
0.094790,0,244311,4317,2546
0.096165,0,243495,4304,2535
0.097539,0,182105,3256,2342
0.098802,0,181693,3247,2256
0.100118,0,185778,3247,2373
0.101388,0,184558,3301,2558
0.102659,0,181973,3253,2402
0.103925,0,244979,3704,59269
0.105226,0,965159,8316,456984
0.106606,0,490439,4209,2675
0.107977,0,491046,4215,2476
0.109348,0,489021,4197,2480
0.110718,0,489354,4199,2479
0.112087,0,489818,4202,2477
0.113506,0,490289,4208,2495
0.114882,0,490771,4212,2632
0.116254,0,492605,4228,2487
0.117626,0,489195,4199,2519
0.118997,0,491192,4217,2472
0.120368,0,493392,4234,2470
0.121742,0,489412,4201,2466
0.123113,0,489712,4201,2481
0.124484,0,489735,4203,2629
0.125858,0,490119,4206,2516
0.127230,0,488604,4193,2477
0.128602,0,492483,4228,2473
0.130052,0,378744,3238,2468
0.131475,0,382959,3271,2481
0.132891,0,3257050,28354,2478
0.136863,0,531912,4571,2478
0.138333,0,384969,3290,2476
0.139668,0,382682,3270,2478
0.141031,0,450696,3861,2645
0.142433,0,382182,3265,2486
0.143765,0,382861,3271,2472
0.145117,0,409386,3509,2471
0.146498,0,420334,3598,2705
0.147895,0,416450,3563,2471
0.149317,0,444132,3805,2486
0.150711,0,420568,3599,2471
0.152054,0,419719,3593,2477
0.153397,0,418561,3582,2581
0.154737,0,416502,3565,2474
0.156075,0,419008,3586,2478
0.157414,0,416439,3562,2539
0.158768,0,420296,3562,2475
0.160105,0,429854,3680,2480
0.161486,0,416322,3562,2477
0.162824,0,428102,3664,2486
0.164161,0,423113,3622,2471
0.165498,0,417677,3574,2642
0.166836,0,418279,3578,2492
0.168173,0,417382,3571,2478
0.169523,0,417345,3571,2480
0.170861,0,419495,3590,2475
0.172197,0,419015,3587,2470
0.173558,0,418265,3579,2494
0.174896,0,429523,3678,2467
0.176236,0,418051,3577,2475
0.177701,0,437028,3743,2478
0.179270,0,430002,3682,2470
0.180705,0,448517,4121,2435
0.182284,0,411980,3681,2396
0.183705,0,399125,3575,2479
0.185230,0,414064,3712,2400
0.186784,0,412133,3693,2390
0.188337,0,412014,3693,2440
0.189890,0,414761,3718,2433
0.191457,0,412115,3695,2396
0.193101,0,425357,3815,2407
0.194655,0,414518,3714,2443
0.196208,0,412527,3696,2484
0.197763,0,414547,3716,2432
0.199318,0,413694,3708,2468
0.200870,0,418645,3752,2433
0.202442,0,411255,3687,2397
0.203994,0,413072,3702,2385
0.205549,0,413854,3711,2396
0.207103,0,412604,3697,2435
0.208656,0,412955,3700,2436
0.210211,0,401428,3596,2435
0.211779,0,408095,3656,2394
0.213220,0,400230,3586,2435
0.214744,0,413166,3704,2464
0.216296,0,413499,3706,2435
0.217850,0,413202,3704,2435
0.219404,0,412532,3697,2392
0.220956,0,408013,3655,2396
0.222505,0,413324,3705,2432
0.224068,0,412088,3692,2432
0.225667,0,414182,3713,2433
0.227223,0,413469,3707,2399
0.228775,0,416928,3737,2441
0.230333,0,423309,3797,2398
0.231885,0,411830,3691,2433
0.233440,0,413371,3706,2438
0.235008,0,413484,3706,2522
0.236560,0,413170,3704,2440
0.238115,0,412194,3693,2404
0.239668,0,413340,3704,2434
0.241266,0,416888,3738,2442
0.242822,0,412962,3700,2438
0.244375,0,413699,3709,2581
0.245941,0,414371,3713,2483
0.247495,0,413026,3704,2403
0.249051,0,413366,3704,2402
0.250605,0,412418,3695,2396
0.252158,0,413060,3701,2396
0.253713,0,422953,3792,2404
0.255267,0,412742,3698,2523
0.256831,0,466222,4188,2546
0.258436,0,414329,3714,2394
0.259989,0,412404,3697,2393
0.261544,0,415383,3723,2441
0.263099,0,409231,3669,2686
0.264656,0,414631,3714,2439
0.266158,0,400276,3584,2477
0.267688,0,412361,3697,2441
0.269243,0,413380,3706,2396
0.270797,0,414550,3715,2395
0.272349,0,413265,3703,2544
0.273917,0,411327,3686,2394
0.275467,0,412276,3695,2508
0.277023,0,412723,3699,2439
0.278590,0,414205,3714,2442
0.280144,0,423140,3795,2403
0.281698,0,413964,3710,2397
0.283251,0,414426,3714,2436
0.284804,0,415807,3728,2403
0.286360,0,413041,3701,2445
0.287912,0,422354,3787,2475
0.289522,0,414938,3719,2400
0.291077,0,413215,3703,2405
0.292630,0,412931,3701,2477
0.294053,0,400109,3584,2477
0.295576,0,412824,3700,2437
0.297131,0,415209,3721,2394
0.298685,0,411853,3691,2436
0.300248,0,541257,4874,2439
0.301804,0,409896,3672,2399
0.303207,0,410431,3678,2562
0.304725,0,463580,4164,2474
0.306326,0,421237,3776,2392
0.307878,0,412999,3700,2522
0.309434,0,413848,3711,2535
0.311001,0,413807,3708,2402
0.312554,0,413123,3702,2403
0.314108,0,413567,3707,2478
0.315662,0,413229,3703,2495
