elapsed_s,HLSQ_L2STC_LATENCY_COUNT,HLSQ_L2STC_STALL_SP_MISS_REQ,HLSQ_L2STC_BANK0_REPLACEMENT,HLSQ_L2STC_BANK1_REPLACEMENT,HLSQ_L2STC_BANK2_REPLACEMENT,HLSQ_L2STC_BANK3_REPLACEMENT
0.001094,0,0,0,0,0,0
0.002561,0,0,0,0,0,0
0.003998,0,0,0,0,0,0
0.005432,0,0,0,0,0,0
0.006868,0,0,0,0,0,0
0.008301,0,0,0,0,0,0
0.009752,0,0,0,0,0,0
0.011161,0,0,0,0,0,0
0.012593,0,0,0,0,0,0
0.014070,0,0,0,0,0,0
0.015504,0,0,0,0,0,0
0.017114,0,0,0,0,0,0
0.018613,0,0,0,0,0,0
0.020043,0,0,0,0,0,0
0.021429,0,0,0,0,0,0
0.022865,0,0,0,0,0,0
0.024263,0,0,0,0,0,0
0.025648,0,0,0,0,0,0
0.027012,0,0,0,0,0,0
0.028402,0,0,0,0,0,0
0.029794,0,0,0,0,0,0
0.031274,0,0,0,0,0,0
0.032665,0,0,0,0,0,0
0.034056,0,0,0,0,0,0
0.035440,0,0,0,0,0,0
0.036823,0,0,0,0,0,0
0.038250,0,0,0,0,0,0
0.039615,0,0,0,0,0,0
0.040980,0,0,0,0,0,0
0.042355,0,0,0,0,0,0
0.043716,0,0,0,0,0,0
0.045077,0,0,0,0,0,0
0.046487,0,0,0,0,0,0
0.047854,0,0,0,0,0,0
0.049221,0,0,0,0,0,0
0.050590,0,0,0,0,0,0
0.051958,0,0,0,0,0,0
0.053384,0,0,0,0,0,0
0.054743,0,0,0,0,0,0
0.056055,0,0,0,0,0,0
0.057367,0,0,0,0,0,0
0.058728,0,0,0,0,0,0
0.060048,0,0,0,0,0,0
0.061358,0,0,0,0,0,0
0.062720,0,0,0,0,0,0
0.064045,0,0,0,0,0,0
0.065356,0,0,0,0,0,0
0.066717,0,0,0,0,0,0
0.068030,0,0,0,0,0,0
0.069341,0,0,0,0,0,0
0.070701,0,0,0,0,0,0
0.072011,0,0,0,0,0,0
0.073322,0,0,0,0,0,0
0.074692,0,0,0,0,0,0
0.076007,0,0,0,0,0,0
0.077374,0,0,0,0,0,0
0.078736,0,0,0,0,0,0
0.080010,0,0,0,0,0,0
0.081281,0,0,0,0,0,0
0.082605,0,0,0,0,0,0
0.083878,0,0,0,0,0,0
0.085159,0,0,0,0,0,0
0.086482,0,0,0,0,0,0
0.087755,0,0,0,0,0,0
0.089028,0,0,0,0,0,0
0.090351,0,0,0,0,0,0
0.091625,0,0,0,0,0,0
0.092897,0,0,0,0,0,0
0.094220,0,0,0,0,0,0
0.095836,0,0,0,0,0,0
0.097159,0,0,0,0,0,0
0.098524,0,0,0,0,0,0
0.099838,0,0,0,0,0,0
0.101152,0,0,0,0,0,0
0.102464,0,0,0,0,0,0
0.103778,0,0,0,0,0,0
0.105091,0,0,0,0,0,0
0.106461,0,0,0,0,0,0
0.107887,0,0,0,0,0,0
0.109198,0,0,0,0,0,0
0.110558,0,0,0,0,0,0
0.111831,0,0,0,0,0,0
0.113105,0,0,0,0,0,0
0.114475,7,0,2,2,2,1
0.115899,0,10,0,0,0,0
0.117286,0,0,0,0,0,0
0.118713,0,0,0,0,0,0
0.119982,0,0,0,0,0,0
0.121250,0,0,0,0,0,0
0.122566,0,0,0,0,0,0
0.123944,0,0,0,0,0,0
0.125320,0,0,0,0,0,0
0.126747,0,0,0,0,0,0
0.128130,0,0,0,0,0,0
0.129506,0,0,0,0,0,0
0.130904,0,0,0,0,0,0
0.132285,0,0,0,0,0,0
0.133661,0,0,0,0,0,0
0.135039,0,0,0,0,0,0
0.136420,0,0,0,0,0,0
0.137798,0,0,0,0,0,0
0.139202,0,0,0,0,0,0
0.140582,0,0,0,0,0,0
0.142010,0,0,0,0,0,0
0.143389,0,0,0,0,0,0
0.144767,0,0,0,0,0,0
0.146145,0,0,0,0,0,0
0.147523,0,0,0,0,0,0
0.148796,0,0,0,0,0,0
0.150274,0,0,0,0,0,0
0.151843,0,0,0,0,0,0
0.153399,0,0,0,0,0,0
0.154825,0,0,0,0,0,0
0.156350,0,0,0,0,0,0
0.158037,0,0,0,0,0,0
0.159483,0,0,0,0,0,0
0.160897,0,0,0,0,0,0
0.162301,0,0,0,0,0,0
0.163702,0,0,0,0,0,0
0.165098,0,0,0,0,0,0
0.166538,0,0,0,0,0,0
0.167936,0,0,0,0,0,0
0.169468,0,0,0,0,0,0
0.171097,0,0,0,0,0,0
0.172668,0,0,0,0,0,0
0.174234,0,0,0,0,0,0
0.175797,0,0,0,0,0,0
0.177231,0,0,0,0,0,0
0.178766,0,0,0,0,0,0
0.180332,0,0,0,0,0,0
0.181954,0,0,0,0,0,0
0.183522,0,0,0,0,0,0
0.185086,0,0,0,0,0,0
0.186653,0,0,0,0,0,0
0.188219,0,0,0,0,0,0
0.189783,0,0,0,0,0,0
0.191394,0,0,0,0,0,0
0.192970,0,0,0,0,0,0
0.194539,0,0,0,0,0,0
0.196105,0,0,0,0,0,0
0.197668,0,0,0,0,0,0
0.199284,0,0,0,0,0,0
0.200846,0,0,0,0,0,0
0.202413,0,0,0,0,0,0
0.203857,0,0,0,0,0,0
0.205383,0,0,0,0,0,0
0.206815,0,0,0,0,0,0
0.208350,0,0,0,0,0,0
0.209915,0,0,0,0,0,0
0.211479,0,0,0,0,0,0
