elapsed_s,VPC_BE_CCHE_NUM_POS_REQ,VPC_BE_STALL_CYCLES_LM_ACK,VPC_BE_STALL_CYCLES_PRG_END_VPCPS,VPC_BE_POS_OVERFETCH_ATTR,VPC_BE_BOTTLENECK
0.001090,0,0,0,0,0
0.002607,0,0,0,0,0
0.003983,0,0,0,0,0
0.005367,0,0,0,0,0
0.006839,0,0,0,0,0
0.008223,0,0,0,0,0
0.009617,0,0,0,0,0
0.011308,0,0,0,0,0
0.012981,0,0,0,0,0
0.014561,0,0,0,0,0
0.016003,0,0,0,0,0
0.017439,0,0,0,0,0
0.018790,0,0,0,0,0
0.020154,0,0,0,0,0
0.021534,0,0,0,0,0
0.022854,0,0,0,0,0
0.024320,0,0,0,0,0
0.025713,0,0,0,0,0
0.027083,0,0,0,0,0
0.028402,0,0,0,0,0
0.029714,0,0,0,0,0
0.031092,0,0,0,0,0
0.032411,0,0,0,0,0
0.033726,0,0,0,0,0
0.035073,0,0,0,0,0
0.036446,0,0,0,0,0
0.037819,0,0,0,0,0
0.039241,0,0,0,0,0
0.040614,0,0,0,0,0
0.041990,0,0,0,0,0
0.043412,0,0,0,0,0
0.044784,0,0,0,0,0
0.046155,0,0,0,0,0
0.047577,0,0,0,0,0
0.048952,0,0,0,0,0
0.050325,0,0,0,0,0
0.051748,0,0,0,0,0
0.053124,0,0,0,0,0
0.054386,0,0,0,0,0
0.055783,0,0,0,0,0
0.057097,0,0,0,0,0
0.058530,0,0,0,0,0
0.059921,0,0,0,0,0
0.061301,0,0,0,0,0
0.062677,0,0,0,0,0
0.064055,0,0,0,0,0
0.065431,0,0,0,0,0
0.066853,0,0,0,0,0
0.068249,0,0,0,0,0
0.069625,0,0,0,0,0
0.071000,0,0,0,0,0
0.072373,0,0,0,0,0
0.073745,0,0,0,0,0
0.075062,0,0,0,0,0
0.076437,0,0,0,0,0
0.077812,0,0,0,0,0
0.079187,0,0,0,0,0
0.080449,0,0,0,0,0
0.081821,0,0,0,0,0
0.083242,0,0,0,0,0
0.084617,0,0,0,0,0
0.085994,0,0,0,0,0
0.087368,0,0,0,0,0
0.088741,0,0,0,0,0
0.090113,0,0,0,0,0
0.091535,0,0,0,0,0
0.092839,0,0,0,0,0
0.094213,0,0,0,0,0
0.095637,0,0,0,0,0
0.097017,0,0,0,0,0
0.098392,0,0,0,0,0
0.099810,0,0,0,0,0
0.101185,0,0,0,0,0
0.102559,0,0,0,0,0
0.103827,0,0,0,0,0
0.105200,0,0,0,0,0
0.106573,0,0,0,0,0
0.107960,0,0,0,0,0
0.109351,0,0,0,0,0
0.110815,0,0,0,0,0
0.112243,0,0,0,0,0
0.113669,0,0,0,0,0
0.115095,0,0,0,0,0
0.116526,0,0,0,0,0
0.117964,0,0,0,0,0
0.119397,0,0,0,0,0
0.120830,0,0,0,0,0
0.122263,0,0,0,0,0
0.123696,0,0,0,0,0
0.125178,0,0,0,0,0
0.126558,0,0,0,0,0
0.127894,0,0,0,0,0
0.129272,0,0,0,0,0
0.130652,0,0,0,0,0
0.132215,0,0,0,0,0
0.133762,0,0,0,0,0
0.135183,0,0,0,0,0
0.136712,0,0,0,0,0
0.138268,0,0,0,0,0
0.139838,0,0,0,0,0
0.141395,0,0,0,0,0
0.142954,0,0,0,0,0
0.144511,0,0,0,0,0
0.146066,0,0,0,0,0
0.147625,0,0,0,0,0
0.149182,0,0,0,0,0
0.150755,0,0,0,0,0
0.152313,0,0,0,0,0
0.153870,0,0,0,0,0
0.155429,0,0,0,0,0
0.156989,0,0,0,0,0
0.158546,0,0,0,0,0
0.160106,0,0,0,0,0
0.161546,0,0,0,0,0
0.163121,0,0,0,0,0
0.164679,0,0,0,0,0
0.166235,0,0,0,0,0
0.167792,0,0,0,0,0
0.169357,0,0,0,0,0
0.170916,0,0,0,0,0
0.172488,0,0,0,0,0
0.174043,0,0,0,0,0
0.175601,0,0,0,0,0
0.177157,0,0,0,0,0
0.178712,0,0,0,0,0
0.180676,0,0,0,0,0
0.182232,0,0,0,0,0
0.183802,0,0,0,0,0
0.185359,0,0,0,0,0
0.186916,0,0,0,0,0
0.188385,0,0,0,0,0
0.189782,0,0,0,0,0
0.191319,0,0,0,0,0
0.192771,0,0,0,0,0
0.194182,0,0,0,0,0
0.195710,0,0,0,0,0
0.197269,0,0,0,0,0
0.198830,0,0,0,0,0
0.200390,0,0,0,0,0
0.201948,0,0,0,0,0
0.203509,0,0,0,0,0
0.205081,0,0,0,0,0
0.206639,0,0,0,0,0
0.208202,0,0,0,0,0
0.209760,0,0,0,0,0
0.211363,0,0,0,0,0
0.212924,0,0,0,0,0
0.214481,0,0,0,0,0
0.216059,0,0,0,0,0
0.217617,0,0,0,0,0
0.219179,0,0,0,0,0
0.220758,0,0,0,0,0
0.222266,0,0,0,0,0
0.223695,0,0,0,0,0
0.225185,0,0,0,0,0
0.226633,0,0,0,0,0
0.228081,0,0,0,0,0
0.229473,0,0,0,0,0
0.230922,0,0,0,0,0
0.232400,0,0,0,0,0
0.233793,0,0,0,0,0
0.235318,0,0,0,0,0
0.236889,0,0,0,0,0
0.238451,0,0,0,0,0
0.240010,0,0,0,0,0
0.241566,0,0,0,0,0
0.243169,0,0,0,0,0
0.244727,0,0,0,0,0
0.246283,0,0,0,0,0
0.247723,0,0,0,0,0
0.249252,0,0,0,0,0
0.250811,0,0,0,0,0
0.252368,0,0,0,0,0
0.253925,0,0,0,0,0
0.255483,0,0,0,0,0
0.257042,0,0,0,0,0
0.258611,0,0,0,0,0
0.260219,0,0,0,0,0
0.261776,0,0,0,0,0
0.263334,0,0,0,0,0
0.264893,0,0,0,0,0
0.266450,0,0,0,0,0
0.268011,0,0,0,0,0
0.269579,0,0,0,0,0
0.271139,0,0,0,0,0
0.272698,0,0,0,0,0
0.274253,0,0,0,0,0
0.275812,0,0,0,0,0
0.277370,0,0,0,0,0
0.278929,0,0,0,0,0
0.280491,0,0,0,0,0
0.282037,0,0,0,0,0
0.283464,0,0,0,0,0
0.284993,0,0,0,0,0
0.286547,0,0,0,0,0
0.288438,0,0,0,0,0
0.289961,0,0,0,0,0
0.291399,0,0,0,0,0
0.292928,0,0,0,0,0
0.294485,0,0,0,0,0
0.296047,0,0,0,0,0
0.297604,0,0,0,0,0
0.299163,0,0,0,0,0
0.300721,0,0,0,0,0
0.302291,0,0,0,0,0
0.303856,0,0,0,0,0
0.305415,0,0,0,0,0
0.307020,0,0,0,0,0
0.308578,0,0,0,0,0
0.310134,0,0,0,0,0
0.311691,0,0,0,0,0
0.313137,0,0,0,0,0
0.314666,0,0,0,0,0
0.316229,0,0,0,0,0
0.317784,0,0,0,0,0
0.319344,0,0,0,0,0
0.320951,0,0,0,0,0
0.322506,0,0,0,0,0
0.324127,0,0,0,0,0
0.325684,0,0,0,0,0
0.327243,0,0,0,0,0
0.328802,0,0,0,0,0
0.330358,0,0,0,0,0
0.331915,0,0,0,0,0
0.333472,0,0,0,0,0
0.335043,0,0,0,0,0
0.336601,0,0,0,0,0
0.338157,0,0,0,0,0
0.339716,0,0,0,0,0
0.341274,0,0,0,0,0
0.342833,0,0,0,0,0
0.344392,0,0,0,0,0
0.345961,0,0,0,0,0
0.347521,0,0,0,0,0
0.349079,0,0,0,0,0
0.350635,0,0,0,0,0
0.352199,0,0,0,0,0
0.353757,0,0,0,0,0
0.355358,0,0,0,0,0
0.356930,0,0,0,0,0
0.358486,0,0,0,0,0
0.360047,0,0,0,0,0
0.361602,0,0,0,0,0
0.363160,0,0,0,0,0
0.364718,0,0,0,0,0
0.366273,0,0,0,0,0
0.367841,0,0,0,0,0
0.369397,0,0,0,0,0
0.370997,0,0,0,0,0
0.372554,0,0,0,0,0
0.374110,0,0,0,0,0
0.375666,0,0,0,0,0
0.377223,0,0,0,0,0
0.378795,0,0,0,0,0
0.380352,0,0,0,0,0
0.381907,0,0,0,0,0
0.383465,0,0,0,0,0
0.385021,0,0,0,0,0
0.386576,0,0,0,0,0
0.388184,0,0,0,0,0
0.389753,0,0,0,0,0
0.391311,0,0,0,0,0
0.392868,0,0,0,0,0
0.394422,0,0,0,0,0
0.395946,0,0,0,0,0
0.397464,0,0,0,0,0
0.398888,0,0,0,0,0
0.400427,0,0,0,0,0
0.401981,0,0,0,0,0
0.403582,0,0,0,0,0
0.405139,0,0,0,0,0
0.406695,0,0,0,0,0
0.408323,0,0,0,0,0
0.409878,0,0,0,0,0
0.411450,0,0,0,0,0
0.413007,0,0,0,0,0
0.414561,0,0,0,0,0
0.416143,0,0,0,0,0
0.417699,0,0,0,0,0
0.419300,0,0,0,0,0
0.420857,0,0,0,0,0
0.422424,0,0,0,0,0
0.424032,0,0,0,0,0
0.425588,0,0,0,0,0
0.427145,0,0,0,0,0
0.428702,0,0,0,0,0
0.430257,0,0,0,0,0
0.431700,0,0,0,0,0
0.433236,0,0,0,0,0
0.434941,0,0,0,0,0
0.436369,0,0,0,0,0
0.437768,0,0,0,0,0
0.439161,0,0,0,0,0
0.440684,0,0,0,0,0
0.442240,0,0,0,0,0
0.443809,0,0,0,0,0
0.445366,0,0,0,0,0
0.446925,0,0,0,0,0
0.448484,0,0,0,0,0
0.450040,0,0,0,0,0
0.451599,0,0,0,0,0
0.453157,0,0,0,0,0
0.454793,0,0,0,0,0
0.456418,0,0,0,0,0
0.457974,0,0,0,0,0
0.459533,0,0,0,0,0
0.461090,0,0,0,0,0
0.462646,0,0,0,0,0
0.464210,0,0,0,0,0
0.465776,0,0,0,0,0
0.467378,0,0,0,0,0
0.468937,0,0,0,0,0
0.470493,0,0,0,0,0
0.472055,0,0,0,0,0
0.473611,0,0,0,0,0
0.475171,0,0,0,0,0
0.476742,0,0,0,0,0
0.478296,0,0,0,0,0
0.479854,0,0,0,0,0
0.481411,0,0,0,0,0
0.483013,0,0,0,0,0
0.484572,0,0,0,0,0
0.486128,0,0,0,0,0
0.487699,0,0,0,0,0
0.489257,0,0,0,0,0
0.490815,0,0,0,0,0
0.492373,0,0,0,0,0
0.493929,0,0,0,0,0
0.495489,0,0,0,0,0
0.497046,0,0,0,0,0
0.498613,0,0,0,0,0
0.500222,0,0,0,0,0
0.501778,0,0,0,0,0
0.503338,0,0,0,0,0
0.504887,0,0,0,0,0
0.506434,0,0,0,0,0
0.507974,0,0,0,0,0
0.509572,0,0,0,0,0
0.511128,0,0,0,0,0
0.512580,0,0,0,0,0
0.513987,0,0,0,0,0
0.515427,0,0,0,0,0
0.516948,0,0,0,0,0
0.518505,0,0,0,0,0
0.520080,0,0,0,0,0
0.521636,0,0,0,0,0
0.523195,0,0,0,0,0
0.524752,0,0,0,0,0
0.526308,0,0,0,0,0
0.527866,0,0,0,0,0
0.529423,0,0,0,0,0
0.531038,0,0,0,0,0
0.532595,0,0,0,0,0
0.534151,0,0,0,0,0
0.535708,0,0,0,0,0
0.537257,0,0,0,0,0
0.538857,0,0,0,0,0
0.540270,0,0,0,0,0
0.541807,0,0,0,0,0
0.543231,0,0,0,0,0
0.544750,0,0,0,0,0
0.546296,0,0,0,0,0
0.547719,0,0,0,0,0
0.549238,0,0,0,0,0
0.550881,0,0,0,0,0
0.552451,0,0,0,0,0
0.554008,0,0,0,0,0
0.555567,0,0,0,0,0
0.557125,0,0,0,0,0
0.558680,0,0,0,0,0
0.560279,0,0,0,0,0
0.561834,0,0,0,0,0
0.563448,0,0,0,0,0
0.565006,0,0,0,0,0
0.566562,0,0,0,0,0
0.568114,0,0,0,0,0
0.569660,0,0,0,0,0
0.571084,0,0,0,0,0
0.572616,0,0,0,0,0
0.574183,0,0,0,0,0
0.575739,0,0,0,0,0
0.577295,0,0,0,0,0
0.578894,0,0,0,0,0
0.580451,0,0,0,0,0
0.582007,0,0,0,0,0
0.583562,0,0,0,0,0
0.585131,0,0,0,0,0
0.586685,0,0,0,0,0
0.588100,0,0,0,0,0
0.589498,0,0,0,0,0
0.591021,0,0,0,0,0
0.592577,0,0,0,0,0
0.594131,0,0,0,0,0
0.595700,0,0,0,0,0
0.597256,0,0,0,0,0
0.598812,0,0,0,0,0
0.600368,0,0,0,0,0
0.601921,0,0,0,0,0
0.603477,0,0,0,0,0
0.605032,0,0,0,0,0
0.606494,0,0,0,0,0
0.607904,0,0,0,0,0
0.609297,0,0,0,0,0
0.610688,0,0,0,0,0
0.612124,0,0,0,0,0
0.613514,0,0,0,0,0
0.615038,0,0,0,0,0
0.616593,0,0,0,0,0
0.618160,0,0,0,0,0
0.619716,0,0,0,0,0
0.621272,0,0,0,0,0
0.622828,0,0,0,0,0
0.624383,0,0,0,0,0
0.625936,0,0,0,0,0
0.627536,0,0,0,0,0
0.629107,0,0,0,0,0
0.630661,0,0,0,0,0
0.632098,0,0,0,0,0
0.633628,0,0,0,0,0
0.635531,0,0,0,0,0
0.636964,0,0,0,0,0
0.638367,0,0,0,0,0
0.639778,0,0,0,0,0
0.641174,0,0,0,0,0
0.642565,0,0,0,0,0
0.643917,0,0,0,0,0
0.645307,0,0,0,0,0
0.646832,0,0,0,0,0
0.648388,0,0,0,0,0
0.649844,0,0,0,0,0
0.651416,0,0,0,0,0
0.652865,0,0,0,0,0
0.654305,0,0,0,0,0
0.655702,0,0,0,0,0
0.657095,0,0,0,0,0
0.658485,0,0,0,0,0
0.659937,0,0,0,0,0
0.661327,0,0,0,0,0
0.662799,0,0,0,0,0
0.664354,0,0,0,0,0
0.665910,0,0,0,0,0
0.667468,0,0,0,0,0
0.669025,0,0,0,0,0
0.670592,0,0,0,0,0
0.672154,0,0,0,0,0
0.673710,0,0,0,0,0
0.675313,0,0,0,0,0
0.676871,0,0,0,0,0
0.678427,0,0,0,0,0
0.679956,0,0,0,0,0
0.681491,0,0,0,0,0
0.683049,0,0,0,0,0
0.684606,0,0,0,0,0
0.686161,0,0,0,0,0
0.687730,0,0,0,0,0
0.689302,0,0,0,0,0
0.690922,0,0,0,0,0
0.692491,0,0,0,0,0
0.694046,0,0,0,0,0
0.695602,0,0,0,0,0
0.697158,0,0,0,0,0
0.698712,0,0,0,0,0
0.700290,0,0,0,0,0
0.701845,0,0,0,0,0
0.703415,0,0,0,0,0
0.704971,0,0,0,0,0
0.706533,0,0,0,0,0
0.708140,0,0,0,0,0
0.709695,0,0,0,0,0
0.711253,0,0,0,0,0
0.712809,0,0,0,0,0
0.714377,0,0,0,0,0
0.716005,0,0,0,0,0
0.717558,0,0,0,0,0
0.719116,0,0,0,0,0
0.720673,0,0,0,0,0
0.722227,0,0,0,0,0
0.723786,0,0,0,0,0
0.725354,0,0,0,0,0
0.726911,0,0,0,0,0
0.728467,0,0,0,0,0
0.730023,0,0,0,0,0
0.731461,0,0,0,0,0
0.733007,0,0,0,0,0
0.734562,0,0,0,0,0
0.736131,0,0,0,0,0
0.737684,0,0,0,0,0
0.739285,0,0,0,0,0
0.740843,0,0,0,0,0
0.742397,0,0,0,0,0
0.744004,0,0,0,0,0
0.745558,0,0,0,0,0
0.747128,0,0,0,0,0
0.748685,0,0,0,0,0
0.750238,0,0,0,0,0
0.751794,0,0,0,0,0
0.753350,0,0,0,0,0
0.754952,0,0,0,0,0
0.756508,0,0,0,0,0
0.758076,0,0,0,0,0
0.760011,0,0,0,0,0
0.761437,0,0,0,0,0
0.762874,0,0,0,0,0
0.764294,0,0,0,0,0
0.765683,0,0,0,0,0
0.767076,0,0,0,0,0
0.768478,0,0,0,0,0
0.769868,0,0,0,0,0
0.771434,0,0,0,0,0
0.772988,0,0,0,0,0
0.774540,0,0,0,0,0
0.776098,0,0,0,0,0
0.777653,0,0,0,0,0
0.779224,0,0,0,0,0
0.780781,0,0,0,0,0
0.782335,0,0,0,0,0
0.783890,0,0,0,0,0
0.785446,0,0,0,0,0
0.787046,0,0,0,0,0
0.788603,0,0,0,0,0
0.790170,0,0,0,0,0
0.791726,0,0,0,0,0
0.793282,0,0,0,0,0
0.794841,0,0,0,0,0
0.796398,0,0,0,0,0
0.797952,0,0,0,0,0
0.799510,0,0,0,0,0
0.801078,0,0,0,0,0
0.802631,0,0,0,0,0
0.804237,0,0,0,0,0
0.805790,0,0,0,0,0
0.807348,0,0,0,0,0
0.808904,0,0,0,0,0
0.810457,0,0,0,0,0
0.812030,0,0,0,0,0
0.813584,0,0,0,0,0
0.815141,0,0,0,0,0
0.816698,0,0,0,0,0
0.818252,0,0,0,0,0
0.819810,0,0,0,0,0
0.821367,0,0,0,0,0
0.822936,0,0,0,0,0
0.824492,0,0,0,0,0
0.826046,0,0,0,0,0
0.827603,0,0,0,0,0
0.829159,0,0,0,0,0
0.830714,0,0,0,0,0
0.832369,0,0,0,0,0
0.833785,0,0,0,0,0
0.835355,0,0,0,0,0
0.836913,0,0,0,0,0
0.838469,0,0,0,0,0
0.840037,0,0,0,0,0
0.841593,0,0,0,0,0
0.843151,0,0,0,0,0
0.844721,0,0,0,0,0
0.846276,0,0,0,0,0
0.847832,0,0,0,0,0
0.849388,0,0,0,0,0
0.850991,0,0,0,0,0
0.852548,0,0,0,0,0
0.854101,0,0,0,0,0
0.855671,0,0,0,0,0
0.857684,0,0,0,0,0
0.859516,0,0,0,0,0
0.860942,0,0,0,0,0
0.863017,0,0,0,0,0
0.865453,0,0,0,0,0
0.866959,3,504,0,0,0
0.868467,0,0,0,0,0
0.869882,0,0,0,0,0
0.871280,0,0,0,0,0
0.872625,0,0,0,0,0
0.873967,0,0,0,0,0
0.875309,0,0,0,0,0
0.876654,0,0,0,0,0
0.878077,0,0,0,0,0
0.879614,0,0,0,0,0
0.881075,0,0,0,0,0
0.882516,0,0,0,0,0
0.884005,0,216,0,0,0
0.885358,0,0,0,0,0
0.887024,0,0,0,0,0
0.888455,0,0,0,0,0
0.889841,0,0,0,0,0
0.891228,0,0,0,0,0
0.892616,0,0,0,0,0
0.894001,0,0,0,0,0
0.895390,0,0,0,0,0
0.896783,0,0,0,0,0
0.898168,0,0,0,0,0
0.899564,0,0,0,0,0
0.900950,0,0,0,0,0
0.902340,0,0,0,0,0
0.903778,0,0,0,0,0
0.905290,0,0,0,0,0
0.906945,0,0,0,0,0
0.908490,0,0,0,0,0
0.910294,0,0,0,0,0
0.911719,0,0,0,0,0
0.913245,0,0,0,0,0
0.914847,0,0,0,0,0
0.916404,0,0,0,0,0
0.917839,0,0,0,0,0
0.919393,0,0,0,0,0
0.920842,0,0,0,0,0
0.922373,0,0,0,0,0
0.923800,0,0,0,0,0
0.925328,0,0,0,0,0
0.926888,0,0,0,0,0
0.928445,0,0,0,0,0
0.930001,0,0,0,0,0
0.931571,0,0,0,0,0
0.933129,0,0,0,0,0
0.934684,0,0,0,0,0
0.936078,0,0,0,0,0
0.937611,0,0,0,0,0
0.939171,0,0,0,0,0
0.940729,0,0,0,0,0
0.942299,0,0,0,0,0
0.943858,0,0,0,0,0
0.945416,0,0,0,0,0
0.947019,0,0,0,0,0
0.948579,0,0,0,0,0
0.950134,0,0,0,0,0
0.951618,0,0,0,0,0
0.953434,0,0,0,0,0
0.955182,0,0,0,0,0
0.956805,0,0,0,0,0
0.958245,0,0,0,0,0
0.959676,0,0,0,0,0
0.961231,0,0,0,0,0
0.962833,0,0,0,0,0
0.964409,0,0,0,0,0
0.965964,0,0,0,0,0
0.967522,0,0,0,0,0
0.969747,0,0,0,0,0
0.971665,0,0,0,0,0
0.973201,0,0,0,0,0
0.974644,0,0,0,0,0
0.976178,0,0,0,0,0
0.977735,0,0,0,0,0
0.979341,0,0,0,0,0
0.980900,0,0,0,0,0
0.982458,0,0,0,0,0
0.984016,0,0,0,0,0
