elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.001066,0,0,0,0
0.002537,0,0,0,0
0.003920,0,0,0,0
0.005289,0,0,0,0
0.006814,0,0,0,0
0.008188,0,0,0,0
0.009634,0,0,0,0
0.010994,0,0,0,0
0.012341,0,0,0,0
0.013733,0,0,0,0
0.015156,0,0,0,0
0.016582,0,0,0,0
0.017981,0,0,0,0
0.019376,0,0,0,0
0.020767,0,0,0,0
0.022168,0,0,0,0
0.023538,0,0,0,0
0.024930,0,0,0,0
0.026311,0,0,0,0
0.027657,0,0,0,0
0.029001,0,0,0,0
0.030348,0,0,0,0
0.031694,0,0,0,0
0.033052,0,0,0,0
0.034398,0,0,0,0
0.035712,0,0,0,0
0.037025,0,0,0,0
0.038338,0,0,0,0
0.039653,0,0,0,0
0.040966,0,0,0,0
0.042280,0,0,0,0
0.043597,0,0,0,0
0.044913,0,0,0,0
0.046228,0,0,0,0
0.047541,0,0,0,0
0.048855,0,0,0,0
0.050168,0,0,0,0
0.051487,0,0,0,0
0.052801,0,0,0,0
0.054119,0,0,0,0
0.055431,0,0,0,0
0.056755,0,0,0,0
0.058096,0,0,0,0
0.059406,0,0,0,0
0.060704,0,0,0,0
0.062064,0,0,0,0
0.063376,0,0,0,0
0.064682,0,0,0,0
0.065983,0,0,0,0
0.067282,0,0,0,0
0.068581,0,0,0,0
0.069927,0,0,0,0
0.071225,0,0,0,0
0.072520,0,0,0,0
0.073871,0,0,0,0
0.075222,0,0,0,0
0.076405,0,0,0,0
0.077864,0,0,0,0
0.079163,0,0,0,0
0.080482,0,0,0,0
0.081824,0,0,0,0
0.083087,0,0,0,0
0.084352,0,0,0,0
0.085679,0,0,0,0
0.086999,0,0,0,0
0.088315,0,0,0,0
0.089630,0,0,0,0
0.090989,0,0,0,0
0.092337,0,0,0,0
0.093698,0,0,0,0
0.095003,0,0,0,0
0.096245,0,0,0,0
0.097634,0,0,0,0
0.099008,0,0,0,0
0.100380,0,0,0,0
0.101692,0,0,0,0
0.103064,0,0,0,0
0.104433,0,0,0,0
0.105858,0,0,0,0
0.107228,0,0,0,0
0.108489,0,0,0,0
0.109907,0,0,0,0
0.111337,0,0,0,0
0.112743,0,0,0,0
0.114174,0,0,0,0
0.115451,0,0,0,0
0.116836,0,0,0,0
0.118303,0,0,0,0
0.119779,0,0,0,0
0.121254,0,0,0,0
0.122751,0,0,0,0
0.124176,0,0,0,0
0.125674,0,0,0,0
0.127100,0,0,0,0
0.128482,0,0,0,0
0.129862,0,0,0,0
0.131239,0,0,0,0
0.132616,0,0,0,0
0.133996,0,0,0,0
0.135376,0,0,0,0
0.136755,0,0,0,0
0.138149,0,0,0,0
0.139541,0,0,0,0
0.140932,0,0,0,0
0.142320,0,0,0,0
0.143707,0,0,0,0
0.145093,0,0,0,0
0.146556,0,0,0,0
0.147941,0,0,0,0
0.149467,0,0,0,0
0.151025,0,0,0,0
0.152576,0,0,0,0
0.154172,0,0,0,0
0.155726,0,0,0,0
0.157276,0,0,0,0
0.158832,0,0,0,0
0.160269,0,0,0,0
0.161803,0,0,0,0
0.163357,0,0,0,0
0.164907,0,0,0,0
0.166460,0,0,0,0
0.168013,0,0,0,0
0.169611,0,0,0,0
0.171177,0,0,0,0
0.172728,0,0,0,0
0.174282,0,0,0,0
0.175835,0,0,0,0
0.177386,0,0,0,0
0.178988,0,0,0,0
0.180538,0,0,0,0
0.182105,0,0,0,0
0.183658,0,0,0,0
0.185209,0,0,0,0
0.186768,0,0,0,0
0.188291,0,0,0,0
0.189845,0,0,0,0
0.191399,0,0,0,0
0.192962,0,0,0,0
0.194516,0,0,0,0
0.196078,0,0,0,0
0.197632,0,0,0,0
0.199184,0,0,0,0
0.200735,0,0,0,0
0.202334,0,0,0,0
0.203902,0,0,0,0
0.205452,0,0,0,0
0.207011,0,0,0,0
0.208561,0,0,0,0
0.210158,0,0,0,0
