elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.001072,0,0,0,0
0.002537,0,0,0,0
0.003925,0,0,0,0
0.005343,0,0,0,0
0.006765,0,0,0,0
0.008157,0,0,0,0
0.009568,0,0,0,0
0.010961,0,0,0,0
0.012353,0,0,0,0
0.013742,0,0,0,0
0.015129,0,0,0,0
0.016436,0,0,0,0
0.017734,0,0,0,0
0.019079,0,0,0,0
0.020380,0,0,0,0
0.021676,0,0,0,0
0.023022,0,0,0,0
0.024319,0,0,0,0
0.025617,0,0,0,0
0.026961,0,0,0,0
0.028226,0,0,0,0
0.029490,0,0,0,0
0.030757,0,0,0,0
0.032021,0,0,0,0
0.033284,0,0,0,0
0.034547,0,0,0,0
0.035899,0,0,0,0
0.037164,0,0,0,0
0.038428,0,0,0,0
0.039717,0,0,0,0
0.040985,0,0,0,0
0.042264,0,0,0,0
0.043581,0,0,0,0
0.044847,0,0,0,0
0.046169,0,0,0,0
0.047448,0,0,0,0
0.048770,0,0,0,0
0.050039,0,0,0,0
0.051363,0,0,0,0
0.052683,0,0,0,0
0.053981,0,0,0,0
0.055279,0,0,0,0
0.056577,0,0,0,0
0.057878,0,0,0,0
0.059225,0,0,0,0
0.060520,0,0,0,0
0.061820,0,0,0,0
0.063164,0,0,0,0
0.064508,0,0,0,0
0.065816,0,0,0,0
0.067160,0,0,0,0
0.068511,0,0,0,0
0.069860,0,0,0,0
0.071207,0,0,0,0
0.072559,0,0,0,0
0.073905,0,0,0,0
0.075248,0,0,0,0
0.076563,0,0,0,0
0.077988,0,0,0,0
0.079303,0,0,0,0
0.080617,0,0,0,0
0.081932,0,0,0,0
0.083255,0,0,0,0
0.084604,0,0,0,0
0.085947,0,0,0,0
0.087361,0,0,0,0
0.088786,0,0,0,0
0.090205,0,0,0,0
0.091626,0,0,0,0
0.093046,0,0,0,0
0.094470,0,0,0,0
0.095811,0,0,0,0
0.097231,0,0,0,0
0.098650,0,0,0,0
0.099964,0,0,0,0
0.101390,0,0,0,0
0.102817,0,0,0,0
0.104198,0,0,0,0
0.105625,0,0,0,0
0.107012,0,0,0,0
0.108398,0,0,0,0
0.109782,0,0,0,0
0.111180,0,0,0,0
0.112444,0,0,0,0
0.113832,0,0,0,0
0.115195,0,0,0,0
0.116604,0,0,0,0
0.118030,0,0,0,0
0.119302,0,0,0,0
0.120695,0,0,0,0
0.122082,0,0,0,0
0.123524,0,0,0,0
0.124812,0,0,0,0
0.126200,0,0,0,0
0.127633,0,0,0,0
0.129020,0,0,0,0
0.130407,0,0,0,0
0.131790,0,0,0,0
0.133178,0,0,0,0
0.134565,0,0,0,0
0.135956,0,0,0,0
0.137343,0,0,0,0
0.138787,0,0,0,0
0.140178,0,0,0,0
0.141566,0,0,0,0
0.142843,0,0,0,0
0.144230,0,0,0,0
0.145617,0,0,0,0
0.147054,0,0,0,0
0.148442,0,0,0,0
0.149834,0,0,0,0
0.151222,0,0,0,0
0.152609,0,0,0,0
0.153886,0,0,0,0
0.155275,0,0,0,0
0.156662,0,0,0,0
0.158049,0,0,0,0
0.159437,0,0,0,0
0.160824,0,0,0,0
0.162196,0,0,0,0
0.163580,0,0,0,0
0.164967,0,0,0,0
0.166354,0,0,0,0
0.167742,0,0,0,0
0.169020,0,0,0,0
0.170408,0,0,0,0
0.171681,0,0,0,0
0.173066,0,0,0,0
0.174452,0,0,0,0
0.175848,0,0,0,0
0.177330,0,0,0,0
0.178775,0,0,0,0
0.180285,0,0,0,0
0.181722,0,0,0,0
0.183159,0,0,0,0
0.184597,0,0,0,0
0.185926,0,0,0,0
0.187364,0,0,0,0
0.188801,0,0,0,0
0.190238,0,0,0,0
0.191696,0,0,0,0
0.193132,0,0,0,0
0.194569,0,0,0,0
0.196007,0,0,0,0
0.197444,0,0,0,0
0.198881,0,0,0,0
0.200317,0,0,0,0
0.201755,0,0,0,0
0.203081,0,0,0,0
0.204502,0,0,0,0
0.205926,0,0,0,0
0.207363,0,0,0,0
0.208801,0,0,0,0
0.210128,0,0,0,0
0.211564,0,0,0,0
0.212894,0,0,0,0
0.214331,0,0,0,0
0.215768,0,0,0,0
0.217205,0,0,0,0
0.218641,0,0,0,0
0.220081,0,0,0,0
0.221517,0,0,0,0
0.222845,0,0,0,0
0.224282,0,0,0,0
0.225719,0,0,0,0
0.227156,0,0,0,0
0.228511,0,0,0,0
0.229964,0,0,0,0
0.231292,0,0,0,0
0.232728,0,0,0,0
0.234054,0,0,0,0
0.235491,0,0,0,0
0.236817,0,0,0,0
0.238254,0,0,0,0
0.239581,0,0,0,0
0.241017,0,0,0,0
0.242344,0,0,0,0
0.243782,0,0,0,0
0.245219,0,0,0,0
0.246656,0,0,0,0
0.248075,0,0,0,0
0.249511,0,0,0,0
0.250849,0,0,0,0
0.252288,0,0,0,0
0.253724,0,0,0,0
0.255052,0,0,0,0
0.256489,0,0,0,0
0.257926,0,0,0,0
0.259253,0,0,0,0
0.260690,0,0,0,0
0.262128,0,0,0,0
0.263565,0,0,0,0
0.265002,0,0,0,0
0.266438,0,0,0,0
0.267880,0,0,0,0
0.269317,0,0,0,0
0.270753,0,0,0,0
0.272191,0,0,0,0
0.273627,0,0,0,0
0.275065,0,0,0,0
0.276503,0,0,0,0
0.277938,0,0,0,0
0.279376,0,0,0,0
0.280813,0,0,0,0
0.282139,0,0,0,0
0.283588,0,0,0,0
0.284965,0,0,0,0
0.286410,0,0,0,0
0.287755,0,0,0,0
0.289181,0,0,0,0
0.290505,0,0,0,0
0.291925,0,0,0,0
0.293371,0,0,0,0
0.294815,0,0,0,0
0.296231,0,0,0,0
0.297615,0,0,0,0
0.299051,0,0,0,0
0.300444,0,0,0,0
0.301765,0,0,0,0
0.303037,0,0,0,0
0.304404,0,0,0,0
0.305667,0,0,0,0
0.307085,0,0,0,0
0.308345,0,0,0,0
0.309715,0,0,0,0
0.311086,0,0,0,0
0.312457,0,0,0,0
0.313827,0,0,0,0
0.315247,0,0,0,0
0.316621,0,0,0,0
0.317881,0,0,0,0
0.319251,0,0,0,0
0.320622,0,0,0,0
0.321992,0,0,0,0
0.323364,0,0,0,0
0.324735,0,0,0,0
0.326106,0,0,0,0
0.327480,0,0,0,0
0.328850,0,0,0,0
0.330220,0,0,0,0
0.331590,0,0,0,0
0.332978,0,0,0,0
0.334349,0,0,0,0
0.335719,0,0,0,0
0.337087,0,0,0,0
0.338349,0,0,0,0
0.339729,0,0,0,0
0.341099,0,0,0,0
0.342467,0,0,0,0
0.343836,0,0,0,0
0.345204,0,0,0,0
0.346463,0,0,0,0
0.347834,0,0,0,0
0.349208,0,0,0,0
0.350578,0,0,0,0
0.351947,0,0,0,0
0.353318,0,0,0,0
0.354699,0,0,0,0
0.356094,0,0,0,0
0.357384,0,0,0,0
0.358671,0,0,0,0
0.360083,0,0,0,0
0.361480,0,0,0,0
0.362867,0,0,0,0
0.364253,0,0,0,0
0.365641,0,0,0,0
0.366918,0,0,0,0
0.368306,0,0,0,0
0.369693,0,0,0,0
0.371074,0,0,0,0
0.372537,0,0,0,0
0.374007,0,0,0,0
0.375500,0,0,0,0
0.376837,0,0,0,0
0.378164,0,0,0,0
0.379491,0,0,0,0
0.380877,0,0,0,0
0.382280,0,0,0,0
0.383638,0,0,0,0
0.385160,0,0,0,0
0.386714,0,0,0,0
0.388265,0,0,0,0
0.389814,0,0,0,0
0.391411,0,0,0,0
0.392976,0,0,0,0
0.394527,0,0,0,0
0.396080,0,0,0,0
0.397629,0,0,0,0
0.399226,0,0,0,0
0.400777,0,0,0,0
0.402460,0,0,0,0
0.404212,0,0,0,0
0.405637,0,0,0,0
0.407305,0,0,0,0
0.409098,0,0,0,0
0.410526,0,0,0,0
0.412462,0,0,0,0
0.414862,0,0,0,0
0.416310,0,0,0,0
0.417921,0,0,0,0
0.419363,0,0,0,0
0.420986,0,0,0,0
0.422438,0,0,0,0
0.424197,0,0,0,0
0.426138,0,0,0,0
0.427679,0,0,0,0
0.429887,0,0,0,0
0.431306,0,0,0,0
0.432673,0,0,0,0
0.433963,0,0,0,0
0.435298,0,0,0,0
0.436579,0,0,0,0
0.437857,0,0,0,0
0.439145,0,0,0,0
0.440457,0,0,0,0
0.441769,0,0,0,0
0.443127,0,0,0,0
0.444440,0,0,0,0
0.445761,0,0,0,0
0.447090,0,0,0,0
0.448494,0,0,0,0
0.449877,0,0,0,0
0.451257,0,0,0,0
0.452767,0,0,0,0
0.454311,0,0,0,0
0.455898,0,0,0,0
0.457292,0,0,0,0
0.458681,0,0,0,0
0.460100,0,0,0,0
0.461486,0,0,0,0
0.462915,0,0,0,0
0.464301,0,0,0,0
0.465817,0,0,0,0
0.467258,0,0,0,0
0.468782,0,0,0,0
0.470332,0,0,0,0
0.471935,0,0,0,0
0.473486,0,0,0,0
0.475041,0,0,0,0
0.476594,0,0,0,0
0.478158,0,0,0,0
0.479714,0,0,0,0
0.481267,0,0,0,0
0.482822,0,0,0,0
0.484376,0,0,0,0
0.485928,0,0,0,0
0.487482,0,0,0,0
0.489049,0,0,0,0
0.490704,0,0,0,0
0.492125,0,0,0,0
0.493512,0,0,0,0
0.494897,0,0,0,0
0.496327,0,0,0,0
0.497716,0,0,0,0
0.499115,0,0,0,0
0.500500,0,0,0,0
0.501884,0,0,0,0
0.503307,0,0,0,0
0.504822,0,0,0,0
0.506372,0,0,0,0
0.507927,0,0,0,0
0.509490,0,0,0,0
0.511127,0,0,0,0
0.512678,0,0,0,0
0.514228,0,0,0,0
0.515781,0,0,0,0
0.517332,0,0,0,0
0.518940,0,0,0,0
0.520506,0,0,0,0
0.522054,0,0,0,0
0.523606,0,0,0,0
0.525158,0,0,0,0
0.526755,0,0,0,0
0.528184,0,0,0,0
0.529575,0,0,0,0
0.530978,0,0,0,0
0.532496,0,0,0,0
0.534045,0,0,0,0
0.535597,0,0,0,0
0.537148,0,0,0,0
0.538571,0,0,0,0
0.540148,0,0,0,0
0.541702,0,0,0,0
0.543123,0,0,0,0
0.544646,0,0,0,0
0.546197,0,0,0,0
0.547749,0,0,0,0
0.549301,0,0,0,0
0.550897,0,0,0,0
0.552355,0,0,0,0
0.553881,0,0,0,0
0.555437,0,0,0,0
0.556990,0,0,0,0
0.558541,0,0,0,0
0.560031,0,0,0,0
0.561425,0,0,0,0
0.562825,0,0,0,0
0.564214,0,0,0,0
0.565600,0,0,0,0
0.567035,0,0,0,0
0.568553,0,0,0,0
0.570104,0,0,0,0
0.571657,0,0,0,0
0.573222,0,0,0,0
0.574819,0,0,0,0
0.576373,0,0,0,0
0.577924,0,0,0,0
0.579478,0,0,0,0
0.581031,0,0,0,0
0.582583,0,0,0,0
0.584030,0,0,0,0
0.585422,0,0,0,0
0.586944,0,0,0,0
0.588496,0,0,0,0
0.590047,0,0,0,0
0.591602,0,0,0,0
0.593154,0,0,0,0
0.594722,0,0,0,0
0.596147,0,0,0,0
0.597539,0,0,0,0
0.598973,0,0,0,0
0.600362,0,0,0,0
