elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.001100,0,0,0,0
0.002548,0,0,0,0
0.003967,0,0,0,0
0.005384,0,0,0,0
0.006799,0,0,0,0
0.008213,0,0,0,0
0.009627,0,0,0,0
0.011052,0,0,0,0
0.012467,0,0,0,0
0.013863,0,0,0,0
0.015276,0,0,0,0
0.016772,0,0,0,0
0.018191,0,0,0,0
0.019575,0,0,0,0
0.020992,0,0,0,0
0.022393,0,0,0,0
0.023746,0,0,0,0
0.025145,0,0,0,0
0.026496,0,0,0,0
0.027843,0,0,0,0
0.029257,0,0,0,0
0.030668,0,0,0,0
0.032066,0,0,0,0
0.033469,0,0,0,0
0.034831,0,0,0,0
0.036193,0,0,0,0
0.037554,0,0,0,0
0.038918,0,0,0,0
0.040280,0,0,0,0
0.041640,0,0,0,0
0.043002,0,0,0,0
0.044371,0,0,0,0
0.045841,0,0,0,0
0.047201,0,0,0,0
0.048562,0,0,0,0
0.049932,0,0,0,0
0.051279,0,0,0,0
0.052627,0,0,0,0
0.053982,0,0,0,0
0.055288,0,0,0,0
0.056652,0,0,0,0
0.057951,0,0,0,0
0.059250,0,0,0,0
0.060547,0,0,0,0
0.061839,0,0,0,0
0.063107,0,0,0,0
0.064370,0,0,0,0
0.065669,0,0,0,0
0.066933,0,0,0,0
0.068203,0,0,0,0
0.069525,0,0,0,0
0.070800,0,0,0,0
0.072066,0,0,0,0
0.073379,0,0,0,0
0.074642,0,0,0,0
0.075914,0,0,0,0
0.077229,0,0,0,0
0.078523,0,0,0,0
0.079820,0,0,0,0
0.081166,0,0,0,0
0.082462,0,0,0,0
0.083758,0,0,0,0
0.085103,0,0,0,0
0.086461,0,0,222,216
0.087643,0,0,0,0
0.089102,0,0,0,0
0.090397,0,0,0,0
0.091694,0,0,0,0
0.093039,0,0,0,0
0.094334,0,0,0,0
0.095629,0,0,0,0
0.096986,0,0,0,0
0.098281,0,0,0,0
0.099577,0,0,0,0
0.100871,0,0,0,0
0.102167,0,0,0,0
0.103462,0,0,0,0
0.104817,0,0,0,0
0.106184,0,0,753,726
0.107812,0,0,1080,945
0.109236,0,0,0,0
0.110605,0,0,0,0
0.111974,0,0,0,0
0.113392,0,0,0,0
0.114767,0,0,0,0
0.116135,0,0,0,0
0.117560,0,0,0,0
0.118930,0,0,0,0
0.120189,0,0,0,0
0.121605,0,0,0,0
0.122975,0,0,0,0
0.124432,0,0,0,0
0.125872,0,0,0,0
0.127340,0,0,0,0
0.128829,0,0,0,0
0.130210,0,0,0,0
0.131591,0,0,0,0
0.132970,0,0,0,0
0.134349,0,0,0,0
0.135729,0,0,0,0
0.137064,0,0,0,0
0.138442,0,0,0,0
0.139833,0,0,0,0
0.141168,0,0,0,0
0.142548,0,0,0,0
0.143928,0,0,0,0
0.145526,0,0,0,0
0.147085,0,0,0,0
0.148990,0,0,0,0
0.150547,0,0,0,0
0.152098,0,0,0,0
0.153652,0,0,0,0
0.155206,0,0,0,0
0.156761,0,0,0,0
0.158315,0,0,0,0
0.159866,0,0,0,0
0.161352,0,0,0,0
0.162877,0,0,0,0
0.164429,0,0,0,0
0.165986,0,0,0,0
0.167536,0,0,0,0
0.169091,0,0,0,0
0.170644,0,0,0,0
0.172209,0,0,0,0
0.173763,0,0,0,0
0.175316,0,0,0,0
0.176914,0,0,0,0
0.178466,0,0,0,0
0.180018,0,0,0,0
0.181571,0,0,0,0
0.183138,0,0,0,0
0.184694,0,0,0,0
0.186253,0,0,0,0
0.187804,0,0,0,0
0.189359,0,0,0,0
0.190912,0,0,0,0
0.192459,0,0,0,0
0.194075,0,0,0,0
0.195625,0,0,0,0
0.197180,0,0,0,0
0.198731,0,0,0,0
0.200281,0,0,0,0
0.201778,0,0,0,0
0.203299,0,0,0,0
0.204863,0,0,0,0
0.206416,0,0,0,0
0.207965,0,0,0,0
0.209515,0,0,0,0
0.211066,0,0,0,0
0.212616,0,0,0,0
0.214233,0,0,0,0
0.215667,0,0,0,0
0.217190,0,0,0,0
0.218740,0,0,0,0
0.220290,0,0,0,0
0.221898,0,0,0,0
0.223449,0,0,0,0
0.225045,0,0,0,0
0.226610,0,0,0,0
0.228159,0,0,0,0
0.229710,0,0,0,0
0.231262,0,0,0,0
0.232814,0,0,0,0
0.234365,0,0,0,0
0.235914,0,0,0,0
0.237479,0,0,0,0
0.239031,0,0,0,0
0.240581,0,0,0,0
0.242129,0,0,0,0
0.243520,0,0,0,0
0.245039,0,0,0,0
0.246591,0,0,0,0
0.248153,0,0,0,0
0.249705,0,0,0,0
0.251256,0,0,0,0
0.252809,0,0,0,0
0.254239,0,0,0,0
0.255764,0,0,0,0
0.257360,0,0,0,0
0.258924,0,0,0,0
0.260474,0,0,0,0
0.262067,0,0,0,0
0.263615,0,0,0,0
0.265168,0,0,0,0
0.266729,0,0,0,0
0.268290,0,0,0,0
0.269901,0,0,0,0
0.271452,0,0,0,0
0.273049,0,0,0,0
0.274604,0,0,0,0
0.276156,0,0,0,0
0.277709,0,0,0,0
0.279254,0,0,0,0
0.280996,0,0,0,0
0.282389,0,0,0,0
0.283783,0,0,0,0
0.285304,0,0,0,0
0.286847,0,0,0,0
0.288389,0,0,0,0
0.290036,0,0,0,0
0.291592,0,0,0,0
0.293025,0,0,0,0
0.294768,0,0,0,0
0.296156,0,0,0,0
0.297539,0,0,0,0
0.298925,0,0,0,0
0.300309,0,0,0,0
0.301748,0,0,0,0
0.303133,0,0,0,0
0.304516,0,0,0,0
0.305945,0,0,0,0
0.307458,0,0,0,0
0.309011,0,0,0,0
0.310561,0,0,0,0
0.312124,0,0,0,0
0.313675,0,0,0,0
0.315227,0,0,0,0
0.316778,0,0,0,0
0.318329,0,0,0,0
0.319878,0,0,0,0
0.321477,0,0,0,0
0.323042,0,0,0,0
0.324591,0,0,0,0
0.326003,0,0,0,0
0.327394,0,0,0,0
0.328913,0,0,0,0
0.330464,0,0,0,0
0.332015,0,0,0,0
0.333578,0,0,0,0
0.335130,0,0,0,0
0.336726,0,0,0,0
0.338278,0,0,0,0
0.339827,0,0,0,0
0.341381,0,0,0,0
0.342809,0,0,0,0
0.344214,0,0,0,0
0.345733,0,0,0,0
0.347284,0,0,0,0
0.348836,0,0,0,0
0.350385,0,0,0,0
0.352264,0,0,0,0
0.353970,0,0,0,0
0.355401,0,0,0,0
0.356808,0,0,0,0
0.358194,0,0,0,0
0.359576,0,0,0,0
0.360957,0,0,0,0
0.362339,0,0,0,0
0.363718,0,0,0,0
0.365096,0,0,0,0
0.366612,0,0,0,0
0.368154,0,0,0,0
0.369572,0,0,0,0
0.371086,0,0,0,0
0.372792,0,0,0,0
0.374336,0,0,0,0
0.375879,0,0,0,0
0.377311,0,0,0,0
0.378836,0,0,0,0
0.380387,0,0,0,0
0.381943,0,0,0,0
0.383494,0,0,0,0
0.385091,0,0,0,0
0.386645,0,0,0,0
0.388208,0,0,0,0
0.389762,0,0,0,0
0.391315,0,0,0,0
0.392869,0,0,0,0
0.394422,0,0,0,0
0.395974,0,0,0,0
0.397526,0,0,0,0
0.399082,0,0,0,0
0.400774,0,0,0,0
0.402324,0,0,0,0
0.403874,0,0,0,0
0.405427,0,0,0,0
0.406980,0,0,0,0
0.408529,0,0,0,0
0.410042,0,0,0,0
0.411563,0,0,0,0
0.413116,0,0,0,0
0.414667,0,0,0,0
0.416217,0,0,0,0
0.417771,0,0,0,0
0.419323,0,0,0,0
0.420890,0,0,0,0
0.422442,0,0,0,0
0.423993,0,0,0,0
0.425545,0,0,0,0
0.427097,0,0,0,0
0.428713,0,0,0,0
0.430330,0,0,0,0
0.431892,0,0,0,0
0.433445,0,0,0,0
0.434998,0,0,0,0
0.436548,0,0,0,0
0.438105,0,0,0,0
0.439655,0,0,0,0
0.441209,0,0,0,0
0.442647,0,0,0,0
0.444170,0,0,0,0
0.445722,0,0,0,0
0.447434,0,0,0,0
0.448840,0,0,0,0
0.450188,0,0,0,0
0.451569,0,0,0,0
0.452959,0,0,0,0
0.454349,0,0,0,0
0.455872,0,0,0,0
0.457427,0,0,0,0
0.458979,0,0,0,0
0.460531,0,0,0,0
0.462089,0,0,0,0
0.463652,0,0,0,0
0.465223,0,0,0,0
0.466773,0,0,0,0
0.468323,0,0,0,0
0.469936,0,0,0,0
0.471478,0,0,0,0
0.472897,0,0,0,0
0.474433,0,0,0,0
0.475983,0,0,0,0
0.477535,0,0,0,0
0.479088,0,0,0,0
0.480687,0,0,0,0
0.482242,0,0,0,0
0.483792,0,0,0,0
0.485360,0,0,0,0
0.486913,0,0,0,0
0.488465,0,0,0,0
0.489846,0,0,0,0
0.491239,0,0,0,0
0.492760,0,0,0,0
0.494313,0,0,0,0
0.495876,0,0,0,0
0.497474,0,0,0,0
0.499099,0,0,0,0
0.501650,0,0,0,0
0.503048,0,0,0,0
0.504430,0,0,0,0
0.505844,0,0,0,0
0.507269,0,0,0,0
0.508658,0,0,0,0
0.510045,0,0,0,0
0.511561,0,0,0,0
0.513158,0,0,0,0
0.514712,0,0,0,0
0.516277,0,0,0,0
0.517828,0,0,0,0
0.519382,0,0,0,0
0.520938,0,0,0,0
0.522491,0,0,0,0
0.524042,0,0,0,0
0.525595,0,0,0,0
0.527160,0,0,0,0
0.528758,0,0,0,0
0.530313,0,0,0,0
0.531865,0,0,0,0
0.533420,0,0,0,0
0.534973,0,0,0,0
0.536525,0,0,0,0
0.538097,0,0,0,0
0.539646,0,0,0,0
0.541199,0,0,0,0
0.542753,0,0,0,0
0.544303,0,0,0,0
0.545859,0,0,0,0
0.547380,0,0,0,0
0.548946,0,0,0,0
0.550501,0,0,0,0
0.552053,0,0,0,0
0.553606,0,0,0,0
0.555160,0,0,0,0
0.556715,0,0,0,0
0.558269,0,0,0,0
0.559834,0,0,0,0
0.561432,0,0,0,0
0.562987,0,0,0,0
0.564538,0,0,0,0
0.566098,0,0,0,0
0.567650,0,0,0,0
0.569205,0,0,0,0
0.570772,0,0,0,0
0.572325,0,0,0,0
0.573967,0,0,0,0
0.575518,0,0,0,0
0.577118,0,0,0,0
0.578671,0,0,0,0
0.580222,0,0,0,0
0.581787,0,0,0,0
0.583338,0,0,0,0
0.584893,0,0,0,0
0.586447,0,0,0,0
0.587999,0,0,0,0
0.589562,0,0,0,0
0.591114,0,0,0,0
0.592725,0,0,0,0
0.594277,0,0,0,0
0.595828,0,0,0,0
0.597384,0,0,0,0
0.598936,0,0,0,0
0.600486,0,0,0,0
0.602044,0,0,0,0
0.603607,0,0,0,0
0.605160,0,0,0,0
0.606711,0,0,0,0
0.608262,0,0,0,0
0.609685,0,0,0,0
0.611207,0,0,0,0
0.612762,0,0,0,0
0.614327,0,0,0,0
0.615876,0,0,0,0
0.617431,0,0,0,0
0.618983,0,0,0,0
0.620533,0,0,0,0
0.622091,0,0,0,0
0.623642,0,0,0,0
0.625251,0,0,0,0
0.626804,0,0,0,0
0.628356,0,0,0,0
0.629912,0,0,0,0
0.631463,0,0,0,0
0.633015,0,0,0,0
0.634568,0,0,0,0
0.636131,0,0,0,0
0.637684,0,0,0,0
0.639236,0,0,0,0
0.640832,0,0,0,0
0.642385,0,0,0,0
0.643936,0,0,0,0
0.645488,0,0,0,0
0.647055,0,0,0,0
0.648607,0,0,0,0
0.650214,0,0,0,0
0.651605,0,0,0,0
0.653125,0,0,0,0
0.654628,0,0,0,0
0.656160,0,0,0,0
0.657727,0,0,0,0
0.659280,0,0,0,0
0.660836,0,0,0,0
0.662391,0,0,0,0
0.663942,0,0,0,0
0.665497,0,0,0,0
0.667050,0,0,0,0
0.668615,0,0,0,0
0.670191,0,0,0,0
0.671742,0,0,0,0
0.673338,0,0,0,0
0.674891,0,0,0,0
0.676442,0,0,0,0
0.677999,0,0,0,0
0.679562,0,0,0,0
0.681116,0,0,0,0
0.682668,0,0,0,0
0.684218,0,0,0,0
0.685770,0,0,0,0
0.687323,0,0,0,0
0.688918,0,0,0,0
0.690484,0,0,0,0
0.692036,0,0,0,0
0.693588,0,0,0,0
0.695141,0,0,0,0
0.696695,0,0,0,0
0.698248,0,0,0,0
0.699799,0,0,0,0
0.701363,0,0,0,0
0.702914,0,0,0,0
0.704465,0,0,0,0
0.706066,0,0,0,0
0.707615,0,0,0,0
0.709169,0,0,0,0
0.710722,0,0,0,0
0.712285,0,0,0,0
0.713921,0,0,0,0
0.715472,0,0,0,0
0.717025,0,0,0,0
0.718578,0,0,0,0
0.720128,0,0,0,0
0.721681,0,0,0,0
0.723257,0,0,0,0
0.724810,0,0,0,0
0.726402,0,0,0,0
0.727952,0,0,0,0
0.729505,0,0,0,0
0.731057,0,0,0,0
0.732607,0,0,0,0
0.734214,0,0,0,0
0.735765,0,0,0,0
0.737362,0,0,0,0
0.738914,0,0,0,0
0.740464,0,0,0,0
0.742016,0,0,0,0
0.743567,0,0,0,0
0.745132,0,0,0,0
0.746560,0,0,0,0
0.748083,0,0,0,0
0.749635,0,0,0,0
0.751187,0,0,0,0
0.752785,0,0,0,0
0.754337,0,0,0,0
0.755902,0,0,0,0
0.757455,0,0,0,0
0.759008,0,0,0,0
0.760558,0,0,0,0
0.762116,0,0,0,0
0.763666,0,0,0,0
0.765220,0,0,0,0
0.766659,0,0,0,0
0.768181,0,0,0,0
0.769735,0,0,0,0
0.771288,0,0,0,0
0.772843,0,0,0,0
0.774397,0,0,0,0
0.775947,0,0,0,0
0.777519,0,0,0,0
0.779072,0,0,0,0
0.780709,0,0,0,0
0.782107,0,0,0,0
0.783497,0,0,0,0
0.785059,0,0,0,0
0.786614,0,0,0,0
0.788177,0,0,0,0
0.789731,0,0,0,0
0.791284,0,0,0,0
0.792737,0,0,0,0
0.794292,0,0,0,0
0.795843,0,0,0,0
0.797396,0,0,0,0
0.798960,0,0,0,0
0.800512,0,0,0,0
0.802114,0,0,0,0
0.803664,0,0,0,0
0.805218,0,0,0,0
0.806769,0,0,0,0
0.808319,0,0,0,0
0.809842,0,0,0,0
0.811366,0,0,0,0
0.812921,0,0,0,0
0.814475,0,0,0,0
0.816026,0,0,0,0
0.817581,0,0,0,0
0.819135,0,0,0,0
0.820704,0,0,0,0
0.822260,0,0,0,0
0.823812,0,0,0,0
0.825367,0,0,0,0
0.826921,0,0,0,0
0.828473,0,0,0,0
0.829854,0,0,0,0
0.831256,0,0,0,0
0.832821,0,0,0,0
0.834377,0,0,0,0
0.835928,0,0,0,0
0.837483,0,0,0,0
0.839037,0,0,0,0
0.840588,0,0,0,0
0.841970,0,0,0,0
0.843361,0,0,0,0
0.844884,0,0,0,0
0.846438,0,0,0,0
0.847989,0,0,0,0
0.849542,0,0,0,0
0.851096,0,0,0,0
0.852664,0,0,0,0
0.854112,0,0,0,0
0.857029,0,0,0,0
0.858578,0,0,0,0
0.860120,0,0,0,0
0.861541,0,0,0,0
0.862948,0,0,0,0
0.864463,0,0,0,0
0.865844,0,0,0,0
0.867370,0,0,0,0
0.868930,0,0,0,0
0.870487,0,0,0,0
0.872043,0,0,0,0
0.873614,0,0,0,0
0.875174,0,0,0,0
0.876733,0,0,0,0
0.878292,0,0,0,0
0.879847,0,0,0,0
0.881450,0,0,0,0
0.883009,0,0,0,0
0.884578,0,0,0,0
0.885996,0,0,0,0
0.887392,0,0,0,0
0.888918,0,0,0,0
0.890477,0,0,0,0
0.892033,0,0,0,0
0.893590,0,0,0,0
0.895160,0,0,0,0
0.896763,0,0,0,0
0.898321,0,0,0,0
0.899877,0,0,0,0
0.901436,0,0,0,0
0.902994,0,0,0,0
0.904551,0,0,0,0
0.906127,0,0,0,0
0.907683,0,0,0,0
0.909243,0,0,0,0
0.910801,0,0,0,0
0.912357,0,0,0,0
0.913964,0,0,0,0
