elapsed_s,CCHE_GMEM0_LOCAL_RD_REQUEST,CCHE_GMEM0_LOCAL_WR_REQUEST,CCHE_GMEM1_LOCAL_RD_REQUEST,CCHE_GMEM1_LOCAL_WR_REQUEST,CCHE_GMEM0_REMOTE_RD_REQUEST,CCHE_GMEM0_REMOTE_WR_REQUEST,CCHE_GMEM1_REMOTE_RD_REQUEST,CCHE_GMEM1_REMOTE_WR_REQUEST,CCHE_STALL_CYCLES_TP,CCHE_ATOMIC_REQUESTS_SP_TOTAL,CCHE_ATOMIC_PACKING_BEAT_SP_TOTAL
0.001131,0,0,0,0,0,0,0,0,0,0,0
0.002753,0,0,0,0,0,0,0,0,0,0,0
0.004344,0,0,0,0,0,0,0,0,0,0,0
0.006114,0,0,0,0,0,0,0,0,0,0,0
0.007703,0,0,0,0,0,0,0,0,0,0,0
0.009304,0,0,0,0,0,0,0,0,0,0,0
0.010892,0,0,0,0,0,0,0,0,0,0,0
0.013258,0,0,0,0,0,0,0,0,0,0,0
0.015110,0,0,0,0,0,0,0,0,0,0,0
0.016706,0,0,0,0,0,0,0,0,0,0,0
0.018325,0,0,0,0,0,0,0,0,0,0,0
0.019926,0,0,0,0,0,0,0,0,0,0,0
0.021482,0,0,0,0,0,0,0,0,0,0,0
0.023006,0,0,0,0,0,0,0,0,0,0,0
0.024525,0,0,0,0,0,0,0,0,0,0,0
0.026110,0,0,0,0,0,0,0,0,0,0,0
0.027629,0,0,0,0,0,0,0,0,0,0,0
0.029221,0,0,0,0,0,0,0,0,0,0,0
0.030786,0,0,0,0,0,0,0,0,0,0,0
0.032307,0,0,0,0,0,0,0,0,0,0,0
0.033859,0,0,0,0,0,0,0,0,0,0,0
0.035323,0,0,0,0,0,0,0,0,0,0,0
0.036775,0,0,0,0,0,0,0,0,0,0,0
0.038277,0,0,0,0,0,0,0,0,0,0,0
0.039643,0,0,0,0,0,0,0,0,0,0,0
0.041060,0,0,0,0,0,0,0,0,0,0,0
0.042425,0,0,0,0,0,0,0,0,0,0,0
0.043892,0,0,0,0,0,0,0,0,0,0,0
0.045245,0,0,0,0,0,0,0,0,0,0,0
0.046598,0,0,0,0,0,0,0,0,0,0,0
0.047950,0,0,0,0,0,0,0,0,0,0,0
0.049465,0,0,0,0,0,0,0,0,0,0,0
0.050818,0,0,0,0,0,0,0,0,0,0,0
0.052289,0,0,0,0,0,0,0,0,0,0,0
0.053801,0,0,0,0,0,0,0,0,0,0,0
0.055204,0,0,0,0,0,0,0,0,0,0,0
0.056607,0,0,0,0,0,0,0,0,0,0,0
0.058019,0,0,0,0,0,0,0,0,0,0,0
0.059423,0,0,0,0,0,0,0,0,0,0,0
0.060866,0,0,0,0,0,0,0,0,0,0,0
0.062166,0,0,0,0,0,0,0,0,0,0,0
0.063658,0,0,0,0,0,0,0,0,0,0,0
0.065015,0,0,0,0,0,0,0,0,0,0,0
0.066313,0,0,0,0,0,0,0,0,0,0,0
0.067612,0,0,0,0,0,0,0,0,0,0,0
0.069068,0,0,0,0,0,0,0,0,0,0,0
0.070474,0,0,0,0,0,0,0,0,0,0,0
0.071879,0,0,0,0,0,0,0,0,0,0,0
0.073334,0,0,0,0,0,0,0,0,0,0,0
0.074751,0,0,0,0,0,0,0,0,0,0,0
0.076158,0,0,0,0,0,0,0,0,0,0,0
0.077614,0,0,0,0,0,0,0,0,0,0,0
0.079087,0,0,0,0,0,0,0,0,0,0,0
0.080554,0,0,0,0,0,0,0,0,0,0,0
0.082041,0,0,0,0,0,0,0,0,0,0,0
0.083343,0,0,0,0,0,0,0,0,0,0,0
0.084755,0,0,0,0,0,0,0,0,0,0,0
0.086094,0,0,0,0,0,0,0,0,0,0,0
0.087559,0,0,0,0,0,0,0,0,0,0,0
0.089076,0,0,0,0,0,0,0,0,0,0,0
0.090430,0,0,0,0,0,0,0,0,0,0,0
0.091896,0,0,0,0,0,0,0,0,0,0,0
0.093364,0,0,0,0,0,0,0,0,0,0,0
0.094716,0,0,0,0,0,0,0,0,0,0,0
0.096188,0,0,0,0,0,0,0,0,0,0,0
0.097704,0,0,0,0,0,0,0,0,0,0,0
0.099083,0,0,0,0,0,0,0,0,0,0,0
0.100554,0,0,0,0,0,0,0,0,0,0,0
0.101773,0,0,0,0,0,0,0,0,0,0,0
0.103170,0,0,0,0,0,0,0,0,0,0,0
0.104567,0,0,0,0,0,0,0,0,0,0,0
0.105948,0,0,0,0,0,0,0,0,0,0,0
0.107350,0,0,0,0,0,0,0,0,0,0,0
0.108748,0,0,0,0,0,0,0,0,0,0,0
0.110045,0,0,0,0,0,0,0,0,0,0,0
0.111333,0,0,0,0,0,0,0,0,0,0,0
0.112733,0,0,0,0,0,0,0,0,0,0,0
0.114046,0,0,0,0,0,0,0,0,0,0,0
0.115503,0,0,0,0,0,0,0,0,0,0,0
0.116806,0,0,0,0,0,0,0,0,0,0,0
0.118118,0,0,0,0,0,0,0,0,0,0,0
0.119523,0,0,0,0,0,0,0,0,0,0,0
0.120974,0,0,0,0,0,0,0,0,0,0,0
0.122379,0,0,0,0,0,0,0,0,0,0,0
0.123668,0,0,0,0,0,0,0,0,0,0,0
0.125067,0,0,0,0,0,0,0,0,0,0,0
0.126465,0,0,0,0,0,0,0,0,0,0,0
0.127864,0,0,0,0,0,0,0,0,0,0,0
0.129281,0,0,0,0,0,0,0,0,0,0,0
0.130628,0,0,0,0,0,0,0,0,0,0,0
0.131975,0,0,0,0,0,0,0,0,0,0,0
0.133319,0,0,0,0,0,0,0,0,0,0,0
0.134666,0,0,0,0,0,0,0,0,0,0,0
0.136012,0,0,0,0,0,0,0,0,0,0,0
0.137359,0,0,0,0,0,0,0,0,0,0,0
0.138706,0,0,0,0,0,0,0,0,0,0,0
0.140061,0,0,0,0,0,0,0,0,0,0,0
0.141410,0,0,0,0,0,0,0,0,0,0,0
0.142758,0,0,0,0,0,0,0,0,0,0,0
0.144104,0,0,0,0,0,0,0,0,0,0,0
0.145501,0,0,0,0,0,0,0,0,0,0,0
0.146879,0,0,0,0,0,0,0,0,0,0,0
