elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.001278,0,0,0,0,0,0,0,0,0,0,0,0
0.003059,0,0,0,0,0,0,0,0,0,0,0,0
0.004776,0,0,0,0,0,0,0,0,0,0,0,0
0.006387,0,0,0,0,0,0,0,0,0,0,0,0
0.008043,0,0,0,0,0,0,0,0,0,0,0,0
0.009607,0,0,0,0,0,0,0,0,0,0,0,0
0.011169,0,0,0,0,0,0,0,0,0,0,0,0
0.012737,0,0,0,0,0,0,0,0,0,0,0,0
0.014299,0,0,0,0,0,0,0,0,0,0,0,0
0.016102,0,0,0,0,0,0,0,0,0,0,0,0
0.017777,0,0,0,0,0,0,0,0,0,0,0,0
0.019414,0,0,0,0,0,0,0,0,0,0,0,0
0.021022,0,0,0,0,0,0,0,0,0,0,0,0
0.022603,0,0,0,0,0,0,0,0,0,0,0,0
0.024279,0,0,0,0,0,0,0,0,0,0,0,0
0.025856,0,0,0,0,0,0,0,0,0,0,0,0
0.027497,0,0,0,0,0,0,0,0,0,0,0,0
0.029085,0,0,0,0,0,0,0,0,0,0,0,0
0.030662,0,0,0,0,0,0,0,0,0,0,0,0
0.032310,0,0,0,0,0,0,0,0,0,0,0,0
0.034150,0,0,0,0,0,0,0,0,0,0,0,0
0.035716,0,0,0,0,0,0,0,0,0,0,0,0
0.037240,0,0,0,0,0,0,0,0,0,0,0,0
0.038765,0,0,0,0,0,0,0,0,0,0,0,0
0.040444,0,0,0,0,0,0,0,0,0,0,0,0
0.041927,0,0,0,0,0,0,0,0,0,0,0,0
0.043405,0,0,0,0,0,0,0,0,0,0,0,0
0.044882,0,0,0,0,0,0,0,0,0,0,0,0
0.046358,0,0,0,0,0,0,0,0,0,0,0,0
0.047826,0,0,0,0,0,0,0,0,0,0,0,0
0.049234,0,0,0,0,0,0,0,0,0,0,0,0
0.050696,0,0,0,0,0,0,0,0,0,0,0,0
0.052035,0,0,0,0,0,0,0,0,0,0,0,0
0.053445,0,0,0,0,0,0,0,0,0,0,0,0
0.054855,0,0,0,0,0,0,0,0,0,0,0,0
0.056266,0,0,0,0,0,0,0,0,0,0,0,0
0.057675,0,0,0,0,0,0,0,0,0,0,0,0
0.059084,0,0,0,0,0,0,0,0,0,0,0,0
0.060494,0,0,0,0,0,0,0,0,0,0,0,0
0.061907,0,0,0,0,0,0,0,0,0,0,0,0
0.063315,0,0,0,0,0,0,0,0,0,0,0,0
0.064723,0,0,0,0,0,0,0,0,0,0,0,0
0.066188,0,0,0,0,0,0,0,0,0,0,0,0
0.067666,0,0,0,0,0,0,0,0,0,0,0,0
0.068978,0,0,0,0,0,0,0,0,0,0,0,0
0.070392,0,0,0,0,0,0,0,0,0,0,0,0
0.071807,0,0,0,0,0,0,0,0,0,0,0,0
0.073224,0,0,0,0,0,0,0,0,0,0,0,0
0.074635,0,0,0,0,0,0,0,0,0,0,0,0
0.076024,0,0,0,0,0,0,0,0,0,0,0,0
0.077496,0,0,0,0,0,0,0,0,0,0,0,0
0.078921,0,0,0,0,0,0,0,0,0,0,0,0
0.080396,0,0,0,0,0,0,0,0,0,0,0,0
0.081869,0,0,0,0,0,0,0,0,0,0,0,0
0.083400,0,0,0,0,0,0,0,0,0,0,0,0
0.084973,0,0,0,0,0,0,0,0,0,0,0,0
0.086450,0,0,0,0,0,0,0,0,0,0,0,0
0.087811,0,0,0,0,0,0,0,0,0,0,0,0
0.089284,0,0,0,0,0,0,0,0,0,0,0,0
0.090755,0,0,0,0,0,0,0,0,0,0,0,0
0.092227,0,0,0,0,0,0,0,0,0,0,0,0
0.093784,0,0,0,0,0,0,0,0,0,0,0,0
0.095304,0,0,0,0,0,0,0,0,0,0,0,0
0.096764,0,0,0,0,0,0,0,0,0,0,0,0
0.098225,0,0,0,0,0,0,0,0,0,0,0,0
0.099685,0,0,0,0,0,0,0,0,0,0,0,0
0.101145,0,0,0,0,0,0,0,0,0,0,0,0
0.102606,0,0,0,0,0,0,0,0,0,0,0,0
0.104078,524288,0,0,0,0,0,0,0,0,0,0,0
0.105288,0,0,0,0,0,0,0,0,0,0,0,0
0.106697,0,0,0,0,0,0,0,0,0,0,0,0
0.108101,0,0,0,0,0,0,0,0,0,0,0,0
0.109505,0,0,0,0,0,0,0,0,0,0,0,0
0.110907,0,0,0,0,0,0,0,0,0,0,0,0
0.112254,0,0,0,0,0,0,0,0,0,0,0,0
0.113710,0,0,0,0,0,0,0,0,0,0,0,0
0.115165,0,0,0,0,0,0,0,0,0,0,0,0
0.116617,0,0,0,0,0,0,0,0,0,0,0,0
0.118068,0,0,0,0,0,0,0,0,0,0,0,0
0.119521,0,0,0,0,0,0,0,0,0,0,0,0
0.120974,0,0,0,0,0,0,0,0,0,0,0,0
0.122428,0,0,0,0,0,0,0,0,0,0,0,0
0.123880,0,0,0,0,0,0,0,0,0,0,0,0
0.125340,0,0,0,0,0,0,0,0,0,0,0,0
0.126793,0,0,0,0,0,0,0,0,0,0,0,0
0.128247,0,0,0,0,0,0,0,0,0,0,0,0
0.129699,0,0,0,0,0,0,0,0,0,0,0,0
0.131311,0,0,0,0,0,0,0,0,0,0,0,0
0.132720,0,0,0,0,0,0,0,0,0,0,0,0
0.134083,0,0,0,0,0,0,0,0,0,0,0,0
0.135456,0,0,0,0,0,0,0,0,0,0,0,0
0.136804,0,0,0,0,0,0,0,0,0,0,0,0
0.138153,0,0,0,0,0,0,0,0,0,0,0,0
0.139502,0,0,0,0,0,0,0,0,0,0,0,0
0.140850,0,0,0,0,0,0,0,0,0,0,0,0
0.142199,0,0,0,0,0,0,0,0,0,0,0,0
