elapsed_s,TP_RESERVED_84,TP_RESERVED_85,TP_RESERVED_86,TP_RESERVED_87,TP_RESERVED_88,TP_RESERVED_89,TP_RESERVED_90,TP_RESERVED_91,TP_RESERVED_92,TP_RESERVED_93,TP_RESERVED_94,TP_RESERVED_95
0.001172,0,0,0,0,0,0,0,0,0,0,0,0
0.002856,0,0,0,0,0,0,0,0,0,0,0,0
0.004470,0,0,0,0,0,0,0,0,0,0,0,0
0.006081,0,0,0,0,0,0,0,0,0,0,0,0
0.007687,0,0,0,0,0,0,0,0,0,0,0,0
0.009361,0,0,0,0,0,0,0,0,0,0,0,0
0.010966,0,0,0,0,0,0,0,0,0,0,0,0
0.012570,0,0,0,0,0,0,0,0,0,0,0,0
0.014204,0,0,0,0,0,0,0,0,0,0,0,0
0.015834,0,0,0,0,0,0,0,0,0,0,0,0
0.017487,0,0,0,0,0,0,0,0,0,0,0,0
0.019074,0,0,0,0,0,0,0,0,0,0,0,0
0.020672,0,0,0,0,0,0,0,0,0,0,0,0
0.022250,0,0,0,0,0,0,0,0,0,0,0,0
0.023827,0,0,0,0,0,0,0,0,0,0,0,0
0.025414,0,0,0,0,0,0,0,0,0,0,0,0
0.027063,0,0,0,0,0,0,0,0,0,0,0,0
0.028639,0,0,0,0,0,0,0,0,0,0,0,0
0.030216,0,0,0,0,0,0,0,0,0,0,0,0
0.031973,0,0,0,0,0,0,0,0,0,0,0,0
0.033670,0,0,0,0,0,0,0,0,0,0,0,0
0.035156,0,0,0,0,0,0,0,0,0,0,0,0
0.036636,0,0,0,0,0,0,0,0,0,0,0,0
0.038163,0,0,0,0,0,0,0,0,0,0,0,0
0.039640,0,0,0,0,0,0,0,0,0,0,0,0
0.041117,0,0,0,0,0,0,0,0,0,0,0,0
0.042601,0,0,0,0,0,0,0,0,0,0,0,0
0.044078,0,0,0,0,0,0,0,0,0,0,0,0
0.045594,0,0,0,0,0,0,0,0,0,0,0,0
0.047005,0,0,0,0,0,0,0,0,0,0,0,0
0.048415,0,0,0,0,0,0,0,0,0,0,0,0
0.049826,0,0,0,0,0,0,0,0,0,0,0,0
0.051236,0,0,0,0,0,0,0,0,0,0,0,0
0.052651,0,0,0,0,0,0,0,0,0,0,0,0
0.054112,0,0,0,0,0,0,0,0,0,0,0,0
0.055522,0,0,0,0,0,0,0,0,0,0,0,0
0.056931,0,0,0,0,0,0,0,0,0,0,0,0
0.058371,0,0,0,0,0,0,0,0,0,0,0,0
0.059782,0,0,0,0,0,0,0,0,0,0,0,0
0.061193,0,0,0,0,0,0,0,0,0,0,0,0
0.062556,0,0,0,0,0,0,0,0,0,0,0,0
0.064029,0,0,0,0,0,0,0,0,0,0,0,0
0.065506,0,0,0,0,0,0,0,0,0,0,0,0
0.066919,0,0,0,0,0,0,0,0,0,0,0,0
0.068347,0,0,0,0,0,0,0,0,0,0,0,0
0.069808,0,0,0,0,0,0,0,0,0,0,0,0
0.071225,0,0,0,0,0,0,0,0,0,0,0,0
0.072637,0,0,0,0,0,0,0,0,0,0,0,0
0.074058,0,0,0,0,0,0,0,0,0,0,0,0
0.075468,0,0,0,0,0,0,0,0,0,0,0,0
0.076878,0,0,0,0,0,0,0,0,0,0,0,0
0.078382,0,0,0,0,0,0,0,0,0,0,0,0
0.079855,0,0,0,0,0,0,0,0,0,0,0,0
0.081411,0,0,0,0,0,0,0,0,0,0,0,0
0.083234,0,0,0,0,0,0,0,0,0,0,0,0
0.084837,0,0,0,0,0,0,0,0,0,0,0,0
0.086432,0,0,0,0,0,0,0,0,0,0,0,0
0.087953,0,0,0,0,0,0,0,0,0,0,0,0
