elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.001186,0,0,0,0,0,0,0,0,0,0,0,0
0.002852,0,0,0,0,0,0,0,0,0,0,0,0
0.004459,0,0,0,0,0,0,0,0,0,0,0,0
0.006066,0,0,0,0,0,0,0,0,0,0,0,0
0.007683,0,0,0,0,0,0,0,0,0,0,0,0
0.009339,0,0,0,0,0,0,0,0,0,0,0,0
0.011170,0,0,0,0,0,0,0,0,0,0,0,0
0.012792,0,0,0,0,0,0,0,0,0,0,0,0
0.014426,0,0,0,0,0,0,0,0,0,0,0,0
0.016198,0,0,0,0,0,0,0,0,0,0,0,0
0.017954,0,0,0,0,0,0,0,0,0,0,0,0
0.019592,0,0,0,0,0,0,0,0,0,0,0,0
0.021394,0,0,0,0,0,0,0,0,0,0,0,0
0.023065,0,0,0,0,0,0,0,0,0,0,0,0
0.024686,0,0,0,0,0,0,0,0,0,0,0,0
0.026290,0,0,0,0,0,0,0,0,0,0,0,0
0.028008,0,0,0,0,0,0,0,0,0,0,0,0
0.029663,0,0,0,0,0,0,0,0,0,0,0,0
0.031237,0,0,0,0,0,0,0,0,0,0,0,0
0.032893,0,0,0,0,0,0,0,0,0,0,0,0
0.034456,0,0,0,0,0,0,0,0,0,0,0,0
0.036021,0,0,0,0,0,0,0,0,0,0,0,0
0.037673,0,0,0,0,0,0,0,0,0,0,0,0
0.039274,0,0,0,0,0,0,0,0,0,0,0,0
0.041034,0,0,0,0,0,0,0,0,0,0,0,0
0.042607,0,0,0,0,0,0,0,0,0,0,0,0
0.044185,0,0,0,0,0,0,0,0,0,0,0,0
0.045761,0,0,0,0,0,0,0,0,0,0,0,0
0.047337,0,0,0,0,0,0,0,0,0,0,0,0
0.049011,0,0,0,0,0,0,0,0,0,0,0,0
0.050592,0,0,0,0,0,0,0,0,0,0,0,0
0.052208,0,0,0,0,0,0,0,0,0,0,0,0
0.053681,0,0,0,0,0,0,0,0,0,0,0,0
0.055107,0,0,0,0,0,0,0,0,0,0,0,0
0.056562,0,0,0,0,0,0,0,0,0,0,0,0
0.057922,0,0,0,0,0,0,0,0,0,0,0,0
0.059282,0,0,0,0,0,0,0,0,0,0,0,0
0.060689,0,0,0,0,0,0,0,0,0,0,0,0
0.062223,0,0,0,0,0,0,0,0,0,0,0,0
0.063633,0,0,0,0,0,0,0,0,0,0,0,0
0.065075,0,0,0,0,0,0,0,0,0,0,0,0
0.066440,0,0,0,0,0,0,0,0,0,0,0,0
0.067803,0,0,0,0,0,0,0,0,0,0,0,0
0.069165,0,0,0,0,0,0,0,0,0,0,0,0
0.070650,0,0,0,0,0,0,0,0,0,0,0,0
0.072167,0,0,0,0,0,0,0,0,0,0,0,0
0.073534,0,0,0,0,0,0,0,0,0,0,0,0
0.074893,0,0,0,0,0,0,0,0,0,0,0,0
0.076298,0,0,0,0,0,0,0,0,0,0,0,0
0.077596,0,0,0,0,0,0,0,0,0,0,0,0
0.079014,0,0,0,0,0,0,0,0,0,0,0,0
0.080365,0,0,0,0,0,0,0,0,0,0,0,0
0.081777,0,0,0,0,0,0,0,0,0,0,0,0
0.083197,0,0,0,0,0,0,0,0,0,0,0,0
0.084500,0,0,0,0,0,0,0,0,0,0,0,0
0.085912,0,0,0,0,0,0,0,0,0,0,0,0
0.087325,0,0,0,0,0,0,0,0,0,0,0,0
0.088765,0,0,0,0,0,0,0,0,0,0,0,0
0.090180,0,0,0,0,0,0,0,0,0,0,0,0
0.091592,0,0,0,0,0,0,0,0,0,0,0,0
0.092939,0,0,0,0,0,0,0,0,0,0,0,0
0.094415,0,0,0,0,0,0,0,0,0,0,0,0
0.095942,0,0,0,0,0,0,0,0,0,0,0,0
0.097441,0,0,0,0,0,0,0,0,0,0,0,0
0.098754,0,0,0,0,0,0,0,0,0,0,0,0
0.100287,0,0,0,0,0,0,0,0,0,0,0,0
0.101646,0,0,0,0,0,0,0,0,0,0,0,0
0.103004,0,0,0,0,0,0,0,0,0,0,0,0
0.104413,0,0,0,0,0,0,0,0,0,0,0,0
0.105771,0,0,0,0,0,0,0,0,0,0,0,0
0.107195,0,0,0,0,0,0,0,0,0,0,0,0
0.108959,0,0,0,0,0,0,0,0,0,0,0,0
0.110428,0,0,0,0,0,0,0,0,0,0,0,0
0.111902,0,0,0,0,0,0,0,0,0,0,0,0
0.113381,0,0,0,0,0,0,0,0,0,0,0,0
0.114855,0,0,0,0,0,0,0,0,0,0,0,0
0.116328,0,0,0,0,0,0,0,0,0,0,0,0
0.117823,0,0,0,0,0,0,0,0,0,0,0,0
0.119301,0,0,0,0,0,0,0,0,0,0,0,0
0.120477,0,0,0,0,0,0,0,0,0,0,0,0
0.121880,0,0,0,0,0,0,0,0,0,0,0,0
0.123282,0,0,0,0,0,0,0,0,0,0,0,0
0.124575,0,0,0,0,0,0,0,0,0,0,0,0
0.125982,0,0,0,0,0,0,0,0,0,0,0,0
0.127384,0,0,0,0,0,0,0,0,0,0,0,0
0.128802,0,0,0,0,0,0,0,0,0,0,0,0
0.130205,0,0,0,0,0,0,0,0,0,0,0,0
0.131609,0,0,0,0,0,0,0,0,0,0,0,0
0.132901,0,0,0,0,0,0,0,0,0,0,0,0
0.134312,0,0,0,0,0,0,0,0,0,0,0,0
0.135733,0,0,0,0,0,0,0,0,0,0,0,0
0.137026,0,0,0,0,0,0,0,0,0,0,0,0
0.138431,0,0,0,0,0,0,0,0,0,0,0,0
0.139839,0,0,0,0,0,0,0,0,0,0,0,0
0.141131,0,0,0,0,0,0,0,0,0,0,0,0
0.142534,0,0,0,0,0,0,0,0,0,0,0,0
0.143941,0,0,0,0,0,0,0,0,0,0,0,0
0.145343,0,0,0,0,0,0,0,0,0,0,0,0
0.146745,0,0,0,0,0,0,0,0,0,0,0,0
0.148148,0,0,0,0,0,0,0,0,0,0,0,0
0.149550,0,0,0,0,0,0,0,0,0,0,0,0
0.150846,0,0,0,0,0,0,0,0,0,0,0,0
0.152270,0,0,0,0,0,0,0,0,0,0,0,0
0.153653,0,0,0,0,0,0,0,0,0,0,0,0
0.155036,0,0,0,0,0,0,0,0,0,0,0,0
0.156416,0,0,0,0,0,0,0,0,0,0,0,0
0.157798,0,0,0,0,0,0,0,0,0,0,0,0
0.159178,0,0,0,0,0,0,0,0,0,0,0,0
0.160560,0,0,0,0,0,0,0,0,0,0,0,0
0.161953,0,0,0,0,0,0,0,0,0,0,0,0
0.163335,0,0,0,0,0,0,0,0,0,0,0,0
0.164717,0,0,0,0,0,0,0,0,0,0,0,0
0.166098,0,0,0,0,0,0,0,0,0,0,0,0
0.167479,0,0,0,0,0,0,0,0,0,0,0,0
0.168901,0,0,0,0,0,0,0,0,0,0,0,0
0.170283,0,0,0,0,0,0,0,0,0,0,0,0
0.171663,0,0,0,0,0,0,0,0,0,0,0,0
0.173065,0,0,0,0,0,0,0,0,0,0,0,0
0.174446,0,0,0,0,0,0,0,0,0,0,0,0
0.175828,0,0,0,0,0,0,0,0,0,0,0,0
0.177210,0,0,0,0,0,0,0,0,0,0,0,0
0.178590,0,0,0,0,0,0,0,0,0,0,0,0
0.179971,0,0,0,0,0,0,0,0,0,0,0,0
0.181353,0,0,0,0,0,0,0,0,0,0,0,0
0.182733,0,0,0,0,0,0,0,0,0,0,0,0
0.184316,0,0,0,0,0,0,0,0,0,0,0,0
0.185928,0,0,0,0,0,0,0,0,0,0,0,0
0.187522,0,0,0,0,0,0,0,0,0,0,0,0
0.189123,0,0,0,0,0,0,0,0,0,0,0,0
0.190717,0,0,0,0,0,0,0,0,0,0,0,0
0.192316,0,0,0,0,0,0,0,0,0,0,0,0
0.193914,0,0,0,0,0,0,0,0,0,0,0,0
0.195395,0,0,0,0,0,0,0,0,0,0,0,0
0.196919,0,0,0,0,0,0,0,0,0,0,0,0
0.198352,0,0,0,0,0,0,0,0,0,0,0,0
0.199826,0,0,0,0,0,0,0,0,0,0,0,0
