elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.001096,0,0,0,0,0,0,0,0
0.002575,0,0,0,0,0,0,0,0
0.004031,0,0,0,0,0,0,0,0
0.005488,0,0,0,0,0,0,0,0
0.006944,0,0,0,0,0,0,0,0
0.008757,0,0,0,0,0,0,0,0
0.010222,0,0,0,0,0,0,0,0
0.011680,0,0,0,0,0,0,0,0
0.013132,0,0,0,0,0,0,0,0
0.014579,0,0,0,0,0,0,0,0
0.016005,0,0,0,0,0,0,0,0
0.017435,0,0,0,0,0,0,0,0
0.018863,0,0,0,0,0,0,0,0
0.020297,0,0,0,0,0,0,0,0
0.021721,0,0,0,0,0,0,0,0
0.023147,0,0,0,0,0,0,0,0
0.024574,0,0,0,0,0,0,0,0
0.026001,0,0,0,0,0,0,0,0
0.027491,0,0,0,0,0,0,0,0
0.028918,0,0,0,0,0,0,0,0
0.030366,0,0,0,0,0,0,0,0
0.031775,0,0,0,0,0,0,0,0
0.033184,0,0,0,0,0,0,0,0
0.034592,0,0,0,0,0,0,0,0
0.036195,0,0,0,0,0,0,0,0
0.038223,0,0,0,0,0,0,0,0
0.039633,0,0,0,0,0,0,0,0
0.041051,0,0,0,0,0,0,0,0
0.042464,0,0,0,0,0,0,0,0
0.043874,0,0,0,0,0,0,0,0
0.045284,0,0,0,0,0,0,0,0
0.046686,0,0,0,0,0,0,0,0
0.048058,0,0,0,0,0,0,0,0
0.049428,0,0,0,0,0,0,0,0
0.050800,0,0,0,0,0,0,0,0
0.052179,0,0,0,0,0,0,0,0
0.053551,0,0,0,0,0,0,0,0
0.054922,0,0,0,0,0,0,0,0
0.056297,0,0,0,0,0,0,0,0
0.057669,0,0,0,0,0,0,0,0
0.059038,0,0,0,0,0,0,0,0
0.060363,0,0,0,0,0,0,0,0
0.061689,0,0,0,0,0,0,0,0
0.063039,0,0,0,0,0,0,0,0
0.064498,0,0,0,0,0,0,0,0
0.065915,0,0,0,0,0,0,0,0
0.067424,0,0,0,0,0,0,0,0
0.068979,0,0,0,0,0,0,0,0
0.070385,0,0,0,0,0,0,0,0
0.071762,0,0,0,0,0,0,0,0
0.073222,0,0,0,0,0,0,0,0
0.074592,0,0,0,0,0,0,0,0
0.075963,0,0,0,0,0,0,0,0
0.077328,0,0,0,0,0,0,0,0
0.078745,0,0,0,0,0,0,0,0
0.080050,0,0,0,0,0,0,0,0
0.081467,0,0,0,0,0,0,0,0
0.082876,0,0,0,0,0,0,0,0
0.084297,0,0,0,0,0,0,0,0
0.085705,0,0,0,0,0,0,0,0
0.087136,0,0,0,0,0,0,0,0
0.088618,0,0,0,0,0,0,0,0
0.090015,0,0,0,0,0,0,0,0
0.091645,0,0,0,0,0,0,0,0
0.092908,0,0,0,0,0,0,0,0
0.094340,0,0,0,0,0,0,0,0
0.096310,0,0,0,0,0,0,0,0
0.097718,0,0,0,0,0,0,0,0
0.099124,0,0,0,0,0,0,0,0
0.100532,0,0,0,0,0,0,0,0
0.101939,0,0,0,0,0,0,0,0
0.103478,0,0,0,0,0,0,0,0
0.104911,0,0,0,0,0,0,0,0
0.106542,0,0,0,0,0,0,0,0
0.108010,0,0,0,0,0,0,0,0
0.109411,0,0,0,0,0,0,0,0
0.114307,0,0,0,0,0,0,0,0
0.115718,0,0,0,0,0,0,0,0
0.117118,0,0,0,0,0,0,0,0
0.118521,0,0,0,0,0,0,0,0
0.119923,0,0,0,0,0,0,0,0
0.121324,0,0,0,0,0,0,0,0
0.122790,0,0,0,0,0,0,0,0
0.124947,0,0,0,0,0,0,0,0
0.126457,0,0,0,0,0,0,0,0
0.127921,0,0,0,0,0,0,0,0
0.129339,0,0,0,0,0,0,0,0
