elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.001296,0,114422,1146,1145,0,0,0,0,0,0,0,0,0,0
0.002830,0,98409,1064,1063,0,0,0,0,0,0,0,0,0,0
0.004251,0,96319,1081,1080,0,0,0,0,0,0,0,0,0,0
0.005612,0,84972,1085,1084,0,0,0,0,0,0,0,0,0,0
0.006972,0,85207,1069,1068,0,0,0,0,0,0,0,0,0,0
0.008335,0,84682,1073,1072,0,0,0,0,0,0,0,0,0,0
0.009659,0,88191,4531,5629,0,1211,6726,0,0,0,0,0,0,0
0.011187,0,311398,71967,311223,1,0,20483,12485,0,0,0,0,52,0
0.012487,0,265309,4785,264079,0,0,0,0,0,0,0,0,96,1
0.013726,0,116024,2067,14123,0,0,0,0,0,0,0,0,4,2
0.015186,0,84968,1119,1118,0,0,0,0,0,0,0,0,0,0
0.016551,0,110531,1113,1112,0,0,0,0,0,0,0,0,0,0
0.017959,0,108421,1111,1110,0,0,0,0,0,0,0,0,0,0
0.019421,0,85827,1208,1207,0,0,0,0,0,0,0,0,0,0
0.020799,0,87256,1212,1211,0,0,0,0,0,0,0,0,0,0
0.022183,0,281753,21517,248802,0,0,0,0,0,0,0,0,45,0
0.023416,0,275214,6375,275212,0,0,0,0,0,0,0,0,96,1
0.024655,0,114713,2301,13704,0,0,0,0,0,0,0,0,4,2
0.026065,0,108320,1194,1193,0,0,0,0,0,0,0,0,0,0
0.027482,0,89329,1124,1123,0,0,0,0,0,0,0,0,0,0
0.028895,0,92175,1104,1103,0,0,0,0,0,0,0,0,0,0
0.030375,0,173715,20227,87564,0,0,0,0,0,0,0,0,33,0
0.031678,0,289520,5523,289713,0,0,0,0,0,0,0,0,108,1
0.032979,0,245862,1986,158985,0,0,0,0,0,0,0,0,4,2
0.034430,0,97281,1080,1079,0,0,0,0,0,0,0,0,0,0
0.035884,0,96970,1067,1066,0,0,0,0,0,0,0,0,0,0
0.037323,0,95122,1078,1077,0,0,0,0,0,0,0,0,0,0
0.038779,0,155493,48880,51696,1,485,18678,12560,0,0,0,0,11,2
0.040337,0,298718,62264,229479,1,317,28458,11066,0,0,0,0,33,0
0.041573,0,276758,4708,276927,0,0,0,0,0,0,0,0,108,1
0.042881,0,157775,1823,71259,0,0,0,0,0,0,0,0,4,2
0.044337,0,97902,1051,1050,0,0,0,0,0,0,0,0,0,0
0.045762,0,96280,1055,1054,0,0,0,0,0,0,0,0,0,0
0.047393,0,363922,116663,174282,2,918,46915,23203,0,0,0,0,106,6
0.048834,0,288749,2256,288014,0,0,0,0,0,0,0,0,47,0
0.050117,0,346277,63574,300627,1,367,28599,15176,0,0,0,0,88,5
0.051691,0,685753,103935,587526,1,1181,38416,32075,0,0,0,0,35,14
0.052982,0,1425638,211,1422825,0,0,0,0,0,0,0,0,26,13
0.054275,0,1414201,180,1411827,0,0,0,0,0,0,0,0,26,13
0.055537,0,1391355,297587,1375792,2,7044,255639,138302,0,0,0,0,151,6
0.056767,0,1363107,281350,1344277,2,5132,268526,121646,0,0,0,0,37,10
0.058020,0,1368357,5190,1366800,0,0,0,16367,0,0,0,0,26,13
0.059241,0,1339183,180,1339183,0,0,0,0,0,0,0,0,24,12
0.060455,0,1333923,180,1333906,0,0,0,0,0,0,0,0,24,12
0.061734,0,1429012,210,1432637,0,0,0,0,0,0,0,0,26,13
0.063034,0,1526431,210,1528873,0,271368,0,0,0,0,0,0,28,14
0.064499,0,1526757,210,1523364,0,1522987,0,0,0,0,0,0,28,14
0.065835,0,1458202,195,1458010,0,1461326,0,0,0,0,0,0,28,14
0.067152,0,1443160,210,1442015,0,1439120,0,0,0,0,0,0,26,13
0.068458,0,1432813,195,1432802,0,1432406,0,0,0,0,0,0,26,14
0.069915,0,1605970,225,1606055,0,1606045,0,0,0,0,0,0,30,14
0.071312,0,1627312,225,1627205,0,1627235,0,0,0,0,0,0,30,15
0.072698,0,1495016,195,1495067,0,1495405,0,0,0,0,0,0,28,14
0.074045,0,1422300,195,1422212,0,1421733,0,0,0,0,0,0,26,13
0.075345,0,1425453,210,1425494,0,1425529,0,0,0,0,0,0,26,13
0.076639,0,1423664,195,1423665,0,1423637,0,0,0,0,0,0,26,13
0.077939,0,1431554,195,1431556,0,1431611,0,0,0,0,0,0,11,7
0.079374,0,1685708,215497,1509919,2,47063,85502,49083,0,0,0,0,340,10
0.081035,0,523023,2660,2659,0,0,0,0,0,0,0,0,0,0
0.082643,0,1102139,65334,128607,0,0,0,0,0,0,0,0,56,5
