elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.001102,0,0,0,0,0,0,0,0,0,0,92423,92265,0,0
0.002846,0,0,0,0,0,0,0,0,0,0,91031,90861,0,0
0.004494,0,0,0,0,0,0,0,0,0,0,90476,90298,0,0
0.006138,0,0,0,0,0,0,0,0,0,0,90486,90327,0,0
0.007781,0,0,0,0,0,0,0,0,0,0,90336,90155,0,0
0.009449,0,0,0,0,0,0,0,0,0,0,104282,104179,0,0
0.011177,0,0,0,0,0,0,0,0,0,0,89512,89275,0,0
0.012802,0,0,0,0,0,0,0,0,0,0,88828,88674,0,0
0.014419,0,0,0,0,0,0,0,0,0,0,88013,87817,0,0
0.016062,0,0,0,0,0,0,0,0,0,0,90710,90589,0,0
0.017686,0,0,0,0,0,0,0,0,0,0,130942,130714,0,0
0.019580,0,0,0,0,0,0,0,0,0,0,112015,111851,0,0
0.021282,0,0,0,0,0,0,0,0,0,0,106690,122895,0,0
0.023095,0,0,0,0,0,0,0,0,0,0,125572,109050,0,0
0.024780,0,0,0,0,0,0,0,0,0,0,86993,86856,0,0
0.026393,0,0,0,0,0,0,0,0,0,0,101758,101520,0,0
0.028019,0,0,0,0,0,0,0,0,0,0,101166,101022,0,0
0.029649,0,0,0,0,0,0,0,0,0,0,123359,121655,0,0
0.031357,0,0,0,0,0,0,0,0,0,0,76324,76191,0,0
0.032775,0,0,0,0,0,0,0,0,0,0,74800,74664,0,0
0.034255,0,0,0,0,0,0,0,0,0,0,74585,74450,0,0
0.035668,0,0,0,0,0,0,0,0,0,0,74662,74522,0,0
0.037081,0,0,0,0,0,0,0,0,0,0,74740,74606,0,0
0.038558,0,0,0,0,0,0,0,0,0,0,82859,82826,0,0
0.040060,0,0,0,0,0,0,0,0,0,0,83408,83268,0,0
0.041551,0,0,0,0,0,0,0,0,0,0,79810,79819,0,0
0.043039,0,0,0,0,0,0,0,0,0,0,68629,68456,0,0
0.044451,0,0,0,0,0,0,0,0,0,0,68072,67904,0,0
0.045860,0,0,0,0,0,0,0,0,0,0,72236,72083,0,0
0.047342,0,0,0,0,0,0,0,0,0,0,67307,67163,0,0
0.048744,0,0,0,0,0,0,0,0,0,0,67721,67589,0,0
0.050215,0,0,0,0,0,0,0,0,0,0,67396,67261,0,0
0.051622,0,0,0,0,0,0,0,0,0,0,68487,68388,0,0
0.053031,0,0,0,0,0,0,0,0,0,0,67888,67724,0,0
0.054436,0,0,0,0,0,0,0,0,0,0,67873,67755,0,0
0.055842,0,0,0,0,0,0,0,0,0,0,67927,67753,0,0
0.057246,0,0,0,0,0,0,0,0,0,0,67728,67600,0,0
0.058652,0,0,261,0,0,0,0,288,0,0,95937,98705,698,1141
0.060493,668,14,423,0,0,0,0,0,0,0,67777,68104,0,0
0.061902,0,0,0,0,0,0,0,0,0,0,77628,77572,0,0
0.063412,0,0,0,0,0,0,0,0,0,0,69080,68847,0,0
0.064838,0,0,0,0,0,0,0,0,0,0,67868,67752,0,0
0.066309,0,0,0,0,0,0,0,0,0,0,68848,68694,0,0
0.067726,0,0,0,0,0,0,0,0,0,0,67428,67288,0,0
0.069132,0,0,0,0,0,0,0,0,0,0,68275,68138,0,0
0.070563,450,0,139,0,0,255,0,33,0,18,77696,113721,377214,382916
0.071813,0,0,0,0,0,182,0,26,0,0,0,0,1375414,1376097
0.073064,0,0,0,0,0,182,0,26,0,0,0,0,1374780,1375487
0.074366,0,0,0,0,0,196,0,28,0,0,0,0,1431739,1432464
0.075616,0,0,0,0,0,182,0,26,0,0,0,0,1389023,1389641
0.076944,0,0,0,0,0,196,0,28,0,0,4,0,1450200,1450971
0.078247,0,0,0,0,0,196,0,28,0,0,0,0,1425872,1426597
0.079542,0,0,0,0,0,182,0,28,0,0,0,0,1426408,1427153
0.080840,0,0,0,0,0,196,0,26,0,0,0,0,1423994,1424748
0.082355,0,0,0,0,0,252,0,36,0,0,0,0,1880471,1882074
0.083932,0,0,0,0,0,210,0,30,0,0,4,0,1538429,1538574
0.085513,0,0,0,0,0,238,0,34,0,0,0,0,1722877,1723732
0.086831,0,0,0,0,0,210,0,30,0,0,0,0,1612359,1613173
0.088320,0,0,0,0,0,196,0,28,0,0,0,0,1472948,1473690
0.089619,0,0,0,0,0,196,0,28,0,0,0,0,1424436,1425215
0.092500,0,0,0,0,0,420,0,62,0,0,4,0,3170378,3171957
0.093798,0,0,153782,0,0,196,0,22,0,0,0,0,1428661,1429388
0.095139,318,14,779336,0,0,0,0,0,0,0,469046,475993,695153,689875
0.096594,0,0,0,0,0,0,0,0,0,0,475960,475794,0,0
0.098043,0,0,0,0,0,0,0,0,0,0,674077,674498,0,0
0.099680,0,0,0,0,0,0,0,0,0,0,503540,502774,0,0
0.101112,0,0,0,0,0,0,0,0,0,0,481863,481683,0,0
0.102519,0,0,0,0,0,0,0,0,0,0,480364,480344,0,0
0.103923,0,0,0,0,0,0,0,0,0,0,478660,478395,0,0
0.105322,0,0,0,0,0,0,0,0,0,0,480588,480438,0,0
0.106759,0,0,0,0,0,0,0,0,0,0,469998,469582,0,0
0.108200,0,0,0,0,0,0,0,0,0,0,454414,454290,0,0
0.109635,0,0,0,0,0,0,0,0,0,0,507658,507387,0,0
0.111119,0,0,0,0,0,0,0,0,0,0,453168,452964,0,0
0.112554,0,0,0,0,0,0,0,0,0,0,469025,468845,0,0
0.114123,0,0,0,0,0,0,0,0,0,0,466990,466832,0,0
0.117769,0,0,0,0,0,0,0,0,0,0,512493,512242,0,0
0.119258,0,0,0,0,0,0,0,0,0,0,472755,472572,0,0
0.120696,0,0,0,0,0,0,0,0,0,0,461677,461471,0,0
