elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.001095,0,0,0,0,0,0,0,0
0.002575,0,0,0,0,0,0,0,0
0.004031,0,0,0,0,0,0,0,0
0.005482,0,0,0,0,0,0,0,0
0.006918,0,0,0,0,0,0,0,0
0.008369,0,0,0,0,0,0,0,0
0.009830,0,0,0,0,0,0,0,0
0.011332,0,0,0,0,0,0,0,0
0.012781,0,0,0,0,0,0,0,0
0.014231,0,0,0,0,0,0,0,0
0.015683,0,0,0,0,0,0,0,0
0.017193,0,0,0,0,0,0,0,0
0.018672,0,0,0,0,0,0,0,0
0.020121,0,0,0,0,0,0,0,0
0.021525,0,0,0,0,0,0,0,0
0.022946,0,0,0,0,0,0,0,0
0.024355,0,0,0,0,0,0,0,0
0.025765,0,0,0,0,0,0,0,0
0.027292,0,0,0,0,0,0,0,0
0.028727,0,0,0,0,0,0,0,0
0.030168,0,0,0,0,0,0,0,0
0.031581,0,0,0,0,0,0,0,0
0.032993,0,0,0,0,0,0,0,0
0.034449,0,0,0,0,0,0,0,0
0.035853,0,0,0,0,0,0,0,0
0.037254,0,0,0,0,0,0,0,0
0.038745,0,0,0,0,0,0,0,0
0.040168,0,0,0,0,0,0,0,0
0.041625,0,0,0,0,0,0,0,0
0.043181,0,0,0,0,0,0,0,0
0.044610,0,0,0,0,0,0,0,0
0.046043,0,0,0,0,0,0,0,0
0.047499,0,0,0,0,0,0,0,0
0.048993,0,0,0,0,0,0,0,0
0.050446,0,0,0,0,0,0,0,0
0.052006,0,0,0,0,0,0,0,0
0.053594,0,0,0,0,0,0,0,0
0.055419,0,0,0,0,0,0,0,0
0.058089,0,0,0,0,0,0,0,0
0.059582,0,0,0,0,0,0,0,0
0.061066,0,0,0,0,0,0,0,0
0.062421,0,0,0,0,0,0,0,0
0.063769,0,0,0,0,0,0,0,0
0.065117,0,0,0,0,0,0,0,0
0.066464,0,0,0,0,0,0,0,0
0.067811,0,0,0,0,0,0,0,0
0.069159,0,0,0,0,0,0,0,0
0.070506,0,0,0,0,0,0,0,0
0.071867,0,0,0,0,0,0,0,0
0.073214,0,0,0,0,0,0,0,0
0.074606,0,0,0,0,0,0,0,0
0.075927,0,0,0,0,0,0,0,0
0.077249,0,0,0,0,0,0,0,0
0.078619,0,0,0,0,0,0,0,0
0.079951,0,0,0,0,0,0,0,0
0.081280,0,0,0,0,0,0,0,0
0.082643,0,0,0,0,0,0,0,0
0.084024,0,0,0,0,0,0,0,0
0.085396,0,0,0,0,0,0,0,0
0.086847,0,0,0,0,0,0,0,0
0.088243,0,0,0,0,0,0,0,0
0.089614,0,0,0,0,0,0,0,0
0.090922,0,0,0,0,0,0,0,0
0.092309,0,0,0,0,0,0,0,0
0.093745,0,0,0,0,0,0,0,0
0.095018,0,0,0,0,0,0,0,0
0.096301,0,0,0,0,0,0,0,0
0.097743,0,0,0,0,0,0,0,0
0.099027,0,0,0,0,0,0,0,0
0.100410,0,0,0,0,0,0,0,0
0.101734,0,0,0,0,0,0,0,0
0.103008,0,0,0,0,0,0,0,0
0.104285,0,0,0,0,0,0,0,0
0.105557,0,0,0,0,0,0,0,0
0.106904,0,0,0,0,0,0,0,0
0.108284,0,0,0,0,0,0,0,0
0.109717,0,0,0,0,0,0,0,0
0.111169,0,0,0,0,0,0,0,0
0.112582,0,0,0,0,0,0,0,0
0.114017,0,0,0,0,0,0,0,0
0.115474,0,0,0,0,0,0,0,0
0.116711,0,0,0,0,0,0,0,0
0.117934,0,0,0,0,0,0,0,0
0.119155,0,0,0,0,0,0,0,0
0.120373,0,0,0,0,0,0,0,0
0.121590,0,0,0,0,0,0,0,0
0.122812,0,0,0,0,0,0,0,0
0.124036,0,0,0,0,0,0,0,0
0.125254,0,0,0,0,0,0,0,0
0.126474,0,0,0,0,0,0,0,0
0.127749,0,0,0,0,0,0,0,0
0.129012,0,0,0,0,0,0,0,0
0.130410,0,0,0,0,0,0,0,0
0.131680,0,0,0,0,0,0,0,0
0.132902,0,0,0,0,0,0,0,0
0.134122,0,0,0,0,0,0,0,0
0.135340,0,0,0,0,0,0,0,0
0.136556,0,0,0,0,0,0,0,0
0.137775,0,0,0,0,0,0,0,0
0.139009,0,0,0,0,0,0,0,0
0.140489,0,0,0,0,0,0,0,0
0.141877,0,0,0,0,0,0,0,0
0.143244,0,0,0,0,0,0,0,0
0.144608,0,0,0,0,0,0,0,0
0.145970,0,0,0,0,0,0,0,0
0.147331,0,0,0,0,0,0,0,0
0.148690,0,0,0,0,0,0,0,0
0.150052,0,0,0,0,0,0,0,0
0.151427,0,0,0,0,0,0,0,0
0.152789,0,0,0,0,0,0,0,0
0.154165,0,0,0,0,0,0,0,0
0.155550,0,0,0,0,0,0,0,0
0.156926,0,0,0,0,0,0,0,0
0.158303,0,0,0,0,0,0,0,0
0.159679,0,0,0,0,0,0,0,0
0.161055,0,0,0,0,0,0,0,0
0.162438,0,0,0,0,0,0,0,0
0.163814,0,0,0,0,0,0,0,0
0.165189,0,0,0,0,0,0,0,0
0.166573,0,0,0,0,0,0,0,0
0.167949,0,0,0,0,0,0,0,0
0.169323,0,0,0,0,0,0,0,0
0.170795,0,0,0,0,0,0,0,0
0.172139,0,0,0,0,0,0,0,0
0.173486,0,0,0,0,0,0,0,0
0.174904,0,0,0,0,0,0,0,0
0.176246,0,0,0,0,0,0,0,0
0.177588,0,0,0,0,0,0,0,0
0.178929,0,0,0,0,0,0,0,0
0.180271,0,0,0,0,0,0,0,0
0.181641,0,0,0,0,0,0,0,0
0.183108,0,0,0,0,0,0,0,0
0.184454,0,0,0,0,0,0,0,0
0.187103,0,0,0,0,0,0,0,0
0.188454,0,0,0,0,0,0,0,0
0.189845,0,0,0,0,0,0,0,0
0.191295,0,0,0,0,0,0,0,0
0.192647,0,0,0,0,0,0,0,0
0.193998,0,0,0,0,0,0,0,0
0.195359,0,0,0,0,0,0,0,0
0.196708,0,0,0,0,0,0,0,0
0.198058,0,0,0,0,0,0,0,0
0.199408,0,0,0,0,0,0,0,0
