elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.001118,0,0,0,0,0,0,0,13959
0.002692,0,0,0,0,0,0,0,13353
0.004238,0,0,0,0,0,0,0,14535
0.005783,0,0,0,0,0,0,0,14115
0.007326,0,0,0,0,0,0,0,13890
0.008882,0,0,0,0,0,0,0,14484
0.010423,0,0,0,0,0,0,0,13755
0.011965,0,0,0,0,0,0,0,14085
0.013504,0,0,0,0,0,0,0,12996
0.015126,0,0,0,0,0,0,0,12726
0.016912,0,0,0,0,0,0,0,12879
0.018443,0,0,0,0,0,0,0,14631
0.019970,0,0,0,0,0,0,0,14493
0.021488,0,0,0,0,0,0,0,14067
0.023005,0,0,0,0,0,0,0,14523
0.024523,0,0,0,0,0,0,0,13476
0.026039,0,0,0,0,0,0,0,13962
0.027590,0,0,0,0,0,0,0,13848
0.029107,0,0,0,0,0,0,0,13683
0.030632,0,0,0,0,0,0,0,13839
0.032197,0,0,0,0,0,0,0,13440
0.033697,0,0,0,0,0,0,0,13113
0.035197,0,0,0,0,0,0,0,13752
0.036699,0,0,0,0,0,0,0,13152
0.038200,0,0,0,0,0,0,0,12894
0.039828,0,0,0,0,0,0,0,13407
0.041335,0,0,0,0,0,0,0,14070
0.042838,0,0,0,0,0,0,0,13944
0.044340,0,0,0,0,0,0,0,13722
0.045844,0,0,0,0,0,0,0,14703
0.047485,0,0,0,0,0,0,0,13776
0.048947,0,0,0,0,0,0,0,13614
0.050477,0,0,0,0,0,0,0,12606
0.051904,0,0,0,0,0,0,0,13221
0.053317,0,0,0,0,0,0,0,12960
0.054778,0,0,0,0,0,0,0,12045
0.056189,0,0,0,0,0,0,0,12312
0.057657,0,0,0,0,0,0,0,12639
0.059118,0,0,0,0,0,0,0,12465
0.060529,0,0,0,0,0,0,0,12717
0.061948,0,0,0,0,0,0,0,12570
0.063506,0,0,0,0,0,0,0,10134
0.064885,0,0,0,0,0,0,0,9864
0.066283,0,0,0,0,0,0,0,9813
0.067617,0,0,0,0,0,0,0,9696
0.068950,0,0,0,0,0,0,0,9756
0.070284,0,0,0,0,0,0,0,9948
0.071621,0,0,0,0,0,0,0,9633
0.072971,0,0,0,0,0,0,0,9825
0.074307,0,0,0,0,0,0,0,9774
0.075639,0,0,0,0,0,0,0,9576
0.076980,0,0,0,0,0,0,0,9975
0.078317,0,0,0,0,0,0,0,10887
0.079742,0,0,0,0,0,0,0,29595
0.081288,0,0,0,0,0,0,0,11337
0.082767,0,0,0,0,0,0,0,11604
0.084258,0,0,0,0,0,0,0,11421
0.085714,0,0,0,0,0,0,0,11082
0.087169,0,0,0,0,0,0,0,12816
0.088625,0,0,0,0,0,0,0,11586
0.090081,0,0,0,0,0,0,0,11136
0.091656,0,0,0,0,0,0,0,11205
0.093093,0,0,0,0,0,0,0,37947
0.094314,0,0,0,0,0,0,0,0
0.095583,0,0,0,0,0,0,0,0
0.096800,0,0,0,0,0,0,0,0
0.098018,0,0,0,0,0,0,0,0
0.099235,0,0,0,0,0,0,0,0
0.100452,0,0,0,0,0,0,0,0
0.101669,0,0,0,0,0,0,0,0
0.102887,0,0,0,0,0,0,0,0
0.104107,0,0,0,0,0,0,0,0
0.105323,0,0,0,0,0,0,0,0
0.106543,0,0,0,0,0,0,0,0
0.107758,0,0,0,0,0,0,0,0
0.108980,0,0,0,0,0,0,0,0
0.110197,0,0,0,0,0,0,0,0
0.111466,0,0,0,0,0,0,0,0
0.112683,0,0,0,0,0,0,0,0
0.113900,0,0,0,0,0,0,0,0
0.115120,0,0,0,0,0,0,0,0
0.116337,0,0,0,0,0,0,0,0
0.117557,0,0,0,0,0,0,0,22113
0.118915,0,0,0,0,0,0,0,15462
0.120277,0,0,0,0,0,0,0,16575
0.121659,0,0,0,0,0,0,0,14436
0.123023,0,0,0,0,0,0,0,13248
0.124386,0,0,0,0,0,0,0,13170
0.125747,0,0,0,0,0,0,0,13731
0.127152,0,0,0,0,0,0,0,14469
0.128532,0,0,0,0,0,0,0,13311
0.129895,0,0,0,0,0,0,0,15570
0.131258,0,0,0,0,0,0,0,13230
0.132621,0,0,0,0,0,0,0,14574
0.133983,0,0,0,0,0,0,0,14619
0.135401,0,0,0,0,0,0,0,14556
0.136762,0,0,0,0,0,0,0,14022
0.138121,0,0,0,0,0,0,0,13302
0.139502,0,0,0,0,0,0,0,14829
0.140865,0,0,0,0,0,0,0,13782
0.142226,0,0,0,0,0,0,0,13125
0.145161,0,0,0,0,0,0,0,14286
0.146694,0,0,0,0,0,0,0,15021
0.148119,0,0,0,0,0,0,0,15546
0.149523,0,0,0,0,0,0,0,14664
0.150936,0,0,0,0,0,0,0,13776
0.152994,0,0,0,0,0,0,0,13614
0.154462,0,0,0,0,0,0,0,15420
0.155966,0,0,0,0,0,0,0,13347
0.157369,0,0,0,0,0,0,0,14382
0.159141,0,0,0,0,0,0,0,14739
0.160781,0,0,0,0,0,0,0,13896
0.162198,0,0,0,0,0,0,0,13395
0.163681,0,0,0,0,0,0,0,14523
0.165089,0,0,0,0,0,0,0,14592
0.166494,0,0,0,0,0,0,0,14082
0.167895,0,0,0,0,0,0,0,13878
0.169296,0,0,0,0,0,0,0,14235
0.170699,0,0,0,0,0,0,0,13743
0.172105,0,0,0,0,0,0,0,13326
0.173518,0,0,0,0,0,0,0,18228
0.174974,0,0,0,0,0,0,0,13806
0.176388,0,0,0,0,0,0,0,14706
0.177797,0,0,0,0,0,0,0,14097
0.179208,0,0,0,0,0,0,0,13887
0.180617,0,0,0,0,0,0,0,14385
0.182152,0,0,0,0,0,0,0,13719
0.183745,0,0,0,0,0,0,0,13356
0.185315,0,0,0,0,0,0,0,14043
0.186890,0,0,0,0,0,0,0,13239
0.188463,0,0,0,0,0,0,0,15420
0.190034,0,0,0,0,0,0,0,13491
0.191487,0,0,0,0,0,0,0,13674
0.193029,0,0,0,0,0,0,0,14742
0.194669,0,0,0,0,0,0,0,13737
0.196189,0,0,0,0,0,0,0,14874
0.197614,0,0,0,0,0,0,0,15219
0.199027,0,0,0,0,0,0,0,14487
0.200437,0,0,0,0,0,0,0,14478
0.201846,0,0,0,0,0,0,0,13191
0.203256,0,0,0,0,0,0,0,13587
0.204805,0,0,0,0,0,0,0,14115
0.206381,0,0,0,0,0,0,0,14370
0.207997,0,0,0,0,0,0,0,13323
0.209568,0,0,0,0,0,0,0,13170
0.211187,0,0,0,0,0,0,0,14235
0.212760,0,0,0,0,0,0,0,14058
0.214335,0,0,0,0,0,0,0,13803
0.215921,0,0,0,0,0,0,0,13320
0.217491,0,0,0,0,0,0,0,14415
0.219065,0,0,0,0,0,0,0,14445
0.220638,0,0,0,0,0,0,0,13461
0.222209,0,0,0,0,0,0,0,13845
0.223792,0,0,0,0,0,0,0,13317
0.225260,0,0,0,0,0,0,0,13185
0.226688,0,0,0,0,0,0,0,14142
0.228220,0,0,0,0,0,0,0,13497
0.229783,0,0,0,0,0,0,0,13422
0.231226,0,0,0,0,0,0,0,14514
0.232768,0,0,0,0,0,0,0,14235
0.234343,0,0,0,0,0,0,0,13404
0.235917,0,0,0,0,0,0,0,14400
0.237501,0,0,0,0,0,0,0,13275
0.239119,0,0,0,0,0,0,0,13845
0.240693,0,0,0,0,0,0,0,14271
0.242264,0,0,0,0,0,0,0,14457
0.243978,0,0,0,0,0,0,0,13344
0.245540,0,0,0,0,0,0,0,14088
0.246983,0,0,0,0,0,0,0,13707
0.248540,0,0,0,0,0,0,0,14388
0.250110,0,0,0,0,0,0,0,13176
0.251844,0,0,0,0,0,0,0,14628
0.253238,0,0,0,0,0,0,0,14640
0.254699,0,0,0,0,0,0,0,14955
0.256110,0,0,0,0,0,0,0,13971
0.257518,0,0,0,0,0,0,0,13146
0.258940,0,0,0,0,0,0,0,15198
0.260348,0,0,0,0,0,0,0,13203
0.261864,0,0,0,0,0,0,0,14166
0.263435,0,0,0,0,0,0,0,13212
0.265006,0,0,0,0,0,0,0,13824
0.266580,0,0,0,0,0,0,0,13344
0.268151,0,0,0,0,0,0,0,15522
0.269736,0,0,0,0,0,0,0,13860
0.271352,0,0,0,0,0,0,0,14412
0.272925,0,0,0,0,0,0,0,13137
