elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.002213,0,0,0,0,0,0
0.003766,0,0,0,0,0,0
0.005346,0,0,0,0,0,0
0.006811,0,0,0,0,0,0
0.008248,0,0,0,0,0,0
0.009692,0,0,0,0,0,0
0.011176,0,0,0,0,0,0
0.012608,0,0,0,0,0,0
0.014039,0,0,0,0,0,0
0.015535,0,0,0,0,0,0
0.016972,0,0,0,0,0,0
0.018552,0,0,0,0,0,0
0.020025,0,0,0,0,0,0
0.021423,0,0,0,0,0,0
0.022816,0,0,0,0,0,0
0.024209,0,0,0,0,0,0
0.025598,0,0,0,0,0,0
0.027011,0,0,0,0,0,0
0.028452,0,0,0,0,0,0
0.029885,0,0,0,0,0,0
0.031475,0,0,0,0,0,0
0.032909,0,0,0,0,0,0
0.034340,0,0,0,0,0,0
0.035773,0,0,0,0,0,0
0.037352,0,0,0,0,0,0
0.039061,0,0,0,0,0,0
0.040507,0,0,0,0,0,0
0.041950,0,0,0,0,0,0
0.043578,0,0,0,0,0,0
0.044989,0,0,0,0,0,0
0.046400,0,0,0,0,0,0
0.047810,0,0,0,0,0,0
0.049220,0,0,0,0,0,0
0.050632,0,0,0,0,0,0
0.052057,0,0,0,0,0,0
0.053546,0,0,0,0,0,0
0.055034,0,0,0,0,0,0
0.056524,0,0,0,0,0,0
0.058013,0,0,0,0,0,0
0.059594,0,0,0,0,0,0
0.061065,0,0,0,0,0,0
0.063073,0,0,0,0,0,0
0.064548,0,0,0,0,0,0
0.066019,0,0,0,0,0,0
0.067499,0,0,0,0,0,0
0.068968,0,0,0,0,0,0
0.070673,0,0,0,0,0,0
0.072145,0,0,0,0,0,0
0.073623,0,0,0,0,0,0
0.075148,0,0,0,0,0,0
0.076582,0,0,0,0,0,0
0.078015,0,0,0,0,0,0
0.079687,0,0,0,0,0,0
0.080997,0,0,0,0,0,0
0.082415,0,0,0,0,0,0
0.083899,0,0,0,0,0,0
0.085366,0,0,0,0,0,0
0.086846,0,0,0,0,0,0
0.088315,0,0,0,0,0,0
0.089799,0,0,0,0,0,0
0.091288,0,0,0,0,0,0
0.092648,0,0,0,0,0,0
0.094121,0,0,0,0,0,0
0.095576,0,0,0,0,0,0
0.097002,0,0,0,0,0,0
0.098429,0,0,0,0,0,0
0.099854,0,0,0,0,0,0
0.101171,0,0,0,0,0,0
0.102698,0,0,0,0,0,0
0.104079,0,0,0,0,0,0
0.105454,0,0,0,0,0,0
0.106845,0,0,0,0,0,0
0.108220,0,0,0,0,0,0
0.109594,0,0,0,0,0,0
0.110993,0,0,0,0,0,0
0.112396,0,0,0,0,0,0
0.113787,0,0,0,0,0,0
0.115194,0,0,0,0,0,0
0.116586,0,0,0,0,0,0
0.117981,0,0,0,0,0,0
0.119742,0,0,0,0,0,0
0.120965,0,0,0,0,0,0
0.122173,0,0,0,0,0,0
0.123438,0,0,0,0,0,0
0.124644,0,0,0,0,0,0
0.125848,0,0,0,0,0,0
0.127053,0,0,0,0,0,0
0.128258,0,0,0,0,0,0
0.129461,0,0,0,0,0,0
0.130665,0,0,0,0,0,0
0.131868,0,0,0,0,0,0
0.133071,0,0,0,0,0,0
0.134277,0,0,0,0,0,0
0.135481,0,0,0,0,0,0
0.136685,0,0,0,0,0,0
