elapsed_s,HLSQ_L2STC_LATENCY_COUNT,HLSQ_L2STC_STALL_SP_MISS_REQ,HLSQ_L2STC_BANK0_REPLACEMENT,HLSQ_L2STC_BANK1_REPLACEMENT,HLSQ_L2STC_BANK2_REPLACEMENT,HLSQ_L2STC_BANK3_REPLACEMENT
0.001302,0,0,0,0,0,0
0.003118,0,0,0,0,0,0
0.004564,0,0,0,0,0,0
0.006176,0,0,0,0,0,0
0.007997,0,0,0,0,0,0
0.010439,0,0,0,0,0,0
0.011974,0,0,0,0,0,0
0.013437,0,0,0,0,0,0
0.014946,0,0,0,0,0,0
0.016257,0,0,0,0,0,0
0.017564,0,0,0,0,0,0
0.018918,0,0,0,0,0,0
0.020226,0,0,0,0,0,0
0.021532,0,0,0,0,0,0
0.022852,0,0,0,0,0,0
0.024224,0,0,0,0,0,0
0.025486,0,0,0,0,0,0
0.026814,0,0,0,0,0,0
0.028139,0,0,0,0,0,0
0.029461,0,0,0,0,0,0
0.030899,0,0,0,0,0,0
0.032353,0,0,0,0,0,0
0.033750,0,0,0,0,0,0
0.035146,0,0,0,0,0,0
0.036540,0,0,0,0,0,0
0.037982,0,0,0,0,0,0
0.039395,0,0,0,0,0,0
0.040746,0,0,0,0,0,0
0.042107,0,0,0,0,0,0
0.043565,0,0,0,0,0,0
0.044930,0,0,0,0,0,0
0.046285,0,0,0,0,0,0
0.047652,0,0,0,0,0,0
0.049079,0,0,0,0,0,0
0.050491,0,0,0,0,0,0
0.052344,0,0,0,0,0,0
0.053740,0,0,0,0,0,0
0.055542,0,0,0,0,0,0
0.056918,0,0,0,0,0,0
0.058472,0,0,0,0,0,0
0.059954,0,0,0,0,0,0
0.061392,0,0,0,0,0,0
0.062891,0,0,0,0,0,0
0.064302,0,0,0,0,0,0
0.065673,0,0,0,0,0,0
0.067089,0,0,0,0,0,0
0.068491,7,0,2,2,2,1
0.069742,0,0,0,0,0,0
0.071037,0,0,0,0,0,0
0.072287,0,1,0,0,0,0
0.073537,0,0,0,0,0,0
0.074787,0,1,0,0,0,0
0.076036,0,1,0,0,0,0
0.077286,0,0,0,0,0,0
0.078542,0,0,0,0,0,0
0.079835,0,0,0,0,0,0
0.081084,0,0,0,0,0,0
0.082434,0,0,0,0,0,0
0.083796,0,1,0,0,0,0
0.084921,0,0,0,0,0,0
0.086142,0,0,0,0,0,0
0.087451,0,2,0,0,0,0
0.088707,0,1,0,0,0,0
0.089961,0,0,0,0,0,0
0.091217,0,1,0,0,0,0
0.092655,0,1,0,0,0,0
0.095288,0,0,0,0,0,0
0.096717,0,0,0,0,0,0
0.098108,0,0,0,0,0,0
0.099574,0,0,0,0,0,0
0.100965,0,0,0,0,0,0
0.102397,0,0,0,0,0,0
0.103837,0,0,0,0,0,0
0.105202,0,0,0,0,0,0
0.106567,0,0,0,0,0,0
0.107934,0,0,0,0,0,0
0.109300,0,0,0,0,0,0
0.110702,0,0,0,0,0,0
0.112124,0,0,0,0,0,0
0.113542,0,0,0,0,0,0
0.114967,0,0,0,0,0,0
0.116384,0,0,0,0,0,0
0.117802,0,0,0,0,0,0
0.119220,0,0,0,0,0,0
0.120639,0,0,0,0,0,0
0.122059,0,0,0,0,0,0
0.123477,0,0,0,0,0,0
0.124895,0,0,0,0,0,0
0.126318,0,0,0,0,0,0
0.127778,0,0,0,0,0,0
0.129200,0,0,0,0,0,0
0.130667,0,0,0,0,0,0
0.132066,0,0,0,0,0,0
0.133455,0,0,0,0,0,0
0.134879,0,0,0,0,0,0
0.136270,0,0,0,0,0,0
0.137669,0,0,0,0,0,0
0.139058,0,0,0,0,0,0
0.140445,0,0,0,0,0,0
0.141835,0,0,0,0,0,0
0.143260,0,0,0,0,0,0
0.144650,0,0,0,0,0,0
0.146041,0,0,0,0,0,0
0.147459,0,0,0,0,0,0
0.148993,0,0,0,0,0,0
0.150557,0,0,0,0,0,0
0.152163,0,0,0,0,0,0
0.153723,0,0,0,0,0,0
0.155285,0,0,0,0,0,0
0.156839,0,0,0,0,0,0
0.158447,0,0,0,0,0,0
0.159965,0,0,0,0,0,0
0.161405,0,0,0,0,0,0
0.162805,0,0,0,0,0,0
0.164201,0,0,0,0,0,0
0.165595,0,0,0,0,0,0
0.167027,0,0,0,0,0,0
0.168550,0,0,0,0,0,0
0.170123,0,0,0,0,0,0
0.171688,0,0,0,0,0,0
0.173246,0,0,0,0,0,0
0.174851,0,0,0,0,0,0
0.176412,0,0,0,0,0,0
0.177971,0,0,0,0,0,0
0.179534,0,0,0,0,0,0
0.181107,0,0,0,0,0,0
0.182713,0,0,0,0,0,0
0.184274,0,0,0,0,0,0
0.185833,0,0,0,0,0,0
0.187392,0,0,0,0,0,0
0.188952,0,0,0,0,0,0
0.190515,0,0,0,0,0,0
0.192135,0,0,0,0,0,0
0.193694,0,0,0,0,0,0
0.195135,0,0,0,0,0,0
0.196544,0,0,0,0,0,0
0.197942,0,0,0,0,0,0
0.199417,0,0,0,0,0,0
0.200815,0,0,0,0,0,0
0.202220,0,0,0,0,0,0
0.203617,0,0,0,0,0,0
0.205140,0,0,0,0,0,0
0.206727,0,0,0,0,0,0
0.208292,0,0,0,0,0,0
0.209852,0,0,0,0,0,0
0.211412,0,0,0,0,0,0
0.212863,0,0,0,0,0,0
0.214398,0,0,0,0,0,0
0.216001,0,0,0,0,0,0
0.217560,0,0,0,0,0,0
0.219120,0,0,0,0,0,0
0.220680,0,0,0,0,0,0
0.222239,0,0,0,0,0,0
0.223819,0,0,0,0,0,0
0.225221,0,0,0,0,0,0
0.226620,0,0,0,0,0,0
0.228017,0,0,0,0,0,0
0.229413,0,0,0,0,0,0
0.230845,0,0,0,0,0,0
0.232368,0,0,0,0,0,0
0.233941,0,0,0,0,0,0
0.235590,0,0,0,0,0,0
0.237148,0,0,0,0,0,0
0.238754,0,0,0,0,0,0
0.240314,0,0,0,0,0,0
0.241873,0,0,0,0,0,0
0.243433,0,0,0,0,0,0
0.245007,0,0,0,0,0,0
0.246569,0,0,0,0,0,0
0.248174,0,0,0,0,0,0
0.249733,0,0,0,0,0,0
0.251377,0,0,0,0,0,0
0.252821,0,0,0,0,0,0
0.254220,0,0,0,0,0,0
0.255635,0,0,0,0,0,0
0.257033,0,0,0,0,0,0
0.258431,0,0,0,0,0,0
0.259827,0,0,0,0,0,0
0.261222,0,0,0,0,0,0
0.262618,0,0,0,0,0,0
0.264142,0,0,0,0,0,0
0.265701,0,0,0,0,0,0
0.267274,0,0,0,0,0,0
0.268835,0,0,0,0,0,0
0.270397,0,0,0,0,0,0
0.272002,0,0,0,0,0,0
0.273561,0,0,0,0,0,0
0.275121,0,0,0,0,0,0
0.276682,0,0,0,0,0,0
0.278130,0,0,0,0,0,0
0.279666,0,0,0,0,0,0
0.281225,0,0,0,0,0,0
0.282787,0,0,0,0,0,0
0.284345,0,0,0,0,0,0
0.285784,0,0,0,0,0,0
0.287364,0,0,0,0,0,0
0.288987,0,0,0,0,0,0
0.290550,0,0,0,0,0,0
0.292111,0,0,0,0,0,0
0.293672,0,0,0,0,0,0
0.295277,0,0,0,0,0,0
0.296839,0,0,0,0,0,0
0.298402,0,0,0,0,0,0
0.299979,0,0,0,0,0,0
0.301540,0,0,0,0,0,0
0.303146,0,0,0,0,0,0
0.304708,0,0,0,0,0,0
0.306270,0,0,0,0,0,0
0.307833,0,0,0,0,0,0
0.309392,0,0,0,0,0,0
0.311013,0,0,0,0,0,0
0.312575,0,0,0,0,0,0
0.314135,0,0,0,0,0,0
0.315702,0,0,0,0,0,0
0.317263,0,0,0,0,0,0
0.318870,0,0,0,0,0,0
0.320323,0,0,0,0,0,0
0.321906,0,0,0,0,0,0
0.323313,0,0,0,0,0,0
0.324840,0,0,0,0,0,0
0.326405,0,0,0,0,0,0
0.328015,0,0,0,0,0,0
0.329576,0,0,0,0,0,0
0.331138,0,0,0,0,0,0
0.332714,0,0,0,0,0,0
0.334287,0,0,0,0,0,0
0.335850,0,0,0,0,0,0
0.337411,0,0,0,0,0,0
0.338974,0,0,0,0,0,0
0.340536,0,0,0,0,0,0
0.342097,0,0,0,0,0,0
0.343678,0,0,0,0,0,0
0.345237,0,0,0,0,0,0
0.346801,0,0,0,0,0,0
0.348362,0,0,0,0,0,0
0.349923,0,0,0,0,0,0
0.351548,0,0,0,0,0,0
0.353108,0,0,0,0,0,0
0.354685,0,0,0,0,0,0
0.356247,0,0,0,0,0,0
0.357806,0,0,0,0,0,0
0.359412,0,0,0,0,0,0
0.360975,0,0,0,0,0,0
0.362538,0,0,0,0,0,0
0.364099,0,0,0,0,0,0
0.365673,0,0,0,0,0,0
0.367278,0,0,0,0,0,0
0.368840,0,0,0,0,0,0
0.370403,0,0,0,0,0,0
0.371966,0,0,0,0,0,0
0.373526,0,0,0,0,0,0
0.375132,0,0,0,0,0,0
0.376708,0,0,0,0,0,0
0.378272,0,0,0,0,0,0
0.379834,0,0,0,0,0,0
0.381394,0,0,0,0,0,0
0.383002,0,0,0,0,0,0
0.384565,0,0,0,0,0,0
0.386124,0,0,0,0,0,0
0.387705,0,0,0,0,0,0
0.389264,0,0,0,0,0,0
0.390871,0,0,0,0,0,0
0.392434,0,0,0,0,0,0
0.393994,0,0,0,0,0,0
0.395560,0,0,0,0,0,0
0.397120,0,0,0,0,0,0
0.398740,0,0,0,0,0,0
0.400303,0,0,0,0,0,0
0.401863,0,0,0,0,0,0
0.403424,0,0,0,0,0,0
0.404985,0,0,0,0,0,0
0.406550,0,0,0,0,0,0
0.408156,0,0,0,0,0,0
0.409727,0,0,0,0,0,0
0.411287,0,0,0,0,0,0
0.412848,0,0,0,0,0,0
0.414409,0,0,0,0,0,0
0.416012,0,0,0,0,0,0
0.417570,0,0,0,0,0,0
0.419131,0,0,0,0,0,0
0.420705,0,0,0,0,0,0
0.422369,0,0,0,0,0,0
0.423822,0,0,0,0,0,0
0.425223,0,0,0,0,0,0
0.426623,0,0,0,0,0,0
0.428019,0,0,0,0,0,0
0.429414,0,0,0,0,0,0
0.430857,0,0,0,0,0,0
0.432453,0,0,0,0,0,0
0.434010,0,0,0,0,0,0
0.435575,0,0,0,0,0,0
0.437133,0,0,0,0,0,0
0.438738,0,0,0,0,0,0
0.440299,0,0,0,0,0,0
0.441871,0,0,0,0,0,0
0.443430,0,0,0,0,0,0
0.444990,0,0,0,0,0,0
0.446550,0,0,0,0,0,0
0.448154,0,0,0,0,0,0
0.449712,0,0,0,0,0,0
0.451272,0,0,0,0,0,0
0.452845,0,0,0,0,0,0
0.454407,0,0,0,0,0,0
0.456010,0,0,0,0,0,0
0.457568,0,0,0,0,0,0
0.459127,0,0,0,0,0,0
0.460687,0,0,0,0,0,0
0.462341,0,0,0,0,0,0
0.463894,0,0,0,0,0,0
0.465298,0,0,0,0,0,0
0.466699,0,0,0,0,0,0
0.468095,0,0,0,0,0,0
0.469491,0,0,0,0,0,0
0.470925,0,0,0,0,0,0
0.472321,0,0,0,0,0,0
0.473843,0,0,0,0,0,0
0.475289,0,0,0,0,0,0
0.476819,0,0,0,0,0,0
0.478381,0,0,0,0,0,0
0.479984,0,0,0,0,0,0
0.481543,0,0,0,0,0,0
0.483103,0,0,0,0,0,0
0.484662,0,0,0,0,0,0
0.486147,0,0,0,0,0,0
0.487689,0,0,0,0,0,0
0.489248,0,0,0,0,0,0
0.490811,0,0,0,0,0,0
0.492371,0,0,0,0,0,0
0.493930,0,0,0,0,0,0
0.495553,0,0,0,0,0,0
0.497124,0,0,0,0,0,0
0.498580,0,0,0,0,0,0
0.500112,0,0,0,0,0,0
0.501694,0,0,0,0,0,0
0.503156,0,0,0,0,0,0
0.504567,0,0,0,0,0,0
0.505965,0,0,0,0,0,0
0.507417,0,0,0,0,0,0
0.508813,0,0,0,0,0,0
0.510208,0,0,0,0,0,0
0.511733,0,0,0,0,0,0
0.513291,0,0,0,0,0,0
0.514853,0,0,0,0,0,0
0.516413,0,0,0,0,0,0
0.517986,0,0,0,0,0,0
0.519553,0,0,0,0,0,0
0.521112,0,0,0,0,0,0
0.522675,0,0,0,0,0,0
0.524136,0,0,0,0,0,0
0.525696,0,0,0,0,0,0
0.527300,0,0,0,0,0,0
0.528876,0,0,0,0,0,0
0.530439,0,0,0,0,0,0
0.531999,0,0,0,0,0,0
0.533559,0,0,0,0,0,0
0.535163,0,0,0,0,0,0
0.536724,0,0,0,0,0,0
0.538286,0,0,0,0,0,0
0.539862,0,0,0,0,0,0
0.541422,0,0,0,0,0,0
0.543029,0,0,0,0,0,0
0.544589,0,0,0,0,0,0
0.546149,0,0,0,0,0,0
0.547713,0,0,0,0,0,0
0.549272,0,0,0,0,0,0
0.550892,0,0,0,0,0,0
0.552453,0,0,0,0,0,0
0.554012,0,0,0,0,0,0
0.555576,0,0,0,0,0,0
0.557135,0,0,0,0,0,0
0.558741,0,0,0,0,0,0
0.560298,0,0,0,0,0,0
0.561746,0,0,0,0,0,0
0.563150,0,0,0,0,0,0
0.564675,0,0,0,0,0,0
0.566226,0,0,0,0,0,0
0.567987,0,0,0,0,0,0
0.569539,0,0,0,0,0,0
0.570967,0,0,0,0,0,0
0.572500,0,0,0,0,0,0
0.574052,0,0,0,0,0,0
0.575536,0,0,0,0,0,0
0.576940,0,0,0,0,0,0
0.578338,0,0,0,0,0,0
0.579734,0,0,0,0,0,0
0.581130,0,0,0,0,0,0
0.582540,0,0,0,0,0,0
0.583975,0,0,0,0,0,0
0.585501,0,0,0,0,0,0
0.587062,0,0,0,0,0,0
0.588621,0,0,0,0,0,0
0.590217,0,0,0,0,0,0
0.591821,0,0,0,0,0,0
0.593394,0,0,0,0,0,0
0.594956,0,0,0,0,0,0
0.596517,0,0,0,0,0,0
0.598075,0,0,0,0,0,0
0.599663,0,0,0,0,0,0
0.601222,0,0,0,0,0,0
0.602784,0,0,0,0,0,0
0.604234,0,0,0,0,0,0
0.605764,0,0,0,0,0,0
0.607366,0,0,0,0,0,0
0.608925,0,0,0,0,0,0
0.610367,0,0,0,0,0,0
0.611902,0,0,0,0,0,0
0.613461,0,0,0,0,0,0
0.615081,0,0,0,0,0,0
0.616643,0,0,0,0,0,0
0.618203,0,0,0,0,0,0
0.619626,0,0,0,0,0,0
0.621031,0,0,0,0,0,0
0.622558,0,0,0,0,0,0
0.624166,0,0,0,0,0,0
0.625741,0,0,0,0,0,0
0.627302,0,0,0,0,0,0
0.628864,0,0,0,0,0,0
0.630427,0,0,0,0,0,0
0.632032,0,0,0,0,0,0
0.633593,0,0,0,0,0,0
0.635155,0,0,0,0,0,0
0.636722,0,0,0,0,0,0
0.638329,0,0,0,0,0,0
0.640017,0,0,0,0,0,0
0.641510,0,0,0,0,0,0
0.642926,0,0,0,0,0,0
0.644348,0,0,0,0,0,0
0.645746,0,0,0,0,0,0
0.647193,0,0,0,0,0,0
0.648592,0,0,0,0,0,0
0.649989,0,0,0,0,0,0
0.651389,0,0,0,0,0,0
0.652985,0,0,0,0,0,0
0.654551,0,0,0,0,0,0
