elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.001218,0,0,0,0,0,0
0.002686,0,0,0,0,0,0
0.004123,0,0,0,0,0,0
0.005583,0,0,0,0,0,0
0.007027,0,0,0,0,0,0
0.008425,0,0,0,0,0,0
0.009973,0,0,0,0,0,0
0.011340,0,0,0,0,0,0
0.012760,0,0,0,0,0,0
0.014125,0,0,0,0,0,0
0.015562,0,0,0,0,0,0
0.017111,0,0,0,0,0,0
0.018511,0,0,0,0,0,0
0.019907,0,0,0,0,0,0
0.021308,0,0,0,0,0,0
0.022701,0,0,0,0,0,0
0.024096,0,0,0,0,0,0
0.025534,0,0,0,0,0,0
0.026889,0,0,0,0,0,0
0.028243,0,0,0,0,0,0
0.029599,0,0,0,0,0,0
0.030954,0,0,0,0,0,0
0.032313,0,0,0,0,0,0
0.033680,0,0,0,0,0,0
0.035004,0,0,0,0,0,0
0.036315,0,0,0,0,0,0
0.037648,0,0,0,0,0,0
0.039041,0,0,0,0,0,0
0.040436,0,0,0,0,0,0
0.042248,0,0,0,0,0,0
0.043720,0,0,0,0,0,0
0.045164,0,0,0,0,0,0
0.046597,0,0,0,0,0,0
0.048031,0,0,0,0,0,0
0.049600,0,0,0,0,0,0
0.051010,0,0,0,0,0,0
0.052428,0,0,0,0,0,0
0.053942,0,0,0,0,0,0
0.055342,0,0,0,0,0,0
0.056862,0,0,0,0,0,0
0.059664,0,0,0,0,0,0
0.061234,0,0,0,0,0,0
0.062633,0,0,0,0,0,0
0.064044,0,0,0,0,0,0
0.065579,0,0,0,0,0,0
0.067008,0,0,0,0,0,0
0.068367,0,0,0,0,0,0
0.069723,0,0,0,0,0,0
0.071099,0,0,0,0,0,0
0.072307,0,0,0,0,0,0
0.073547,0,0,0,0,0,0
0.074837,0,0,0,0,0,0
0.076087,0,0,0,0,0,0
0.077338,0,0,0,0,0,0
0.078588,0,0,0,0,0,0
0.079838,0,0,0,0,0,0
0.081089,0,0,0,0,0,0
0.082387,0,0,0,0,0,0
0.083637,0,0,0,0,0,0
0.084932,0,0,0,0,0,0
0.086433,0,0,0,0,0,0
0.087690,0,0,0,0,0,0
0.088946,0,0,0,0,0,0
0.090200,0,0,0,0,0,0
0.091452,0,0,0,0,0,0
0.092705,0,0,0,0,0,0
0.093960,0,0,0,0,0,0
0.095214,0,0,0,0,0,0
0.096632,0,0,0,0,0,0
0.098106,0,0,0,0,0,0
0.099516,0,0,0,0,0,0
0.100913,0,0,0,0,0,0
0.102307,0,0,0,0,0,0
0.103699,0,0,0,0,0,0
0.105095,0,0,0,0,0,0
0.106558,0,0,0,0,0,0
0.107955,0,0,0,0,0,0
0.109352,0,0,0,0,0,0
0.110750,0,0,0,0,0,0
0.112147,0,0,0,0,0,0
0.113578,0,0,0,0,0,0
0.115102,0,0,0,0,0,0
0.116526,0,0,0,0,0,0
0.118555,0,0,0,0,0,0
0.119947,0,0,0,0,0,0
0.121381,0,0,0,0,0,0
0.122773,0,0,0,0,0,0
0.124161,0,0,0,0,0,0
0.125684,0,0,0,0,0,0
0.127116,0,0,0,0,0,0
0.129422,0,0,0,0,0,0
0.130792,0,0,0,0,0,0
0.132161,0,0,0,0,0,0
0.133533,0,0,0,0,0,0
0.134899,0,0,0,0,0,0
0.136263,0,0,0,0,0,0
0.137667,0,0,0,0,0,0
0.139058,0,0,0,0,0,0
0.140462,0,0,0,0,0,0
0.141967,0,0,0,0,0,0
0.143364,0,0,0,0,0,0
0.144761,0,0,0,0,0,0
0.146190,0,0,0,0,0,0
0.147585,0,0,0,0,0,0
0.148983,0,0,0,0,0,0
0.150378,0,0,0,0,0,0
0.151783,0,0,0,0,0,0
0.153215,0,0,0,0,0,0
0.154611,0,0,0,0,0,0
0.156004,0,0,0,0,0,0
0.157402,0,0,0,0,0,0
0.158798,0,0,0,0,0,0
0.160322,0,0,0,0,0,0
0.161928,0,0,0,0,0,0
0.163380,0,0,0,0,0,0
0.164913,0,0,0,0,0,0
0.166475,0,0,0,0,0,0
0.168034,0,0,0,0,0,0
0.169641,0,0,0,0,0,0
0.171202,0,0,0,0,0,0
0.172827,0,0,0,0,0,0
