elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.001087,0,0,0,0
0.002545,0,0,0,0
0.004011,0,0,0,0
0.005426,0,0,0,0
0.006839,0,0,0,0
0.008254,0,0,0,0
0.009679,0,0,0,0
0.011094,0,0,0,0
0.012507,0,0,0,0
0.013922,0,0,0,0
0.015400,0,0,0,0
0.016826,0,0,0,0
0.018246,0,0,0,0
0.019731,0,0,0,0
0.021131,0,0,0,0
0.022524,0,0,0,0
0.023915,0,0,0,0
0.025309,0,0,0,0
0.026699,0,0,0,0
0.028090,0,0,0,0
0.029482,0,0,0,0
0.030872,0,0,0,0
0.032270,0,0,0,0
0.033661,0,0,0,0
0.035051,0,0,0,0
0.036488,0,0,0,0
0.037832,0,0,0,0
0.039170,0,0,0,0
0.040508,0,0,0,0
0.041804,0,0,0,0
0.043100,0,0,0,0
0.044443,0,0,0,0
0.045733,0,0,0,0
0.047024,0,0,0,0
0.048338,0,0,0,0
0.049632,0,0,0,0
0.050923,0,0,0,0
0.052212,0,0,0,0
0.053469,0,0,0,0
0.054723,0,0,0,0
0.056055,0,0,0,0
0.057437,0,0,0,0
0.058954,0,0,0,0
0.060417,0,0,0,0
0.061776,0,0,0,0
0.063158,0,0,0,0
0.064527,0,0,0,0
0.065870,0,0,0,0
0.067213,0,0,0,0
0.068905,0,0,0,0
0.070340,0,0,0,0
0.071763,0,0,0,0
0.073184,0,0,0,0
0.074623,0,0,0,0
0.076040,0,0,0,0
0.077460,0,0,0,0
0.078878,0,0,0,0
0.080294,0,0,0,0
0.081713,0,0,0,0
0.083146,0,0,0,0
0.085115,0,0,0,0
0.086356,0,0,0,0
0.087922,0,0,0,0
0.089162,0,0,0,0
0.090401,0,0,0,0
0.092766,0,0,0,0
0.094009,0,0,0,0
0.095385,0,0,0,0
0.096664,0,0,0,0
0.097911,0,0,0,0
0.099154,0,0,0,0
0.100456,0,0,0,0
0.101700,0,0,0,0
0.102943,0,0,0,0
0.104188,0,0,0,0
0.105430,0,0,0,0
0.106822,0,0,0,0
0.108716,0,0,0,0
0.110125,0,0,0,0
0.111952,0,0,0,0
0.114256,0,0,0,0
0.115705,0,0,0,0
0.117302,0,0,0,0
0.118705,0,0,0,0
0.120090,0,0,0,0
0.121472,0,0,0,0
0.122849,0,0,0,0
0.124517,0,0,0,0
0.125903,0,0,0,0
0.127289,0,0,0,0
0.128702,0,0,0,0
0.130081,0,0,0,0
0.135310,0,0,0,0
0.140441,0,0,0,0
0.141831,0,0,0,0
0.143482,0,0,0,0
0.144864,0,0,0,0
0.146243,0,0,0,0
0.147666,0,0,0,0
0.149054,0,0,0,0
0.150458,0,0,0,0
0.151846,0,0,0,0
0.153233,0,0,0,0
0.154618,0,0,0,0
0.156003,0,0,0,0
0.157390,0,0,0,0
0.158776,0,0,0,0
0.160163,0,0,0,0
0.161561,0,0,0,0
0.162940,0,0,0,0
0.164396,0,0,0,0
0.165784,0,0,0,0
0.167172,0,0,0,0
0.168560,0,0,0,0
0.169944,0,0,0,0
0.171330,0,0,0,0
0.172723,0,0,0,0
0.174107,0,0,0,0
0.175492,0,0,0,0
0.176877,0,0,0,0
0.178261,0,0,0,0
0.179684,0,0,0,0
0.181068,0,0,0,0
0.182580,0,0,0,0
0.184140,0,0,0,0
0.185688,0,0,0,0
0.187233,0,0,0,0
0.188926,0,0,0,0
0.190473,0,0,0,0
0.192022,0,0,0,0
0.193569,0,0,0,0
0.195128,0,0,0,0
0.196558,0,0,0,0
0.198078,0,0,0,0
0.199627,0,0,0,0
0.201175,0,0,0,0
0.202721,0,0,0,0
0.204268,0,0,0,0
0.205828,0,0,0,0
0.207377,0,0,0,0
0.208924,0,0,0,0
0.210470,0,0,0,0
0.212064,0,0,0,0
0.213612,0,0,0,0
0.215158,0,0,0,0
0.216723,0,0,0,0
0.218269,0,0,0,0
0.219818,0,0,0,0
0.221366,0,0,0,0
0.222912,0,0,0,0
0.224408,0,0,0,0
0.225925,0,0,0,0
0.227487,0,0,0,0
0.229079,0,0,0,0
0.230626,0,0,0,0
0.232174,0,0,0,0
0.233721,0,0,0,0
0.235270,0,0,0,0
0.236818,0,0,0,0
0.238377,0,0,0,0
0.239926,0,0,0,0
0.241474,0,0,0,0
0.243019,0,0,0,0
0.244572,0,0,0,0
0.246118,0,0,0,0
0.247668,0,0,0,0
0.249228,0,0,0,0
0.250774,0,0,0,0
0.252321,0,0,0,0
0.253868,0,0,0,0
0.255554,0,0,0,0
0.257056,0,0,0,0
0.258446,0,0,0,0
0.259912,0,0,0,0
0.261303,0,0,0,0
0.262689,0,0,0,0
0.264076,0,0,0,0
0.265465,0,0,0,0
0.266982,0,0,0,0
0.268536,0,0,0,0
0.270097,0,0,0,0
0.271649,0,0,0,0
0.273198,0,0,0,0
0.274747,0,0,0,0
0.276338,0,0,0,0
0.277889,0,0,0,0
0.279438,0,0,0,0
0.281002,0,0,0,0
0.282550,0,0,0,0
0.284101,0,0,0,0
0.285650,0,0,0,0
0.287198,0,0,0,0
0.288611,0,0,0,0
0.290131,0,0,0,0
0.291738,0,0,0,0
0.293288,0,0,0,0
0.294836,0,0,0,0
0.296385,0,0,0,0
0.297936,0,0,0,0
0.299488,0,0,0,0
0.301038,0,0,0,0
0.302601,0,0,0,0
0.304150,0,0,0,0
0.305700,0,0,0,0
0.307314,0,0,0,0
0.308969,0,0,0,0
0.310516,0,0,0,0
0.312068,0,0,0,0
0.313631,0,0,0,0
0.315179,0,0,0,0
0.316732,0,0,0,0
0.318280,0,0,0,0
0.319831,0,0,0,0
0.321380,0,0,0,0
0.322928,0,0,0,0
0.324568,0,0,0,0
0.326116,0,0,0,0
0.327667,0,0,0,0
0.329217,0,0,0,0
0.330766,0,0,0,0
0.332316,0,0,0,0
0.333865,0,0,0,0
0.335430,0,0,0,0
0.336979,0,0,0,0
0.338528,0,0,0,0
0.340122,0,0,0,0
0.341673,0,0,0,0
0.343220,0,0,0,0
0.344725,0,0,0,0
0.346127,0,0,0,0
0.347646,0,0,0,0
0.349196,0,0,0,0
0.350743,0,0,0,0
0.352292,0,0,0,0
0.353842,0,0,0,0
0.355393,0,0,0,0
0.357000,0,0,0,0
0.358548,0,0,0,0
0.360100,0,0,0,0
0.361649,0,0,0,0
0.363197,0,0,0,0
0.364842,0,0,0,0
0.366388,0,0,0,0
0.367952,0,0,0,0
0.369502,0,0,0,0
0.371051,0,0,0,0
0.372606,0,0,0,0
0.374154,0,0,0,0
0.375706,0,0,0,0
0.377256,0,0,0,0
0.378817,0,0,0,0
0.380366,0,0,0,0
0.381916,0,0,0,0
0.383468,0,0,0,0
0.385019,0,0,0,0
0.386567,0,0,0,0
0.388160,0,0,0,0
0.389722,0,0,0,0
0.391274,0,0,0,0
0.392825,0,0,0,0
0.394372,0,0,0,0
0.395924,0,0,0,0
0.397474,0,0,0,0
0.399023,0,0,0,0
0.400588,0,0,0,0
0.402135,0,0,0,0
0.403729,0,0,0,0
0.405279,0,0,0,0
0.406827,0,0,0,0
0.408375,0,0,0,0
0.409923,0,0,0,0
0.411486,0,0,0,0
0.413035,0,0,0,0
0.414582,0,0,0,0
0.416130,0,0,0,0
0.417671,0,0,0,0
