elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.001098,0,0,0,0
0.002553,0,0,0,0
0.003987,0,0,0,0
0.005692,0,0,0,0
0.007149,0,0,0,0
0.008566,0,0,0,0
0.009995,0,0,0,0
0.011409,0,0,0,0
0.012874,0,0,0,0
0.014288,0,0,0,0
0.015704,0,0,0,0
0.017300,0,0,0,0
0.018779,0,0,0,0
0.020393,0,0,0,0
0.021768,0,0,0,0
0.023142,0,0,0,0
0.024518,0,0,0,0
0.025889,0,0,0,0
0.027468,0,0,0,0
0.028904,0,0,0,0
0.030282,0,0,0,0
0.031686,0,0,0,0
0.033061,0,0,0,0
0.034432,0,0,0,0
0.035803,0,0,0,0
0.037173,0,0,0,0
0.038541,0,0,0,0
0.039958,0,0,0,0
0.041324,0,0,0,0
0.042699,0,0,0,0
0.044106,0,0,0,0
0.045452,0,0,0,0
0.046793,0,0,0,0
0.048210,0,0,0,0
0.049559,0,0,0,0
0.050907,0,0,0,0
0.052263,0,0,0,0
0.053673,0,0,0,0
0.055105,0,0,0,0
0.056554,0,0,0,0
0.057967,0,0,0,0
0.059379,0,0,0,0
0.060817,0,0,0,0
0.062174,0,0,0,0
0.063582,0,0,0,0
0.064942,0,0,0,0
0.066303,0,0,0,0
0.067707,0,0,0,0
0.069061,0,0,0,0
0.070416,0,0,0,0
0.071821,0,0,0,0
0.073173,0,0,0,0
0.074528,0,0,0,0
0.075974,0,0,0,0
0.077327,0,0,0,0
0.078759,0,0,0,0
0.080437,0,0,0,0
0.081778,0,0,0,0
0.083116,0,0,0,0
0.084548,0,0,0,0
0.085959,0,0,0,0
0.087387,0,0,0,0
0.088788,0,0,0,0
0.090158,0,0,0,0
0.091567,0,0,0,0
0.093076,0,0,0,0
0.094464,0,0,0,0
0.095884,0,0,0,0
0.097270,0,0,0,0
0.098665,0,0,0,0
0.100051,0,0,0,0
0.101439,0,0,0,0
0.102828,0,0,0,0
0.104068,0,0,0,0
0.105308,0,0,0,0
0.106548,0,0,0,0
0.107835,0,0,0,0
0.109074,0,0,0,0
0.110313,0,0,0,0
0.111676,0,0,0,0
0.112962,0,0,0,0
0.114202,0,0,0,0
0.115446,0,0,0,0
0.116690,0,0,0,0
0.117934,0,0,0,0
0.119180,0,0,0,0
0.120423,0,0,0,0
0.121666,0,0,0,0
0.122908,0,0,0,0
0.124239,0,0,0,0
0.125482,0,0,0,0
0.126724,0,0,0,0
0.128153,0,0,0,0
0.129538,0,0,0,0
0.130917,0,0,0,0
0.132390,0,0,0,0
0.133768,0,0,0,0
0.135158,0,0,0,0
0.136538,0,0,0,0
0.137916,0,0,0,0
0.139306,0,0,0,0
0.140724,0,0,0,0
0.142104,0,0,0,0
0.143484,0,0,0,0
0.144864,0,0,0,0
0.146243,0,0,0,0
0.147622,0,0,0,0
0.149002,0,0,0,0
0.150391,0,0,0,0
0.152469,0,0,0,0
0.153850,0,0,0,0
0.155362,0,0,0,0
0.156803,0,0,0,0
0.158121,0,0,0,0
0.159501,0,0,0,0
0.160823,0,0,0,0
0.162131,0,0,0,0
0.163488,0,0,0,0
0.164797,0,0,0,0
0.166104,0,0,0,0
0.167480,0,0,0,0
0.168833,0,0,0,0
0.170151,0,0,0,0
0.171524,0,0,0,0
0.172802,0,0,0,0
0.174077,0,0,0,0
0.175387,0,0,0,0
0.176732,0,0,0,0
0.178059,0,0,0,0
0.180016,0,0,0,0
0.181342,0,0,0,0
0.182676,0,0,0,0
0.184002,0,0,0,0
0.185387,0,0,0,0
0.186729,0,0,0,0
0.188091,0,0,0,0
0.189547,0,0,0,0
0.191025,0,0,0,0
0.192410,0,0,0,0
0.193783,0,0,0,0
0.195145,0,0,0,0
0.196534,0,0,0,0
0.197891,0,0,0,0
0.199247,0,0,0,0
0.200604,0,0,0,0
0.201959,0,0,0,0
0.203315,0,0,0,0
0.205048,0,0,0,0
0.206532,0,0,0,0
0.207928,0,0,0,0
0.209355,0,0,0,0
0.210747,0,0,0,0
0.212139,0,0,0,0
0.213534,0,0,0,0
0.215157,0,0,0,0
0.216710,0,0,0,0
0.218259,0,0,0,0
0.220023,0,0,0,0
0.221767,0,0,0,0
0.223175,0,0,0,0
0.224993,0,0,0,0
0.226441,0,0,0,0
0.227841,0,0,0,0
0.229227,0,0,0,0
0.230608,0,0,0,0
0.231989,0,0,0,0
0.233497,0,0,0,0
0.235038,0,0,0,0
0.236505,0,0,0,0
0.237892,0,0,0,0
0.239276,0,0,0,0
0.240793,0,0,0,0
0.242344,0,0,0,0
0.243897,0,0,0,0
