elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.001095,0,0,0,0
0.002542,0,0,0,0
0.003962,0,0,0,0
0.005382,0,0,0,0
0.006796,0,0,0,0
0.008211,0,0,0,0
0.009653,0,0,0,0
0.011076,0,0,0,0
0.012564,0,0,0,0
0.013963,0,0,0,0
0.015390,0,0,0,0
0.016785,0,0,0,0
0.018177,0,0,0,0
0.019620,0,0,0,0
0.021047,0,0,0,0
0.022461,0,0,0,0
0.023875,0,0,0,0
0.025291,0,0,0,0
0.026704,0,0,0,0
0.028168,0,0,0,0
0.029560,0,0,0,0
0.030950,0,0,0,0
0.032415,0,0,0,0
0.033805,0,0,0,0
0.035234,0,0,0,0
0.036665,0,0,0,0
0.038041,0,0,0,0
0.039646,0,0,0,0
0.041024,0,0,0,0
0.042419,0,0,0,0
0.043843,0,0,0,0
0.045183,0,0,0,0
0.046522,0,0,0,0
0.047860,0,0,0,0
0.049200,0,0,0,0
0.050538,0,0,0,0
0.051898,0,0,0,0
0.053238,0,0,0,0
0.054582,0,0,0,0
0.056050,0,0,0,0
0.057432,0,0,0,0
0.058817,0,0,0,0
0.060197,0,0,0,0
0.061888,0,0,0,0
0.063271,0,0,0,0
0.064787,0,0,0,0
0.066250,0,0,0,0
0.068665,0,0,0,0
0.070066,0,0,0,0
0.071452,0,0,0,0
0.072881,0,0,0,0
0.074443,0,0,0,0
0.076235,0,0,0,0
0.078331,0,0,0,0
0.079712,0,0,0,0
0.081098,0,0,0,0
0.082486,0,0,0,0
0.083874,0,0,0,0
0.085116,0,0,0,0
0.086358,0,0,0,0
0.087600,0,0,0,0
0.088839,0,0,0,0
0.090077,0,0,0,0
0.092346,0,0,0,0
0.093587,0,0,0,0
0.094825,0,0,0,0
0.096065,0,0,0,0
0.097304,0,0,0,0
0.098543,0,0,0,0
0.099785,0,0,0,0
0.101025,0,0,0,0
0.102263,0,0,0,0
0.103503,0,0,0,0
0.104745,0,0,0,0
0.106171,0,0,0,0
0.107454,0,0,0,0
0.108953,0,0,0,0
0.110350,0,0,0,0
0.111741,0,0,0,0
0.113131,0,0,0,0
0.114517,0,0,0,0
0.115958,0,0,0,0
0.117345,0,0,0,0
0.118729,0,0,0,0
0.120119,0,0,0,0
0.121508,0,0,0,0
0.122987,0,0,0,0
0.127339,0,0,0,0
0.128735,0,0,0,0
0.130123,0,0,0,0
0.131566,0,0,0,0
0.132930,0,0,0,0
0.134259,0,0,0,0
0.135574,0,0,0,0
0.136888,0,0,0,0
0.138201,0,0,0,0
0.139513,0,0,0,0
0.140919,0,0,0,0
0.142435,0,0,0,0
0.143986,0,0,0,0
0.145539,0,0,0,0
0.147090,0,0,0,0
0.148646,0,0,0,0
0.150196,0,0,0,0
0.151761,0,0,0,0
0.153313,0,0,0,0
0.154863,0,0,0,0
0.156478,0,0,0,0
0.158028,0,0,0,0
0.159581,0,0,0,0
0.161132,0,0,0,0
0.162572,0,0,0,0
0.164137,0,0,0,0
0.165688,0,0,0,0
0.167241,0,0,0,0
0.168792,0,0,0,0
0.170340,0,0,0,0
0.171934,0,0,0,0
0.173498,0,0,0,0
0.175048,0,0,0,0
0.176602,0,0,0,0
0.178150,0,0,0,0
0.179662,0,0,0,0
0.181079,0,0,0,0
0.182467,0,0,0,0
0.186912,0,0,0,0
0.188565,0,0,0,0
0.190107,0,0,0,0
0.191431,0,0,0,0
0.192745,0,0,0,0
0.194069,0,0,0,0
0.195382,0,0,0,0
0.196775,0,0,0,0
0.198165,0,0,0,0
0.199679,0,0,0,0
0.201228,0,0,0,0
0.202685,0,0,0,0
0.204153,0,0,0,0
0.205557,0,0,0,0
0.206944,0,0,0,0
0.208332,0,0,0,0
0.209715,0,0,0,0
0.211099,0,0,0,0
0.212705,0,0,0,0
0.214164,0,0,0,0
0.215602,0,0,0,0
0.216993,0,0,0,0
0.218379,0,0,0,0
0.219809,0,0,0,0
0.221196,0,0,0,0
0.222581,0,0,0,0
0.223967,0,0,0,0
0.225480,0,0,0,0
0.227042,0,0,0,0
0.228598,0,0,0,0
0.230146,0,0,0,0
0.231698,0,0,0,0
0.233248,0,0,0,0
0.234792,0,0,0,0
0.236383,0,0,0,0
0.237946,0,0,0,0
0.239497,0,0,0,0
0.241055,0,0,0,0
0.242614,0,0,0,0
0.244055,0,0,0,0
0.245575,0,0,0,0
0.247123,0,0,0,0
0.248692,0,0,0,0
0.250242,0,0,0,0
0.251683,0,0,0,0
0.253087,0,0,0,0
0.254474,0,0,0,0
0.255862,0,0,0,0
0.257247,0,0,0,0
0.258646,0,0,0,0
0.260067,0,0,0,0
0.261580,0,0,0,0
0.263127,0,0,0,0
0.264681,0,0,0,0
0.266229,0,0,0,0
0.267823,0,0,0,0
0.269385,0,0,0,0
0.270933,0,0,0,0
0.272486,0,0,0,0
0.274033,0,0,0,0
0.275584,0,0,0,0
0.277133,0,0,0,0
0.278681,0,0,0,0
0.280242,0,0,0,0
0.281793,0,0,0,0
0.283344,0,0,0,0
0.284937,0,0,0,0
0.286486,0,0,0,0
0.288037,0,0,0,0
0.289588,0,0,0,0
0.291024,0,0,0,0
0.292453,0,0,0,0
0.293841,0,0,0,0
0.295228,0,0,0,0
0.296614,0,0,0,0
0.297999,0,0,0,0
0.299500,0,0,0,0
0.301149,0,0,0,0
0.302551,0,0,0,0
0.303935,0,0,0,0
0.305317,0,0,0,0
0.306697,0,0,0,0
0.308079,0,0,0,0
0.309460,0,0,0,0
0.310841,0,0,0,0
0.312237,0,0,0,0
0.313744,0,0,0,0
0.315440,0,0,0,0
0.317025,0,0,0,0
0.318566,0,0,0,0
0.319987,0,0,0,0
0.321506,0,0,0,0
0.323067,0,0,0,0
0.324622,0,0,0,0
0.326183,0,0,0,0
0.327632,0,0,0,0
0.329034,0,0,0,0
0.330548,0,0,0,0
0.332143,0,0,0,0
0.333707,0,0,0,0
0.335260,0,0,0,0
0.336812,0,0,0,0
0.338361,0,0,0,0
0.339957,0,0,0,0
0.341508,0,0,0,0
0.343057,0,0,0,0
0.344619,0,0,0,0
0.346161,0,0,0,0
0.347625,0,0,0,0
0.349146,0,0,0,0
0.350695,0,0,0,0
0.352246,0,0,0,0
0.353797,0,0,0,0
0.355363,0,0,0,0
0.356958,0,0,0,0
0.358508,0,0,0,0
0.360108,0,0,0,0
0.361658,0,0,0,0
0.363275,0,0,0,0
0.364938,0,0,0,0
0.366377,0,0,0,0
0.367901,0,0,0,0
0.369452,0,0,0,0
0.371001,0,0,0,0
0.372556,0,0,0,0
0.374107,0,0,0,0
0.375660,0,0,0,0
0.377225,0,0,0,0
0.378774,0,0,0,0
0.380241,0,0,0,0
0.381760,0,0,0,0
0.383313,0,0,0,0
0.384856,0,0,0,0
0.386397,0,0,0,0
0.387872,0,0,0,0
0.389392,0,0,0,0
0.390940,0,0,0,0
0.392516,0,0,0,0
0.394019,0,0,0,0
0.395380,0,0,0,0
0.396775,0,0,0,0
0.398168,0,0,0,0
0.399551,0,0,0,0
0.400931,0,0,0,0
0.402337,0,0,0,0
0.403762,0,0,0,0
0.405142,0,0,0,0
0.406526,0,0,0,0
0.407908,0,0,0,0
0.409304,0,0,0,0
0.410688,0,0,0,0
0.412109,0,0,0,0
0.413495,0,0,0,0
0.415007,0,0,0,0
