elapsed_s,RAS_STGEN_BOTTLENECK_CYCLES,RAS_MTGEN_BOTTLENECK_CYCLES,RAS_TGEN_BOTTLENECK_CYCLES
0.001094,0,0,0
0.002541,0,0,0
0.003951,0,0,0
0.005360,0,0,0
0.006767,0,0,0
0.008172,0,0,0
0.009589,0,0,0
0.010996,0,0,0
0.012502,0,0,0
0.013892,0,0,0
0.015476,0,0,0
0.016904,0,0,0
0.018275,0,0,0
0.019672,0,0,0
0.021037,0,0,0
0.022401,0,0,0
0.023765,0,0,0
0.025129,0,0,0
0.026491,0,0,0
0.027875,0,0,0
0.029296,0,0,0
0.030716,0,0,0
0.032124,0,0,0
0.033532,0,0,0
0.034938,0,0,0
0.036318,0,0,0
0.037721,0,0,0
0.039346,0,0,0
0.040805,0,0,0
0.042209,0,0,0
0.043682,0,0,0
0.045066,0,0,0
0.046448,0,0,0
0.047832,0,0,0
0.049217,0,0,0
0.050603,0,0,0
0.051999,0,0,0
0.053444,0,0,0
0.054888,0,0,0
0.056355,0,0,0
0.057797,0,0,0
0.059240,0,0,0
0.060731,0,0,0
0.062138,0,0,0
0.063527,0,0,0
0.064970,0,0,0
0.066414,0,0,0
0.067858,0,0,0
0.069313,0,0,0
0.070756,0,0,0
0.072230,0,0,0
0.073674,0,0,0
0.075124,0,0,0
0.076593,0,0,0
0.078167,0,0,0
0.079583,0,0,0
0.080978,0,0,0
0.082344,0,0,0
0.083693,0,0,0
0.085035,0,0,0
0.086371,0,0,0
0.087711,0,0,0
0.089047,0,0,0
0.090396,24,0,0
0.091882,0,0,0
0.093300,0,0,0
0.094818,0,0,0
0.096314,0,0,0
0.097689,0,0,0
0.099069,0,0,0
0.100536,0,0,0
0.101917,72,0,0
0.103206,180,0,0
0.104609,162,0,0
0.105843,162,0,0
0.107077,294,0,0
0.109370,156,0,0
0.110604,162,0,0
0.112940,300,0,0
0.114180,162,0,0
0.115422,156,0,0
0.116660,156,0,0
0.117898,162,0,0
0.119138,162,0,0
0.120376,156,0,0
0.121612,156,0,0
0.122849,156,0,0
0.124133,168,0,0
0.125369,222,0,0
0.127165,0,0,0
0.128621,0,0,0
0.130014,0,0,0
0.131393,0,0,0
0.132768,0,0,0
0.134141,0,0,0
0.135512,0,0,0
0.136885,0,0,0
0.138268,0,0,0
0.139687,0,0,0
0.141039,0,0,0
0.142387,0,0,0
0.143737,0,0,0
0.145086,0,0,0
0.146434,0,0,0
0.147784,0,0,0
0.149141,0,0,0
0.150491,0,0,0
0.151840,0,0,0
0.153190,0,0,0
0.154540,0,0,0
0.155926,0,0,0
0.157362,0,0,0
0.158682,0,0,0
0.160007,0,0,0
0.161327,0,0,0
0.162648,0,0,0
0.163967,0,0,0
0.165299,0,0,0
0.166651,0,0,0
0.167973,0,0,0
0.169294,0,0,0
0.170619,0,0,0
0.171942,0,0,0
0.173270,0,0,0
0.174598,0,0,0
0.177493,0,0,0
0.178889,0,0,0
0.180322,0,0,0
0.181674,0,0,0
0.183071,0,0,0
0.184456,0,0,0
0.185790,0,0,0
0.187191,0,0,0
0.188674,0,0,0
0.190086,0,0,0
0.191466,0,0,0
0.192856,0,0,0
0.194234,0,0,0
0.195611,0,0,0
0.196992,0,0,0
0.198371,0,0,0
0.199752,0,0,0
0.201132,0,0,0
0.202511,0,0,0
0.203945,0,0,0
0.205326,0,0,0
0.206704,0,0,0
0.208085,0,0,0
0.209463,0,0,0
0.210841,0,0,0
0.212221,0,0,0
0.213727,0,0,0
0.215292,0,0,0
0.216833,0,0,0
0.218254,0,0,0
0.219821,0,0,0
0.221367,0,0,0
0.222910,0,0,0
0.224458,0,0,0
