elapsed_s,PC_US_STALL_CYCLES_UCHE0,PC_US_STALL_CYCLES_UCHE1,PC_US_UCHE_0_TRANS,PC_US_UCHE_1_TRANS,PC_US_BV_STALLED_BY_ATTR,PC_US_BV_STARVED_BY_RARB,PC_US_VPC_PRIM_COUNT_STALLS_BR,PC_US_VPC_PRIM_COUNT_STALLS_BV
0.001127,0,0,0,0,0,0,0,0
0.002660,0,0,0,0,0,0,0,0
0.004273,0,0,0,0,0,0,0,0
0.005782,0,0,0,0,0,0,0,0
0.007318,0,0,0,0,0,0,0,0
0.008963,0,0,0,0,0,0,0,0
0.010531,0,0,0,0,0,0,0,0
0.012201,0,0,0,0,0,0,0,0
0.013676,0,0,0,0,0,0,0,0
0.015200,0,0,0,0,0,0,0,0
0.016677,0,0,0,0,0,0,0,0
0.018187,0,0,0,0,0,0,0,0
0.019761,0,0,0,0,0,0,0,0
0.021339,0,0,0,0,0,0,0,0
0.022859,0,0,0,0,0,0,0,0
0.024496,0,0,0,0,0,0,0,0
0.026017,0,0,0,0,0,0,0,0
0.027665,0,0,0,0,0,0,0,0
0.029201,0,0,0,0,0,0,0,0
0.030638,0,0,0,0,0,0,0,0
0.032113,0,0,0,0,0,0,0,0
0.033537,0,0,0,0,0,0,0,0
0.034961,0,0,0,0,0,0,0,0
0.036532,0,0,0,0,0,0,0,0
0.037822,0,0,0,0,0,0,0,0
0.039162,0,0,0,0,0,0,0,0
0.040533,0,0,0,0,0,0,0,0
0.042062,0,0,0,0,0,0,0,0
0.043428,0,0,0,0,0,0,0,0
0.044854,0,0,0,0,0,0,0,0
0.046272,0,0,0,0,0,0,0,0
0.047686,0,0,0,0,0,0,0,0
0.049102,0,0,0,0,0,0,0,0
0.050513,0,0,0,0,0,0,0,0
0.051884,0,0,0,0,0,0,0,0
0.053264,0,0,0,0,0,0,0,0
0.054634,0,0,0,0,0,0,0,0
0.055997,0,0,0,0,0,0,0,0
0.057357,0,0,0,0,0,0,0,0
0.058733,0,0,0,0,0,0,0,0
0.060282,0,0,0,0,0,0,0,0
0.062192,0,0,0,0,0,0,0,0
0.063670,0,0,0,0,0,0,0,0
0.065418,0,0,0,0,0,0,0,0
0.066949,0,0,0,0,0,0,0,0
0.068419,0,0,0,0,0,0,0,0
0.069803,0,0,0,0,0,0,0,0
0.071208,0,0,0,0,0,0,0,0
0.072575,0,0,0,0,0,0,0,0
0.073978,0,0,0,0,0,0,0,0
0.075250,0,0,0,0,0,0,0,0
0.077861,0,0,0,0,0,0,0,0
0.079429,0,0,0,0,0,0,0,0
0.080888,0,0,0,0,0,0,0,0
0.082345,0,0,0,0,0,0,0,0
0.083840,0,0,0,0,0,0,0,0
0.085267,0,0,0,0,0,0,0,0
0.086674,0,0,0,0,0,0,0,0
0.088083,0,0,0,0,0,0,0,0
0.089494,0,0,0,0,0,0,0,0
0.090915,0,0,0,0,0,0,0,0
0.092310,0,0,0,0,0,0,0,0
0.093695,0,0,0,0,0,0,0,0
0.095014,0,0,0,0,0,0,0,0
0.096449,0,0,0,0,0,0,0,0
0.097844,0,0,0,0,0,0,0,0
0.099057,0,0,0,0,0,0,0,0
0.100456,0,0,0,0,0,0,0,0
0.101770,0,0,0,0,0,0,0,0
0.103103,0,0,0,0,0,0,0,0
0.104457,0,0,0,0,0,0,0,0
0.106057,0,0,0,0,0,0,0,0
0.107519,0,0,0,0,0,0,0,0
0.109014,0,0,0,0,0,0,0,0
0.110455,0,0,0,0,0,0,0,0
0.111910,0,0,0,0,0,0,0,0
0.113343,0,0,0,0,0,0,0,0
0.114803,0,0,0,0,0,0,0,0
0.116326,0,0,0,0,0,0,0,0
0.117701,0,0,0,0,0,0,0,0
0.119071,0,0,0,0,0,0,0,0
0.120471,0,0,0,0,0,0,0,0
0.121871,0,0,0,0,0,0,0,0
0.141248,0,0,0,0,0,0,0,0
0.142642,0,0,0,0,0,0,0,0
0.144099,0,0,0,0,0,0,0,0
