elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
0.001096,0,0,1499298,1499496,0,0
0.003220,0,0,1523262,1523070,0,0
0.004662,0,0,1518132,1518114,0,0
0.006144,0,0,1503276,1503276,0,0
0.007580,0,0,1502874,1502958,0,0
0.009018,0,0,1514340,1514244,0,0
0.010484,0,0,1503888,1503966,0,0
0.011917,0,0,1514796,1514700,0,0
0.013348,0,0,1655220,1655220,0,0
0.014825,0,0,1486824,1496634,0,0
0.016383,0,0,1540914,1529832,0,0
0.017846,0,0,1479546,1479744,0,0
0.019215,0,0,1452012,1451892,0,0
0.020593,0,0,1457400,1457514,0,0
0.022011,0,0,1469070,1468764,0,0
0.023372,0,0,1449864,1449936,0,0
0.024732,0,0,1455198,1455294,0,0
0.026142,0,0,1461660,1461546,0,0
0.027503,0,0,1468596,1474236,0,0
0.028936,0,0,1506666,1500942,0,0
0.030395,0,0,1358694,1355952,0,0
0.031707,0,0,1341438,1341438,0,0
0.033011,0,0,1338006,1337820,0,0
0.034364,0,0,1372122,1371996,0,0
0.035681,0,0,1367496,1367790,0,0
0.036986,0,0,1344804,1344498,0,0
0.038361,0,0,1342770,1342764,0,0
0.039665,0,0,1343826,1343826,0,0
0.040969,0,0,1342164,1342248,0,0
0.042324,0,0,1300692,1287834,0,0
0.043586,0,0,1252206,1252230,0,0
0.044848,0,0,1249812,1249680,0,0
0.046172,0,0,1246752,1246782,0,0
0.047433,0,0,1244784,1244748,0,0
0.048695,0,0,1245738,1245792,0,0
0.050026,0,0,1405866,1410144,0,0
0.051370,0,0,1436508,1440300,0,0
0.052784,0,0,1431930,1428186,0,0
0.054415,0,0,1272846,1268358,0,0
0.055749,0,0,1248684,1248792,0,0
0.057063,0,0,1249086,1249074,0,0
0.058390,0,0,1328070,1341174,0,0
0.059709,0,0,1347288,1347192,0,0
