elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.003108,0,0,0,0,0,0
0.004874,0,0,0,0,0,0
0.006468,0,0,0,0,0,0
0.007954,0,0,0,0,0,0
0.009445,0,0,0,0,0,0
0.010959,0,0,0,0,0,0
0.012422,0,0,0,0,0,0
0.013890,0,0,0,0,0,0
0.015367,0,0,0,0,0,0
0.016835,0,0,0,0,0,0
0.018502,0,0,0,0,0,0
0.020139,0,0,0,0,0,0
0.021640,0,0,0,0,0,0
0.023143,0,0,0,0,0,0
0.024632,0,0,0,0,0,0
0.026182,0,0,0,0,0,0
0.027670,0,0,0,0,0,0
0.029156,0,0,0,0,0,0
0.030662,0,0,0,0,0,0
0.032145,0,0,0,0,0,0
0.033631,0,0,0,0,0,0
0.035118,0,0,0,0,0,0
0.036668,0,0,0,0,0,0
0.038137,0,0,0,0,0,0
0.039740,0,0,0,0,0,0
0.041139,0,0,0,0,0,0
0.042640,0,0,0,0,0,0
0.044027,0,0,0,0,0,0
0.045528,0,0,0,0,0,0
0.046912,0,0,0,0,0,0
0.048415,0,0,0,0,0,0
0.049917,0,0,0,0,0,0
0.051412,0,0,0,0,0,0
0.052783,0,0,0,0,0,0
0.054225,0,0,0,0,0,0
0.055576,0,0,0,0,0,0
0.056927,0,0,0,0,0,0
0.058274,0,0,0,0,0,0
0.059623,0,0,0,0,0,0
0.060976,0,0,0,0,0,0
0.062344,0,0,0,0,0,0
0.063698,0,0,0,0,0,0
0.065053,0,0,0,0,0,0
0.066404,0,0,0,0,0,0
0.067790,0,0,0,0,0,0
0.069157,0,0,0,0,0,0
0.070524,0,0,0,0,0,0
0.071883,0,0,0,0,0,0
0.073256,0,0,0,0,0,0
0.074606,0,0,0,0,0,0
0.075959,0,0,0,0,0,0
0.077310,0,0,0,0,0,0
0.078662,0,0,0,0,0,0
0.080012,0,0,0,0,0,0
0.081365,642,0,0,0,8,0
0.083250,4050,0,0,0,130,0
0.084456,3888,0,0,0,115,0
0.085661,3726,0,0,0,120,0
0.086865,3726,0,0,0,115,0
0.088069,3888,0,0,0,115,0
0.089274,3726,0,0,0,120,0
0.090477,3726,0,0,0,115,0
0.091682,3888,0,0,0,115,0
0.092887,3726,0,0,0,115,0
0.094090,3888,0,0,0,125,0
0.095342,3078,0,0,0,90,0
0.096563,0,0,0,0,0,0
0.097910,0,0,0,0,0,0
0.099314,0,0,0,0,0,0
0.100666,0,0,0,0,0,0
0.102018,0,0,0,0,0,0
0.103377,0,0,0,0,0,0
0.104729,0,0,0,0,0,0
0.106079,0,0,0,0,0,0
0.107604,0,0,0,0,0,0
0.108979,0,0,0,0,0,0
0.110336,0,0,0,0,0,0
0.111690,0,0,0,0,0,0
0.113041,0,0,0,0,0,0
