elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.001110,0,0,0,0,0,0
0.002581,0,0,0,0,0,0
0.004019,0,0,0,0,0,0
0.005456,0,0,0,0,0,0
0.006888,0,0,0,0,0,0
0.008367,0,0,0,0,0,0
0.009825,0,0,0,0,0,0
0.011256,0,0,0,0,0,0
0.012688,0,0,0,0,0,0
0.014123,0,0,0,0,0,0
0.015556,0,0,0,0,0,0
0.017052,0,0,0,0,0,0
0.018492,0,0,0,0,0,0
0.019949,0,0,0,0,0,0
0.021383,0,0,0,0,0,0
0.022814,0,0,0,0,0,0
0.024288,0,0,0,0,0,0
0.025723,0,0,0,0,0,0
0.027155,0,0,0,0,0,0
0.028590,0,0,0,0,0,0
0.030039,0,0,0,0,0,0
0.031471,0,0,0,0,0,0
0.032929,0,0,0,0,0,0
0.034360,0,0,0,0,0,0
0.035792,0,0,0,0,0,0
0.037223,0,0,0,0,0,0
0.038653,0,0,0,0,0,0
0.040139,0,0,0,0,0,0
0.041549,0,0,0,0,0,0
0.042958,0,0,0,0,0,0
0.044369,0,0,0,0,0,0
0.045778,0,0,0,0,0,0
0.047185,0,0,0,0,0,0
0.048597,0,0,0,0,0,0
0.050008,0,0,0,0,0,0
0.051424,0,0,0,0,0,0
0.054918,0,0,0,0,0,0
0.056528,0,0,0,0,0,0
0.057891,0,0,0,0,0,0
0.059225,0,0,0,0,0,0
0.060582,0,0,0,0,0,0
0.061893,0,0,0,0,0,0
0.063363,0,0,0,0,0,0
0.064833,0,0,0,0,0,0
0.066160,0,0,0,0,0,0
0.067476,0,0,0,0,0,0
0.068855,0,0,0,0,0,0
0.070170,0,0,0,0,0,0
0.071486,0,0,0,0,0,0
0.072863,0,0,0,0,0,0
0.074241,0,0,0,0,0,0
0.075729,0,0,0,0,0,0
0.077127,0,0,0,0,0,0
0.078602,0,0,0,0,0,0
0.080025,0,0,0,0,0,0
0.081516,0,0,0,0,0,0
0.082939,0,0,0,0,0,0
0.084393,0,0,0,0,0,0
0.085975,0,0,0,0,0,0
0.087330,0,0,0,0,0,0
0.088755,0,0,0,0,0,0
0.090170,0,0,0,0,0,0
0.091571,0,0,0,0,0,0
0.094381,0,0,0,0,0,0
0.095934,72,32,0,0,112,1111
0.097563,0,0,0,0,0,0
0.098814,0,0,0,0,0,0
0.101338,0,0,0,0,0,0
0.102591,0,0,0,0,0,0
0.104922,0,0,0,0,0,0
0.106176,0,0,0,0,0,0
0.107433,0,0,0,0,0,0
0.108684,0,0,0,0,0,0
0.109979,0,0,0,0,0,0
0.111430,0,0,0,0,0,0
0.112814,0,0,0,0,0,0
0.114188,0,0,0,0,0,0
0.115562,0,0,0,0,0,0
0.116889,0,0,0,0,0,0
0.118280,0,0,0,0,0,0
0.119656,0,0,0,0,0,0
0.121055,0,0,0,0,0,0
0.122432,0,0,0,0,0,0
0.123810,0,0,0,0,0,0
0.125198,0,0,0,0,0,0
0.126580,0,0,0,0,0,0
0.127959,0,0,0,0,0,0
0.129338,0,0,0,0,0,0
0.130718,0,0,0,0,0,0
0.132101,0,0,0,0,0,0
0.133479,0,0,0,0,0,0
0.134857,0,0,0,0,0,0
0.136486,0,0,0,0,0,0
0.138054,0,0,0,0,0,0
0.139605,0,0,0,0,0,0
0.141097,0,0,0,0,0,0
0.142505,0,0,0,0,0,0
0.143903,0,0,0,0,0,0
0.145305,0,0,0,0,0,0
0.146703,0,0,0,0,0,0
0.148103,0,0,0,0,0,0
0.149502,0,0,0,0,0,0
0.150898,0,0,0,0,0,0
0.152470,0,0,0,0,0,0
0.154046,0,0,0,0,0,0
0.155606,0,0,0,0,0,0
0.157239,0,0,0,0,0,0
0.158800,0,0,0,0,0,0
0.160364,0,0,0,0,0,0
0.161927,0,0,0,0,0,0
0.163488,0,0,0,0,0,0
0.164944,0,0,0,0,0,0
0.166476,0,0,0,0,0,0
0.168040,0,0,0,0,0,0
0.169603,0,0,0,0,0,0
0.171166,0,0,0,0,0,0
0.172727,0,0,0,0,0,0
0.174290,0,0,0,0,0,0
0.175868,0,0,0,0,0,0
0.177455,0,0,0,0,0,0
0.179017,0,0,0,0,0,0
0.180576,0,0,0,0,0,0
0.182138,0,0,0,0,0,0
0.183701,0,0,0,0,0,0
0.185263,0,0,0,0,0,0
0.186836,0,0,0,0,0,0
0.188403,0,0,0,0,0,0
0.189965,0,0,0,0,0,0
0.191525,0,0,0,0,0,0
0.193091,0,0,0,0,0,0
0.194651,0,0,0,0,0,0
0.196214,0,0,0,0,0,0
0.197788,0,0,0,0,0,0
0.199348,0,0,0,0,0,0
0.200878,0,0,0,0,0,0
0.202408,0,0,0,0,0,0
0.203971,0,0,0,0,0,0
0.205533,0,0,0,0,0,0
0.207092,0,0,0,0,0,0
0.208664,0,0,0,0,0,0
0.210225,0,0,0,0,0,0
0.211662,0,0,0,0,0,0
0.213074,0,0,0,0,0,0
0.214479,0,0,0,0,0,0
0.215878,0,0,0,0,0,0
0.217276,0,0,0,0,0,0
0.218684,0,0,0,0,0,0
0.220548,0,0,0,0,0,0
0.222344,0,0,0,0,0,0
0.223758,0,0,0,0,0,0
0.225154,0,0,0,0,0,0
0.226545,0,0,0,0,0,0
0.227937,0,0,0,0,0,0
0.229344,0,0,0,0,0,0
0.230734,0,0,0,0,0,0
0.232163,0,0,0,0,0,0
0.233576,0,0,0,0,0,0
0.235245,0,0,0,0,0,0
0.236676,0,0,0,0,0,0
0.238198,0,0,0,0,0,0
0.239839,0,0,0,0,0,0
0.241248,0,0,0,0,0,0
0.242646,0,0,0,0,0,0
0.244038,0,0,0,0,0,0
0.245556,0,0,0,0,0,0
0.247108,0,0,0,0,0,0
0.248584,0,0,0,0,0,0
0.250128,0,0,0,0,0,0
0.251690,0,0,0,0,0,0
0.253250,0,0,0,0,0,0
0.254807,0,0,0,0,0,0
0.256244,0,0,0,0,0,0
0.257656,0,0,0,0,0,0
0.259057,0,0,0,0,0,0
0.260470,0,0,0,0,0,0
0.261869,0,0,0,0,0,0
0.263267,0,0,0,0,0,0
0.264666,0,0,0,0,0,0
0.266181,0,0,0,0,0,0
0.267761,0,0,0,0,0,0
0.269313,0,0,0,0,0,0
0.270878,0,0,0,0,0,0
0.272308,0,0,0,0,0,0
0.273838,0,0,0,0,0,0
0.275399,0,0,0,0,0,0
0.276965,0,0,0,0,0,0
0.278525,0,0,0,0,0,0
0.280132,0,0,0,0,0,0
0.281707,0,0,0,0,0,0
0.283266,0,0,0,0,0,0
0.284701,0,0,0,0,0,0
0.286232,0,0,0,0,0,0
0.287796,0,0,0,0,0,0
0.289359,0,0,0,0,0,0
0.290921,0,0,0,0,0,0
0.292545,0,0,0,0,0,0
0.294108,0,0,0,0,0,0
0.295672,0,0,0,0,0,0
0.297234,0,0,0,0,0,0
0.298796,0,0,0,0,0,0
0.300254,0,0,0,0,0,0
0.301814,0,0,0,0,0,0
0.303387,0,0,0,0,0,0
0.304954,0,0,0,0,0,0
0.306515,0,0,0,0,0,0
0.308080,0,0,0,0,0,0
0.309643,0,0,0,0,0,0
0.311204,0,0,0,0,0,0
0.312811,0,0,0,0,0,0
0.314386,0,0,0,0,0,0
0.315951,0,0,0,0,0,0
0.317514,0,0,0,0,0,0
0.319075,0,0,0,0,0,0
0.320638,0,0,0,0,0,0
0.322199,0,0,0,0,0,0
0.323763,0,0,0,0,0,0
0.325338,0,0,0,0,0,0
0.326900,0,0,0,0,0,0
0.328508,0,0,0,0,0,0
0.330071,0,0,0,0,0,0
0.331724,0,0,0,0,0,0
0.333207,0,0,0,0,0,0
0.334611,0,0,0,0,0,0
0.336150,0,0,0,0,0,0
0.337713,0,0,0,0,0,0
0.339276,0,0,0,0,0,0
0.340836,0,0,0,0,0,0
0.342398,0,0,0,0,0,0
0.343963,0,0,0,0,0,0
0.345562,0,0,0,0,0,0
0.347127,0,0,0,0,0,0
0.348558,0,0,0,0,0,0
0.350089,0,0,0,0,0,0
0.351706,0,0,0,0,0,0
0.353266,0,0,0,0,0,0
0.354828,0,0,0,0,0,0
0.356392,0,0,0,0,0,0
0.357968,0,0,0,0,0,0
0.359529,0,0,0,0,0,0
0.361098,0,0,0,0,0,0
0.362659,0,0,0,0,0,0
0.364223,0,0,0,0,0,0
0.365786,0,0,0,0,0,0
0.367347,0,0,0,0,0,0
0.368994,0,0,0,0,0,0
0.370553,0,0,0,0,0,0
0.372116,0,0,0,0,0,0
0.373678,0,0,0,0,0,0
0.375238,0,0,0,0,0,0
0.376844,0,0,0,0,0,0
0.378406,0,0,0,0,0,0
0.379984,0,0,0,0,0,0
0.381548,0,0,0,0,0,0
0.383110,0,0,0,0,0,0
0.384670,0,0,0,0,0,0
0.386233,0,0,0,0,0,0
0.387797,0,0,0,0,0,0
0.389359,0,0,0,0,0,0
0.390933,0,0,0,0,0,0
0.392539,0,0,0,0,0,0
0.393983,0,0,0,0,0,0
0.395517,0,0,0,0,0,0
0.397077,0,0,0,0,0,0
0.398629,0,0,0,0,0,0
0.400065,0,0,0,0,0,0
0.401609,0,0,0,0,0,0
0.403169,0,0,0,0,0,0
0.404732,0,0,0,0,0,0
0.406295,0,0,0,0,0,0
0.407859,0,0,0,0,0,0
0.409423,0,0,0,0,0,0
0.410983,0,0,0,0,0,0
0.412776,0,0,0,0,0,0
0.415355,0,0,0,0,0,0
0.416802,0,0,0,0,0,0
0.418205,0,0,0,0,0,0
0.419605,0,0,0,0,0,0
0.421040,0,0,0,0,0,0
0.422449,0,0,0,0,0,0
0.423850,0,0,0,0,0,0
0.425418,0,0,0,0,0,0
0.426979,0,0,0,0,0,0
0.428541,0,0,0,0,0,0
0.430105,0,0,0,0,0,0
0.431670,0,0,0,0,0,0
0.433247,0,0,0,0,0,0
0.434808,0,0,0,0,0,0
0.436372,0,0,0,0,0,0
0.437936,0,0,0,0,0,0
0.439498,0,0,0,0,0,0
0.441067,0,0,0,0,0,0
0.442628,0,0,0,0,0,0
0.444206,0,0,0,0,0,0
0.445768,0,0,0,0,0,0
0.447328,0,0,0,0,0,0
