elapsed_s,VPC_FE_VPCRAM_FULL_CYCLES,VPC_FE_NUM_VPCRAM_WRITE,VPC_FE_STALL_CYCLES_TSE_FE,VPC_FE_STALL_CYCLES_VPC_US,VPC_FE_TSE_FE_PRIMITIVES,VPC_FE_GS_PRIMITIVES
0.001093,0,0,0,0,0,0
0.002560,0,0,0,0,0,0
0.004045,0,0,0,0,0,0
0.005481,0,0,0,0,0,0
0.006913,0,0,0,0,0,0
0.008431,0,0,0,0,0,0
0.009874,0,0,0,0,0,0
0.011306,0,0,0,0,0,0
0.012740,0,0,0,0,0,0
0.014283,0,0,0,0,0,0
0.015828,0,0,0,0,0,0
0.017261,0,0,0,0,0,0
0.018723,0,0,0,0,0,0
0.020294,0,0,0,0,0,0
0.021702,0,0,0,0,0,0
0.023098,0,0,0,0,0,0
0.024507,0,0,0,0,0,0
0.025915,0,0,0,0,0,0
0.027324,0,0,0,0,0,0
0.028733,0,0,0,0,0,0
0.030140,0,0,0,0,0,0
0.031555,0,0,0,0,0,0
0.032963,0,0,0,0,0,0
0.034370,0,0,0,0,0,0
0.035822,0,0,0,0,0,0
0.037181,0,0,0,0,0,0
0.038535,0,0,0,0,0,0
0.039889,0,0,0,0,0,0
0.041255,0,0,0,0,0,0
0.042618,0,0,0,0,0,0
0.043971,0,0,0,0,0,0
0.045326,0,0,0,0,0,0
0.046681,0,0,0,0,0,0
0.048032,0,0,0,0,0,0
0.049344,0,0,0,0,0,0
0.050656,0,0,0,0,0,0
0.051982,0,0,0,0,0,0
0.053302,0,0,0,0,0,0
0.054650,0,0,0,0,0,0
0.056188,0,0,0,0,0,0
0.057609,0,0,0,0,0,0
0.058986,0,0,0,0,0,0
0.060348,0,0,0,0,0,0
0.061712,0,0,0,0,0,0
0.063069,0,0,0,0,0,0
0.064524,0,0,0,0,0,0
0.065926,0,0,0,0,0,0
0.067352,0,0,0,0,0,0
0.068994,0,0,0,0,0,0
0.070529,0,0,0,0,0,0
0.072446,0,0,0,0,0,0
0.073846,0,0,0,0,0,0
0.075268,0,0,0,0,0,0
0.076690,0,0,0,0,0,0
0.078092,0,0,0,0,0,0
0.079489,0,0,0,0,0,0
0.080741,0,0,0,0,0,0
0.081991,0,0,0,0,0,0
0.086317,0,0,0,0,0,0
0.087570,0,0,0,0,0,0
0.088819,0,0,0,0,0,0
0.090070,0,0,0,0,0,0
0.091323,0,0,0,0,0,0
0.092589,0,0,0,0,0,0
0.093856,0,0,0,0,0,0
0.095319,0,0,0,0,0,0
0.096728,0,0,0,0,0,0
0.098124,0,0,0,0,0,0
0.099652,0,0,0,0,0,0
0.101068,0,0,0,0,0,0
0.102430,0,0,0,0,0,0
0.103805,0,0,0,0,0,0
0.105159,0,0,0,0,0,0
0.106512,0,0,0,0,0,0
0.107866,0,0,0,0,0,0
0.109217,0,0,0,0,0,0
0.110567,0,0,0,0,0,0
0.111913,0,0,0,0,0,0
0.113261,0,0,0,0,0,0
0.114626,0,0,0,0,0,0
0.119122,0,0,0,0,0,0
0.120528,0,0,0,0,0,0
0.121917,0,0,0,0,0,0
0.124269,0,0,0,0,0,0
0.125671,0,0,0,0,0,0
0.127148,0,0,0,0,0,0
0.128605,0,0,0,0,0,0
0.129999,0,0,0,0,0,0
0.131391,0,0,0,0,0,0
0.132831,0,0,0,0,0,0
0.134229,0,0,0,0,0,0
0.135629,0,0,0,0,0,0
0.137030,0,0,0,0,0,0
0.138422,0,0,0,0,0,0
0.139814,0,0,0,0,0,0
0.141205,0,0,0,0,0,0
0.142595,0,0,0,0,0,0
0.143987,0,0,0,0,0,0
0.145383,0,0,0,0,0,0
0.146777,0,0,0,0,0,0
0.148265,0,0,0,0,0,0
0.149661,0,0,0,0,0,0
0.151057,0,0,0,0,0,0
0.152453,0,0,0,0,0,0
0.153847,0,0,0,0,0,0
0.155243,0,0,0,0,0,0
0.156636,0,0,0,0,0,0
0.158155,0,0,0,0,0,0
0.159618,0,0,0,0,0,0
0.161029,0,0,0,0,0,0
0.162429,0,0,0,0,0,0
0.163872,0,0,0,0,0,0
0.165271,0,0,0,0,0,0
0.166669,0,0,0,0,0,0
0.168196,0,0,0,0,0,0
0.169770,0,0,0,0,0,0
0.171333,0,0,0,0,0,0
0.172893,0,0,0,0,0,0
0.174451,0,0,0,0,0,0
0.176011,0,0,0,0,0,0
0.177563,0,0,0,0,0,0
0.179180,0,0,0,0,0,0
0.180695,0,0,0,0,0,0
0.182098,0,0,0,0,0,0
0.183626,0,0,0,0,0,0
0.185187,0,0,0,0,0,0
0.186746,0,0,0,0,0,0
0.188360,0,0,0,0,0,0
0.189918,0,0,0,0,0,0
0.191493,0,0,0,0,0,0
0.193055,0,0,0,0,0,0
0.194614,0,0,0,0,0,0
0.196219,0,0,0,0,0,0
0.197779,0,0,0,0,0,0
0.199340,0,0,0,0,0,0
0.200900,0,0,0,0,0,0
0.202471,0,0,0,0,0,0
0.204030,0,0,0,0,0,0
0.205592,0,0,0,0,0,0
0.207152,0,0,0,0,0,0
0.208711,0,0,0,0,0,0
0.210267,0,0,0,0,0,0
0.211871,0,0,0,0,0,0
0.213444,0,0,0,0,0,0
0.215002,0,0,0,0,0,0
0.216604,0,0,0,0,0,0
0.218161,0,0,0,0,0,0
0.219721,0,0,0,0,0,0
0.221281,0,0,0,0,0,0
0.222838,0,0,0,0,0,0
0.224413,0,0,0,0,0,0
0.225970,0,0,0,0,0,0
0.227572,0,0,0,0,0,0
0.229133,0,0,0,0,0,0
0.230691,0,0,0,0,0,0
0.232124,0,0,0,0,0,0
0.233654,0,0,0,0,0,0
0.235227,0,0,0,0,0,0
0.236787,0,0,0,0,0,0
0.238344,0,0,0,0,0,0
0.239905,0,0,0,0,0,0
0.241464,0,0,0,0,0,0
0.243021,0,0,0,0,0,0
0.244650,0,0,0,0,0,0
0.246221,0,0,0,0,0,0
0.247782,0,0,0,0,0,0
0.249342,0,0,0,0,0,0
0.250899,0,0,0,0,0,0
0.252501,0,0,0,0,0,0
0.254059,0,0,0,0,0,0
0.255619,0,0,0,0,0,0
0.257191,0,0,0,0,0,0
0.258748,0,0,0,0,0,0
0.260356,0,0,0,0,0,0
0.261914,0,0,0,0,0,0
0.263475,0,0,0,0,0,0
0.265034,0,0,0,0,0,0
0.266592,0,0,0,0,0,0
0.268165,0,0,0,0,0,0
0.269725,0,0,0,0,0,0
0.271285,0,0,0,0,0,0
0.272843,0,0,0,0,0,0
0.274401,0,0,0,0,0,0
0.276003,0,0,0,0,0,0
0.277563,0,0,0,0,0,0
0.279136,0,0,0,0,0,0
0.280693,0,0,0,0,0,0
0.282249,0,0,0,0,0,0
0.283682,0,0,0,0,0,0
0.285212,0,0,0,0,0,0
0.286772,0,0,0,0,0,0
0.288336,0,0,0,0,0,0
0.289907,0,0,0,0,0,0
0.291511,0,0,0,0,0,0
0.293072,0,0,0,0,0,0
0.294632,0,0,0,0,0,0
0.296112,0,0,0,0,0,0
0.297644,0,0,0,0,0,0
0.299207,0,0,0,0,0,0
0.300780,0,0,0,0,0,0
0.302338,0,0,0,0,0,0
0.303901,0,0,0,0,0,0
0.305453,0,0,0,0,0,0
0.307003,0,0,0,0,0,0
0.308505,0,0,0,0,0,0
0.309906,0,0,0,0,0,0
0.311445,0,0,0,0,0,0
0.313004,0,0,0,0,0,0
0.314561,0,0,0,0,0,0
0.316119,0,0,0,0,0,0
0.317677,0,0,0,0,0,0
0.319238,0,0,0,0,0,0
0.320797,0,0,0,0,0,0
0.322367,0,0,0,0,0,0
0.323969,0,0,0,0,0,0
0.325528,0,0,0,0,0,0
0.327088,0,0,0,0,0,0
0.328647,0,0,0,0,0,0
0.330205,0,0,0,0,0,0
0.331766,0,0,0,0,0,0
0.333339,0,0,0,0,0,0
0.334895,0,0,0,0,0,0
0.336368,0,0,0,0,0,0
0.337895,0,0,0,0,0,0
0.339500,0,0,0,0,0,0
0.341061,0,0,0,0,0,0
0.342618,0,0,0,0,0,0
0.344191,0,0,0,0,0,0
0.345750,0,0,0,0,0,0
0.347310,0,0,0,0,0,0
0.348868,0,0,0,0,0,0
0.350426,0,0,0,0,0,0
0.351984,0,0,0,0,0,0
0.353544,0,0,0,0,0,0
0.355116,0,0,0,0,0,0
0.356674,0,0,0,0,0,0
0.358229,0,0,0,0,0,0
0.359666,0,0,0,0,0,0
0.361203,0,0,0,0,0,0
0.362762,0,0,0,0,0,0
0.364375,0,0,0,0,0,0
0.365947,0,0,0,0,0,0
0.367509,0,0,0,0,0,0
0.369061,0,0,0,0,0,0
0.370612,0,0,0,0,0,0
0.372117,0,0,0,0,0,0
0.373598,0,0,0,0,0,0
0.375108,0,0,0,0,0,0
0.376586,0,0,0,0,0,0
0.377995,0,0,0,0,0,0
0.379513,0,0,0,0,0,0
0.381828,0,0,0,0,0,0
0.383356,0,0,0,0,0,0
0.384917,0,0,0,0,0,0
0.386476,0,0,0,0,0,0
0.388091,0,0,0,0,0,0
0.389653,0,0,0,0,0,0
0.391216,0,0,0,0,0,0
0.392775,0,0,0,0,0,0
0.394335,0,0,0,0,0,0
0.395897,0,0,0,0,0,0
0.397457,0,0,0,0,0,0
0.399030,0,0,0,0,0,0
0.400629,0,0,0,0,0,0
0.402188,0,0,0,0,0,0
0.403795,0,0,0,0,0,0
0.405355,0,0,0,0,0,0
0.406915,0,0,0,0,0,0
0.408478,0,0,0,0,0,0
0.410050,0,0,0,0,0,0
0.411609,0,0,0,0,0,0
0.413167,0,0,0,0,0,0
0.414725,0,0,0,0,0,0
0.416233,0,0,0,0,0,0
0.417762,0,0,0,0,0,0
0.419322,0,0,0,0,0,0
0.420815,0,0,0,0,0,0
0.422344,0,0,0,0,0,0
0.423903,0,0,0,0,0,0
0.425462,0,0,0,0,0,0
0.427019,0,0,0,0,0,0
0.428648,0,0,0,0,0,0
0.430205,0,0,0,0,0,0
0.431778,0,0,0,0,0,0
0.433337,0,0,0,0,0,0
0.434893,0,0,0,0,0,0
0.436498,0,0,0,0,0,0
0.438053,0,0,0,0,0,0
0.439613,0,0,0,0,0,0
0.441171,0,0,0,0,0,0
0.442741,0,0,0,0,0,0
0.444355,0,0,0,0,0,0
0.445912,0,0,0,0,0,0
0.447472,0,0,0,0,0,0
0.449031,0,0,0,0,0,0
0.450588,0,0,0,0,0,0
0.452190,0,0,0,0,0,0
0.453764,0,0,0,0,0,0
0.455324,0,0,0,0,0,0
0.456883,0,0,0,0,0,0
0.458441,0,0,0,0,0,0
0.460000,0,0,0,0,0,0
0.461559,0,0,0,0,0,0
0.463119,0,0,0,0,0,0
0.464691,0,0,0,0,0,0
0.466252,0,0,0,0,0,0
0.467857,0,0,0,0,0,0
0.469416,0,0,0,0,0,0
0.470973,0,0,0,0,0,0
0.472537,0,0,0,0,0,0
0.474094,0,0,0,0,0,0
0.475667,0,0,0,0,0,0
0.477226,0,0,0,0,0,0
0.478783,0,0,0,0,0,0
0.480346,0,0,0,0,0,0
0.481903,0,0,0,0,0,0
0.483507,0,0,0,0,0,0
0.485064,0,0,0,0,0,0
0.486756,0,0,0,0,0,0
0.488280,0,0,0,0,0,0
0.489811,0,0,0,0,0,0
0.491373,0,0,0,0,0,0
0.492934,0,0,0,0,0,0
0.494494,0,0,0,0,0,0
0.496054,0,0,0,0,0,0
0.497629,0,0,0,0,0,0
0.499191,0,0,0,0,0,0
0.500796,0,0,0,0,0,0
0.502356,0,0,0,0,0,0
0.503917,0,0,0,0,0,0
0.505478,0,0,0,0,0,0
0.507038,0,0,0,0,0,0
0.508631,0,0,0,0,0,0
0.510191,0,0,0,0,0,0
0.511754,0,0,0,0,0,0
0.513315,0,0,0,0,0,0
0.514875,0,0,0,0,0,0
0.516437,0,0,0,0,0,0
0.517996,0,0,0,0,0,0
0.519572,0,0,0,0,0,0
0.521133,0,0,0,0,0,0
0.522693,0,0,0,0,0,0
0.524315,0,0,0,0,0,0
0.525876,0,0,0,0,0,0
0.527438,0,0,0,0,0,0
0.528991,0,0,0,0,0,0
0.530553,0,0,0,0,0,0
0.532027,0,0,0,0,0,0
0.533595,0,0,0,0,0,0
0.535156,0,0,0,0,0,0
0.536715,0,0,0,0,0,0
0.538273,0,0,0,0,0,0
0.539834,0,0,0,0,0,0
0.541406,0,0,0,0,0,0
0.542963,0,0,0,0,0,0
0.544527,0,0,0,0,0,0
0.546086,0,0,0,0,0,0
0.547690,0,0,0,0,0,0
0.549251,0,0,0,0,0,0
0.550809,0,0,0,0,0,0
0.552387,0,0,0,0,0,0
0.553944,0,0,0,0,0,0
0.555506,0,0,0,0,0,0
0.557066,0,0,0,0,0,0
0.558624,0,0,0,0,0,0
0.560062,0,0,0,0,0,0
0.561599,0,0,0,0,0,0
0.563174,0,0,0,0,0,0
0.564778,0,0,0,0,0,0
0.566338,0,0,0,0,0,0
0.567902,0,0,0,0,0,0
0.569463,0,0,0,0,0,0
0.571022,0,0,0,0,0,0
0.572428,0,0,0,0,0,0
0.573847,0,0,0,0,0,0
0.575378,0,0,0,0,0,0
0.576939,0,0,0,0,0,0
0.578500,0,0,0,0,0,0
0.580104,0,0,0,0,0,0
0.581665,0,0,0,0,0,0
0.583229,0,0,0,0,0,0
0.584804,0,0,0,0,0,0
0.586363,0,0,0,0,0,0
0.587923,0,0,0,0,0,0
0.589485,0,0,0,0,0,0
0.591111,0,0,0,0,0,0
0.592627,0,0,0,0,0,0
0.594187,0,0,0,0,0,0
0.595805,0,0,0,0,0,0
0.597366,0,0,0,0,0,0
0.598927,0,0,0,0,0,0
0.600529,0,0,0,0,0,0
0.602088,0,0,0,0,0,0
0.603651,0,0,0,0,0,0
0.605212,0,0,0,0,0,0
0.606785,0,0,0,0,0,0
0.608350,0,0,0,0,0,0
0.609909,0,0,0,0,0,0
0.611514,0,0,0,0,0,0
0.613077,0,0,0,0,0,0
0.614636,0,0,0,0,0,0
0.616196,0,0,0,0,0,0
0.617771,0,0,0,0,0,0
0.619333,0,0,0,0,0,0
0.620893,0,0,0,0,0,0
0.622452,0,0,0,0,0,0
0.624013,0,0,0,0,0,0
0.625575,0,0,0,0,0,0
0.627137,0,0,0,0,0,0
0.628771,0,0,0,0,0,0
0.630331,0,0,0,0,0,0
0.631894,0,0,0,0,0,0
0.633455,0,0,0,0,0,0
0.635015,0,0,0,0,0,0
0.636654,0,0,0,0,0,0
0.638213,0,0,0,0,0,0
0.639839,0,0,0,0,0,0
0.641274,0,0,0,0,0,0
0.642781,0,0,0,0,0,0
0.644505,0,0,0,0,0,0
0.645924,0,0,0,0,0,0
0.647347,0,0,0,0,0,0
0.648745,0,0,0,0,0,0
0.650158,0,0,0,0,0,0
0.651685,0,0,0,0,0,0
0.653246,0,0,0,0,0,0
0.654805,0,0,0,0,0,0
0.656368,0,0,0,0,0,0
0.657928,0,0,0,0,0,0
