elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.001199,0,0,0,0
0.002651,0,0,0,0
0.004068,0,0,0,0
0.005498,0,0,0,0
0.006914,0,0,0,0
0.008372,0,0,0,0
0.009797,0,0,0,0
0.011211,0,0,0,0
0.012626,0,0,0,0
0.014039,0,0,0,0
0.015454,0,0,0,0
0.017071,0,0,0,0
0.018512,0,0,0,0
0.019890,0,0,0,0
0.021289,0,0,0,0
0.022653,0,0,0,0
0.023996,0,0,0,0
0.025442,0,0,0,0
0.026790,0,0,0,0
0.028138,0,0,0,0
0.029588,0,0,0,0
0.030946,0,0,0,0
0.032298,0,0,0,0
0.033629,0,0,0,0
0.034919,0,0,0,0
0.036209,0,0,0,0
0.037532,0,0,0,0
0.038823,0,0,0,0
0.040114,0,0,0,0
0.041407,0,0,0,0
0.042697,0,0,0,0
0.043988,0,0,0,0
0.045356,0,0,0,0
0.046646,0,0,0,0
0.047935,0,0,0,0
0.049296,0,0,0,0
0.050586,0,0,0,0
0.051930,0,0,0,0
0.053413,0,0,0,0
0.054753,0,0,0,0
0.056092,0,0,0,0
0.057442,0,0,0,0
0.058842,0,0,0,0
0.060210,0,0,0,0
0.061566,0,0,0,0
0.062925,0,0,0,0
0.064272,0,0,0,0
0.065912,0,0,0,0
0.067419,0,1299,0,66
0.068839,0,0,0,0
0.070230,0,0,0,0
0.071617,0,0,0,0
0.073012,0,0,0,0
0.074398,0,0,0,0
0.075782,0,0,0,0
0.077167,0,2631,0,108
0.078408,0,8136,0,288
0.079648,0,8145,0,288
0.081602,0,12882,0,450
0.082843,0,8136,0,288
0.084083,0,8145,0,288
0.085572,0,9831,0,348
0.086811,0,8136,0,288
0.088050,0,8136,0,288
0.089416,0,9006,0,324
0.090834,0,5349,0,186
0.092252,0,0,0,0
0.093873,0,0,0,0
0.095264,0,0,0,0
0.096711,0,0,0,0
0.098096,0,0,0,0
0.099479,0,0,0,0
0.100863,0,0,0,0
0.102260,0,0,0,0
0.103644,0,0,0,0
0.105026,0,0,0,0
0.106411,0,0,0,0
0.108327,0,0,0,0
0.109714,0,0,0,0
0.111092,0,0,0,0
0.114622,0,0,0,0
0.117500,0,0,0,0
0.118878,0,0,0,0
0.120323,0,0,0,0
0.124514,0,0,0,0
0.125901,0,0,0,0
0.127288,0,0,0,0
0.128722,0,0,0,0
0.130109,0,0,0,0
0.131495,0,0,0,0
0.133143,0,0,0,0
0.134520,0,0,0,0
0.135862,0,0,0,0
0.137202,0,0,0,0
0.138540,0,0,0,0
0.139878,0,0,0,0
0.141217,0,0,0,0
0.142553,0,0,0,0
0.143891,0,0,0,0
0.145364,0,0,0,0
0.146926,0,0,0,0
0.148478,0,0,0,0
0.150031,0,0,0,0
0.151580,0,0,0,0
0.153132,0,0,0,0
0.154556,0,0,0,0
0.155951,0,0,0,0
0.157422,0,0,0,0
0.158810,0,0,0,0
0.160197,0,0,0,0
0.161625,0,0,0,0
0.163148,0,0,0,0
0.164715,0,0,0,0
0.166240,0,0,0,0
0.167635,0,0,0,0
0.169017,0,0,0,0
0.170397,0,0,0,0
0.171867,0,0,0,0
0.173248,0,0,0,0
0.174630,0,0,0,0
0.176011,0,0,0,0
0.177492,0,0,0,0
0.178872,0,0,0,0
0.180252,0,0,0,0
0.181762,0,0,0,0
0.183142,0,0,0,0
0.184524,0,0,0,0
0.185910,0,0,0,0
0.187422,0,0,0,0
0.188989,0,0,0,0
0.190542,0,0,0,0
0.192093,0,0,0,0
0.193671,0,0,0,0
0.195221,0,0,0,0
0.196773,0,0,0,0
0.198325,0,0,0,0
0.199887,0,0,0,0
0.201439,0,0,0,0
0.202990,0,0,0,0
0.204542,0,0,0,0
0.206093,0,0,0,0
0.207641,0,0,0,0
0.209236,0,0,0,0
0.210803,0,0,0,0
0.212356,0,0,0,0
0.213906,0,0,0,0
0.215456,0,0,0,0
0.216980,0,0,0,0
0.218524,0,0,0,0
0.220073,0,0,0,0
0.221517,0,0,0,0
0.223037,0,0,0,0
0.224591,0,0,0,0
0.226186,0,0,0,0
0.227737,0,0,0,0
0.229288,0,0,0,0
0.230841,0,0,0,0
0.232407,0,0,0,0
0.233958,0,0,0,0
0.235508,0,0,0,0
0.237060,0,0,0,0
0.238602,0,0,0,0
0.240142,0,0,0,0
0.241615,0,0,0,0
0.243022,0,0,0,0
0.244543,0,0,0,0
0.246095,0,0,0,0
0.247645,0,0,0,0
0.249195,0,0,0,0
0.250747,0,0,0,0
0.252301,0,0,0,0
0.253865,0,0,0,0
0.255413,0,0,0,0
0.257010,0,0,0,0
0.258615,0,0,0,0
0.260081,0,0,0,0
0.261492,0,0,0,0
0.262876,0,0,0,0
0.264336,0,0,0,0
0.265727,0,0,0,0
0.267114,0,0,0,0
0.268631,0,0,0,0
0.270174,0,0,0,0
0.271715,0,0,0,0
0.273179,0,0,0,0
0.274715,0,0,0,0
0.276334,0,0,0,0
0.277948,0,0,0,0
0.279498,0,0,0,0
0.281052,0,0,0,0
0.282604,0,0,0,0
0.284155,0,0,0,0
0.285724,0,0,0,0
0.287273,0,0,0,0
0.288870,0,0,0,0
0.290422,0,0,0,0
0.291972,0,0,0,0
0.293615,0,0,0,0
0.295165,0,0,0,0
0.296729,0,0,0,0
0.298281,0,0,0,0
0.299831,0,0,0,0
0.301382,0,0,0,0
0.302924,0,0,0,0
0.304612,0,0,0,0
0.306086,0,0,0,0
0.307560,0,0,0,0
0.309784,0,0,0,0
0.311389,0,0,0,0
0.312838,0,0,0,0
0.314406,0,0,0,0
0.315787,0,0,0,0
0.317168,0,0,0,0
0.318564,0,0,0,0
0.319945,0,0,0,0
0.322908,0,0,0,0
0.324299,0,0,0,0
0.325686,0,0,0,0
0.327073,0,0,0,0
0.328461,0,0,0,0
0.329857,0,0,0,0
0.331243,0,0,0,0
0.332813,0,0,0,0
0.334365,0,0,0,0
0.336249,0,0,0,0
0.337775,0,0,0,0
0.339172,0,0,0,0
0.340575,0,0,0,0
0.341965,0,0,0,0
0.343353,0,0,0,0
0.344743,0,0,0,0
0.346342,0,0,0,0
0.347892,0,0,0,0
0.349444,0,0,0,0
0.351009,0,0,0,0
0.352564,0,0,0,0
0.354159,0,0,0,0
0.355709,0,0,0,0
0.357306,0,0,0,0
0.358858,0,0,0,0
0.360411,0,0,0,0
0.361976,0,0,0,0
0.363526,0,0,0,0
0.365079,0,0,0,0
0.366630,0,0,0,0
0.368175,0,0,0,0
0.369729,0,0,0,0
0.371279,0,0,0,0
0.372845,0,0,0,0
0.374388,0,0,0,0
0.375930,0,0,0,0
0.377719,0,0,0,0
0.379116,0,0,0,0
0.380508,0,0,0,0
0.381895,0,0,0,0
0.383289,0,0,0,0
0.384723,0,0,0,0
0.386109,0,0,0,0
0.387493,0,0,0,0
0.389008,0,0,0,0
0.390557,0,0,0,0
0.392104,0,0,0,0
0.393679,0,0,0,0
0.395226,0,0,0,0
0.396777,0,0,0,0
0.398326,0,0,0,0
0.399874,0,0,0,0
0.401467,0,0,0,0
0.403016,0,0,0,0
0.404580,0,0,0,0
0.406130,0,0,0,0
0.407678,0,0,0,0
0.409227,0,0,0,0
0.410777,0,0,0,0
0.412328,0,0,0,0
0.413877,0,0,0,0
0.415436,0,0,0,0
0.417031,0,0,0,0
0.418581,0,0,0,0
0.420129,0,0,0,0
0.421684,0,0,0,0
0.423231,0,0,0,0
0.424782,0,0,0,0
0.426346,0,0,0,0
0.427893,0,0,0,0
0.429442,0,0,0,0
0.430991,0,0,0,0
0.432544,0,0,0,0
0.434139,0,0,0,0
0.435687,0,0,0,0
0.437250,0,0,0,0
0.438799,0,0,0,0
0.440351,0,0,0,0
0.441900,0,0,0,0
0.443447,0,0,0,0
0.444998,0,0,0,0
0.446547,0,0,0,0
0.448106,0,0,0,0
0.449661,0,0,0,0
0.451208,0,0,0,0
0.452761,0,0,0,0
0.454311,0,0,0,0
0.455858,0,0,0,0
0.457407,0,0,0,0
0.459170,0,0,0,0
0.460728,0,0,0,0
0.462280,0,0,0,0
0.463831,0,0,0,0
0.465426,0,0,0,0
0.466979,0,0,0,0
0.468533,0,0,0,0
0.470098,0,0,0,0
0.471650,0,0,0,0
0.473201,0,0,0,0
0.474754,0,0,0,0
0.476308,0,0,0,0
0.477851,0,0,0,0
0.479275,0,0,0,0
0.480807,0,0,0,0
0.482327,0,0,0,0
0.483877,0,0,0,0
0.485429,0,0,0,0
0.486982,0,0,0,0
0.488535,0,0,0,0
0.490086,0,0,0,0
0.491649,0,0,0,0
0.493200,0,0,0,0
0.494743,0,0,0,0
0.496340,0,0,0,0
0.497763,0,0,0,0
0.499189,0,0,0,0
0.500709,0,0,0,0
0.502275,0,0,0,0
0.503826,0,0,0,0
0.505378,0,0,0,0
0.506920,0,0,0,0
0.508439,0,0,0,0
0.509993,0,0,0,0
0.511544,0,0,0,0
0.513151,0,0,0,0
0.514703,0,0,0,0
0.516322,0,0,0,0
0.517939,0,0,0,0
0.519490,0,0,0,0
0.521045,0,0,0,0
0.522597,0,0,0,0
0.524160,0,0,0,0
0.525716,0,0,0,0
0.527266,0,0,0,0
0.528861,0,0,0,0
0.530414,0,0,0,0
0.531964,0,0,0,0
0.533479,0,0,0,0
0.535009,0,0,0,0
0.536563,0,0,0,0
0.538386,0,0,0,0
0.539940,0,0,0,0
0.541545,0,0,0,0
0.543096,0,0,0,0
0.544650,0,0,0,0
0.546091,0,0,0,0
0.547613,0,0,0,0
0.549166,0,0,0,0
0.550719,0,0,0,0
0.552335,0,0,0,0
0.553951,0,0,0,0
0.555502,0,0,0,0
0.557067,0,0,0,0
0.558620,0,0,0,0
0.560171,0,0,0,0
0.561731,0,0,0,0
0.563282,0,0,0,0
0.564835,0,0,0,0
0.566388,0,0,0,0
0.567952,0,0,0,0
0.569566,0,0,0,0
0.571117,0,0,0,0
0.572671,0,0,0,0
0.574222,0,0,0,0
0.575772,0,0,0,0
0.577368,0,0,0,0
0.578935,0,0,0,0
0.580488,0,0,0,0
0.582030,0,0,0,0
0.583571,0,0,0,0
0.584992,0,0,0,0
0.586513,0,0,0,0
0.588064,0,0,0,0
0.589633,0,0,0,0
0.591183,0,0,0,0
0.592780,0,0,0,0
0.594334,0,0,0,0
0.595885,0,0,0,0
0.597436,0,0,0,0
0.598989,0,0,0,0
0.600556,0,0,0,0
0.602109,0,0,0,0
0.603661,0,0,0,0
0.605213,0,0,0,0
0.606765,0,0,0,0
0.608320,0,0,0,0
0.609873,0,0,0,0
0.611437,0,0,0,0
0.612990,0,0,0,0
0.614542,0,0,0,0
0.616093,0,0,0,0
0.617670,0,0,0,0
0.619222,0,0,0,0
0.620776,0,0,0,0
0.622331,0,0,0,0
0.623871,0,0,0,0
0.625334,0,0,0,0
0.626854,0,0,0,0
0.628407,0,0,0,0
0.629957,0,0,0,0
0.631507,0,0,0,0
0.633073,0,0,0,0
0.634624,0,0,0,0
0.636175,0,0,0,0
0.637730,0,0,0,0
0.639280,0,0,0,0
0.640876,0,0,0,0
0.642427,0,0,0,0
0.643990,0,0,0,0
0.645545,0,0,0,0
0.647094,0,0,0,0
0.648646,0,0,0,0
0.650197,0,0,0,0
0.651747,0,0,0,0
0.653297,0,0,0,0
0.654861,0,0,0,0
0.656414,0,0,0,0
0.658007,0,0,0,0
0.659695,0,0,0,0
0.661253,0,0,0,0
0.662809,0,0,0,0
0.664364,0,0,0,0
0.665931,0,0,0,0
0.667482,0,0,0,0
0.669036,0,0,0,0
0.670587,0,0,0,0
0.672137,0,0,0,0
0.673697,0,0,0,0
0.675247,0,0,0,0
0.676815,0,0,0,0
0.678367,0,0,0,0
0.679918,0,0,0,0
0.681553,0,0,0,0
0.683105,0,0,0,0
0.684659,0,0,0,0
0.686202,0,0,0,0
0.687755,0,0,0,0
0.689219,0,0,0,0
0.690739,0,0,0,0
0.692291,0,0,0,0
0.693842,0,0,0,0
0.695392,0,0,0,0
0.696945,0,0,0,0
0.698509,0,0,0,0
0.700059,0,0,0,0
0.701613,0,0,0,0
0.703163,0,0,0,0
0.704758,0,0,0,0
0.706309,0,0,0,0
0.707858,0,0,0,0
0.709294,0,0,0,0
0.711122,0,0,0,0
