elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.001094,0,0,0,0
0.002530,0,0,0,0
0.003953,0,0,0,0
0.005485,0,0,0,0
0.006946,0,0,0,0
0.008360,0,0,0,0
0.009845,0,0,0,0
0.011491,0,0,0,0
0.012920,0,0,0,0
0.014474,0,0,0,0
0.015876,0,0,0,0
0.017479,0,0,0,0
0.018885,0,0,0,0
0.020404,0,0,0,0
0.021841,0,0,0,0
0.023201,0,0,0,0
0.024548,0,0,0,0
0.025939,0,0,0,0
0.027402,0,0,0,0
0.028746,0,0,0,0
0.030123,0,0,0,0
0.031423,0,0,0,0
0.032715,0,0,0,0
0.034056,0,0,0,0
0.035347,0,0,0,0
0.036636,0,0,0,0
0.037985,0,0,0,0
0.039239,0,0,0,0
0.040492,0,0,0,0
0.041818,0,0,0,0
0.043152,0,0,0,0
0.044489,0,0,0,0
0.045897,0,0,0,0
0.047816,0,0,0,0
0.049237,0,0,0,0
0.050675,0,0,0,0
0.052110,0,0,0,0
0.053589,0,0,0,0
0.055321,0,0,0,0
0.056774,0,0,0,0
0.058174,0,0,0,0
0.059558,0,0,0,0
0.060946,0,0,0,0
0.062766,0,0,0,0
0.064167,0,0,516,0
0.065558,0,0,0,0
0.067716,0,0,0,0
0.069103,0,0,0,0
0.070545,0,0,0,0
0.071928,0,0,0,0
0.073420,0,0,498,0
0.074790,0,0,3096,0
0.076030,0,0,3096,0
0.077407,0,0,3483,0
0.078654,0,0,3096,0
0.079894,0,0,3096,0
0.081134,0,0,3443,0
0.082844,0,0,3999,0
0.084085,0,0,3096,0
0.085367,0,0,3141,0
0.086611,0,0,3188,0
0.087857,0,0,483,0
0.089242,0,0,0,0
0.090669,0,0,0,0
0.092062,0,0,0,0
0.093549,0,0,0,0
0.095013,0,0,0,0
0.096403,0,0,0,0
0.097792,0,0,0,0
0.099434,0,0,0,0
0.100815,0,0,0,0
0.102341,0,0,0,0
0.103749,0,0,0,0
0.105127,0,0,0,0
0.109093,0,0,0,0
0.110509,0,0,0,0
0.111898,0,0,0,0
0.113356,0,0,0,0
0.114807,0,0,0,0
0.116160,0,0,0,0
0.117497,0,0,0,0
0.118900,0,0,0,0
0.120279,0,0,0,0
0.121668,0,0,0,0
0.123050,0,0,0,0
0.124430,0,0,0,0
0.125844,0,0,0,0
0.127663,0,0,0,0
0.129043,0,0,0,0
0.130472,0,0,0,0
0.131862,0,0,0,0
0.133243,0,0,0,0
0.134649,0,0,0,0
0.136029,0,0,0,0
0.137407,0,0,0,0
0.138913,0,0,0,0
