elapsed_s,TSE_CLIP_CODE_WORKING_CYCLE_L1,TSE_CLIP_WORKING_CYCLE_L1,TSE_CLIP_CTRL_WORKING_CYCLE_L2,TSE_CLIP_VP_FMUL_WORKING_CYCLE_L2
0.001099,0,0,0,0
0.002593,0,0,0,0
0.004014,0,0,0,0
0.005431,0,0,0,0
0.006846,0,0,0,0
0.008269,0,0,0,0
0.009685,0,0,0,0
0.011097,0,0,0,0
0.012618,0,0,0,0
0.014103,0,0,0,0
0.015527,0,0,0,0
0.016974,0,0,0,0
0.018518,0,0,0,0
0.019872,0,0,0,0
0.021240,0,0,0,0
0.022632,0,0,0,0
0.023977,0,0,0,0
0.025321,0,0,0,0
0.026713,0,0,0,0
0.028055,0,0,0,0
0.029398,0,0,0,0
0.030789,0,0,0,0
0.032142,0,0,0,0
0.033481,0,0,0,0
0.034912,0,0,0,0
0.036208,0,0,0,0
0.037497,0,0,0,0
0.038835,0,0,0,0
0.040135,0,0,0,0
0.041423,0,0,0,0
0.042765,0,0,0,0
0.044055,0,0,0,0
0.045394,0,0,0,0
0.046748,0,0,0,0
0.048001,0,0,0,0
0.049255,0,0,0,0
0.050557,0,0,0,0
0.051810,0,0,0,0
0.053175,0,0,0,0
0.054573,0,0,0,0
0.055949,0,0,0,0
0.057348,0,0,0,0
0.058697,0,0,0,0
0.060040,0,0,0,0
0.061387,0,0,0,0
0.062726,0,0,0,0
0.064161,0,0,0,0
0.065509,0,0,0,0
0.066868,0,0,0,0
0.068686,0,0,0,0
0.070192,0,0,0,0
0.072027,0,0,0,0
0.073620,0,0,0,0
0.075089,0,0,0,0
0.076477,0,0,0,0
0.077864,0,0,0,0
0.079272,0,0,0,0
0.080512,0,0,0,0
0.081751,0,0,0,0
0.083245,0,0,0,0
0.084487,0,0,0,0
0.085727,0,0,0,0
0.087089,0,0,0,0
0.088333,0,0,0,0
0.089578,0,0,0,0
0.090819,0,0,0,0
0.092060,0,0,0,0
0.093567,0,0,0,0
0.095113,0,0,0,0
0.096506,0,0,0,0
0.098000,0,0,0,0
0.099485,0,0,0,0
0.100868,0,0,0,0
0.102253,0,0,0,0
0.103649,0,0,0,0
0.105032,0,0,0,0
0.106414,0,0,0,0
0.107796,0,0,0,0
0.109179,0,0,0,0
0.110564,0,0,0,0
0.111942,0,0,0,0
0.113781,0,0,0,0
0.117942,0,0,0,0
0.119330,0,0,0,0
0.120710,0,0,0,0
0.122118,0,0,0,0
0.126259,0,0,0,0
0.128003,0,0,0,0
0.129382,0,0,0,0
0.130772,0,0,0,0
0.132163,0,0,0,0
0.133547,0,0,0,0
0.134930,0,0,0,0
0.136329,0,0,0,0
0.137709,0,0,0,0
0.139183,0,0,0,0
0.140567,0,0,0,0
0.141952,0,0,0,0
0.143378,0,0,0,0
0.144730,0,0,0,0
0.146072,0,0,0,0
0.147500,0,0,0,0
0.148886,0,0,0,0
0.150273,0,0,0,0
0.151785,0,0,0,0
0.153334,0,0,0,0
0.154882,0,0,0,0
0.156431,0,0,0,0
0.157868,0,0,0,0
0.159529,0,0,0,0
0.161076,0,0,0,0
0.162670,0,0,0,0
0.164222,0,0,0,0
0.165769,0,0,0,0
0.167324,0,0,0,0
0.168762,0,0,0,0
0.170285,0,0,0,0
0.171835,0,0,0,0
0.173384,0,0,0,0
0.174934,0,0,0,0
0.176485,0,0,0,0
0.178037,0,0,0,0
0.179644,0,0,0,0
0.181194,0,0,0,0
0.182743,0,0,0,0
0.184294,0,0,0,0
0.185843,0,0,0,0
0.187264,0,0,0,0
0.188656,0,0,0,0
0.190056,0,0,0,0
0.191444,0,0,0,0
0.192830,0,0,0,0
0.194218,0,0,0,0
0.195645,0,0,0,0
0.197159,0,0,0,0
0.198710,0,0,0,0
0.200275,0,0,0,0
0.201824,0,0,0,0
0.203375,0,0,0,0
0.204924,0,0,0,0
0.206475,0,0,0,0
0.208027,0,0,0,0
0.209575,0,0,0,0
0.211222,0,0,0,0
0.212769,0,0,0,0
0.214209,0,0,0,0
0.215733,0,0,0,0
0.217281,0,0,0,0
0.218830,0,0,0,0
0.220380,0,0,0,0
0.221944,0,0,0,0
0.223493,0,0,0,0
0.225041,0,0,0,0
0.226636,0,0,0,0
0.228185,0,0,0,0
0.229732,0,0,0,0
0.231286,0,0,0,0
0.232847,0,0,0,0
0.234398,0,0,0,0
0.235946,0,0,0,0
0.237494,0,0,0,0
0.239042,0,0,0,0
0.240592,0,0,0,0
0.242141,0,0,0,0
0.243750,0,0,0,0
0.245297,0,0,0,0
0.246878,0,0,0,0
0.248287,0,0,0,0
0.250547,0,0,0,0
0.251974,0,0,0,0
0.253441,0,0,0,0
0.254848,0,0,0,0
0.256237,0,0,0,0
0.257624,0,0,0,0
0.259144,0,0,0,0
0.260693,0,0,0,0
0.262245,0,0,0,0
0.263797,0,0,0,0
0.265362,0,0,0,0
0.266915,0,0,0,0
0.268466,0,0,0,0
0.270018,0,0,0,0
0.271570,0,0,0,0
0.273120,0,0,0,0
0.274715,0,0,0,0
0.276280,0,0,0,0
0.277831,0,0,0,0
0.279427,0,0,0,0
0.280978,0,0,0,0
0.282531,0,0,0,0
0.284082,0,0,0,0
0.285632,0,0,0,0
0.287200,0,0,0,0
0.288750,0,0,0,0
0.290347,0,0,0,0
0.291900,0,0,0,0
0.293450,0,0,0,0
0.295001,0,0,0,0
0.296551,0,0,0,0
0.298258,0,0,0,0
0.299643,0,0,0,0
0.301037,0,0,0,0
0.302556,0,0,0,0
0.304108,0,0,0,0
0.305657,0,0,0,0
0.307215,0,0,0,0
0.308779,0,0,0,0
0.310330,0,0,0,0
0.311879,0,0,0,0
0.313428,0,0,0,0
0.314980,0,0,0,0
0.316532,0,0,0,0
0.318085,0,0,0,0
0.319650,0,0,0,0
0.321200,0,0,0,0
0.322769,0,0,0,0
0.324203,0,0,0,0
0.325603,0,0,0,0
0.327057,0,0,0,0
0.328441,0,0,0,0
0.330043,0,0,0,0
0.332434,0,0,0,0
0.334138,0,0,0,0
0.335807,0,0,0,0
0.337206,0,0,0,0
0.338605,0,0,0,0
0.340004,0,0,0,0
0.341390,0,0,0,0
0.342779,0,0,0,0
0.344166,0,0,0,0
0.345551,0,0,0,0
0.346937,0,0,0,0
0.348323,0,0,0,0
0.349836,0,0,0,0
0.351315,0,0,0,0
0.352707,0,0,0,0
0.354096,0,0,0,0
0.355527,0,0,0,0
0.356913,0,0,0,0
0.358300,0,0,0,0
0.359685,0,0,0,0
0.361247,0,0,0,0
0.362811,0,0,0,0
0.364361,0,0,0,0
0.365911,0,0,0,0
0.367461,0,0,0,0
0.369010,0,0,0,0
0.370605,0,0,0,0
0.372156,0,0,0,0
0.373718,0,0,0,0
0.375293,0,0,0,0
0.376841,0,0,0,0
0.378394,0,0,0,0
0.379943,0,0,0,0
0.381491,0,0,0,0
0.383042,0,0,0,0
0.384605,0,0,0,0
0.386157,0,0,0,0
0.387751,0,0,0,0
0.389300,0,0,0,0
0.390851,0,0,0,0
0.392402,0,0,0,0
0.393953,0,0,0,0
0.395518,0,0,0,0
0.397065,0,0,0,0
0.398615,0,0,0,0
0.400163,0,0,0,0
0.401711,0,0,0,0
0.403285,0,0,0,0
0.404678,0,0,0,0
0.406208,0,0,0,0
0.407757,0,0,0,0
0.409305,0,0,0,0
0.410855,0,0,0,0
0.412402,0,0,0,0
0.413851,0,0,0,0
0.415261,0,0,0,0
0.416788,0,0,0,0
0.418384,0,0,0,0
0.419937,0,0,0,0
0.421485,0,0,0,0
0.423036,0,0,0,0
0.424587,0,0,0,0
0.426139,0,0,0,0
0.427705,0,0,0,0
0.429255,0,0,0,0
0.430805,0,0,0,0
0.432355,0,0,0,0
0.433910,0,0,0,0
0.435461,0,0,0,0
0.437011,0,0,0,0
0.438472,0,0,0,0
0.440020,0,0,0,0
0.441570,0,0,0,0
0.443082,0,0,0,0
0.444611,0,0,0,0
0.446165,0,0,0,0
0.447707,0,0,0,0
0.449261,0,0,0,0
0.450727,0,0,0,0
0.452248,0,0,0,0
0.453798,0,0,0,0
0.455363,0,0,0,0
0.456914,0,0,0,0
0.458468,0,0,0,0
0.460033,0,0,0,0
0.461583,0,0,0,0
0.463233,0,0,0,0
0.464782,0,0,0,0
0.466379,0,0,0,0
0.467930,0,0,0,0
0.469481,0,0,0,0
0.471045,0,0,0,0
0.472597,0,0,0,0
0.474151,0,0,0,0
0.475702,0,0,0,0
0.477252,0,0,0,0
0.478804,0,0,0,0
0.480356,0,0,0,0
0.481794,0,0,0,0
0.483323,0,0,0,0
0.484873,0,0,0,0
0.486427,0,0,0,0
0.487979,0,0,0,0
0.489530,0,0,0,0
0.491027,0,0,0,0
0.492557,0,0,0,0
0.494111,0,0,0,0
0.495663,0,0,0,0
0.497212,0,0,0,0
0.498770,0,0,0,0
0.500322,0,0,0,0
0.501927,0,0,0,0
0.503490,0,0,0,0
0.505040,0,0,0,0
0.506593,0,0,0,0
0.508145,0,0,0,0
0.509694,0,0,0,0
0.511245,0,0,0,0
0.512787,0,0,0,0
0.514219,0,0,0,0
0.515777,0,0,0,0
0.517327,0,0,0,0
0.518877,0,0,0,0
0.520429,0,0,0,0
0.521982,0,0,0,0
0.523534,0,0,0,0
0.525098,0,0,0,0
0.526651,0,0,0,0
0.528202,0,0,0,0
0.529753,0,0,0,0
0.531311,0,0,0,0
0.532862,0,0,0,0
0.534415,0,0,0,0
0.535981,0,0,0,0
0.537532,0,0,0,0
0.539155,0,0,0,0
0.540697,0,0,0,0
0.542116,0,0,0,0
0.543635,0,0,0,0
0.545183,0,0,0,0
0.546788,0,0,0,0
0.548339,0,0,0,0
0.549943,0,0,0,0
0.551490,0,0,0,0
0.553039,0,0,0,0
0.554591,0,0,0,0
0.556141,0,0,0,0
0.557703,0,0,0,0
0.559279,0,0,0,0
0.560825,0,0,0,0
0.562420,0,0,0,0
0.563970,0,0,0,0
0.565517,0,0,0,0
0.567065,0,0,0,0
0.568629,0,0,0,0
0.570181,0,0,0,0
0.571731,0,0,0,0
0.573278,0,0,0,0
0.574828,0,0,0,0
0.576378,0,0,0,0
0.577930,0,0,0,0
0.579534,0,0,0,0
0.581082,0,0,0,0
0.582633,0,0,0,0
0.584183,0,0,0,0
0.585732,0,0,0,0
0.587285,0,0,0,0
0.588833,0,0,0,0
0.590395,0,0,0,0
0.591945,0,0,0,0
0.593493,0,0,0,0
0.595086,0,0,0,0
0.596637,0,0,0,0
0.598189,0,0,0,0
0.599738,0,0,0,0
0.601299,0,0,0,0
0.602849,0,0,0,0
0.604398,0,0,0,0
0.605949,0,0,0,0
0.607498,0,0,0,0
0.609047,0,0,0,0
0.610641,0,0,0,0
0.612206,0,0,0,0
0.613755,0,0,0,0
0.615188,0,0,0,0
0.616713,0,0,0,0
0.618266,0,0,0,0
0.619817,0,0,0,0
0.621366,0,0,0,0
0.622930,0,0,0,0
0.624481,0,0,0,0
0.626034,0,0,0,0
0.627630,0,0,0,0
0.629179,0,0,0,0
0.630733,0,0,0,0
0.632284,0,0,0,0
0.633847,0,0,0,0
0.635340,0,0,0,0
0.636859,0,0,0,0
0.638413,0,0,0,0
0.639964,0,0,0,0
0.641514,0,0,0,0
0.643109,0,0,0,0
0.644666,0,0,0,0
0.646088,0,0,0,0
0.647607,0,0,0,0
0.649157,0,0,0,0
0.650710,0,0,0,0
0.652140,0,0,0,0
0.653659,0,0,0,0
0.655287,0,0,0,0
0.656838,0,0,0,0
0.658435,0,0,0,0
0.659987,0,0,0,0
0.661541,0,0,0,0
0.663143,0,0,0,0
0.664694,0,0,0,0
0.666259,0,0,0,0
0.667811,0,0,0,0
0.669362,0,0,0,0
0.670914,0,0,0,0
0.672466,0,0,0,0
0.674018,0,0,0,0
0.675615,0,0,0,0
0.677177,0,0,0,0
0.678729,0,0,0,0
0.680280,0,0,0,0
0.681830,0,0,0,0
0.683244,0,0,0,0
0.684763,0,0,0,0
0.686317,0,0,0,0
0.687881,0,0,0,0
0.689431,0,0,0,0
0.691025,0,0,0,0
0.692578,0,0,0,0
0.694130,0,0,0,0
0.695682,0,0,0,0
0.697232,0,0,0,0
0.698796,0,0,0,0
0.700347,0,0,0,0
0.701900,0,0,0,0
0.703443,0,0,0,0
0.704983,0,0,0,0
0.706448,0,0,0,0
0.707995,0,0,0,0
0.709480,0,0,0,0
0.711005,0,0,0,0
0.712556,0,0,0,0
0.714107,0,0,0,0
0.715658,0,0,0,0
0.717208,0,0,0,0
0.718758,0,0,0,0
0.720320,0,0,0,0
0.721870,0,0,0,0
0.723475,0,0,0,0
0.724867,0,0,0,0
0.726385,0,0,0,0
0.727936,0,0,0,0
0.729483,0,0,0,0
0.730923,0,0,0,0
0.732321,0,0,0,0
0.733928,0,0,0,0
0.735352,0,0,0,0
0.736873,0,0,0,0
0.738468,0,0,0,0
0.740020,0,0,0,0
0.741581,0,0,0,0
0.743216,0,0,0,0
0.744767,0,0,0,0
0.746319,0,0,0,0
0.747862,0,0,0,0
0.749402,0,0,0,0
0.750821,0,0,0,0
0.752353,0,0,0,0
0.753904,0,0,0,0
0.755455,0,0,0,0
0.757003,0,0,0,0
0.758555,0,0,0,0
0.760104,0,0,0,0
0.761652,0,0,0,0
0.763219,0,0,0,0
0.764768,0,0,0,0
0.766318,0,0,0,0
0.767865,0,0,0,0
0.769411,0,0,0,0
0.771003,0,0,0,0
0.772553,0,0,0,0
0.774117,0,0,0,0
0.775666,0,0,0,0
0.777214,0,0,0,0
0.778764,0,0,0,0
0.780313,0,0,0,0
0.781861,0,0,0,0
0.783480,0,0,0,0
0.784880,0,0,0,0
0.786441,0,0,0,0
0.787991,0,0,0,0
0.789539,0,0,0,0
0.791140,0,0,0,0
0.792689,0,0,0,0
0.794240,0,0,0,0
0.795805,0,0,0,0
0.797353,0,0,0,0
0.798903,0,0,0,0
0.800453,0,0,0,0
0.802005,0,0,0,0
0.803598,0,0,0,0
0.805146,0,0,0,0
0.806583,0,0,0,0
0.808104,0,0,0,0
0.809652,0,0,0,0
0.811205,0,0,0,0
0.812754,0,0,0,0
0.814306,0,0,0,0
0.815780,0,0,0,0
0.817199,0,0,0,0
0.818759,0,0,0,0
0.820311,0,0,0,0
0.821860,0,0,0,0
0.823438,0,0,0,0
0.824829,0,0,0,0
0.826347,0,0,0,0
0.827909,0,0,0,0
0.829459,0,0,0,0
0.831008,0,0,0,0
0.832558,0,0,0,0
0.834109,0,0,0,0
0.835582,0,0,0,0
0.837092,0,0,0,0
0.838575,0,0,0,0
0.839986,0,0,0,0
0.841407,0,0,0,0
0.842837,0,0,0,0
0.844226,0,0,0,0
0.845612,0,0,0,0
0.847182,0,0,0,0
0.848747,0,0,0,0
0.850345,0,0,0,0
0.851889,0,0,0,0
0.853431,0,0,0,0
0.854850,0,0,0,0
0.856371,0,0,0,0
0.857925,0,0,0,0
0.859366,0,0,0,0
0.860888,0,0,0,0
0.862442,0,0,0,0
0.863995,0,0,0,0
0.865545,0,0,0,0
0.867036,0,0,0,0
0.868557,0,0,0,0
0.870122,0,0,0,0
0.871675,0,0,0,0
0.873225,0,0,0,0
0.874777,0,0,0,0
0.876372,0,0,0,0
0.877942,0,0,0,0
0.879494,0,0,0,0
0.881058,0,0,0,0
0.882657,0,0,0,0
0.884211,0,0,0,0
0.885761,0,0,0,0
0.887319,0,0,0,0
0.888870,0,0,0,0
0.890471,0,0,0,0
0.891912,0,0,0,0
0.893307,0,0,0,0
0.894699,0,0,0,0
0.896088,0,0,0,0
0.897476,0,0,0,0
0.898895,0,0,0,0
0.900412,0,0,0,0
0.901964,0,0,0,0
0.903532,0,0,0,0
0.905083,0,0,0,0
0.906638,0,0,0,0
0.908190,0,0,0,0
0.909742,0,0,0,0
0.911300,0,0,0,0
0.912852,0,0,0,0
0.914341,0,0,0,0
0.915869,0,0,0,0
0.917424,0,0,0,0
0.918980,0,0,0,0
0.920538,0,0,0,0
0.922095,0,0,0,0
0.923651,0,0,0,0
0.925219,0,0,0,0
0.926775,0,0,0,0
0.928332,0,0,0,0
0.929978,0,0,0,0
0.931498,0,0,0,0
0.932894,0,0,0,0
0.934417,0,0,0,0
0.935985,0,0,0,0
0.937541,0,0,0,0
0.939147,0,0,0,0
0.940702,0,0,0,0
0.942260,0,0,0,0
0.943815,0,0,0,0
0.945370,0,0,0,0
0.946982,0,0,0,0
0.948539,0,0,0,0
0.950096,0,0,0,0
0.951652,0,0,0,0
0.953207,0,0,0,0
0.954763,0,0,0,0
0.956310,0,0,0,0
0.957868,0,0,0,0
0.959563,0,0,0,0
0.961108,0,0,0,0
0.962573,0,0,0,0
0.964098,0,0,0,0
0.965651,0,0,0,0
0.967210,0,0,0,0
0.968650,0,0,0,0
0.970177,0,0,0,0
0.971733,0,0,0,0
0.973286,0,0,0,0
0.974841,0,0,0,0
0.976396,0,0,0,0
