elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
0.002622,0,0,0,0
0.004109,0,0,0,0
0.005734,0,0,0,0
0.007197,0,0,0,0
0.008664,0,0,0,0
0.010145,0,0,0,0
0.011539,0,0,0,0
0.012933,0,0,0,0
0.014439,0,0,0,0
0.015875,0,0,0,0
0.017281,0,0,0,0
0.018695,0,0,0,0
0.020059,0,0,0,0
0.021436,0,0,0,0
0.022844,0,0,0,0
0.024243,0,0,0,0
0.025740,0,0,0,0
0.027101,0,0,0,0
0.028462,0,0,0,0
0.029819,0,0,0,0
0.031181,0,0,0,0
0.032561,0,0,0,0
0.033936,0,0,0,0
0.035277,0,0,0,0
0.036617,0,0,0,0
0.038059,0,0,0,0
0.039355,0,0,0,0
0.040693,0,0,0,0
0.041965,0,0,0,0
0.043230,0,0,0,0
0.044486,0,0,0,0
0.045819,0,0,0,0
0.047152,0,0,0,0
0.048494,0,0,0,0
0.049957,0,0,0,0
0.051414,0,0,0,0
0.052994,0,0,0,0
0.054446,0,0,0,0
0.055952,0,0,0,0
0.057503,0,0,0,0
0.058929,0,0,0,0
0.060319,0,0,0,0
0.061675,0,0,0,0
0.063352,273,273,264,0
0.065783,0,0,0,0
0.067170,0,0,0,0
0.068550,0,0,0,0
0.069898,0,0,0,0
0.071235,0,0,0,0
0.072621,0,0,0,0
0.076427,0,0,0,0
0.077824,756,756,906,0
0.079065,1512,1512,2160,0
0.080305,1512,1512,2160,0
0.081682,1701,1764,2505,0
0.082929,1512,1449,2085,0
0.084132,1449,1449,2070,0
0.085378,1512,1512,2235,0
0.086574,1449,1512,2070,0
0.087770,1512,1449,2085,0
0.089257,1827,1827,2610,0
0.090538,1512,1512,2160,0
0.091782,357,357,450,0
0.093143,0,0,0,0
0.094529,0,0,0,0
0.095910,0,0,0,0
0.097336,0,0,0,0
0.098722,0,0,0,0
0.100106,0,0,0,0
0.101488,0,0,0,0
0.102882,0,0,0,0
0.104263,0,0,0,0
0.105808,0,0,0,0
0.107202,0,0,0,0
0.108853,0,0,0,0
0.110241,0,0,0,0
0.111621,0,0,0,0
0.113948,0,0,0,0
0.116065,0,0,0,0
0.117479,0,0,0,0
0.118859,0,0,0,0
0.120238,0,0,0,0
0.121774,0,0,0,0
0.123179,0,0,0,0
0.124566,0,0,0,0
0.125967,0,0,0,0
0.127320,0,0,0,0
0.128730,0,0,0,0
0.130108,0,0,0,0
0.131485,0,0,0,0
0.132865,0,0,0,0
0.134254,0,0,0,0
0.135634,0,0,0,0
0.137391,0,0,0,0
0.138774,0,0,0,0
0.140155,0,0,0,0
0.141535,0,0,0,0
0.143054,0,0,0,0
0.144468,0,0,0,0
0.146068,0,0,0,0
0.147455,0,0,0,0
0.148838,0,0,0,0
0.150219,0,0,0,0
0.151598,0,0,0,0
0.153012,0,0,0,0
0.154396,0,0,0,0
0.155790,0,0,0,0
0.157305,0,0,0,0
0.158855,0,0,0,0
0.160403,0,0,0,0
0.161958,0,0,0,0
0.163505,0,0,0,0
0.165056,0,0,0,0
0.166493,0,0,0,0
0.167999,0,0,0,0
0.169431,0,0,0,0
0.170952,0,0,0,0
0.172555,0,0,0,0
0.174100,0,0,0,0
0.175648,0,0,0,0
0.177257,0,0,0,0
0.178807,0,0,0,0
0.180356,0,0,0,0
0.181909,0,0,0,0
0.183387,0,0,0,0
0.184985,0,0,0,0
0.186535,0,0,0,0
0.188099,0,0,0,0
0.189649,0,0,0,0
0.191200,0,0,0,0
0.192750,0,0,0,0
0.194346,0,0,0,0
0.195895,0,0,0,0
0.197445,0,0,0,0
0.199010,0,0,0,0
0.200561,0,0,0,0
0.202112,0,0,0,0
0.203660,0,0,0,0
0.205211,0,0,0,0
0.206763,0,0,0,0
0.208311,0,0,0,0
0.209832,0,0,0,0
0.211352,0,0,0,0
0.212904,0,0,0,0
0.214455,0,0,0,0
0.216004,0,0,0,0
