elapsed_s,SP_ANY_EU_WORKING,SP_WORKING_EU_FS_STAGE,SP_ANY_EU_WORKING_FS_STAGE,SP_WORKING_EU_VS_STAGE,SP_ANY_EU_WORKING_VS_STAGE,SP_WORKING_EU_CS_STAGE,SP_ANY_EU_WORKING_CS_STAGE,SP_GPR_READ_PREFETCH,SP_GPR_READ_CONFLICT,SP_GPR_WRITE_CONFLICT,SP_GM_LOAD_LATENCY_CYCLES,SP_GM_LOAD_LATENCY_SAMPLES,SP_EXECUTABLE_WAVES,SP_ICL1_MISS_FETCH_CYCLES,SP_RESERVED_86,SP_BYPASS_BUSY_CYCLES,SP_ANY_EU_WORKING_LPAC,SP_WAVE_ALU_CYCLES,SP_WAVE_EFU_CYCLES,SP_WAVE_INT_CYCLES,SP_WAVE_CSP_CYCLES,SP_EWAVE_CONTEXTS,SP_EWAVE_CONTEXT_CYCLES,SP_LPAC_BUSY_CYCLES
0.001102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.036076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.046320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.047823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.052388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.058679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.065119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.068336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.071353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.072803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.074247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.077201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.078648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083440,2650116,3031476,2716051,24,24,3167090,2821076,0,181,12638,0,0,10827422,0,0,0,0,1110860,5228,0,324053,11787808,6691749,0
0.084750,7906258,8922580,7885130,0,0,8923565,7920158,0,376,33635,0,0,28339271,0,0,0,0,2796026,13076,0,789134,28450379,16008004,0
0.086071,7956931,8991855,7978463,0,0,9001486,7942938,0,418,33621,0,0,28547462,0,0,0,0,2780541,13012,0,785105,28437758,15986271,0
0.087379,7890707,8910666,7884061,0,0,8885493,7891715,0,380,33637,0,0,28289629,0,0,0,0,2773757,12980,0,783221,28296361,15912711,0
0.088686,7870798,8888999,7877412,0,0,8916635,7896684,0,385,33383,0,0,28232563,0,0,0,0,2776515,12992,0,781060,28224331,15875226,0
0.089993,7880839,8914235,7893681,0,0,8917653,7879306,0,423,33750,0,0,28565838,0,0,0,0,2790361,13048,0,790379,28564279,16063022,0
0.091355,8234078,9283666,8204345,0,0,9252024,8210131,0,420,34960,0,0,29189253,0,0,0,0,2865081,13408,0,808877,29225327,16435301,0
0.092664,7867962,8885626,7884061,0,0,8914552,7892608,0,383,33710,0,0,28249191,0,0,0,0,2775606,12980,0,780268,28214223,15868343,0
0.093971,7882965,8903216,7883465,0,0,8899768,7863021,0,420,33332,0,0,28269949,0,0,0,0,2760829,12916,0,782578,28270579,15899327,0
0.095276,7866681,8895630,7889650,0,0,8885054,7885613,0,375,33715,0,0,28291180,0,0,0,0,2774790,12980,0,783580,28301722,15914804,0
0.096638,5697941,6384229,5608945,0,0,6248858,5502014,0,260,22865,0,0,19026988,0,0,0,0,1813385,8452,0,502939,18055979,10094717,0
0.097969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
