elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.001095,0,0,0,0,0,0,0,0
0.002576,0,0,0,0,0,0,0,0
0.004030,0,0,0,0,0,0,0,0
0.005510,0,0,0,0,0,0,0,0
0.006966,0,0,0,0,0,0,0,0
0.008384,0,0,0,0,0,0,0,0
0.010047,0,0,0,0,0,0,0,0
0.011489,0,0,0,0,0,0,0,0
0.012906,0,0,0,0,0,0,0,0
0.014422,0,0,0,0,0,0,0,0
0.015810,0,0,0,0,0,0,0,0
0.017193,0,0,0,0,0,0,0,0
0.018575,0,0,0,0,0,0,0,0
0.019957,0,0,0,0,0,0,0,0
0.021350,0,0,0,0,0,0,0,0
0.022734,0,0,0,0,0,0,0,0
0.024118,0,0,0,0,0,0,0,0
0.025501,0,0,0,0,0,0,0,0
0.026893,0,0,0,0,0,0,0,0
0.028276,0,0,0,0,0,0,0,0
0.029733,0,0,0,0,0,0,0,0
0.031159,0,0,0,0,0,0,0,0
0.032635,0,0,0,0,0,0,0,0
0.034089,0,0,0,0,0,0,0,0
0.035499,0,0,0,0,0,0,0,0
0.036910,0,0,0,0,0,0,0,0
0.038323,0,0,0,0,0,0,0,0
0.039734,0,0,0,0,0,0,0,0
0.041146,0,0,0,0,0,0,0,0
0.042557,0,0,0,0,0,0,0,0
0.043974,0,0,0,0,0,0,0,0
0.045433,0,0,0,0,0,0,0,0
0.046805,0,0,0,0,0,0,0,0
0.048173,0,0,0,0,0,0,0,0
0.049544,0,0,0,0,0,0,0,0
0.050931,0,0,0,0,0,0,0,0
0.052301,0,0,0,0,0,0,0,0
0.053703,0,0,0,0,0,0,0,0
0.055079,0,0,0,0,0,0,0,0
0.056598,0,0,0,0,0,0,0,0
0.057941,0,0,0,0,0,0,0,0
0.059377,0,0,0,0,0,0,0,0
0.060810,0,0,0,0,0,0,0,0
0.062262,0,0,0,0,0,0,0,0
0.063669,0,0,0,0,0,0,0,0
0.065100,0,0,0,0,0,0,0,0
0.066463,0,0,0,0,0,0,0,0
0.067829,0,0,0,0,0,0,0,0
0.069196,0,0,0,0,0,0,0,0
0.070560,0,0,0,0,0,0,0,0
0.071925,0,0,0,0,0,0,0,0
0.073287,0,0,0,0,0,0,0,0
0.074649,0,0,0,0,0,0,0,0
0.076138,0,132,0,0,132,0,0,0
0.077542,0,0,0,0,0,0,0,0
0.078966,0,0,0,0,0,0,0,0
0.080375,0,0,0,0,0,0,0,0
0.081810,0,0,0,0,0,0,0,0
0.083216,0,0,0,0,0,0,0,0
0.084616,0,0,0,0,0,0,0,0
0.086026,0,156,0,0,198,0,0,0
0.087420,0,1050,0,0,1008,0,0,0
0.088782,0,1758,0,0,1764,0,0,0
0.090839,0,1014,0,0,1044,0,0,0
0.092100,0,1044,0,0,1014,0,0,0
0.093783,0,1350,0,0,1380,0,0,0
0.095046,0,1044,0,0,1014,0,0,0
0.096308,0,1014,0,0,1044,0,0,0
0.097953,0,1344,0,0,1308,0,0,0
0.099216,0,1008,0,0,1044,0,0,0
0.100457,0,138,0,0,102,0,0,0
0.101904,0,0,0,0,0,0,0,0
0.103299,0,0,0,0,0,0,0,0
0.104682,0,0,0,0,0,0,0,0
0.106124,0,0,0,0,0,0,0,0
0.107455,0,0,0,0,0,0,0,0
0.108840,0,0,0,0,0,0,0,0
0.110135,0,0,0,0,0,0,0,0
0.111575,0,0,0,0,0,0,0,0
0.113017,0,0,0,0,0,0,0,0
0.114455,0,0,0,0,0,0,0,0
0.115930,0,0,0,0,0,0,0,0
0.117375,0,0,0,0,0,0,0,0
0.118852,0,0,0,0,0,0,0,0
0.120335,0,0,0,0,0,0,0,0
0.121705,0,0,0,0,0,0,0,0
0.123145,0,0,0,0,0,0,0,0
0.124583,0,0,0,0,0,0,0,0
0.125934,0,0,0,0,0,0,0,0
0.127311,0,0,0,0,0,0,0,0
0.128832,0,0,0,0,0,0,0,0
0.130215,0,0,0,0,0,0,0,0
0.131554,0,0,0,0,0,0,0,0
0.132899,0,0,0,0,0,0,0,0
0.134233,0,0,0,0,0,0,0,0
0.135566,0,0,0,0,0,0,0,0
0.136897,0,0,0,0,0,0,0,0
0.138282,0,0,0,0,0,0,0,0
0.139618,0,0,0,0,0,0,0,0
0.140967,0,0,0,0,0,0,0,0
0.142384,0,0,0,0,0,0,0,0
0.143805,0,0,0,0,0,0,0,0
0.145216,0,0,0,0,0,0,0,0
0.146626,0,0,0,0,0,0,0,0
0.148017,0,0,0,0,0,0,0,0
0.149554,0,0,0,0,0,0,0,0
0.151128,0,0,0,0,0,0,0,0
0.152704,0,0,0,0,0,0,0,0
0.154290,0,0,0,0,0,0,0,0
0.155862,0,0,0,0,0,0,0,0
0.157308,0,0,0,0,0,0,0,0
0.158851,0,0,0,0,0,0,0,0
0.160423,0,0,0,0,0,0,0,0
0.162001,0,0,0,0,0,0,0,0
0.163573,0,0,0,0,0,0,0,0
0.165039,0,0,0,0,0,0,0,0
0.166583,0,0,0,0,0,0,0,0
0.168155,0,0,0,0,0,0,0,0
0.169728,0,0,0,0,0,0,0,0
0.171301,0,0,0,0,0,0,0,0
0.172876,0,0,0,0,0,0,0,0
0.174494,0,0,0,0,0,0,0,0
0.176080,0,0,0,0,0,0,0,0
0.177653,0,0,0,0,0,0,0,0
