elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.001329,0,299139,5383,3191
0.002929,0,240789,4178,7307
0.004413,0,235857,4163,7777
0.005896,0,235708,4161,7747
0.007460,0,229659,4045,7256
0.008918,0,229072,4040,7698
0.010383,0,228587,4031,7297
0.011840,0,227083,4002,7389
0.013297,0,228587,4030,3675
0.014754,0,221055,3894,3591
0.016198,0,227218,4003,3591
0.017641,0,223919,3944,3664
0.019083,0,223570,3939,7694
0.020535,0,223585,3940,7700
0.021979,0,222941,3927,3649
0.023472,0,211306,3710,3104
0.024877,0,214227,3769,7380
0.026280,0,212471,3737,7177
0.027684,0,210928,3707,3165
0.029106,0,272877,4851,3572
0.030668,0,249147,4535,3675
0.032125,0,259974,4528,2163
0.033551,0,237892,4270,2007
0.034972,0,186160,3330,2103
0.036246,0,186818,3369,2097
0.037542,0,190700,3386,2145
0.038818,0,201688,3659,2147
0.040240,0,365181,6598,2550
0.041987,0,230957,4078,2615
0.043399,0,231471,4084,2580
0.044849,0,225652,4063,2641
0.046264,0,218549,3909,2570
0.047688,0,212152,3771,1696
0.049032,0,206214,3697,1679
0.050375,0,206169,3695,1674
0.051717,0,206041,3704,1676
0.053143,0,211093,3781,1677
0.054576,0,243457,4369,1694
0.056075,0,211224,3789,1674
0.057444,0,206314,3697,1680
0.058789,0,210838,3783,1730
0.060157,0,285510,5145,73658
0.061456,0,207694,3723,1735
0.062803,0,288499,5202,1685
0.064467,0,302050,5449,1765
0.066051,0,204212,3660,1719
0.067438,0,206035,3694,1719
0.068828,0,205574,3686,1726
0.070211,0,206265,3697,1724
0.071598,0,494068,5895,309943
0.072835,0,1362678,11893,1362618
0.074076,0,1364442,11907,1364385
0.075315,0,1361428,11883,1361548
0.076554,0,1363579,11899,1363489
0.077793,0,1363117,11897,1363100
0.079083,0,1419206,12385,1419222
0.080323,0,1364191,11906,1364176
0.081562,0,1362311,11889,1362328
0.082800,0,1371994,11980,1374401
0.084055,0,1372874,11976,1370467
0.085298,0,1366730,11927,1366727
0.086541,0,1367766,11937,1367784
0.087827,0,1414705,12347,1414714
0.089070,0,1367357,11933,1367344
0.090313,0,1366843,11930,1366905
0.091557,0,1368533,11942,1368441
0.093110,0,1708654,14912,1708654
0.094352,0,1364966,11913,1364970
0.095629,0,1405319,12264,1405315
0.096871,0,1366065,11922,1366066
0.098112,0,1365320,11916,1365320
0.099356,0,1368445,11943,1368443
0.100597,0,1365451,11916,1365455
0.101839,0,1365539,11918,1365537
0.103082,0,1366889,11929,1366905
0.104323,0,1365337,11916,1365322
0.105587,0,1394313,12169,1394398
0.106834,0,1388293,12113,1388467
0.108093,0,1363685,11903,1363425
0.109332,0,1362196,11889,1362195
0.110572,0,1064755,9185,592576
0.112002,0,492701,4229,2539
0.113459,0,423116,3588,2636
0.114912,0,418021,3578,2508
0.116300,0,400892,3427,2493
0.117685,0,400552,3424,2517
0.119069,0,471595,4045,2558
0.120504,0,419152,3588,2627
0.121902,0,417347,3571,2511
0.123348,0,421053,3601,2531
0.124922,0,397090,3396,2505
0.126301,0,413498,3538,2509
0.127724,0,414093,3542,2513
0.129105,0,413287,3537,2505
0.130484,0,413879,3539,2502
0.134998,0,491606,4220,2503
0.136458,0,431820,3704,2517
0.137820,0,413395,3530,2507
0.139345,0,456796,3921,2603
0.140738,0,419211,3582,2624
0.142082,0,418246,3580,2509
0.143443,0,417732,3573,2503
0.144829,0,414514,3546,2510
0.146209,0,414107,3542,2601
0.147603,0,404247,3457,2497
0.148984,0,425698,3644,2506
0.150364,0,414657,3548,2499
0.151756,0,428700,3670,2506
0.153166,0,430850,3688,2504
0.154553,0,430451,3686,2507
0.155992,0,474070,4068,2499
0.157377,0,418988,3584,2503
0.158772,0,409470,3503,2631
0.160198,0,418869,3583,2643
0.161585,0,420011,3595,2511
0.162972,0,420163,3597,2503
0.164358,0,426420,3650,2506
0.165742,0,427561,3660,2503
0.167127,0,455356,3903,2620
0.168675,0,428182,3665,2507
0.170112,0,420186,3561,2498
0.171509,0,405196,3465,2499
0.172897,0,418391,3581,2495
0.174283,0,417561,3573,2688
0.175714,0,417825,3573,2503
0.177100,0,415908,3559,2503
0.178486,0,416951,3568,2505
0.180001,0,430193,3683,2497
0.181564,0,440496,3774,2504
0.183116,0,480281,4119,2517
0.184711,0,428650,3670,2503
0.186258,0,428783,3672,2506
0.187807,0,428189,3665,2508
0.189355,0,429856,3681,2511
0.190905,0,429599,3677,2506
0.192508,0,429598,3680,2517
0.194055,0,428825,3671,2514
0.195606,0,429998,3680,2519
0.197155,0,429520,3679,2501
0.198703,0,434989,3725,2506
0.200258,0,428999,3674,2505
0.201854,0,429438,3676,2513
0.203419,0,429809,3681,2677
0.204967,0,431208,3692,2504
0.206516,0,431011,3690,2503
0.208023,0,418610,3581,2508
0.209543,0,429386,3677,2501
0.211093,0,430613,3687,2505
0.212641,0,429748,3680,2520
0.214201,0,430118,3682,2507
0.215794,0,429527,3678,2672
0.217343,0,431606,3694,2621
0.218895,0,428388,3667,2630
0.220444,0,430150,3683,2506
0.221991,0,439794,3768,2508
0.223585,0,429974,3682,2506
0.225148,0,441030,3778,2511
0.226697,0,433618,3713,2501
0.228250,0,429923,3681,2505
0.229797,0,430162,3683,2507
0.231392,0,430673,3686,2502
0.232942,0,429096,3675,2508
0.234490,0,431446,3693,2515
0.235992,0,394817,3578,2471
0.237512,0,410235,3676,2472
0.239063,0,412610,3699,2434
0.240868,0,414532,3716,2418
0.242418,0,411396,3687,2418
0.243967,0,413196,3703,2466
0.245519,0,411686,3689,2468
0.247083,0,459129,4124,2470
0.248678,0,412069,3695,2522
0.250226,0,411843,3691,2572
0.251776,0,412013,3693,2470
0.253325,0,411815,3690,2466
0.254876,0,412573,3697,2450
0.256426,0,411021,3685,2609
0.257987,0,413186,3704,2461
0.259539,0,412344,3695,2550
0.261088,0,412029,3693,2468
0.262637,0,414557,3716,2465
0.264191,0,411384,3686,2414
0.265739,0,412990,3702,2428
0.267290,0,411470,3688,2462
0.268853,0,411346,3687,2497
0.270401,0,412180,3693,2506
0.271994,0,412322,3697,2667
0.273544,0,413064,3701,2428
0.275095,0,412560,3698,2469
0.276644,0,411346,3687,2420
0.278191,0,412586,3698,2465
0.279675,0,404969,3629,2430
0.281199,0,413577,3707,2461
0.282748,0,417763,3745,2428
0.284304,0,413208,3703,2465
0.285854,0,414719,3718,2464
0.287451,0,422363,3787,2552
0.289002,0,412653,3698,2460
0.290565,0,416477,3733,2423
0.292119,0,412337,3696,2470
0.293668,0,412548,3697,2425
0.295220,0,415274,3725,2435
0.296650,0,405250,3630,2433
0.298172,0,412611,3697,2471
0.299723,0,407735,3653,2551
0.301279,0,409008,3665,2474
0.302820,0,491099,4423,2469
0.304322,0,412381,3688,2513
0.305916,0,411113,3685,2527
0.307320,0,392056,3509,2421
0.308711,0,402416,3606,2427
0.310098,0,402885,3609,2465
0.311534,0,365929,3270,2470
0.313020,0,411869,3692,2420
0.314567,0,416161,3731,2420
0.316119,0,411690,3690,2419
0.317667,0,410818,3681,2428
0.319218,0,421812,3783,2461
0.320767,0,410884,3683,2499
0.322328,0,411983,3691,2426
0.323876,0,424995,3811,2468
0.325425,0,411599,3690,2427
0.326976,0,456576,4099,2428
0.328569,0,411606,3689,2469
0.330116,0,421580,3780,2467
0.331667,0,412968,3700,2421
0.333230,0,411503,3689,2472
0.334777,0,416304,3732,2419
0.336331,0,412658,3698,2500
0.337879,0,411522,3688,2426
0.339429,0,414007,3711,2466
0.340978,0,411439,3688,2422
0.342526,0,413672,3707,2467
0.344035,0,402055,3601,2460
0.345555,0,411451,3687,2454
0.347105,0,410837,3682,2461
0.348654,0,411858,3692,2620
0.350272,0,414035,3710,2430
0.351868,0,413122,3703,2470
0.353418,0,410871,3681,2570
0.354982,0,410274,3677,2470
0.356531,0,407686,3653,2468
0.358077,0,412139,3694,2555
0.359671,0,412158,3694,2461
0.361220,0,410843,3682,2464
0.362767,0,415056,3721,2459
0.364319,0,411265,3686,2459
0.365880,0,413053,3703,2530
0.367476,0,412113,3693,2419
0.369024,0,412626,3697,2468
0.370572,0,416573,3734,2462
0.372124,0,412078,3693,2490
0.373672,0,411318,3686,2421
0.375222,0,412768,3699,2458
0.376784,0,411233,3686,2463
0.378332,0,411971,3691,2430
0.379880,0,412372,3696,2457
0.381428,0,411189,3686,2464
0.382979,0,457499,4109,2468
0.384571,0,412371,3695,2501
0.386118,0,411022,3684,2507
0.387680,0,409051,3665,2468
0.389102,0,401906,3600,2462
0.390622,0,417377,3743,2468
0.392179,0,411214,3685,2434
0.393730,0,412502,3697,2461
0.395282,0,414663,3717,2470
0.396835,0,423755,3801,2420
0.398399,0,413271,3704,2426
0.399995,0,414406,3714,2422
0.401547,0,412788,3699,2460
0.403100,0,414538,3716,2444
0.404653,0,423486,3798,2424
0.406203,0,411993,3693,2469
0.407798,0,413281,3703,2431
0.409363,0,413673,3707,2461
0.410916,0,414361,3715,2467
0.412468,0,411650,3690,2424
0.414018,0,423175,3794,2471
0.415616,0,414111,3712,2421
0.417169,0,413361,3705,2511
0.418719,0,414458,3714,2443
0.420288,0,413781,3709,2423
0.421840,0,411944,3693,2593
0.423435,0,413015,3703,2462
0.424987,0,413960,3711,2461
0.426538,0,413197,4418,2462
0.428038,0,480426,3603,2513
0.429594,0,422191,3784,2429
0.431159,0,460930,4140,2460
0.432754,0,412691,3698,2452
0.434303,0,412949,3700,2466
0.435855,0,413538,3707,2509
0.437407,0,411656,3689,2470
0.438958,0,457983,4114,2458
0.440552,0,412918,3700,2462
0.442116,0,410866,3683,2428
0.443668,0,411687,3688,2424
0.445219,0,412125,3694,2477
0.446768,0,416720,3736,2650
0.448325,0,411881,3691,2476
0.449874,0,422110,3784,2460
0.451426,0,413704,3708,2486
0.452992,0,410940,3682,2423
0.454541,0,476834,4279,2426
0.456155,0,410935,3689,2468
0.457704,0,411528,3689,2468
0.459256,0,412919,3701,2427
0.460806,0,410654,3680,2477
0.462354,0,411380,3686,2504
0.463961,0,419579,3761,2472
0.465512,0,420771,3774,2462
0.467063,0,413482,3706,2426
0.468614,0,412122,3694,2472
0.470162,0,412007,3692,2463
0.471755,0,412252,3696,2429
0.473307,0,410687,3680,2428
0.474873,0,414259,3713,2471
0.476424,0,411959,3693,2471
0.477974,0,411547,3687,2469
0.479570,0,412613,3698,2535
0.481120,0,411681,3690,2422
0.482670,0,445930,4002,2489
0.484124,0,399984,3582,2429
0.485523,0,389954,3492,2503
0.487041,0,458566,4117,2462
0.488635,0,412014,3693,2421
0.490184,0,417970,3730,2425
0.491747,0,414536,3732,2485
0.493298,0,410352,3678,2476
0.494912,0,526288,4737,2478
0.496581,0,412401,3698,2428
0.498131,0,412734,3701,2563
0.499684,0,413002,3701,2461
0.501235,0,411160,3684,2471
0.502783,0,416587,3735,2431
0.504213,0,399501,3578,2470
0.505603,0,377246,3376,2462
0.507005,0,405217,3630,2463
0.508399,0,380141,3402,2464
0.509785,0,399734,3580,2424
0.511312,0,939048,8511,2506
0.514650,0,614218,5541,2459
0.517019,0,414251,3714,2468
0.518442,0,401693,3599,2467
0.519830,0,375897,3362,2474
0.521213,0,396965,3556,2430
0.522593,0,483789,4323,2470
0.524071,0,397992,3590,2531
0.525461,0,400238,3583,2432
0.526848,0,482891,4342,2503
0.528329,0,401631,3596,2512
0.529724,0,390785,3498,2505
0.531125,0,395140,3538,2483
0.532506,0,397572,3561,2467
0.533886,0,397687,3561,2476
0.535304,0,399090,3574,2460
0.536811,0,406653,3643,2432
0.538352,0,408364,3658,2423
0.539786,0,401145,3593,2423
0.541308,0,410109,3675,2475
0.542911,0,411989,3692,2481
0.544459,0,411409,3688,2470
0.546007,0,410845,3682,2423
0.547558,0,412129,3693,2427
0.549109,0,411627,3690,2467
0.550671,0,430843,3864,2465
0.552247,0,409072,3667,2481
0.553793,0,411953,3692,2480
0.555452,0,426766,3827,2428
0.556899,0,406546,3643,2466
0.558298,0,391570,3505,2511
0.559726,0,397589,3560,2454
0.561123,0,395689,3877,2547
0.562504,0,383076,3723,2388
0.563887,0,443698,4324,2434
0.565464,0,397396,3865,2433
0.567018,0,439139,4278,2386
0.568611,0,397963,3871,2511
0.570162,0,396946,3858,2427
0.571727,0,398220,3873,2432
0.573279,0,397348,3865,2388
0.574828,0,352746,3420,2430
0.576402,0,396321,3853,2429
0.577952,0,396790,3859,2429
0.579504,0,397148,3862,2388
0.581056,0,398552,3875,2503
0.582619,0,400902,3899,2430
0.584176,0,397161,3862,2386
0.585726,0,398328,3874,2389
0.587279,0,399395,3884,2430
0.588832,0,396161,3853,2427
0.590381,0,398038,3870,2431
0.591976,0,398230,3873,2430
0.593543,0,396690,3858,2475
0.595103,0,399153,3880,2396
