elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.001096,0,0,0,0,0,0
0.002568,0,0,0,0,0,0
0.004005,0,0,0,0,0,0
0.005441,0,0,0,0,0,0
0.006914,0,0,0,0,0,0
0.008347,0,0,0,0,0,0
0.009774,0,0,0,0,0,0
0.011278,0,0,0,0,0,0
0.012691,0,0,0,0,0,0
0.014086,0,0,0,0,0,0
0.015478,0,0,0,0,0,0
0.016872,0,0,0,0,0,0
0.018491,0,0,0,0,0,0
0.019961,0,0,0,0,0,0
0.021399,0,0,0,0,0,0
0.022851,0,0,0,0,0,0
0.024253,0,0,0,0,0,0
0.025643,0,0,0,0,0,0
0.027062,0,0,0,0,0,0
0.028469,0,0,0,0,0,0
0.029860,0,0,0,0,0,0
0.031266,0,0,0,0,0,0
0.032655,0,0,0,0,0,0
0.034044,0,0,0,0,0,0
0.035454,0,0,0,0,0,0
0.036845,0,0,0,0,0,0
0.038232,0,0,0,0,0,0
0.039620,0,0,0,0,0,0
0.041006,0,0,0,0,0,0
0.042477,0,0,0,0,0,0
0.043836,0,0,0,0,0,0
0.045159,0,0,0,0,0,0
0.046491,0,0,0,0,0,0
0.047810,0,0,0,0,0,0
0.049131,0,0,0,0,0,0
0.050500,0,0,0,0,0,0
0.051819,0,0,0,0,0,0
0.053251,0,0,0,0,0,0
0.054661,0,0,0,0,0,0
0.056025,0,0,0,0,0,0
0.057384,0,0,0,0,0,0
0.058783,0,0,0,0,0,0
0.060198,0,0,0,0,0,0
0.061502,0,0,0,0,0,0
0.062855,0,0,0,0,0,0
0.064173,0,0,0,0,0,0
0.065477,0,0,0,0,0,0
0.066828,0,0,0,0,0,0
0.068097,0,0,0,0,0,0
0.069361,0,0,0,0,0,0
0.070676,0,0,0,0,0,0
0.071939,0,0,0,0,0,0
0.073311,0,0,0,0,0,0
0.074629,0,0,0,0,0,0
0.075973,0,0,0,0,0,0
0.077332,0,0,0,0,0,0
0.078697,0,0,0,0,0,0
0.080051,0,0,0,0,0,0
0.081446,0,0,0,0,0,0
0.082863,0,0,0,0,0,0
0.084291,0,0,0,0,0,0
0.085728,0,0,0,0,0,0
0.087137,0,0,0,0,0,0
0.088543,0,0,2577,312,0,0
0.090095,0,0,0,0,0,0
0.091543,0,0,0,0,0,0
0.092950,0,0,0,0,0,0
0.094352,0,0,0,0,0,0
0.095764,0,0,0,0,0,0
0.097163,0,0,0,0,0,0
0.099518,0,0,0,0,0,0
0.100961,0,0,4110,678,0,0
0.102343,0,0,3351,1719,0,0
0.103593,0,0,3517,1560,0,0
0.104847,0,0,3435,1596,0,0
0.107760,0,0,7828,3705,0,0
0.109013,0,0,3264,1560,0,0
0.110264,0,0,3563,1755,0,0
0.111516,0,0,3471,1560,0,0
0.112768,0,0,3297,1560,0,0
0.114038,0,0,3562,1755,0,0
0.115332,0,0,3441,1560,0,0
0.116582,0,0,3528,1719,0,0
0.117832,0,0,3441,1596,0,0
0.120634,0,0,7407,3669,0,0
0.121847,0,0,3690,1596,0,0
0.123145,0,0,3275,1560,0,0
0.124535,0,0,3972,1914,0,0
0.125795,0,0,3416,1596,0,0
0.127012,0,0,3309,1560,0,0
0.128220,0,0,3291,1560,0,0
0.129426,0,0,3267,1560,0,0
0.130635,0,0,3522,1719,0,0
0.132016,0,0,3826,1791,0,0
0.133410,0,0,3300,1560,0,0
0.134635,0,0,3285,1560,0,0
0.135845,0,0,3243,1560,0,0
0.137051,0,0,3306,1560,0,0
0.138256,0,0,6828,3279,0,0
0.140830,0,0,1257,558,0,0
0.142397,0,0,0,0,0,0
0.144280,0,0,0,0,0,0
0.145726,0,0,0,0,0,0
0.147122,0,0,0,0,0,0
0.148513,0,0,0,0,0,0
0.149971,0,0,0,0,0,0
0.151374,0,0,0,0,0,0
