elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.001096,0,0,0,0,872877,0
0.002576,0,0,0,0,870396,0
0.004018,0,0,0,0,876846,0
0.005483,0,0,0,0,820191,0
0.006918,0,0,0,0,821511,0
0.008351,0,0,0,0,817980,0
0.009806,0,0,0,0,797592,0
0.011212,0,0,0,0,832530,0
0.012650,0,0,0,0,831969,0
0.014089,0,0,0,0,813447,0
0.015506,0,0,0,0,797934,0
0.016923,0,0,0,0,811755,0
0.018344,0,0,0,0,807909,0
0.019752,0,0,0,0,794412,0
0.021170,0,0,0,0,824634,0
0.022622,0,0,0,0,780225,0
0.024015,0,0,0,0,773871,0
0.025408,0,0,0,0,774111,0
0.026958,0,0,0,0,2999478,0
0.029481,0,0,0,0,788418,0
0.030916,0,0,0,0,768120,0
0.032304,0,0,0,0,767925,0
0.033660,0,0,0,0,1001694,0
0.035160,0,0,0,0,734685,0
0.036515,0,0,0,0,727452,0
0.037877,0,0,0,0,778434,0
0.039236,0,0,0,0,682065,0
0.040548,0,0,0,0,677940,0
0.041859,0,0,0,0,679719,0
0.043173,0,0,0,0,679125,0
0.044485,0,0,0,0,679800,0
0.045796,0,0,0,0,838533,0
0.047187,0,0,0,0,680517,0
0.048499,0,0,0,0,678894,0
0.049810,0,0,0,0,772362,0
0.051226,0,0,0,0,828072,0
0.052639,0,0,0,0,822801,0
0.054017,0,0,0,0,843729,0
0.055497,0,0,0,0,793236,0
0.056887,0,0,0,0,725691,0
0.058212,0,0,0,0,692925,0
0.059488,0,0,0,0,680646,0
0.060756,0,0,0,0,896070,0
0.062185,0,0,0,0,798357,0
0.063515,0,0,0,0,729897,0
0.064830,0,0,0,0,949497,0
0.066295,0,0,0,0,731892,0
0.067614,0,0,0,0,947340,0
0.069040,0,0,0,0,761697,0
0.070428,0,0,0,0,1672884,0
0.071855,0,0,0,0,762897,0
0.073162,0,0,0,0,737025,0
0.074519,0,0,0,0,731700,0
0.075879,0,0,0,0,698922,0
0.077194,0,0,0,0,680814,0
0.078513,0,0,0,0,637797,0
0.079775,0,0,0,0,621927,0
0.081037,0,0,0,0,623862,0
0.082363,0,0,0,0,688194,0
0.083686,0,0,0,0,678744,0
0.085008,0,0,0,0,691824,0
0.086402,0,0,0,0,780924,0
0.087809,0,0,0,0,2099826,0
0.089014,0,0,0,0,3978120,0
0.090219,0,0,0,0,3974394,0
0.091424,0,0,0,0,3976203,0
0.092629,0,0,0,0,3974664,0
0.093833,0,0,0,0,3980562,0
0.095084,0,0,0,0,4128561,0
0.096291,0,0,0,0,3977958,0
0.097497,0,0,0,0,3975612,0
0.098701,0,0,0,0,3978096,0
0.099907,0,0,0,0,3975798,0
0.101111,0,0,0,0,3976935,0
0.102337,0,0,0,0,4104711,0
0.103619,0,0,0,0,4170891,0
0.104873,0,0,0,0,4134612,0
0.106128,0,0,0,0,4150989,0
0.107384,0,0,0,0,4137729,0
0.108766,0,0,0,0,4637088,0
0.110061,0,0,0,0,4206336,0
0.111322,0,0,0,0,5663499,0
0.113038,0,0,0,0,4152024,0
0.114295,0,0,0,0,4150602,0
0.115550,0,0,0,0,4137336,0
0.116804,0,0,0,0,4135038,0
0.118059,0,0,0,0,4142433,0
0.119313,0,0,0,0,4141644,0
0.120568,0,0,0,0,4137081,0
0.121820,0,0,0,0,4136694,0
0.123075,0,0,0,0,4135584,0
0.124327,0,0,0,0,4133238,0
0.125580,0,0,0,0,4133037,0
0.126833,0,0,0,0,2494164,0
0.128227,0,0,0,0,1263246,0
0.129617,0,0,0,0,1551075,0
0.131091,0,0,0,0,1248798,0
0.132481,0,0,0,0,1250343,0
0.133906,0,0,0,0,1283454,0
0.135290,0,0,0,0,1202652,0
0.136654,0,0,0,0,1230195,0
0.137994,0,0,0,0,1200639,0
0.139361,0,0,0,0,1196172,0
0.140725,0,0,0,0,1200375,0
0.142089,0,0,0,0,1321824,0
0.143479,0,0,0,0,1452222,0
0.144897,0,0,0,0,1451646,0
0.146315,0,0,0,0,1448355,0
0.147732,0,0,0,0,1443573,0
0.149157,0,0,0,0,1442826,0
0.150579,0,0,0,0,1447983,0
0.152009,0,0,0,0,1470594,0
0.153429,0,0,0,0,1445355,0
0.154849,0,0,0,0,1453038,0
0.156269,0,0,0,0,1450869,0
0.157689,0,0,0,0,1463427,0
0.159127,0,0,0,0,1206702,0
0.160513,0,0,0,0,1252821,0
0.161883,0,0,0,0,1548447,0
0.163341,0,0,0,0,1271142,0
0.164680,0,0,0,0,1211034,0
0.166006,0,0,0,0,1303968,0
0.167409,0,0,0,0,1218000,0
0.168803,0,0,0,0,1249632,0
0.170193,0,0,0,0,1246227,0
0.171594,0,0,0,0,1213794,0
0.172984,0,0,0,0,1253439,0
0.174413,0,0,0,0,1271232,0
0.175811,0,0,0,0,1265967,0
0.177208,0,0,0,0,1264437,0
0.178607,0,0,0,0,1265175,0
0.180004,0,0,0,0,1263063,0
0.181400,0,0,0,0,1259661,0
0.182807,0,0,0,0,1214715,0
0.184333,0,0,0,0,1329540,0
0.185897,0,0,0,0,1301283,0
0.187460,0,0,0,0,1298097,0
0.189021,0,0,0,0,1299459,0
0.190628,0,0,0,0,1300233,0
0.192190,0,0,0,0,1301346,0
0.193765,0,0,0,0,1316682,0
0.195333,0,0,0,0,1300434,0
0.196894,0,0,0,0,1333650,0
0.198502,0,0,0,0,1333323,0
0.200064,0,0,0,0,1298097,0
0.201624,0,0,0,0,1348287,0
0.203186,0,0,0,0,1283760,0
0.204752,0,0,0,0,1283637,0
0.206369,0,0,0,0,1269003,0
0.207903,0,0,0,0,1296288,0
0.209462,0,0,0,0,1297560,0
0.211024,0,0,0,0,1296315,0
0.212584,0,0,0,0,1325646,0
0.214147,0,0,0,0,1443879,0
0.215812,0,0,0,0,1293912,0
0.217373,0,0,0,0,1299705,0
0.218934,0,0,0,0,1295196,0
0.220495,0,0,0,0,1291647,0
0.222057,0,0,0,0,1446387,0
0.223662,0,0,0,0,1296675,0
0.225223,0,0,0,0,1295586,0
0.226797,0,0,0,0,1296138,0
0.228359,0,0,0,0,1294857,0
0.229921,0,0,0,0,1295793,0
0.231483,0,0,0,0,1296459,0
0.233043,0,0,0,0,1293285,0
0.234605,0,0,0,0,1295868,0
0.236165,0,0,0,0,1294404,0
0.237738,0,0,0,0,1311318,0
0.239306,0,0,0,0,1297368,0
0.240865,0,0,0,0,1294578,0
0.242428,0,0,0,0,1298223,0
0.243988,0,0,0,0,1296183,0
0.245548,0,0,0,0,1545720,0
0.247074,0,0,0,0,1258335,0
0.248613,0,0,0,0,1292898,0
0.250175,0,0,0,0,1293753,0
0.252035,0,0,0,0,1330173,0
0.253476,0,0,0,0,1271382,0
0.254927,0,0,0,0,1258281,0
0.256329,0,0,0,0,1214613,0
0.257727,0,0,0,0,1272030,0
0.259141,0,0,0,0,1257927,0
0.260539,0,0,0,0,1257588,0
0.262067,0,0,0,0,1306506,0
0.263631,0,0,0,0,1298457,0
0.265191,0,0,0,0,1295211,0
0.266752,0,0,0,0,1305060,0
0.268315,0,0,0,0,1301556,0
0.269893,0,0,0,0,1298037,0
0.271455,0,0,0,0,1300407,0
0.273015,0,0,0,0,1300359,0
0.274579,0,0,0,0,1301991,0
