elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.001267,0,0,0,0
0.002747,0,0,0,0
0.004150,0,0,0,0
0.005529,0,0,0,0
0.006905,0,0,0,0
0.008277,0,0,0,0
0.009688,0,0,0,0
0.011088,0,0,0,0
0.012483,0,0,0,0
0.014158,0,0,0,0
0.015690,0,0,0,0
0.017316,0,0,0,0
0.018798,0,0,0,0
0.020175,0,0,0,0
0.021511,0,0,0,0
0.022845,0,0,0,0
0.024178,0,0,0,0
0.025526,0,0,0,0
0.026878,0,0,0,0
0.028218,0,0,0,0
0.029576,0,0,0,0
0.030888,0,0,0,0
0.032195,0,0,0,0
0.033514,0,0,0,0
0.034820,0,0,0,0
0.036126,0,0,0,0
0.037453,0,0,0,0
0.038972,0,0,0,0
0.040376,0,0,0,0
0.041764,0,0,0,0
0.043156,0,0,0,0
0.044542,0,0,0,0
0.045969,0,0,0,0
0.047348,0,0,0,0
0.048891,0,0,0,0
0.050565,0,0,0,0
0.051971,0,0,0,0
0.053378,0,0,0,0
0.056218,0,0,0,0
0.057605,0,0,0,0
0.059003,0,0,693,0
0.060386,0,0,0,0
0.061911,0,0,0,0
0.063401,0,0,0,0
0.064752,0,0,0,0
0.066115,0,0,0,0
0.067500,0,0,0,0
0.068936,0,0,5880,0
0.073953,0,0,1887,0
0.075196,0,0,1740,0
0.076440,0,0,1776,0
0.077682,0,0,1767,0
0.078921,0,0,1869,0
0.080159,0,0,1887,0
0.081441,0,0,1776,0
0.082797,0,0,2064,0
0.084085,0,0,1869,0
0.085340,0,0,1767,0
0.086580,0,0,1767,0
0.087820,0,0,1851,0
0.089143,0,0,2109,0
0.090433,0,0,1776,0
0.091675,0,0,1731,0
0.092918,0,0,1860,0
0.094161,0,0,1887,0
0.095403,0,0,1776,0
0.096645,0,0,1749,0
0.097843,0,0,1776,0
0.099084,0,0,1869,0
0.100330,0,0,1851,0
0.101579,0,0,1776,0
0.102950,0,0,1980,0
0.104229,0,0,1998,0
0.105525,0,0,1776,0
0.106771,0,0,1887,0
0.108160,0,0,1371,0
0.109552,0,0,0,0
0.111023,0,0,0,0
0.112414,0,0,0,0
0.113854,0,0,0,0
0.115242,0,0,0,0
0.116627,0,0,0,0
0.118051,0,0,0,0
0.119455,0,0,0,0
0.120847,0,0,0,0
0.122259,0,0,0,0
0.123640,0,0,0,0
0.128899,0,0,0,0
0.130348,0,0,0,0
0.131703,0,0,0,0
0.133044,0,0,0,0
0.134387,0,0,0,0
0.135731,0,0,0,0
0.137069,0,0,0,0
0.138735,0,0,0,0
0.140124,0,0,0,0
0.141526,0,0,0,0
0.142907,0,0,0,0
0.144287,0,0,0,0
0.145703,0,0,0,0
0.147086,0,0,0,0
0.148591,0,0,0,0
0.150149,0,0,0,0
0.151703,0,0,0,0
0.153122,0,0,0,0
0.154686,0,0,0,0
0.156233,0,0,0,0
0.157782,0,0,0,0
0.159331,0,0,0,0
0.160881,0,0,0,0
0.162365,0,0,0,0
0.163882,0,0,0,0
0.165432,0,0,0,0
0.166981,0,0,0,0
0.168528,0,0,0,0
0.170080,0,0,0,0
0.171627,0,0,0,0
0.173190,0,0,0,0
0.174739,0,0,0,0
0.176286,0,0,0,0
0.177878,0,0,0,0
0.179426,0,0,0,0
0.180976,0,0,0,0
0.182524,0,0,0,0
0.184083,0,0,0,0
0.185677,0,0,0,0
0.187226,0,0,0,0
0.188856,0,0,0,0
0.190312,0,0,0,0
0.191702,0,0,0,0
0.193262,0,0,0,0
0.194825,0,0,0,0
0.196371,0,0,0,0
0.197919,0,0,0,0
0.199468,0,0,0,0
0.201018,0,0,0,0
0.202611,0,0,0,0
0.204157,0,0,0,0
0.205719,0,0,0,0
0.207268,0,0,0,0
0.208818,0,0,0,0
0.210367,0,0,0,0
0.211914,0,0,0,0
0.213463,0,0,0,0
0.215012,0,0,0,0
0.216572,0,0,0,0
0.218126,0,0,0,0
0.219673,0,0,0,0
0.221222,0,0,0,0
0.222770,0,0,0,0
0.224316,0,0,0,0
0.225908,0,0,0,0
0.227470,0,0,0,0
0.229018,0,0,0,0
0.230446,0,0,0,0
0.231969,0,0,0,0
0.233565,0,0,0,0
0.235117,0,0,0,0
0.236666,0,0,0,0
0.238234,0,0,0,0
0.239782,0,0,0,0
0.241378,0,0,0,0
0.242919,0,0,0,0
0.244458,0,0,0,0
0.245959,0,0,0,0
0.247480,0,0,0,0
0.249044,0,0,0,0
0.250640,0,0,0,0
0.252189,0,0,0,0
0.253740,0,0,0,0
0.255291,0,0,0,0
0.256844,0,0,0,0
0.258395,0,0,0,0
0.259956,0,0,0,0
0.261508,0,0,0,0
0.263059,0,0,0,0
0.264609,0,0,0,0
0.266187,0,0,0,0
0.267735,0,0,0,0
0.269287,0,0,0,0
0.270852,0,0,0,0
0.272401,0,0,0,0
0.273995,0,0,0,0
0.275546,0,0,0,0
0.277098,0,0,0,0
