elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.001098,0,0,0,0
0.002550,0,0,0,0
0.003968,0,0,0,0
0.005386,0,0,0,0
0.006940,0,0,0,0
0.008356,0,0,0,0
0.009895,0,0,0,0
0.011312,0,0,0,0
0.012725,0,0,0,0
0.014139,0,0,0,0
0.015555,0,0,0,0
0.017010,0,0,0,0
0.018474,0,0,0,0
0.019883,0,0,0,0
0.021251,0,0,0,0
0.022717,0,0,0,0
0.024089,0,0,0,0
0.025453,0,0,0,0
0.026903,0,0,0,0
0.028332,0,0,0,0
0.029720,0,0,0,0
0.031166,0,0,0,0
0.032559,0,0,0,0
0.034033,0,0,0,0
0.035411,0,0,0,0
0.036791,0,0,0,0
0.038232,0,0,0,0
0.039579,0,0,0,0
0.040924,0,0,0,0
0.042330,0,0,0,0
0.043678,0,0,0,0
0.045024,0,0,0,0
0.046371,0,0,0,0
0.047719,0,0,0,0
0.049067,0,0,0,0
0.050414,0,0,0,0
0.051760,0,0,0,0
0.053164,0,0,0,0
0.054508,0,0,0,0
0.055805,0,0,0,0
0.057206,0,0,0,0
0.058544,0,0,0,0
0.059849,0,0,0,0
0.061137,0,0,0,0
0.062476,0,0,0,0
0.063785,0,0,0,0
0.065075,0,0,0,0
0.066365,0,0,0,0
0.067655,0,0,0,0
0.069025,0,0,0,0
0.070413,0,0,0,0
0.071716,0,0,0,0
0.073006,0,0,0,0
0.074465,0,0,0,0
0.075830,0,0,0,0
0.077192,0,0,0,0
0.078538,0,0,0,0
0.079981,0,0,0,0
0.081372,0,0,0,0
0.082802,0,0,0,0
0.084150,0,0,0,0
0.085501,0,0,0,0
0.086861,0,0,0,0
0.088306,0,0,0,0
0.089746,0,0,0,0
0.091207,0,0,0,0
0.092592,0,0,0,0
0.093975,0,0,0,0
0.095361,0,0,0,0
0.096754,0,0,0,0
0.098137,0,0,0,0
0.099521,0,0,0,0
0.100761,0,0,0,0
0.102117,0,0,0,0
0.104571,0,0,0,0
0.107579,0,0,0,0
0.108820,0,0,0,0
0.110065,0,0,0,0
0.111308,0,0,0,0
0.112550,0,0,0,0
0.113796,0,0,0,0
0.115037,0,0,0,0
0.116280,0,0,0,0
0.117515,0,0,0,0
0.118848,0,0,0,0
0.120128,0,0,0,0
0.121449,0,0,0,0
0.122694,0,0,0,0
0.123935,0,0,0,0
0.125173,0,0,0,0
0.126415,0,0,0,0
0.127657,0,0,0,0
0.128897,0,0,0,0
0.130140,0,0,0,0
0.131382,0,0,0,0
0.132624,0,0,0,0
0.133998,0,0,0,0
0.135447,0,0,0,0
0.136725,0,0,0,0
0.137976,0,0,0,0
0.139367,0,0,0,0
0.140842,0,0,0,0
0.142506,0,0,0,0
0.143898,0,0,0,0
0.145628,0,0,0,0
0.147062,0,0,0,0
0.148461,0,0,0,0
0.149874,0,0,0,0
0.151312,0,0,0,0
0.152696,0,0,0,0
0.157922,0,0,0,0
0.159343,0,0,0,0
0.160734,0,0,0,0
0.165089,0,0,0,0
0.166610,0,0,0,0
0.168006,0,0,0,0
0.169354,0,0,0,0
0.170778,0,0,0,0
0.172118,0,0,0,0
0.173456,0,0,0,0
0.174798,0,0,0,0
0.176136,0,0,0,0
0.177472,0,0,0,0
0.178814,0,0,0,0
0.180151,0,0,0,0
0.181499,0,0,0,0
0.182860,0,0,0,0
0.184250,0,0,0,0
0.185636,0,0,0,0
0.187024,0,0,0,0
0.188410,0,0,0,0
0.189797,0,0,0,0
0.191309,0,0,0,0
0.192747,0,0,0,0
0.194145,0,0,0,0
0.195534,0,0,0,0
0.196920,0,0,0,0
0.198351,0,0,0,0
0.199738,0,0,0,0
0.201123,0,0,0,0
0.202637,0,0,0,0
0.204202,0,0,0,0
0.205754,0,0,0,0
0.207305,0,0,0,0
0.208854,0,0,0,0
0.210407,0,0,0,0
0.211950,0,0,0,0
0.213488,0,0,0,0
0.214920,0,0,0,0
0.216314,0,0,0,0
0.217704,0,0,0,0
0.219090,0,0,0,0
0.220475,0,0,0,0
0.221862,0,0,0,0
0.223246,0,0,0,0
0.224757,0,0,0,0
0.226322,0,0,0,0
0.227874,0,0,0,0
0.229420,0,0,0,0
0.230973,0,0,0,0
0.232520,0,0,0,0
0.234070,0,0,0,0
0.235618,0,0,0,0
0.237180,0,0,0,0
0.238728,0,0,0,0
0.240277,0,0,0,0
0.241827,0,0,0,0
0.243376,0,0,0,0
0.244923,0,0,0,0
0.246517,0,0,0,0
0.248080,0,0,0,0
0.249628,0,0,0,0
0.251039,0,0,0,0
0.252430,0,0,0,0
0.253945,0,0,0,0
0.255495,0,0,0,0
0.257042,0,0,0,0
0.258722,0,0,0,0
0.260273,0,0,0,0
0.261896,0,0,0,0
0.263386,0,0,0,0
0.264782,0,0,0,0
0.266299,0,0,0,0
0.267850,0,0,0,0
0.269409,0,0,0,0
0.270864,0,0,0,0
0.272412,0,0,0,0
0.273962,0,0,0,0
0.275512,0,0,0,0
0.277060,0,0,0,0
0.278654,0,0,0,0
0.280218,0,0,0,0
0.281770,0,0,0,0
0.283321,0,0,0,0
0.284869,0,0,0,0
0.286420,0,0,0,0
0.287969,0,0,0,0
0.289518,0,0,0,0
0.291085,0,0,0,0
0.292633,0,0,0,0
0.294227,0,0,0,0
0.295777,0,0,0,0
0.297325,0,0,0,0
0.298950,0,0,0,0
0.300500,0,0,0,0
0.302064,0,0,0,0
0.303616,0,0,0,0
0.305164,0,0,0,0
0.306714,0,0,0,0
0.308265,0,0,0,0
0.309816,0,0,0,0
0.311411,0,0,0,0
0.312974,0,0,0,0
0.314527,0,0,0,0
0.316077,0,0,0,0
0.317625,0,0,0,0
0.319242,0,0,0,0
0.320719,0,0,0,0
0.322123,0,0,0,0
0.323653,0,0,0,0
0.325203,0,0,0,0
0.326799,0,0,0,0
0.328352,0,0,0,0
0.329905,0,0,0,0
0.331457,0,0,0,0
