elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.001097,0,0,0,0
0.002544,0,0,0,0
0.004013,0,0,0,0
0.005430,0,0,0,0
0.006845,0,0,0,0
0.008260,0,0,0,0
0.009675,0,0,0,0
0.011168,0,0,0,0
0.012561,0,0,0,0
0.013952,0,0,0,0
0.015344,0,0,0,0
0.016898,0,0,0,0
0.018266,0,0,0,0
0.019714,0,0,0,0
0.021130,0,0,0,0
0.022650,0,0,0,0
0.023996,0,0,0,0
0.025339,0,0,0,0
0.026811,0,0,0,0
0.028119,0,0,0,0
0.029407,0,0,0,0
0.030694,0,0,0,0
0.031955,0,0,0,0
0.033319,0,0,0,0
0.034733,0,0,0,0
0.035989,0,0,0,0
0.037353,0,0,0,0
0.038630,0,0,0,0
0.039993,0,0,0,0
0.041328,0,0,0,0
0.042682,0,0,0,0
0.044684,0,0,0,0
0.046085,0,0,0,0
0.047689,0,0,0,0
0.049988,0,0,0,0
0.051651,0,0,0,0
0.053112,0,0,0,0
0.054469,0,0,0,0
0.055812,0,0,0,0
0.057144,0,0,0,0
0.058482,0,0,0,0
0.059883,0,0,0,0
0.061542,273,273,273,273
0.063281,0,0,0,0
0.064674,0,0,0,0
0.066058,0,0,0,0
0.067593,0,0,0,0
0.068989,0,0,0,0
0.070379,0,0,0,0
0.071808,0,0,0,0
0.073200,756,756,756,756
0.074478,504,504,504,504
0.075717,504,504,504,504
0.076955,567,567,567,567
0.078193,504,504,504,504
0.079432,504,504,504,504
0.080672,504,504,504,504
0.081911,504,504,504,504
0.084259,1008,1008,1008,1008
0.085505,504,504,504,504
0.086751,504,504,504,504
0.087997,567,567,567,567
0.089240,504,504,504,504
0.090486,504,504,504,504
0.091767,567,567,567,567
0.093010,504,504,504,504
0.094253,504,504,504,504
0.095495,504,504,504,504
0.096733,504,504,567,567
0.097972,567,567,504,504
0.099214,504,504,504,504
0.100584,567,567,567,567
0.101990,630,630,630,630
0.103272,504,504,504,504
0.104520,504,504,504,504
0.105763,504,504,504,567
0.107051,567,567,567,504
0.108294,504,504,504,504
0.109535,504,504,567,567
0.110779,567,567,504,504
0.112023,168,168,168,168
0.113411,0,0,0,0
0.114855,0,0,0,0
0.116678,0,0,0,0
0.118072,0,0,0,0
0.119608,0,0,0,0
0.120993,0,0,0,0
0.122485,0,0,0,0
0.123956,0,0,0,0
0.125334,0,0,0,0
0.126761,0,0,0,0
0.130220,0,0,0,0
0.131705,0,0,0,0
0.133104,0,0,0,0
0.134616,0,0,0,0
0.136010,0,0,0,0
0.137352,0,0,0,0
0.138690,0,0,0,0
0.141004,0,0,0,0
0.142510,0,0,0,0
0.143981,0,0,0,0
0.145362,0,0,0,0
0.146777,0,0,0,0
