elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.001185,0,0,0,0
0.002726,0,0,0,0
0.004144,0,0,0,0
0.005561,0,0,0,0
0.006976,0,0,0,0
0.008390,0,0,0,0
0.009816,0,0,0,0
0.011231,0,0,0,0
0.012646,0,0,0,0
0.014160,0,0,0,0
0.015577,0,0,0,0
0.017043,0,0,0,0
0.018554,0,0,0,0
0.019946,0,0,0,0
0.021299,0,0,0,0
0.022703,0,0,0,0
0.024098,0,0,0,0
0.025490,0,0,0,0
0.026841,0,0,0,0
0.028187,0,0,0,0
0.029584,0,0,0,0
0.030943,0,0,0,0
0.032288,0,0,0,0
0.033684,0,0,0,0
0.034979,0,0,0,0
0.036268,0,0,0,0
0.037608,0,0,0,0
0.038900,0,0,0,0
0.040240,0,0,0,0
0.041585,0,0,0,0
0.042876,0,0,0,0
0.044166,0,0,0,0
0.045503,0,0,0,0
0.046760,0,0,0,0
0.048017,0,0,0,0
0.049274,0,0,0,0
0.050547,0,0,0,0
0.051860,0,0,0,0
0.053247,0,0,0,0
0.054590,0,0,0,0
0.055932,0,0,0,0
0.057274,0,0,0,0
0.058616,0,0,0,0
0.059957,0,0,0,0
0.061497,0,0,0,0
0.062937,0,0,0,0
0.064294,0,0,0,0
0.065664,0,0,0,0
0.067092,0,0,0,0
0.068530,0,0,0,0
0.070453,0,0,0,0
0.071844,0,0,0,0
0.073244,0,0,0,0
0.074632,0,0,0,0
0.076020,0,0,0,0
0.078804,0,0,0,0
0.080190,0,0,0,0
0.081574,0,0,0,0
0.082815,0,0,0,0
0.084054,0,0,0,0
0.087078,0,0,0,0
0.088318,0,0,0,0
0.090097,0,0,0,0
0.091376,0,0,0,0
0.092646,0,0,0,0
0.093885,0,0,0,0
0.095124,0,0,0,0
0.096490,0,0,0,0
0.097734,0,0,0,0
0.098977,0,0,0,0
0.100348,0,0,0,0
0.101631,0,0,0,0
0.102880,0,0,0,0
0.104125,0,0,0,0
0.105370,0,0,0,0
0.106612,0,0,0,0
0.107857,0,0,0,0
0.109103,0,0,0,0
0.110346,0,0,0,0
0.111588,0,0,0,0
0.112829,0,0,0,0
0.114117,0,0,0,0
0.115359,0,0,0,0
0.116600,0,0,0,0
0.117844,0,0,0,0
0.119086,0,0,0,0
0.120391,0,0,0,0
0.121781,0,0,0,0
0.123666,0,0,0,0
0.125146,0,0,0,0
0.126506,0,0,0,0
0.127894,0,0,0,0
0.129281,0,0,0,0
0.130722,0,0,0,0
0.132118,0,0,0,0
0.133502,0,0,0,0
0.134881,0,0,0,0
0.136260,0,0,0,0
0.140512,0,0,0,0
0.141915,0,0,0,0
0.143311,0,0,0,0
0.144699,0,0,0,0
0.146319,0,0,0,0
0.147753,0,0,0,0
0.149152,0,0,0,0
0.150507,0,0,0,0
0.151848,0,0,0,0
0.153187,0,0,0,0
0.154538,0,0,0,0
0.155879,0,0,0,0
0.157214,0,0,0,0
0.158551,0,0,0,0
0.159888,0,0,0,0
0.161227,0,0,0,0
0.162756,0,0,0,0
0.164305,0,0,0,0
0.165868,0,0,0,0
0.167877,0,0,0,0
0.169428,0,0,0,0
0.170978,0,0,0,0
0.172526,0,0,0,0
0.174077,0,0,0,0
0.175627,0,0,0,0
0.177069,0,0,0,0
0.178633,0,0,0,0
0.180182,0,0,0,0
0.181733,0,0,0,0
0.183284,0,0,0,0
0.184833,0,0,0,0
0.186388,0,0,0,0
0.187950,0,0,0,0
0.189502,0,0,0,0
0.191042,0,0,0,0
0.192583,0,0,0,0
0.194003,0,0,0,0
0.195398,0,0,0,0
0.196785,0,0,0,0
0.198185,0,0,0,0
0.199571,0,0,0,0
0.200960,0,0,0,0
0.202346,0,0,0,0
0.203860,0,0,0,0
0.205413,0,0,0,0
0.206962,0,0,0,0
0.208524,0,0,0,0
0.210119,0,0,0,0
0.211671,0,0,0,0
0.213223,0,0,0,0
0.214774,0,0,0,0
0.216322,0,0,0,0
0.217873,0,0,0,0
0.219437,0,0,0,0
0.220990,0,0,0,0
0.222542,0,0,0,0
0.224090,0,0,0,0
0.225686,0,0,0,0
0.227236,0,0,0,0
0.228784,0,0,0,0
0.230361,0,0,0,0
0.231910,0,0,0,0
0.233462,0,0,0,0
0.235012,0,0,0,0
