elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.001126,0,0,0,0
0.002643,0,0,0,0
0.004127,0,0,0,0
0.005610,0,0,0,0
0.007108,0,0,0,0
0.008594,0,0,0,0
0.010101,0,0,0,0
0.011580,0,0,0,0
0.013058,0,0,0,0
0.014620,0,0,0,0
0.016079,0,0,0,0
0.017566,0,0,0,0
0.019136,0,0,0,0
0.020591,0,0,0,0
0.022023,0,0,0,0
0.023489,0,0,0,0
0.024901,0,0,0,0
0.026311,0,0,0,0
0.027724,0,0,0,0
0.029134,0,0,0,0
0.030606,0,0,0,0
0.031995,0,0,0,0
0.033351,0,0,0,0
0.034756,0,0,0,0
0.036116,0,0,0,0
0.037473,0,0,0,0
0.038909,0,0,0,0
0.040272,0,0,0,0
0.041635,0,0,0,0
0.043001,0,0,0,0
0.044363,0,0,0,0
0.045727,0,0,0,0
0.047090,0,0,0,0
0.048453,0,0,0,0
0.049837,0,0,0,0
0.051176,0,0,0,0
0.052526,0,0,0,0
0.053938,0,0,0,0
0.055289,0,0,0,0
0.056630,0,0,0,0
0.057989,0,0,0,0
0.059515,0,0,0,0
0.060898,0,0,0,0
0.062293,0,0,0,0
0.063633,0,0,0,0
0.064985,0,0,0,0
0.066372,0,0,0,0
0.067709,0,0,0,0
0.069145,0,0,0,0
0.070564,0,0,0,0
0.071976,0,0,0,0
0.073387,0,0,0,0
0.074843,0,0,0,0
0.076243,0,0,0,0
0.077631,0,0,0,0
0.079158,0,0,0,0
0.080579,0,0,0,0
0.081996,0,0,0,0
0.083417,0,0,0,0
0.084836,0,0,0,0
0.086084,0,0,0,0
0.087323,0,0,0,0
0.088562,0,0,0,0
0.089822,0,0,0,0
0.091819,0,0,0,0
0.093058,0,0,0,0
0.094345,0,0,0,0
0.095595,0,0,0,0
0.096838,0,0,0,0
0.098084,0,0,0,0
0.099327,0,0,0,0
0.100571,0,0,0,0
0.101815,0,0,0,0
0.103058,0,0,0,0
0.104301,0,0,0,0
0.105543,0,0,0,0
0.106785,0,0,0,0
0.108027,0,0,0,0
0.109396,0,0,0,0
0.110724,0,0,0,0
0.111974,0,0,0,0
0.113217,0,0,0,0
0.114463,0,0,0,0
0.115998,0,0,0,0
0.117241,0,0,0,0
0.118521,0,0,0,0
0.119763,0,0,0,0
0.121005,0,0,0,0
0.122249,0,0,0,0
0.123645,0,0,0,0
0.124915,0,0,0,0
0.126341,0,0,0,0
0.127780,0,0,0,0
0.129178,0,0,0,0
0.130558,0,0,0,0
0.131938,0,0,0,0
0.133316,0,0,0,0
0.134758,0,0,0,0
0.136114,0,0,0,0
0.137469,0,0,0,0
0.138861,0,0,0,0
0.140216,0,0,0,0
0.141571,0,0,0,0
0.142988,0,0,0,0
0.144329,0,0,0,0
0.145675,0,0,0,0
0.147112,0,0,0,0
0.148453,0,0,0,0
0.149793,0,0,0,0
0.151162,0,0,0,0
0.152573,0,0,0,0
0.154013,0,0,0,0
0.155424,0,0,0,0
0.156730,0,0,0,0
0.158158,0,0,0,0
0.159573,0,0,0,0
0.160988,0,0,0,0
0.162403,0,0,0,0
0.163817,0,0,0,0
0.165124,0,0,0,0
0.166558,0,0,0,0
0.168085,0,0,0,0
0.169633,0,0,0,0
0.171131,0,0,0,0
0.172642,0,0,0,0
0.174188,0,0,0,0
0.175606,0,0,0,0
0.176988,0,0,0,0
0.178380,0,0,0,0
0.179764,0,0,0,0
0.181145,0,0,0,0
0.182561,0,0,0,0
0.184068,0,0,0,0
0.185607,0,0,0,0
0.187115,0,0,0,0
0.188521,0,0,0,0
0.189912,0,0,0,0
0.191341,0,0,0,0
0.192726,0,0,0,0
0.194114,0,0,0,0
0.195624,0,0,0,0
0.197170,0,0,0,0
0.198776,0,0,0,0
0.200326,0,0,0,0
0.201889,0,0,0,0
0.203310,0,0,0,0
0.204698,0,0,0,0
0.206083,0,0,0,0
0.207467,0,0,0,0
0.208868,0,0,0,0
0.210257,0,0,0,0
0.211638,0,0,0,0
0.213019,0,0,0,0
0.214400,0,0,0,0
0.215782,0,0,0,0
0.217338,0,0,0,0
0.218758,0,0,0,0
0.220288,0,0,0,0
0.221838,0,0,0,0
0.223429,0,0,0,0
0.224855,0,0,0,0
0.226253,0,0,0,0
0.227773,0,0,0,0
0.229320,0,0,0,0
0.230882,0,0,0,0
0.232431,0,0,0,0
0.233982,0,0,0,0
0.235531,0,0,0,0
0.237079,0,0,0,0
0.238672,0,0,0,0
0.240222,0,0,0,0
0.241787,0,0,0,0
0.243336,0,0,0,0
0.244884,0,0,0,0
0.246478,0,0,0,0
0.248028,0,0,0,0
0.249576,0,0,0,0
0.251129,0,0,0,0
0.252566,0,0,0,0
0.254088,0,0,0,0
0.255638,0,0,0,0
0.257185,0,0,0,0
0.258735,0,0,0,0
0.260284,0,0,0,0
0.261835,0,0,0,0
0.263443,0,0,0,0
0.264991,0,0,0,0
0.266542,0,0,0,0
0.268092,0,0,0,0
0.269639,0,0,0,0
0.272227,0,0,0,0
0.273692,0,0,0,0
