elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.001155,0,0,0,0,0,0,0,0,0,0,0,0
0.002739,0,0,0,0,0,0,0,0,0,0,0,0
0.004215,0,0,0,0,0,0,0,0,0,0,0,0
0.005708,0,0,0,0,0,0,0,0,0,0,0,0
0.007197,0,0,0,0,0,0,0,0,0,0,0,0
0.008735,0,0,0,0,0,0,0,0,0,0,0,0
0.010291,0,0,0,0,0,0,0,0,0,0,0,0
0.011799,0,0,0,0,0,0,0,0,0,0,0,0
0.013324,0,0,0,0,0,0,0,0,0,0,0,0
0.014879,0,0,0,0,0,0,0,0,0,0,0,0
0.016384,0,0,0,0,0,0,0,0,0,0,0,0
0.017882,0,0,0,0,0,0,0,0,0,0,0,0
0.019328,0,0,0,0,0,0,0,0,0,0,0,0
0.020846,0,0,0,0,0,0,0,0,0,0,0,0
0.022421,0,0,0,0,0,0,0,0,0,0,0,0
0.023882,0,0,0,0,0,0,0,0,0,0,0,0
0.025413,0,0,0,0,0,0,0,0,0,0,0,0
0.026869,0,0,0,0,0,0,0,0,0,0,0,0
0.028318,0,0,0,0,0,0,0,0,0,0,0,0
0.029789,0,0,0,0,0,0,0,0,0,0,0,0
0.031300,0,0,0,0,0,0,0,0,0,0,0,0
0.032748,0,0,0,0,0,0,0,0,0,0,0,0
0.034194,0,0,0,0,0,0,0,0,0,0,0,0
0.035648,0,0,0,0,0,0,0,0,0,0,0,0
0.037140,0,0,0,0,0,0,0,0,0,0,0,0
0.038581,0,0,0,0,0,0,0,0,0,0,0,0
0.040021,0,0,0,0,0,0,0,0,0,0,0,0
0.041593,0,0,0,0,0,0,0,0,0,0,0,0
0.043010,0,0,0,0,0,0,0,0,0,0,0,0
0.044425,0,0,0,0,0,0,0,0,0,0,0,0
0.045849,0,0,0,0,0,0,0,0,0,0,0,0
0.047265,0,0,0,0,0,0,0,0,0,0,0,0
0.048736,0,0,0,0,0,0,0,0,0,0,0,0
0.050211,0,0,0,0,0,0,0,0,0,0,0,0
0.051695,0,0,0,0,0,0,0,0,0,0,0,0
0.053251,0,0,0,0,0,0,0,0,0,0,0,0
0.054790,0,0,0,0,0,0,0,0,0,0,0,0
0.056330,0,0,0,0,0,0,0,0,0,0,0,0
0.057911,0,0,0,0,0,0,0,0,0,0,0,0
0.059431,0,0,0,0,0,0,0,0,0,0,0,0
0.060944,0,0,0,0,0,0,0,0,0,0,0,0
0.062468,0,0,0,0,0,0,0,0,0,0,0,0
0.063980,0,0,0,0,0,0,0,0,0,0,0,0
0.065661,0,0,0,0,0,0,0,0,0,0,0,0
0.067204,0,0,0,0,0,0,0,0,0,0,0,0
0.068717,0,0,0,0,0,0,0,0,0,0,0,0
0.070231,0,0,0,0,0,0,0,0,0,0,0,0
0.071745,0,0,0,0,0,0,0,0,0,0,0,0
0.073258,0,0,0,0,0,0,0,0,0,0,0,0
0.074764,0,0,0,0,0,0,0,0,0,0,0,0
0.076231,0,0,0,0,0,0,0,0,0,0,0,0
0.077744,0,0,0,0,0,0,0,0,0,0,0,0
0.079150,0,0,0,0,0,0,0,0,0,0,0,0
0.080663,0,0,0,0,0,0,0,0,0,0,0,0
0.082125,0,0,0,0,0,0,0,0,0,0,0,0
0.083589,0,0,0,0,0,0,0,0,0,0,0,0
0.085099,0,0,0,0,0,0,0,0,0,0,0,0
0.086621,0,0,0,0,0,0,0,0,0,0,0,0
0.088138,0,0,0,0,0,0,0,0,0,0,0,0
0.089674,0,0,0,0,0,0,0,0,0,0,0,0
0.091142,0,0,0,0,0,0,0,0,0,0,0,0
0.092614,0,0,0,0,0,0,0,0,0,0,0,0
0.094047,0,0,0,0,0,0,0,0,0,0,0,0
0.095455,0,0,0,0,0,0,0,0,0,0,0,0
0.096934,0,0,0,0,0,0,0,0,0,0,0,0
0.098330,0,0,0,0,0,0,0,0,0,0,0,0
0.099694,0,0,0,0,0,0,0,0,0,0,0,0
0.101070,0,0,0,0,0,0,0,0,0,0,0,0
0.102303,0,0,0,0,0,0,0,0,0,0,0,0
0.103658,0,0,0,0,0,0,0,0,0,0,0,0
0.105144,0,0,0,0,0,0,0,0,0,0,0,0
0.106535,0,0,0,0,0,0,0,0,0,0,0,0
0.107924,0,0,0,0,0,0,0,0,0,0,0,0
0.109365,0,0,0,0,0,0,0,0,0,0,0,0
0.110749,0,0,0,0,0,0,0,0,0,0,0,0
0.112133,0,0,0,0,0,0,0,0,0,0,0,0
0.113815,0,0,0,0,0,0,0,0,0,0,0,0
0.115052,0,0,0,0,0,0,0,0,0,0,0,0
0.116290,0,0,0,0,0,0,0,0,0,0,0,0
0.117529,0,0,0,0,0,0,0,0,0,0,0,0
0.118763,0,0,0,0,0,0,0,0,0,0,0,0
0.119996,0,0,0,0,0,0,0,0,0,0,0,0
0.121275,0,0,0,0,0,0,0,0,0,0,0,0
0.122509,0,0,0,0,0,0,0,0,0,0,0,0
0.123759,0,0,0,0,0,0,0,0,0,0,0,0
0.124996,0,0,0,0,0,0,0,0,0,0,0,0
0.126232,0,0,0,0,0,0,0,0,0,0,0,0
0.127468,0,0,0,0,0,0,0,0,0,0,0,0
0.128707,0,0,0,0,0,0,0,0,0,0,0,0
0.129943,0,0,0,0,0,0,0,0,0,0,0,0
0.131179,0,0,0,0,0,0,0,0,0,0,0,0
0.132417,0,0,0,0,0,0,0,0,0,0,0,0
0.133652,0,0,0,0,0,0,0,0,0,0,0,0
0.134889,0,0,0,0,0,0,0,0,0,0,0,0
0.136126,0,0,0,0,0,0,0,0,0,0,0,0
0.137417,0,0,0,0,0,0,0,0,0,0,0,0
0.138654,0,0,0,0,0,0,0,0,0,0,0,0
0.139891,0,0,0,0,0,0,0,0,0,0,0,0
0.141130,0,0,0,0,0,0,0,0,0,0,0,0
0.142366,0,0,0,0,0,0,0,0,0,0,0,0
0.143603,0,0,0,0,0,0,0,0,0,0,0,0
0.144841,0,0,0,0,0,0,0,0,0,0,0,0
0.146078,0,0,0,0,0,0,0,0,0,0,0,0
0.147314,0,0,0,0,0,0,0,0,0,0,0,0
0.148551,0,0,0,0,0,0,0,0,0,0,0,0
0.149788,0,0,0,0,0,0,0,0,0,0,0,0
