elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.001100,0,0,0,0,0,0,0,0,0,0,0
0.002787,0,0,0,0,0,0,0,0,0,0,0
0.004383,0,0,0,0,0,0,0,0,0,0,0
0.005975,0,0,0,0,0,0,0,0,0,0,0
0.007677,0,0,0,0,0,0,0,0,0,0,0
0.009321,0,0,0,0,0,0,0,0,0,0,0
0.010965,0,0,0,0,0,0,0,0,0,0,0
0.012534,0,0,0,0,0,0,0,0,0,0,0
0.014086,0,0,0,0,0,0,0,0,0,0,0
0.015634,0,0,0,0,0,0,0,0,0,0,0
0.017184,0,0,0,0,0,0,0,0,0,0,0
0.018873,0,0,0,0,0,0,0,0,0,0,0
0.020452,0,0,0,0,0,0,0,0,0,0,0
0.022016,0,0,0,0,0,0,0,0,0,0,0
0.023579,0,0,0,0,0,0,0,0,0,0,0
0.025140,0,0,0,0,0,0,0,0,0,0,0
0.026806,0,0,0,0,0,0,0,0,0,0,0
0.028367,0,0,0,0,0,0,0,0,0,0,0
0.029928,0,0,0,0,0,0,0,0,0,0,0
0.031499,0,0,0,0,0,0,0,0,0,0,0
0.033062,0,0,0,0,0,0,0,0,0,0,0
0.034775,0,0,0,0,0,0,0,0,0,0,0
0.036282,0,0,0,0,0,0,0,0,0,0,0
0.037786,0,0,0,0,0,0,0,0,0,0,0
0.039406,0,0,0,0,0,0,0,0,0,0,0
0.040911,0,0,0,0,0,0,0,0,0,0,0
0.042677,0,0,0,0,0,0,0,0,0,0,0
0.044181,0,0,0,0,0,0,0,0,0,0,0
0.045684,0,0,0,0,0,0,0,0,0,0,0
0.047307,0,0,0,0,0,0,0,0,0,0,0
0.048811,0,0,0,0,0,0,0,0,0,0,0
0.050630,0,0,0,0,0,0,0,0,0,0,0
0.052072,0,0,0,0,0,0,0,0,0,0,0
0.053526,0,0,0,0,0,0,0,0,0,0,0
0.054904,0,0,0,0,0,0,0,0,0,0,0
0.056283,0,0,0,0,0,0,0,0,0,0,0
0.057738,0,0,0,0,0,0,0,0,0,0,0
0.059099,0,0,0,0,0,0,0,0,0,0,0
0.060459,0,0,0,0,0,0,0,0,0,0,0
0.061795,0,0,0,0,0,0,0,0,0,0,0
0.063130,0,0,0,0,0,0,0,0,0,0,0
0.064480,0,0,0,0,0,0,0,0,0,0,0
0.065864,0,0,0,0,0,0,0,0,0,0,0
0.067250,0,0,0,0,0,0,0,0,0,0,0
0.068630,0,0,0,0,0,0,0,0,0,0,0
0.070023,0,0,0,0,0,0,0,0,0,0,0
0.071271,0,0,0,0,0,0,0,0,0,0,0
0.072651,0,0,0,0,0,0,0,0,0,0,0
0.074090,0,0,0,0,0,0,0,0,0,0,0
0.075540,0,0,0,0,0,0,0,0,0,0,0
0.076970,0,0,0,0,0,0,0,0,0,0,0
0.078464,0,0,0,0,0,0,0,0,0,0,0
0.079893,0,0,0,0,0,0,0,0,0,0,0
0.081324,0,0,0,0,0,0,0,0,0,0,0
0.082661,0,0,0,0,0,0,0,0,0,0,0
0.084090,0,0,0,0,0,0,0,0,0,0,0
0.085379,0,0,0,0,0,0,0,0,0,0,0
0.086619,0,0,0,0,0,0,0,0,0,0,0
0.087853,0,0,0,0,0,0,0,0,0,0,0
0.089087,0,0,0,0,0,0,0,0,0,0,0
0.090393,0,0,0,0,0,0,0,0,0,0,0
0.091627,0,0,0,0,0,0,0,0,0,0,0
0.092860,0,0,0,0,0,0,0,0,0,0,0
0.094094,0,0,0,0,0,0,0,0,0,0,0
0.095329,0,0,0,0,0,0,0,0,0,0,0
0.096561,0,0,0,0,0,0,0,0,0,0,0
0.097847,0,0,0,0,0,0,0,0,0,0,0
0.098953,0,0,0,0,0,0,0,0,0,0,0
0.100186,0,0,0,0,0,0,0,0,0,0,0
0.101421,0,0,0,0,0,0,0,0,0,0,0
0.102654,0,0,0,0,0,0,0,0,0,0,0
0.103887,0,0,0,0,0,0,0,0,0,0,0
0.105120,0,0,0,0,0,0,0,0,0,0,0
0.106356,0,0,0,0,0,0,0,0,0,0,0
0.107588,0,0,0,0,0,0,0,0,0,0,0
0.108821,0,0,0,0,0,0,0,0,0,0,0
0.110055,0,0,0,0,0,0,0,0,0,0,0
0.111288,0,0,0,0,0,0,0,0,0,0,0
0.112520,0,0,0,0,0,0,0,0,0,0,0
0.113790,0,0,0,0,0,0,0,0,0,0,0
0.115023,0,0,0,0,0,0,0,0,0,0,0
0.116255,0,0,0,0,0,0,0,0,0,0,0
0.117490,0,0,0,0,0,0,0,0,0,0,0
0.118723,0,0,0,0,0,0,0,0,0,0,0
0.119954,0,0,0,0,0,0,0,0,0,0,0
0.121349,0,0,0,0,0,0,0,0,0,0,0
