elapsed_s,SP_WAVE_LONG_SYNC_CYCLES,SP_WAVE_SHORT_SYNC_CYCLES,SP_WAVE_JOIN_CYCLES,SP_LM_LOAD_INSTRUCTIONS,SP_LM_STORE_INSTRUCTIONS,SP_LM_ATOMICS,SP_GM_LOAD_INSTRUCTIONS,SP_GM_STORE_INSTRUCTIONS,SP_GM_ATOMICS,SP_VS_STAGE_TEX_INSTRUCTIONS,SP_VS_STAGE_EFU_INSTRUCTIONS,SP_VS_STAGE_FULL_ALU_INSTRUCTIONS,SP_VS_STAGE_HALF_ALU_INSTRUCTIONS,SP_FS_STAGE_TEX_INSTRUCTIONS,SP_FS_STAGE_CFLOW_INSTRUCTIONS,SP_FS_STAGE_EFU_INSTRUCTIONS,SP_FS_STAGE_FULL_ALU_INSTRUCTIONS,SP_FS_STAGE_HALF_ALU_INSTRUCTIONS,SP_FS_STAGE_BARY_INSTRUCTIONS,SP_VS_INSTRUCTIONS,SP_FS_INSTRUCTIONS,SP_ADDR_LOCK_COUNT,SP_UCHE_READ_TRANS,SP_UCHE_WRITE_TRANS
0.001446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.045877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.047401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.053745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.058900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.062275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.065832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.067584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.072633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.074410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.077607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.082001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.086118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.091764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.096469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.098077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105952,98733,48076,5526,41226,52104,0,0,30720,0,0,0,0,0,63872,776732,76032,2464704,0,0,0,0,0,0,50696
0.107688,12806100,8340833,489226,3138598,2850344,0,0,1140736,0,0,0,0,0,1130368,13406644,1271808,36777020,0,0,0,0,0,0,566776
0.109040,12911737,8525342,501896,3203484,2910904,0,0,1161216,0,0,0,0,0,1165056,13842480,1306368,37748180,0,0,0,0,0,0,580608
0.110345,12394944,8189321,482977,3093280,2809824,0,0,1121840,0,0,0,0,0,1130752,13419960,1276416,36842720,0,0,0,0,0,0,566634
0.111648,12347806,8344588,490237,3135396,2845308,0,0,1133008,0,0,0,0,0,1124600,13413339,1269200,36711136,0,0,0,0,0,0,562838
0.113002,12813309,8553764,503232,3219360,2922348,0,0,1171456,0,0,0,0,0,1167112,13835233,1308976,37951728,0,0,0,0,0,0,583680
0.114304,12228607,8253828,486044,3117388,2828568,0,0,1130038,0,0,0,0,0,1140736,13525668,1283328,37008918,0,0,0,0,0,0,562240
0.115608,12291729,8311040,487269,3111442,2828834,0,0,1130954,0,0,0,0,0,1130496,13456586,1271808,36865354,0,0,0,0,0,0,573376
0.116911,12256878,8307218,491306,3141242,2858307,0,0,1140736,0,0,0,0,0,1130496,13402326,1271808,36734992,0,0,0,0,0,0,565248
0.118219,12249349,8284495,487376,3120532,2823314,0,0,1130496,0,0,0,0,0,1140736,13567640,1283328,37135056,0,0,0,0,0,0,565248
0.119526,12344411,8360019,489590,3126116,2836767,0,0,1130496,0,0,0,0,0,1130592,13447500,1271808,36805024,0,0,0,0,0,0,570368
0.120829,12140137,8316138,490958,3147176,2861508,0,0,1140736,0,0,0,0,0,1128096,13426576,1271808,36791552,0,0,0,0,0,0,565968
0.122132,12129835,8281317,488297,3125294,2834352,0,0,1130496,0,0,0,0,0,1146880,13583636,1289408,37130117,0,0,0,0,0,0,567600
0.123436,12281872,8352385,489578,3125802,2830596,0,0,1133098,0,0,0,0,0,1132800,13443528,1272640,36901227,0,0,0,0,0,0,570368
0.124739,12129378,8300807,489593,3145936,2864298,0,0,1144278,0,0,0,0,0,1128192,13421464,1271808,36756304,0,0,0,0,0,0,565248
0.126043,12173538,8295118,489484,3121286,2835392,0,0,1130496,0,0,0,0,0,1145440,13611488,1286544,37188016,0,0,0,0,0,0,568320
0.127347,12385088,8269998,486415,3123548,2825658,0,0,1118208,0,0,0,0,0,1121952,13305384,1261680,36511488,0,0,0,0,0,0,564224
0.128652,12095059,8337972,491018,3136494,2857326,0,0,1153024,0,0,0,0,0,1140480,13548632,1278720,36982959,0,0,0,0,0,0,568320
0.130001,12542592,8618152,508311,3253248,2955232,0,0,1179648,0,0,0,0,0,1179648,14012928,1327552,38436161,0,0,0,0,0,0,592896
0.131312,12158599,8378136,493102,3151650,2861568,0,0,1142784,0,0,0,0,0,1149536,13681280,1296704,37481440,0,0,0,0,0,0,568320
0.132617,12197134,8325069,489047,3134574,2845032,0,0,1136640,0,0,0,0,0,1139648,13523792,1284224,37009912,0,0,0,0,0,0,573440
0.133921,12143212,8374484,494918,3162880,2871192,0,0,1146880,0,0,0,0,0,1133280,13469100,1273216,36960072,0,0,0,0,0,0,568320
0.135223,12070113,8299031,489003,3134640,2845078,0,0,1136640,0,0,0,0,0,1146880,13592404,1290240,37198287,0,0,0,0,0,0,568320
0.136528,12132558,8315507,489893,3134640,2846082,0,0,1136640,0,0,0,0,0,1136640,13533156,1278720,37070097,0,0,0,0,0,0,573440
0.137831,12207061,8385908,494257,3156344,2864811,0,0,1141850,0,0,0,0,0,1136640,13473004,1278720,36934768,0,0,0,0,0,0,568320
0.139134,12042628,8319211,489983,3141176,2852905,0,0,1141670,0,0,0,0,0,1145600,13626823,1290240,37140752,0,0,0,0,0,0,568320
0.140439,12080340,8345265,491295,3137154,2850716,0,0,1136640,0,0,0,0,0,1140832,13558761,1282112,37215456,0,0,0,0,0,0,573440
0.141743,12227530,8373478,492722,3160366,2956709,0,0,1179648,0,0,0,0,0,1181536,14022016,1329856,38398699,0,0,0,0,0,0,592896
0.143098,12611297,8663010,510877,3258896,2853771,0,0,1138444,0,0,0,0,0,1137984,13527409,1279488,37112917,0,0,0,0,0,0,568320
0.144402,12086731,8325056,490362,3145936,2871680,0,0,1151220,0,0,0,0,0,1134336,13479935,1278720,36937056,0,0,0,0,0,0,568320
0.145706,4731902,3238568,188402,1191728,1066624,0,0,413696,0,0,0,0,0,393216,4654528,435456,12365504,0,0,0,0,0,0,175104
0.147150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
