elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.001096,0,0,0,0,0,0,0,0
0.002576,0,0,0,0,0,0,0,0
0.004080,0,0,0,0,0,0,0,0
0.005535,0,0,0,0,0,0,0,0
0.006988,0,0,0,0,0,0,0,0
0.008589,0,0,0,0,0,0,0,0
0.010057,0,0,0,0,0,0,0,0
0.011551,0,0,0,0,0,0,0,0
0.013005,0,0,0,0,0,0,0,0
0.014459,0,0,0,0,0,0,0,0
0.015910,0,0,0,0,0,0,0,0
0.017395,0,0,0,0,0,0,0,0
0.018856,0,0,0,0,0,0,0,0
0.020416,0,0,0,0,0,0,0,0
0.021797,0,0,0,0,0,0,0,0
0.023177,0,0,0,0,0,0,0,0
0.024560,0,0,0,0,0,0,0,0
0.025948,0,0,0,0,0,0,0,0
0.027330,0,0,0,0,0,0,0,0
0.028722,0,0,0,0,0,0,0,0
0.030105,0,0,0,0,0,0,0,0
0.031499,0,0,0,0,0,0,0,0
0.032882,0,0,0,0,0,0,0,0
0.034262,0,0,0,0,0,0,0,0
0.035641,0,0,0,0,0,0,0,0
0.037050,0,0,0,0,0,0,0,0
0.038426,0,0,0,0,0,0,0,0
0.039838,0,0,0,0,0,0,0,0
0.041204,0,0,0,0,0,0,0,0
0.042577,0,0,0,0,0,0,0,0
0.043944,0,0,0,0,0,0,0,0
0.045308,0,0,0,0,0,0,0,0
0.046673,0,0,0,0,0,0,0,0
0.048038,0,0,0,0,0,0,0,0
0.049404,0,0,0,0,0,0,0,0
0.050769,0,0,0,0,0,0,0,0
0.052169,0,0,0,0,0,0,0,0
0.053495,0,0,0,0,0,0,0,0
0.054813,0,0,0,0,0,0,0,0
0.056182,0,0,0,0,0,0,0,0
0.057502,0,0,0,0,0,0,0,0
0.058823,0,0,0,0,0,0,0,0
0.060141,0,0,0,0,0,0,0,0
0.061415,0,0,0,0,0,0,0,0
0.062687,0,0,0,0,0,0,0,0
0.064012,0,0,0,0,0,0,0,0
0.065284,0,0,0,0,0,0,0,0
0.066666,0,0,0,0,0,0,0,0
0.068116,0,0,0,0,0,0,0,0
0.069417,0,0,0,0,0,0,0,0
